date_value,country,total_cases,total_deaths,new_cases,new_deaths,id_pandemic,year,month,day,day_of_week,is_weekend,quarter,mortality_rate,cases_growth_rate_7d,deaths_growth_rate_7d,new_cases_ma7,new_deaths_ma7,total_cases_normalized,total_deaths_normalized,new_cases_normalized,new_deaths_normalized,mortality_rate_normalized,cases_growth_rate_7d_normalized,deaths_growth_rate_7d_normalized,new_cases_ma7_normalized,new_deaths_ma7_normalized
2020-02-24,Afghanistan,1,0,1,0,1,2020,2,24,0,0,1,0.0,,,1.0,0.0,0.0,0.0,1.2944146009966992e-05,0.0,0.0,,,1.4855088610603563e-05,0.0
2020-02-25,Afghanistan,1,0,0,0,1,2020,2,25,1,0,1,0.0,,,0.5,0.0,0.0,0.0,0.0,0.0,0.0,,,7.4275443053017815e-06,0.0
2020-02-26,Afghanistan,1,0,0,0,1,2020,2,26,2,0,1,0.0,,,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,,,4.95169620353452e-06,0.0
2020-02-27,Afghanistan,1,0,0,0,1,2020,2,27,3,0,1,0.0,,,0.25,0.0,0.0,0.0,0.0,0.0,0.0,,,3.7137721526508907e-06,0.0
2020-02-28,Afghanistan,1,0,0,0,1,2020,2,28,4,0,1,0.0,,,0.2,0.0,0.0,0.0,0.0,0.0,0.0,,,2.9710177221207125e-06,0.0
2020-02-29,Afghanistan,1,0,0,0,1,2020,2,29,5,1,1,0.0,,,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,,,2.47584810176726e-06,0.0
2020-03-01,Afghanistan,1,0,0,0,1,2020,3,1,6,1,1,0.0,,,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,,,2.1221555158005087e-06,0.0
2020-03-02,Afghanistan,1,0,0,0,1,2020,3,2,0,0,1,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0027643303164246124,,0.0,0.0
2020-03-03,Afghanistan,1,0,0,0,1,2020,3,3,1,0,1,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0027643303164246124,,0.0,0.0
2020-03-04,Afghanistan,1,0,0,0,1,2020,3,4,2,0,1,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0027643303164246124,,0.0,0.0
2020-03-05,Afghanistan,1,0,0,0,1,2020,3,5,3,0,1,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0027643303164246124,,0.0,0.0
2020-03-06,Afghanistan,1,0,0,0,1,2020,3,6,4,0,1,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0027643303164246124,,0.0,0.0
2020-03-07,Afghanistan,1,0,0,0,1,2020,3,7,5,1,1,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0027643303164246124,,0.0,0.0
2020-03-08,Afghanistan,4,0,3,0,1,2020,3,8,6,1,1,0.0,3.0,,0.42857142857142855,0.0,6.992586459835282e-07,0.0,3.8832438029900976e-05,0.0,0.0,0.01652985336420403,,6.3664665474015265e-06,0.0
2020-03-09,Afghanistan,4,0,0,0,1,2020,3,9,0,0,1,0.0,3.0,,0.42857142857142855,0.0,6.992586459835282e-07,0.0,0.0,0.0,0.0,0.01652985336420403,,6.3664665474015265e-06,0.0
2020-03-10,Afghanistan,5,0,1,0,1,2020,3,10,1,0,1,0.0,4.0,,0.5714285714285714,0.0,9.323448613113711e-07,0.0,1.2944146009966992e-05,0.0,0.0,0.021118361046797166,,8.488622063202035e-06,0.0
2020-03-11,Afghanistan,7,0,2,0,1,2020,3,11,2,0,1,0.0,6.0,,0.8571428571428571,0.0,1.3985172919670564e-06,0.0,2.5888292019933984e-05,0.0,0.0,0.03029537641198344,,1.2732933094803053e-05,0.0
2020-03-12,Afghanistan,7,0,0,0,1,2020,3,12,3,0,1,0.0,6.0,,0.8571428571428571,0.0,1.3985172919670564e-06,0.0,0.0,0.0,0.0,0.03029537641198344,,1.2732933094803053e-05,0.0
2020-03-13,Afghanistan,7,0,0,0,1,2020,3,13,4,0,1,0.0,6.0,,0.8571428571428571,0.0,1.3985172919670564e-06,0.0,0.0,0.0,0.0,0.03029537641198344,,1.2732933094803053e-05,0.0
2020-03-14,Afghanistan,11,0,4,0,1,2020,3,14,5,1,1,0.0,10.0,,1.4285714285714286,0.0,2.3308621532784276e-06,0.0,5.177658403986797e-05,0.0,0.0,0.048649407142355994,,2.122155515800509e-05,0.0
2020-03-15,Afghanistan,16,0,5,0,1,2020,3,15,6,1,1,0.0,3.0,,1.7142857142857142,0.0,3.4962932299176414e-06,0.0,6.472073004983496e-05,0.0,0.0,0.01652985336420403,,2.5465866189606106e-05,0.0
2020-03-16,Afghanistan,21,0,5,0,1,2020,3,16,0,0,1,0.0,4.25,,2.4285714285714284,0.0,4.661724306556855e-06,0.0,6.472073004983496e-05,0.0,0.0,0.022265487967445447,,3.607664376860865e-05,0.0
2020-03-17,Afghanistan,22,0,1,0,1,2020,3,17,1,0,1,0.0,3.4000000000000004,,2.4285714285714284,0.0,4.894810521884698e-06,0.0,1.2944146009966992e-05,0.0,0.0,0.01836525643724128,,3.607664376860865e-05,0.0
2020-03-18,Afghanistan,22,0,0,0,1,2020,3,18,2,0,1,0.0,2.142857142857143,,2.142857142857143,0.0,4.894810521884698e-06,0.0,0.0,0.0,0.0,0.012596846779124194,,3.1832332737007634e-05,0.0
2020-03-19,Afghanistan,22,0,0,0,1,2020,3,19,3,0,1,0.0,2.142857142857143,,2.142857142857143,0.0,4.894810521884698e-06,0.0,0.0,0.0,0.0,0.012596846779124194,,3.1832332737007634e-05,0.0
2020-03-20,Afghanistan,24,0,2,0,1,2020,3,20,4,0,1,0.0,2.4285714285714284,,2.4285714285714284,0.0,5.360982952540383e-06,0.0,2.5888292019933984e-05,0.0,0.0,0.013907848974150806,,3.607664376860865e-05,0.0
2020-03-21,Afghanistan,24,0,0,0,1,2020,3,21,5,1,1,0.0,1.1818181818181817,,1.8571428571428572,0.0,5.360982952540383e-06,0.0,0.0,0.0,0.0,0.008187112123125593,,2.7588021705406618e-05,0.0
2020-03-22,Afghanistan,40,1,16,1,1,2020,3,22,6,1,1,0.025,1.5,inf,3.4285714285714284,0.14285714285714285,9.090362397785867e-06,6.756254602698448e-06,0.00020710633615947187,0.0002572678157962439,0.025,0.00964709184031432,,5.093173237921221e-05,6.383657835939994e-05
2020-03-23,Afghanistan,40,1,0,0,1,2020,3,23,0,0,1,0.025,0.9047619047619047,inf,2.7142857142857144,0.14285714285714285,9.090362397785867e-06,6.756254602698448e-06,0.0,0.0,0.025,0.006915837267342214,,4.0320954800209674e-05,6.383657835939994e-05
2020-03-24,Afghanistan,74,1,34,0,1,2020,3,24,1,0,1,0.013513513513513514,2.3636363636363638,inf,7.428571428571429,0.14285714285714285,1.701529371893252e-05,6.756254602698448e-06,0.00044010096433887776,0.0,0.013513513513513514,0.013609893929826576,,0.00011035208682162647,6.383657835939994e-05
2020-03-25,Afghanistan,84,2,10,1,1,2020,3,25,2,0,1,0.023809523809523808,2.8181818181818183,inf,8.857142857142858,0.2857142857142857,1.934615587221095e-05,1.3512509205396897e-05,0.00012944146009966992,0.0002572678157962439,0.023809523809523808,0.015695579240096184,,0.00013157364197963155,0.00012767315671879988
2020-03-26,Afghanistan,94,4,10,2,1,2020,3,26,3,0,1,0.0425531914893617,3.2727272727272725,inf,10.285714285714286,0.5714285714285714,2.1677018025489375e-05,2.7025018410793794e-05,0.00012944146009966992,0.0005145356315924878,0.0425531914893617,0.017781264550365793,,0.00015279519713763665,0.00025534631343759976
2020-03-27,Afghanistan,110,4,16,0,1,2020,3,27,4,0,1,0.03636363636363636,3.583333333333333,inf,12.285714285714286,0.5714285714285714,2.540639747073486e-05,2.7025018410793794e-05,0.00020710633615947187,0.0,0.03636363636363636,0.01920648284571669,,0.00018250537435884377,0.00025534631343759976
2020-03-28,Afghanistan,110,4,0,0,1,2020,3,28,5,1,1,0.03636363636363636,3.583333333333333,inf,12.285714285714286,0.5714285714285714,2.540639747073486e-05,2.7025018410793794e-05,0.0,0.0,0.03636363636363636,0.01920648284571669,,0.00018250537435884377,0.00025534631343759976
2020-03-29,Afghanistan,120,4,10,0,1,2020,3,29,6,1,1,0.03333333333333333,2.0,3.0,11.428571428571429,0.42857142857142855,2.7737259624013286e-05,2.7025018410793794e-05,0.00012944146009966992,0.0,0.03333333333333333,0.01194134568161089,0.0,0.00016977244126404072,0.0001915097350781998
2020-03-30,Afghanistan,170,4,50,0,1,2020,3,30,0,0,1,0.023529411764705882,3.25,3.0,18.571428571428573,0.42857142857142855,3.939157039040542e-05,2.7025018410793794e-05,0.0006472073004983496,0.0,0.023529411764705882,0.017676980284852314,0.0,0.0002758802170540662,0.0001915097350781998
2020-03-31,Afghanistan,174,4,4,0,1,2020,3,31,1,0,1,0.022988505747126436,1.3513513513513513,3.0,14.285714285714286,0.42857142857142855,4.0323915251716796e-05,2.7025018410793794e-05,5.177658403986797e-05,0.0,0.022988505747126436,0.008965016373982908,0.0,0.0002122155515800509,0.0001915097350781998
2020-04-01,Afghanistan,237,4,63,0,1,2020,4,1,2,0,2,0.016877637130801686,1.8214285714285716,1.0,21.857142857142858,0.2857142857142857,5.500834681737089e-05,2.7025018410793794e-05,0.0008154811986279205,0.0,0.016877637130801686,0.011121969309719258,0.0,0.00032468979391747784,0.00012767315671879988
2020-04-02,Afghanistan,273,6,36,2,1,2020,4,2,3,0,2,0.02197802197802198,1.9042553191489362,0.5,25.571428571428573,0.2857142857142857,6.339945056917323e-05,4.053752761619069e-05,0.0004659892563588117,0.0005145356315924878,0.02197802197802198,0.011502020477958355,0.0,0.00037986583732829113,0.00012767315671879988
2020-04-03,Afghanistan,281,6,8,0,1,2020,4,3,4,0,2,0.021352313167259787,1.5545454545454547,0.5,24.428571428571427,0.2857142857142857,6.526414029179597e-05,4.053752761619069e-05,0.00010355316807973594,0.0,0.021352313167259787,0.009897374077546674,0.0,0.000362888593201887,0.00012767315671879988
2020-04-04,Afghanistan,299,7,18,1,1,2020,4,4,5,1,2,0.023411371237458192,1.7181818181818183,0.75,27.0,0.42857142857142855,6.945969216769714e-05,4.729378221888914e-05,0.00023299462817940586,0.0002572678157962439,0.023411371237458192,0.010648220789243733,0.0,0.0004010873924862962,0.0001915097350781998
2020-04-05,Afghanistan,349,7,50,0,1,2020,4,5,6,1,2,0.02005730659025788,1.9083333333333332,0.75,32.714285714285715,0.42857142857142855,8.111400293408927e-05,4.729378221888914e-05,0.0006472073004983496,0.0,0.02005730659025788,0.011520732477373185,0.0,0.00048597361311831654,0.0001915097350781998
2020-04-06,Afghanistan,367,11,18,4,1,2020,4,6,0,0,2,0.02997275204359673,1.1588235294117646,1.75,28.142857142857142,1.0,8.530955480999045e-05,7.431880062968293e-05,0.00023299462817940586,0.0010290712631849757,0.02997275204359673,0.00808160098390019,0.0,0.0004180646366127002,0.0004468560485157996
2020-04-07,Afghanistan,423,14,56,3,1,2020,4,7,1,0,2,0.03309692671394799,1.4310344827586206,2.5,35.57142857142857,1.4285714285714286,9.836238286834965e-05,9.458756443777828e-05,0.0007248721765581516,0.0007718034473887317,0.03309692671394799,0.00933064303461824,0.0,0.0005284167234343266,0.0006383657835939995
2020-04-08,Afghanistan,444,14,21,0,1,2020,4,8,2,0,2,0.03153153153153153,0.8734177215189873,2.5,29.571428571428573,1.4285714285714286,0.00010325719339023435,9.458756443777828e-05,0.00027182706620930685,0.0,0.03153153153153153,0.00677201424172748,0.0,0.0004392861917707054,0.0006383657835939995
2020-04-09,Afghanistan,484,15,40,1,1,2020,4,9,3,0,2,0.030991735537190084,0.7728937728937728,1.5,30.142857142857142,1.2857142857142858,0.00011258064200334805,0.00010134381904047673,0.0005177658403986797,0.0002572678157962439,0.030991735537190084,0.006310759331176086,0.0,0.0004477748138339074,0.0005745292052345996
