date_value,country,total_cases,total_deaths,new_cases,new_deaths,id_pandemic,year,month,day,day_of_week,is_weekend,quarter,mortality_rate,cases_growth_rate_7d,deaths_growth_rate_7d,new_cases_ma7,new_deaths_ma7,total_cases_normalized,total_deaths_normalized,new_cases_normalized,new_deaths_normalized,mortality_rate_normalized,cases_growth_rate_7d_normalized,deaths_growth_rate_7d_normalized,new_cases_ma7_normalized,new_deaths_ma7_normalized
2020-03-09,Albania,2,0,2,0,1,2020,3,9,0,0,1,0.0,,,2.0,0.0,2.3308621532784276e-07,0.0,2.5888292019933984e-05,0.0,0.0,,,2.9710177221207126e-05,0.0
2020-03-10,Albania,10,0,8,0,1,2020,3,10,1,0,1,0.0,,,5.0,0.0,2.0977759379505848e-06,0.0,0.00010355316807973594,0.0,0.0,,,7.42754430530178e-05,0.0
2020-03-11,Albania,12,1,2,1,1,2020,3,11,2,0,1,0.08333333333333333,,,4.0,0.3333333333333333,2.5639483686062704e-06,6.756254602698448e-06,2.5888292019933984e-05,0.0002572678157962439,0.08333333333333333,,,5.942035444241425e-05,0.0001489520161719332
2020-03-12,Albania,23,1,11,0,1,2020,3,12,3,0,1,0.043478260869565216,,,5.75,0.25,5.127896737212541e-06,6.756254602698448e-06,0.00014238560610963693,0.0,0.043478260869565216,,,8.541675951097048e-05,0.0001117140121289499
2020-03-13,Albania,33,1,10,0,1,2020,3,13,4,0,1,0.030303030303030304,,,6.6,0.2,7.4587588904909685e-06,6.756254602698448e-06,0.00012944146009966992,0.0,0.030303030303030304,,,9.804358482998351e-05,8.937120970315993e-05
2020-03-14,Albania,38,1,5,0,1,2020,3,14,5,1,1,0.02631578947368421,,,6.333333333333333,0.16666666666666666,8.624189967130182e-06,6.756254602698448e-06,6.472073004983496e-05,0.0,0.02631578947368421,,,9.408222786715589e-05,7.44760080859666e-05
2020-03-15,Albania,42,1,4,0,1,2020,3,15,6,1,1,0.023809523809523808,,,6.0,0.14285714285714285,9.556534828441554e-06,6.756254602698448e-06,5.177658403986797e-05,0.0,0.023809523809523808,,,8.913053166362137e-05,6.383657835939994e-05
2020-03-16,Albania,51,1,9,0,1,2020,3,16,0,0,1,0.0196078431372549,24.5,inf,7.0,0.14285714285714285,1.1654310766392138e-05,6.756254602698448e-06,0.00011649731408970293,0.0,0.0196078431372549,0.11518276853995651,,0.00010398562027422494,6.383657835939994e-05
2020-03-17,Albania,55,1,4,0,1,2020,3,17,1,0,1,0.01818181818181818,4.5,inf,6.428571428571429,0.14285714285714285,1.258665562770351e-05,6.756254602698448e-06,5.177658403986797e-05,0.0,0.01818181818181818,0.023412614888093732,,9.549699821102291e-05,6.383657835939994e-05
2020-03-18,Albania,59,2,4,1,1,2020,3,18,2,0,1,0.03389830508474576,3.916666666666667,1.0,6.714285714285714,0.14285714285714285,1.3519000489014879e-05,1.3512509205396897e-05,5.177658403986797e-05,0.0002572678157962439,0.03389830508474576,0.020735985406581073,0.0,9.974130924262392e-05,6.383657835939994e-05
2020-03-19,Albania,64,2,5,0,1,2020,3,19,3,0,1,0.03125,1.7826086956521738,1.0,5.857142857142857,0.14285714285714285,1.4684431565654094e-05,1.3512509205396897e-05,6.472073004983496e-05,0.0,0.03125,0.010943844011481945,0.0,8.700837614782086e-05,6.383657835939994e-05
2020-03-20,Albania,70,2,6,0,1,2020,3,20,4,0,1,0.02857142857142857,1.121212121212121,1.0,5.285714285714286,0.14285714285714285,1.608294885762115e-05,1.3512509205396897e-05,7.766487605980195e-05,0.0,0.02857142857142857,0.007909020748422979,0.0,7.851975408461883e-05,6.383657835939994e-05
2020-03-21,Albania,76,2,6,0,1,2020,3,21,5,1,1,0.02631578947368421,1.0,1.0,5.428571428571429,0.14285714285714285,1.7481466149588206e-05,1.3512509205396897e-05,7.766487605980195e-05,0.0,0.02631578947368421,0.0073528379990177506,0.0,8.064190960041935e-05,6.383657835939994e-05
2020-03-22,Albania,89,2,13,0,1,2020,3,22,6,1,1,0.02247191011235955,1.119047619047619,1.0,6.714285714285714,0.14285714285714285,2.0511586948850164e-05,1.3512509205396897e-05,0.0001682738981295709,0.0,0.02247191011235955,0.007899088913612172,0.0,9.974130924262392e-05,6.383657835939994e-05
2020-03-23,Albania,104,4,15,2,1,2020,3,23,0,0,1,0.038461538461538464,1.0392156862745097,3.0,7.571428571428571,0.42857142857142855,2.4007880178767804e-05,2.7025018410793794e-05,0.0001941621901495049,0.0005145356315924878,0.038461538461538464,0.007532779476766501,0.0,0.00011247424233742696,0.0001915097350781998
