date_value,country,total_cases,total_deaths,new_cases,new_deaths,id_pandemic,year,month,day,day_of_week,is_weekend,quarter,mortality_rate,cases_growth_rate_7d,deaths_growth_rate_7d,new_cases_ma7,new_deaths_ma7,total_cases_normalized,total_deaths_normalized,new_cases_normalized,new_deaths_normalized,mortality_rate_normalized,cases_growth_rate_7d_normalized,deaths_growth_rate_7d_normalized,new_cases_ma7_normalized,new_deaths_ma7_normalized
2020-02-25,Algeria,1,0,1,0,1,2020,2,25,1,0,1,0.0,,,1.0,0.0,0.0,0.0,1.2944146009966992e-05,0.0,0.0,,,1.4855088610603563e-05,0.0
2020-02-26,Algeria,1,0,0,0,1,2020,2,26,2,0,1,0.0,,,0.5,0.0,0.0,0.0,0.0,0.0,0.0,,,7.4275443053017815e-06,0.0
2020-02-27,Algeria,1,0,0,0,1,2020,2,27,3,0,1,0.0,,,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,,,4.95169620353452e-06,0.0
2020-02-28,Algeria,1,0,0,0,1,2020,2,28,4,0,1,0.0,,,0.25,0.0,0.0,0.0,0.0,0.0,0.0,,,3.7137721526508907e-06,0.0
2020-02-29,Algeria,1,0,0,0,1,2020,2,29,5,1,1,0.0,,,0.2,0.0,0.0,0.0,0.0,0.0,0.0,,,2.9710177221207125e-06,0.0
2020-03-01,Algeria,1,0,0,0,1,2020,3,1,6,1,1,0.0,,,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,,,2.47584810176726e-06,0.0
2020-03-02,Algeria,3,0,2,0,1,2020,3,2,0,0,1,0.0,,,0.42857142857142855,0.0,4.6617243065568553e-07,0.0,2.5888292019933984e-05,0.0,0.0,,,6.3664665474015265e-06,0.0
2020-03-03,Algeria,5,0,2,0,1,2020,3,3,1,0,1,0.0,4.0,,0.5714285714285714,0.0,9.323448613113711e-07,0.0,2.5888292019933984e-05,0.0,0.0,0.021118361046797166,,8.488622063202035e-06,0.0
2020-03-04,Algeria,12,0,7,0,1,2020,3,4,2,0,1,0.0,11.0,,1.5714285714285714,0.0,2.5639483686062704e-06,0.0,9.060902206976894e-05,0.0,0.0,0.053237914824949134,,2.3343710673805598e-05,0.0
2020-03-05,Algeria,12,0,0,0,1,2020,3,5,3,0,1,0.0,11.0,,1.5714285714285714,0.0,2.5639483686062704e-06,0.0,0.0,0.0,0.0,0.053237914824949134,,2.3343710673805598e-05,0.0
2020-03-06,Algeria,17,0,5,0,1,2020,3,6,4,0,1,0.0,16.0,,2.2857142857142856,0.0,3.7293794452454842e-06,0.0,6.472073004983496e-05,0.0,0.0,0.07618045323791484,,3.395448825280814e-05,0.0
2020-03-07,Algeria,17,0,0,0,1,2020,3,7,5,1,1,0.0,16.0,,2.2857142857142856,0.0,3.7293794452454842e-06,0.0,0.0,0.0,0.0,0.07618045323791484,,3.395448825280814e-05,0.0
2020-03-08,Algeria,19,0,2,0,1,2020,3,8,6,1,1,0.0,18.0,,2.5714285714285716,0.0,4.1955518759011695e-06,0.0,2.5888292019933984e-05,0.0,0.0,0.0853574686031011,,3.819879928440916e-05,0.0
2020-03-09,Algeria,20,0,1,0,1,2020,3,9,0,0,1,0.0,5.666666666666667,,2.4285714285714284,0.0,4.428638091229012e-06,0.0,1.2944146009966992e-05,0.0,0.0,0.028765873851119065,,3.607664376860865e-05,0.0
2020-03-10,Algeria,20,0,0,0,1,2020,3,10,1,0,1,0.0,3.0,,2.142857142857143,0.0,4.428638091229012e-06,0.0,0.0,0.0,0.0,0.01652985336420403,,3.1832332737007634e-05,0.0
