date_value,country,total_cases,total_deaths,new_cases,new_deaths,id_pandemic,year,month,day,day_of_week,is_weekend,quarter,mortality_rate,cases_growth_rate_7d,deaths_growth_rate_7d,new_cases_ma7,new_deaths_ma7,total_cases_normalized,total_deaths_normalized,new_cases_normalized,new_deaths_normalized,mortality_rate_normalized,cases_growth_rate_7d_normalized,deaths_growth_rate_7d_normalized,new_cases_ma7_normalized,new_deaths_ma7_normalized
2020-03-02,Andorra,1,0,1,0,1,2020,3,2,0,0,1,0.0,,,1.0,0.0,0.0,0.0,1.2944146009966992e-05,0.0,0.0,,,1.4855088610603563e-05,0.0
2020-03-03,Andorra,1,0,0,0,1,2020,3,3,1,0,1,0.0,,,0.5,0.0,0.0,0.0,0.0,0.0,0.0,,,7.4275443053017815e-06,0.0
2020-03-04,Andorra,1,0,0,0,1,2020,3,4,2,0,1,0.0,,,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,,,4.95169620353452e-06,0.0
2020-03-05,Andorra,1,0,0,0,1,2020,3,5,3,0,1,0.0,,,0.25,0.0,0.0,0.0,0.0,0.0,0.0,,,3.7137721526508907e-06,0.0
2020-03-06,Andorra,1,0,0,0,1,2020,3,6,4,0,1,0.0,,,0.2,0.0,0.0,0.0,0.0,0.0,0.0,,,2.9710177221207125e-06,0.0
2020-03-07,Andorra,1,0,0,0,1,2020,3,7,5,1,1,0.0,,,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,,,2.47584810176726e-06,0.0
2020-03-08,Andorra,1,0,0,0,1,2020,3,8,6,1,1,0.0,,,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,,,2.1221555158005087e-06,0.0
2020-03-09,Andorra,1,0,0,0,1,2020,3,9,0,0,1,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0027643303164246124,,0.0,0.0
2020-03-10,Andorra,1,0,0,0,1,2020,3,10,1,0,1,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0027643303164246124,,0.0,0.0
2020-03-11,Andorra,1,0,0,0,1,2020,3,11,2,0,1,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0027643303164246124,,0.0,0.0
2020-03-12,Andorra,1,0,0,0,1,2020,3,12,3,0,1,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0027643303164246124,,0.0,0.0
2020-03-13,Andorra,1,0,0,0,1,2020,3,13,4,0,1,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0027643303164246124,,0.0,0.0
2020-03-14,Andorra,1,0,0,0,1,2020,3,14,5,1,1,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0027643303164246124,,0.0,0.0
2020-03-15,Andorra,1,0,0,0,1,2020,3,15,6,1,1,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0027643303164246124,,0.0,0.0
2020-03-16,Andorra,2,0,1,0,1,2020,3,16,0,0,1,0.0,1.0,,0.14285714285714285,0.0,2.3308621532784276e-07,0.0,1.2944146009966992e-05,0.0,0.0,0.0073528379990177506,,2.1221555158005087e-06,0.0
2020-03-17,Andorra,39,0,37,0,1,2020,3,17,1,0,1,0.0,38.0,,5.428571428571429,0.0,8.857276182458024e-06,0.0,0.0004789334023687787,0.0,0.0,0.17712762225496387,,8.064190960041935e-05,0.0
2020-03-18,Andorra,39,0,0,0,1,2020,3,18,2,0,1,0.0,38.0,,5.428571428571429,0.0,8.857276182458024e-06,0.0,0.0,0.0,0.0,0.17712762225496387,,8.064190960041935e-05,0.0
2020-03-19,Andorra,53,0,14,0,1,2020,3,19,3,0,1,0.0,52.0,,7.428571428571429,0.0,1.2120483197047823e-05,0.0,0.0001812180441395379,0.0,0.0,0.2413667298112678,,0.00011035208682162647,0.0
2020-03-20,Andorra,75,0,22,0,1,2020,3,20,4,0,1,0.0,74.0,,10.571428571428571,0.0,1.7248379934260365e-05,0.0,0.00028477121221927385,0.0,0.0,0.34231389882831686,,0.00015703950816923766,0.0
2020-03-21,Andorra,88,0,13,0,1,2020,3,21,5,1,1,0.0,87.0,,12.428571428571429,0.0,2.027850073352232e-05,0.0,0.0001682738981295709,0.0,0.0,0.40196449870202766,,0.00018462752987464428,0.0
2020-03-22,Andorra,113,1,25,1,1,2020,3,22,6,1,1,0.008849557522123894,112.0,inf,16.0,0.14285714285714285,2.610565611671839e-05,6.756254602698448e-06,0.0003236036502491748,0.0002572678157962439,0.008849557522123894,0.5166771907668561,,0.000237681417769657,6.383657835939994e-05
2020-03-23,Andorra,133,1,20,0,1,2020,3,23,0,0,1,0.007518796992481203,65.5,inf,18.714285714285715,0.14285714285714285,3.0767380423275244e-05,6.756254602698448e-06,0.00025888292019933984,0.0,0.007518796992481203,0.3033115835262752,,0.0002780023725698667,6.383657835939994e-05
2020-03-24,Andorra,164,1,31,0,1,2020,3,24,1,0,1,0.006097560975609756,3.2051282051282053,inf,17.857142857142858,0.14285714285714285,3.7993053098438366e-05,6.756254602698448e-06,0.00040126852630897674,0.0,0.006097560975609756,0.01747108570935134,,0.0002652694394750636,6.383657835939994e-05
2020-03-25,Andorra,188,1,24,0,1,2020,3,25,2,0,1,0.005319148936170213,3.8205128205128203,inf,21.285714285714285,0.14285714285714285,4.35871222663066e-05,6.756254602698448e-06,0.0003106595042392078,0.0,0.005319148936170213,0.02029478274479327,,0.0003162011718542758,6.383657835939994e-05
2020-03-26,Andorra,224,3,36,2,1,2020,3,26,3,0,1,0.013392857142857142,3.2264150943396226,inf,24.428571428571427,0.42857142857142855,5.1978226018108935e-05,2.0268763808095344e-05,0.0004659892563588117,0.0005145356315924878,0.013392857142857142,0.017568760764036438,,0.000362888593201887,0.0001915097350781998
2020-03-27,Andorra,267,3,43,0,1,2020,3,27,4,0,1,0.011235955056179775,2.56,inf,27.428571428571427,0.42857142857142855,6.200093327720617e-05,2.0268763808095344e-05,0.0005565982784285807,0.0,0.011235955056179775,0.014510909983863047,,0.0004074538590336977,0.0001915097350781998
2020-03-28,Andorra,308,3,41,0,1,2020,3,28,5,1,1,0.00974025974025974,2.5,inf,31.428571428571427,0.42857142857142855,7.155746810564773e-05,2.0268763808095344e-05,0.0005307099864086467,0.0,0.00974025974025974,0.014235599522907458,,0.00046687421347611194,0.0001915097350781998
