date_value,country,total_cases,total_deaths,new_cases,new_deaths,id_pandemic,year,month,day,day_of_week,is_weekend,quarter,mortality_rate,cases_growth_rate_7d,deaths_growth_rate_7d,new_cases_ma7,new_deaths_ma7,total_cases_normalized,total_deaths_normalized,new_cases_normalized,new_deaths_normalized,mortality_rate_normalized,cases_growth_rate_7d_normalized,deaths_growth_rate_7d_normalized,new_cases_ma7_normalized,new_deaths_ma7_normalized
2020-01-26,Australia,4,0,4,0,1,2020,1,26,6,1,1,0.0,,,4.0,0.0,6.992586459835282e-07,0.0,5.177658403986797e-05,0.0,0.0,,,5.942035444241425e-05,0.0
2020-01-27,Australia,5,0,1,0,1,2020,1,27,0,0,1,0.0,,,2.5,0.0,9.323448613113711e-07,0.0,1.2944146009966992e-05,0.0,0.0,,,3.71377215265089e-05,0.0
2020-01-28,Australia,5,0,0,0,1,2020,1,28,1,0,1,0.0,,,1.6666666666666667,0.0,9.323448613113711e-07,0.0,0.0,0.0,0.0,,,2.4758481017672605e-05,0.0
2020-01-29,Australia,6,0,1,0,1,2020,1,29,2,0,1,0.0,,,1.5,0.0,1.1654310766392138e-06,0.0,1.2944146009966992e-05,0.0,0.0,,,2.2282632915905342e-05,0.0
2020-01-30,Australia,9,0,3,0,1,2020,1,30,3,0,1,0.0,,,1.8,0.0,1.8646897226227421e-06,0.0,3.8832438029900976e-05,0.0,0.0,,,2.6739159499086413e-05,0.0
2020-01-31,Australia,9,0,0,0,1,2020,1,31,4,0,1,0.0,,,1.5,0.0,1.8646897226227421e-06,0.0,0.0,0.0,0.0,,,2.2282632915905342e-05,0.0
2020-02-01,Australia,12,0,3,0,1,2020,2,1,5,1,1,0.0,,,1.7142857142857142,0.0,2.5639483686062704e-06,0.0,3.8832438029900976e-05,0.0,0.0,,,2.5465866189606106e-05,0.0
2020-02-02,Australia,12,0,0,0,1,2020,2,2,6,1,1,0.0,2.0,,1.1428571428571428,0.0,2.5639483686062704e-06,0.0,0.0,0.0,0.0,0.01194134568161089,,1.697724412640407e-05,0.0
2020-02-03,Australia,12,0,0,0,1,2020,2,3,0,0,1,0.0,1.4,,1.0,0.0,2.5639483686062704e-06,0.0,0.0,0.0,0.0,0.009188241072055006,,1.4855088610603563e-05,0.0
2020-02-04,Australia,13,0,1,0,1,2020,2,4,1,0,1,0.0,1.6,,1.1428571428571428,0.0,2.797034583934113e-06,0.0,1.2944146009966992e-05,0.0,0.0,0.010105942608573634,,1.697724412640407e-05,0.0
