date_value,country,total_cases,total_deaths,new_cases,new_deaths,id_pandemic,year,month,day,day_of_week,is_weekend,quarter,mortality_rate,cases_growth_rate_7d,deaths_growth_rate_7d,new_cases_ma7,new_deaths_ma7,total_cases_normalized,total_deaths_normalized,new_cases_normalized,new_deaths_normalized,mortality_rate_normalized,cases_growth_rate_7d_normalized,deaths_growth_rate_7d_normalized,new_cases_ma7_normalized,new_deaths_ma7_normalized
2020-02-25,Austria,2,0,2,0,1,2020,2,25,1,0,1,0.0,,,2.0,0.0,2.3308621532784276e-07,0.0,2.5888292019933984e-05,0.0,0.0,,,2.9710177221207126e-05,0.0
2020-02-26,Austria,2,0,0,0,1,2020,2,26,2,0,1,0.0,,,1.0,0.0,2.3308621532784276e-07,0.0,0.0,0.0,0.0,,,1.4855088610603563e-05,0.0
2020-02-27,Austria,3,0,1,0,1,2020,2,27,3,0,1,0.0,,,1.0,0.0,4.6617243065568553e-07,0.0,1.2944146009966992e-05,0.0,0.0,,,1.4855088610603563e-05,0.0
2020-02-28,Austria,3,0,0,0,1,2020,2,28,4,0,1,0.0,,,0.75,0.0,4.6617243065568553e-07,0.0,0.0,0.0,0.0,,,1.1141316457952671e-05,0.0
2020-02-29,Austria,9,0,6,0,1,2020,2,29,5,1,1,0.0,,,1.8,0.0,1.8646897226227421e-06,0.0,7.766487605980195e-05,0.0,0.0,,,2.6739159499086413e-05,0.0
2020-03-01,Austria,14,0,5,0,1,2020,3,1,6,1,1,0.0,,,2.3333333333333335,0.0,3.0301207992619557e-06,0.0,6.472073004983496e-05,0.0,0.0,,,3.466187342474165e-05,0.0
2020-03-02,Austria,18,0,4,0,1,2020,3,2,0,0,1,0.0,,,2.5714285714285716,0.0,3.962465660573327e-06,0.0,5.177658403986797e-05,0.0,0.0,,,3.819879928440916e-05,0.0
2020-03-03,Austria,21,0,3,0,1,2020,3,3,1,0,1,0.0,9.5,,2.7142857142857144,0.0,4.661724306556855e-06,0.0,3.8832438029900976e-05,0.0,0.0,0.046355153301059424,,4.0320954800209674e-05,0.0
2020-03-04,Austria,29,0,8,0,1,2020,3,4,2,0,1,0.0,13.5,,3.857142857142857,0.0,6.526414029179597e-06,0.0,0.00010355316807973594,0.0,0.0,0.06470918403143198,,5.729819892661374e-05,0.0
2020-03-05,Austria,41,0,12,0,1,2020,3,5,3,0,1,0.0,12.666666666666666,,5.428571428571429,0.0,9.32344861311371e-06,0.0,0.0001553297521196039,0.0,0.0,0.06088542762927103,,8.064190960041935e-05,0.0
2020-03-06,Austria,55,0,14,0,1,2020,3,6,4,0,1,0.0,17.333333333333332,,7.428571428571429,0.0,1.258665562770351e-05,0.0,0.0001812180441395379,0.0,0.0,0.08229846348137235,,0.00011035208682162647,0.0
2020-03-07,Austria,79,0,24,0,1,2020,3,7,5,1,1,0.0,7.777777777777779,,10.0,0.0,1.8180724795571734e-05,0.0,0.0003106595042392078,0.0,0.0,0.038452723403260135,,0.0001485508861060356,0.0
2020-03-08,Austria,104,0,25,0,1,2020,3,8,6,1,1,0.0,6.428571428571429,,12.857142857142858,0.0,2.4007880178767804e-05,0.0,0.0003236036502491748,0.0,0.0,0.03226187970452336,,0.00019099399642204582,0.0
2020-03-09,Austria,131,0,27,0,1,2020,3,9,0,0,1,0.0,6.277777777777778,,16.142857142857142,0.0,3.0301207992619557e-05,0.0,0.0003494919422691088,0.0,0.0,0.031569961879370424,,0.00023980357328545748,0.0
2020-03-10,Austria,182,0,51,0,1,2020,3,10,1,0,1,0.0,7.666666666666666,,23.0,0.0,4.218860497433954e-05,0.0,0.0006601514465083166,0.0,0.0,0.037942889216305335,,0.00034166703804388194,0.0
2020-03-11,Austria,246,0,64,0,1,2020,3,11,2,0,1,0.0,7.482758620689655,,31.0,0.0,5.710612275532148e-05,0.0,0.0008284253446378875,0.0,0.0,0.03709902573444913,,0.0004605077469287104,0.0
2020-03-12,Austria,302,1,56,1,1,2020,3,12,3,0,1,0.0033112582781456954,6.365853658536586,inf,37.285714285714285,0.14285714285714285,7.015895081368067e-05,6.756254602698448e-06,0.0007248721765581516,0.0002572678157962439,0.0033112582781456954,0.031974098734883376,,0.0005538825896239328,6.383657835939994e-05
2020-03-13,Austria,504,1,202,0,1,2020,3,13,4,0,1,0.001984126984126984,8.163636363636364,inf,64.14285714285714,0.14285714285714285,0.00011724236630990491,6.756254602698448e-06,0.0026147174940133323,0.0,0.001984126984126984,0.040223238488866775,,0.0009528478265944285,6.383657835939994e-05
2020-03-14,Austria,655,1,151,0,1,2020,3,14,5,1,1,0.0015267175572519084,7.291139240506329,inf,82.28571428571429,0.14285714285714285,0.00015243838482440915,6.756254602698448e-06,0.001954566047505016,0.0,0.0015267175572519084,0.0362197787363442,,0.0012223615771010932,6.383657835939994e-05
