date_value,country,total_cases,total_deaths,new_cases,new_deaths,id_pandemic,year,month,day,day_of_week,is_weekend,quarter,mortality_rate,cases_growth_rate_7d,deaths_growth_rate_7d,new_cases_ma7,new_deaths_ma7,total_cases_normalized,total_deaths_normalized,new_cases_normalized,new_deaths_normalized,mortality_rate_normalized,cases_growth_rate_7d_normalized,deaths_growth_rate_7d_normalized,new_cases_ma7_normalized,new_deaths_ma7_normalized
2020-03-08,Bangladesh,3,0,3,0,1,2020,3,8,6,1,1,0.0,,,3.0,0.0,4.6617243065568553e-07,0.0,3.8832438029900976e-05,0.0,0.0,,,4.4565265831810684e-05,0.0
2020-03-09,Bangladesh,3,0,0,0,1,2020,3,9,0,0,1,0.0,,,1.5,0.0,4.6617243065568553e-07,0.0,0.0,0.0,0.0,,,2.2282632915905342e-05,0.0
2020-03-10,Bangladesh,3,0,0,0,1,2020,3,10,1,0,1,0.0,,,1.0,0.0,4.6617243065568553e-07,0.0,0.0,0.0,0.0,,,1.4855088610603563e-05,0.0
2020-03-11,Bangladesh,3,0,0,0,1,2020,3,11,2,0,1,0.0,,,0.75,0.0,4.6617243065568553e-07,0.0,0.0,0.0,0.0,,,1.1141316457952671e-05,0.0
2020-03-12,Bangladesh,3,0,0,0,1,2020,3,12,3,0,1,0.0,,,0.6,0.0,4.6617243065568553e-07,0.0,0.0,0.0,0.0,,,8.913053166362137e-06,0.0
2020-03-13,Bangladesh,3,0,0,0,1,2020,3,13,4,0,1,0.0,,,0.5,0.0,4.6617243065568553e-07,0.0,0.0,0.0,0.0,,,7.4275443053017815e-06,0.0
2020-03-14,Bangladesh,3,0,0,0,1,2020,3,14,5,1,1,0.0,,,0.42857142857142855,0.0,4.6617243065568553e-07,0.0,0.0,0.0,0.0,,,6.3664665474015265e-06,0.0
2020-03-15,Bangladesh,5,0,2,0,1,2020,3,15,6,1,1,0.0,0.6666666666666667,,0.2857142857142857,0.0,9.323448613113711e-07,0.0,2.5888292019933984e-05,0.0,0.0,0.005823335438153372,,4.244311031601017e-06,0.0
2020-03-16,Bangladesh,8,0,3,0,1,2020,3,16,0,0,1,0.0,1.6666666666666665,,0.7142857142857143,0.0,1.6316035072948993e-06,0.0,3.8832438029900976e-05,0.0,0.0,0.010411843120746509,,1.0610777579002545e-05,0.0
2020-03-17,Bangladesh,10,0,2,0,1,2020,3,17,1,0,1,0.0,2.3333333333333335,,1.0,0.0,2.0977759379505848e-06,0.0,2.5888292019933984e-05,0.0,0.0,0.01347084824247527,,1.4855088610603563e-05,0.0
2020-03-18,Bangladesh,14,1,4,1,1,2020,3,18,2,0,1,0.07142857142857142,3.666666666666667,inf,1.5714285714285714,0.14285714285714285,3.0301207992619557e-06,6.756254602698448e-06,5.177658403986797e-05,0.0002572678157962439,0.07142857142857142,0.01958885848593279,,2.3343710673805598e-05,6.383657835939994e-05
2020-03-19,Bangladesh,17,1,3,0,1,2020,3,19,3,0,1,0.058823529411764705,4.666666666666667,inf,2.0,0.14285714285714285,3.7293794452454842e-06,6.756254602698448e-06,3.8832438029900976e-05,0.0,0.058823529411764705,0.024177366168525928,,2.9710177221207126e-05,6.383657835939994e-05
2020-03-20,Bangladesh,20,1,3,0,1,2020,3,20,4,0,1,0.05,5.666666666666667,inf,2.4285714285714284,0.14285714285714285,4.428638091229012e-06,6.756254602698448e-06,3.8832438029900976e-05,0.0,0.05,0.028765873851119065,,3.607664376860865e-05,6.383657835939994e-05
2020-03-21,Bangladesh,25,2,5,1,1,2020,3,21,5,1,1,0.08,7.333333333333334,inf,3.142857142857143,0.2857142857142857,5.594069167868226e-06,1.3512509205396897e-05,6.472073004983496e-05,0.0002572678157962439,0.08,0.036413386655440964,,4.6687421347611195e-05,0.00012767315671879988
2020-03-22,Bangladesh,27,2,2,0,1,2020,3,22,6,1,1,0.07407407407407407,4.4,inf,3.142857142857143,0.2857142857142857,6.060241598523911e-06,1.3512509205396897e-05,2.5888292019933984e-05,0.0,0.07407407407407407,0.02295376411983442,,4.6687421347611195e-05,0.00012767315671879988
2020-03-23,Bangladesh,33,3,6,1,1,2020,3,23,0,0,1,0.09090909090909091,3.125,inf,3.5714285714285716,0.42857142857142855,7.4587588904909685e-06,2.0268763808095344e-05,7.766487605980195e-05,0.0002572678157962439,0.09090909090909091,0.01710341682452817,,5.3053887895012723e-05,0.0001915097350781998
2020-03-24,Bangladesh,39,4,6,1,1,2020,3,24,1,0,1,0.10256410256410256,2.9,inf,4.142857142857143,0.5714285714285714,8.857276182458024e-06,2.7025018410793794e-05,7.766487605980195e-05,0.0002572678157962439,0.10256410256410256,0.016071002595944715,,6.154250995821476e-05,0.00025534631343759976
2020-03-25,Bangladesh,39,5,0,1,1,2020,3,25,2,0,1,0.1282051282051282,1.7857142857142856,4.0,3.5714285714285716,0.5714285714285714,8.857276182458024e-06,3.378127301349224e-05,0.0,0.0002572678157962439,0.1282051282051282,0.01095809403534093,0.0,5.3053887895012723e-05,0.00025534631343759976
2020-03-26,Bangladesh,44,5,5,0,1,2020,3,26,3,0,1,0.11363636363636363,1.5882352941176472,4.0,3.857142857142857,0.5714285714285714,1.0022707259097238e-05,3.378127301349224e-05,6.472073004983496e-05,0.0,0.11363636363636363,0.01005196016524901,0.0,5.729819892661374e-05,0.00025534631343759976
2020-03-27,Bangladesh,48,5,4,0,1,2020,3,27,4,0,1,0.10416666666666667,1.4,4.0,4.0,0.5714285714285714,1.095505212040861e-05,3.378127301349224e-05,5.177658403986797e-05,0.0,0.10416666666666667,0.009188241072055006,0.0,5.942035444241425e-05,0.00025534631343759976
2020-03-28,Bangladesh,48,5,0,0,1,2020,3,28,5,1,1,0.10416666666666667,0.9199999999999999,1.5,3.2857142857142856,0.42857142857142855,1.095505212040861e-05,3.378127301349224e-05,0.0,0.0,0.10416666666666667,0.006985757384410299,0.0,4.88095768634117e-05,0.0001915097350781998
2020-03-29,Bangladesh,48,5,0,0,1,2020,3,29,6,1,1,0.10416666666666667,0.7777777777777777,1.5,3.0,0.42857142857142855,1.095505212040861e-05,3.378127301349224e-05,0.0,0.0,0.10416666666666667,0.0063331696251081645,0.0,4.4565265831810684e-05,0.0001915097350781998
2020-03-30,Bangladesh,49,5,1,0,1,2020,3,30,0,0,1,0.10204081632653061,0.48484848484848486,0.6666666666666667,2.2857142857142856,0.2857142857142857,1.1188138335736451e-05,3.378127301349224e-05,1.2944146009966992e-05,0.0,0.10204081632653061,0.004989061314045528,0.0,3.395448825280814e-05,0.00012767315671879988
2020-03-31,Bangladesh,51,5,2,0,1,2020,3,31,1,0,1,0.09803921568627451,0.3076923076923077,0.25,1.7142857142857142,0.14285714285714285,1.1654310766392138e-05,3.378127301349224e-05,2.5888292019933984e-05,0.0,0.09803921568627451,0.004176178834145578,0.0,2.5465866189606106e-05,6.383657835939994e-05
2020-04-01,Bangladesh,54,6,3,1,1,2020,4,1,2,0,2,0.1111111111111111,0.3846153846153846,0.19999999999999996,2.142857142857143,0.14285714285714285,1.2353569412375666e-05,4.053752761619069e-05,3.8832438029900976e-05,0.0002572678157962439,0.1111111111111111,0.004529140963575819,0.0,3.1832332737007634e-05,6.383657835939994e-05
2020-04-02,Bangladesh,56,6,2,0,1,2020,4,2,3,0,2,0.10714285714285714,0.2727272727272727,0.19999999999999996,1.7142857142857142,0.14285714285714285,1.2819741843031351e-05,4.053752761619069e-05,2.5888292019933984e-05,0.0,0.10714285714285714,0.004015741502586378,0.0,2.5465866189606106e-05,6.383657835939994e-05
2020-04-03,Bangladesh,61,6,5,0,1,2020,4,3,4,0,2,0.09836065573770492,0.27083333333333326,0.19999999999999996,1.8571428571428572,0.14285714285714285,1.3985172919670566e-05,4.053752761619069e-05,6.472073004983496e-05,0.0,0.09836065573770492,0.00400705114712692,0.0,2.7588021705406618e-05,6.383657835939994e-05
2020-04-04,Bangladesh,70,8,9,2,1,2020,4,4,5,1,2,0.11428571428571428,0.45833333333333326,0.6000000000000001,3.142857142857143,0.42857142857142855,1.608294885762115e-05,5.405003682158759e-05,0.00011649731408970293,0.0005145356315924878,0.11428571428571428,0.004867396337613134,0.0,4.6687421347611195e-05,0.0001915097350781998
2020-04-05,Bangladesh,88,9,18,1,1,2020,4,5,6,1,2,0.10227272727272728,0.8333333333333333,0.8,5.714285714285714,0.5714285714285714,2.027850073352232e-05,6.080629142428603e-05,0.00023299462817940586,0.0002572678157962439,0.10227272727272728,0.006588086718585561,0.0,8.488622063202036e-05,0.00025534631343759976
2020-04-06,Bangladesh,123,12,35,3,1,2020,4,6,0,0,2,0.0975609756097561,1.510204081632653,1.4,10.571428571428571,1.0,2.8436518269996818e-05,8.107505523238138e-05,0.0004530451103488447,0.0007718034473887317,0.0975609756097561,0.009693913347279556,0.0,0.00015703950816923766,0.0004468560485157996
2020-04-07,Bangladesh,164,17,41,5,1,2020,4,7,1,0,2,0.10365853658536585,2.215686274509804,2.4,16.142857142857142,1.7142857142857142,3.7993053098438366e-05,0.00011485632824587362,0.0005307099864086467,0.0012863390789812194,0.10365853658536585,0.012931023809229017,0.0,0.00023980357328545748,0.0007660389403127992
2020-04-08,Bangladesh,218,20,54,3,1,2020,4,8,2,0,2,0.09174311926605505,3.037037037037037,2.3333333333333335,23.428571428571427,2.0,5.057970872614188e-05,0.00013512509205396896,0.0006989838845382175,0.0007718034473887317,0.09174311926605505,0.01669979809318896,0.0,0.00034803350459128345,0.0008937120970315992
2020-04-09,Bangladesh,330,21,112,1,1,2020,4,9,3,0,2,0.06363636363636363,4.892857142857143,2.5,39.142857142857146,2.142857142857143,7.668536484286027e-05,0.0001418813466566674,0.0014497443531163031,0.0002572678157962439,0.06363636363636363,0.02521524290625533,0.0,0.0005814706113293395,0.0009575486753909991
2020-04-10,Bangladesh,424,27,94,6,1,2020,4,10,4,0,2,0.06367924528301887,5.950819672131147,3.5,51.857142857142854,3.0,9.859546908367749e-05,0.0001824188742728581,0.0012167497249368972,0.0015436068947774634,0.06367924528301887,0.030069712099724765,0.0,0.0007703424522355847,0.0013405681455473989
2020-04-11,Bangladesh,482,30,58,3,1,2020,4,11,5,1,2,0.06224066390041494,5.885714285714286,2.75,58.857142857142854,3.142857142857143,0.00011211446957269237,0.00020268763808095345,0.0007507604685780856,0.0007718034473887317,0.06224066390041494,0.029770975533972798,0.0,0.0008743280725098096,0.0014044047239067986
2020-04-12,Bangladesh,621,34,139,4,1,2020,4,12,6,1,2,0.05475040257648953,6.056818181818182,2.7777777777777777,76.14285714285714,3.5714285714285716,0.0001445134535032625,0.00022971265649174725,0.001799236295385412,0.0010290712631849757,0.05475040257648953,0.03055608707576714,0.0,0.001131108889921671,0.0015959144589849986
2020-04-13,Bangladesh,803,39,182,5,1,2020,4,13,0,0,2,0.048567870485678705,5.528455284552845,2.25,97.14285714285714,3.857142857142857,0.0001869351446929299,0.0002634939295052395,0.0023558345738139926,0.0012863390789812194,0.048567870485678705,0.02813168986246798,0.0,0.001443065750744346,0.0017235876157037984
2020-04-14,Bangladesh,1012,46,209,7,1,2020,4,14,1,0,2,0.045454545454545456,5.170731707317073,1.7058823529411766,121.14285714285714,4.142857142857143,0.00023565016369644904,0.0003107877117241286,0.0027053265160831013,0.0018008747105737071,0.045454545454545456,0.02649027248007694,0.0,0.0017995878773988314,0.0018512607724225985
