date_value,country,total_cases,total_deaths,new_cases,new_deaths,id_pandemic,year,month,day,day_of_week,is_weekend,quarter,mortality_rate,cases_growth_rate_7d,deaths_growth_rate_7d,new_cases_ma7,new_deaths_ma7,total_cases_normalized,total_deaths_normalized,new_cases_normalized,new_deaths_normalized,mortality_rate_normalized,cases_growth_rate_7d_normalized,deaths_growth_rate_7d_normalized,new_cases_ma7_normalized,new_deaths_ma7_normalized
2020-03-17,Barbados,2,0,2,0,1,2020,3,17,1,0,1,0.0,,,2.0,0.0,2.3308621532784276e-07,0.0,2.5888292019933984e-05,0.0,0.0,,,2.9710177221207126e-05,0.0
2020-03-18,Barbados,2,0,0,0,1,2020,3,18,2,0,1,0.0,,,1.0,0.0,2.3308621532784276e-07,0.0,0.0,0.0,0.0,,,1.4855088610603563e-05,0.0
2020-03-19,Barbados,5,0,3,0,1,2020,3,19,3,0,1,0.0,,,1.6666666666666667,0.0,9.323448613113711e-07,0.0,3.8832438029900976e-05,0.0,0.0,,,2.4758481017672605e-05,0.0
2020-03-20,Barbados,5,0,0,0,1,2020,3,20,4,0,1,0.0,,,1.25,0.0,9.323448613113711e-07,0.0,0.0,0.0,0.0,,,1.856886076325445e-05,0.0
2020-03-21,Barbados,6,0,1,0,1,2020,3,21,5,1,1,0.0,,,1.2,0.0,1.1654310766392138e-06,0.0,1.2944146009966992e-05,0.0,0.0,,,1.7826106332724274e-05,0.0
2020-03-22,Barbados,14,0,8,0,1,2020,3,22,6,1,1,0.0,,,2.3333333333333335,0.0,3.0301207992619557e-06,0.0,0.00010355316807973594,0.0,0.0,,,3.466187342474165e-05,0.0
2020-03-23,Barbados,17,0,3,0,1,2020,3,23,0,0,1,0.0,,,2.4285714285714284,0.0,3.7293794452454842e-06,0.0,3.8832438029900976e-05,0.0,0.0,,,3.607664376860865e-05,0.0
2020-03-24,Barbados,18,0,1,0,1,2020,3,24,1,0,1,0.0,8.0,,2.2857142857142856,0.0,3.962465660573327e-06,0.0,1.2944146009966992e-05,0.0,0.0,0.03947239177716972,,3.395448825280814e-05,0.0
2020-03-25,Barbados,18,0,0,0,1,2020,3,25,2,0,1,0.0,8.0,,2.2857142857142856,0.0,3.962465660573327e-06,0.0,0.0,0.0,0.0,0.03947239177716972,,3.395448825280814e-05,0.0
2020-03-26,Barbados,18,0,0,0,1,2020,3,26,3,0,1,0.0,2.6,,1.8571428571428572,0.0,3.962465660573327e-06,0.0,0.0,0.0,0.0,0.014694450291166773,,2.7588021705406618e-05,0.0
2020-03-27,Barbados,24,0,6,0,1,2020,3,27,4,0,1,0.0,3.8,,2.7142857142857144,0.0,5.360982952540383e-06,0.0,7.766487605980195e-05,0.0,0.0,0.02020065951027854,,4.0320954800209674e-05,0.0
2020-03-28,Barbados,26,0,2,0,1,2020,3,28,5,1,1,0.0,3.333333333333333,,2.857142857142857,0.0,5.827155383196069e-06,0.0,2.5888292019933984e-05,0.0,0.0,0.018059355925068406,,4.244311031601018e-05,0.0
2020-03-29,Barbados,33,0,7,0,1,2020,3,29,6,1,1,0.0,1.3571428571428572,,2.7142857142857144,0.0,7.4587588904909685e-06,0.0,9.060902206976894e-05,0.0,0.0,0.008991590742801014,,4.0320954800209674e-05,0.0
2020-03-30,Barbados,33,0,0,0,1,2020,3,30,0,0,1,0.0,0.9411764705882353,,2.2857142857142856,0.0,7.4587588904909685e-06,0.0,0.0,0.0,0.0,0.007082925782394625,,3.395448825280814e-05,0.0
2020-03-31,Barbados,34,0,1,0,1,2020,3,31,1,0,1,0.0,0.8888888888888888,,2.2857142857142856,0.0,7.691845105818811e-06,0.0,1.2944146009966992e-05,0.0,0.0,0.006843003812062957,,3.395448825280814e-05,0.0
2020-04-01,Barbados,34,0,0,0,1,2020,4,1,2,0,2,0.0,0.8888888888888888,,2.2857142857142856,0.0,7.691845105818811e-06,0.0,0.0,0.0,0.0,0.006843003812062957,,3.395448825280814e-05,0.0
2020-04-02,Barbados,46,0,12,0,1,2020,4,2,3,0,2,0.0,1.5555555555555554,,4.0,0.0,1.0488879689752923e-05,0.0,0.0001553297521196039,0.0,0.0,0.009902008933791716,,5.942035444241425e-05,0.0
2020-04-03,Barbados,51,0,5,0,1,2020,4,3,4,0,2,0.0,1.125,,3.857142857142857,0.0,1.1654310766392138e-05,0.0,6.472073004983496e-05,0.0,0.0,0.007926401459341894,,5.729819892661374e-05,0.0
2020-04-04,Barbados,52,0,1,0,1,2020,4,4,5,1,2,0.0,1.0,,3.7142857142857144,0.0,1.1887396981719981e-05,0.0,1.2944146009966992e-05,0.0,0.0,0.0073528379990177506,,5.5176043410813235e-05,0.0
2020-04-05,Barbados,56,1,4,1,1,2020,4,5,6,1,2,0.017857142857142856,0.696969696969697,inf,3.2857142857142856,0.14285714285714285,1.2819741843031351e-05,6.756254602698448e-06,5.177658403986797e-05,0.0002572678157962439,0.017857142857142856,0.005962381125504679,,4.88095768634117e-05,6.383657835939994e-05
2020-04-06,Barbados,60,2,4,1,1,2020,4,6,0,0,2,0.03333333333333333,0.8181818181818181,inf,3.857142857142857,0.2857142857142857,1.3752086704342722e-05,1.3512509205396897e-05,5.177658403986797e-05,0.0002572678157962439,0.03333333333333333,0.006518563874909907,,5.729819892661374e-05,0.00012767315671879988
2020-04-07,Barbados,63,3,3,1,1,2020,4,7,1,0,2,0.047619047619047616,0.8529411764705883,inf,4.142857142857143,0.42857142857142855,1.445134535032625e-05,2.0268763808095344e-05,3.8832438029900976e-05,0.0002572678157962439,0.047619047619047616,0.0066780574574599365,,6.154250995821476e-05,0.0001915097350781998
2020-04-08,Barbados,63,3,0,0,1,2020,4,8,2,0,2,0.047619047619047616,0.8529411764705883,inf,4.142857142857143,0.42857142857142855,1.445134535032625e-05,2.0268763808095344e-05,0.0,0.0,0.047619047619047616,0.0066780574574599365,,6.154250995821476e-05,0.0001915097350781998
2020-04-09,Barbados,66,3,3,0,1,2020,4,9,3,0,2,0.045454545454545456,0.4347826086956521,inf,2.857142857142857,0.42857142857142855,1.5150603996309779e-05,2.0268763808095344e-05,3.8832438029900976e-05,0.0,0.045454545454545456,0.0047593336566824984,,4.244311031601018e-05,0.0001915097350781998
2020-04-10,Barbados,67,4,1,1,1,2020,4,10,4,0,2,0.05970149253731343,0.3137254901960784,inf,2.2857142857142856,0.5714285714285714,1.5383690211637622e-05,2.7025018410793794e-05,1.2944146009966992e-05,0.0002572678157962439,0.05970149253731343,0.004203862138414617,,3.395448825280814e-05,0.00025534631343759976
2020-04-11,Barbados,68,4,1,0,1,2020,4,11,5,1,2,0.058823529411764705,0.3076923076923077,inf,2.2857142857142856,0.5714285714285714,1.5616776426965463e-05,2.7025018410793794e-05,1.2944146009966992e-05,0.0,0.058823529411764705,0.004176178834145578,,3.395448825280814e-05,0.00025534631343759976
2020-04-12,Barbados,71,4,3,0,1,2020,4,12,6,1,2,0.056338028169014086,0.2678571428571428,3.0,2.142857142857143,0.42857142857142855,1.631603507294899e-05,2.7025018410793794e-05,3.8832438029900976e-05,0.0,0.056338028169014086,0.00399339487426206,0.0,3.1832332737007634e-05,0.0001915097350781998
2020-04-13,Barbados,72,4,1,0,1,2020,4,13,0,0,2,0.05555555555555555,0.19999999999999996,1.0,1.7142857142857142,0.2857142857142857,1.6549121288276836e-05,2.7025018410793794e-05,1.2944146009966992e-05,0.0,0.05555555555555555,0.00368203185294324,0.0,2.5465866189606106e-05,0.00012767315671879988
