date_value,country,total_cases,total_deaths,new_cases,new_deaths,id_pandemic,year,month,day,day_of_week,is_weekend,quarter,mortality_rate,cases_growth_rate_7d,deaths_growth_rate_7d,new_cases_ma7,new_deaths_ma7,total_cases_normalized,total_deaths_normalized,new_cases_normalized,new_deaths_normalized,mortality_rate_normalized,cases_growth_rate_7d_normalized,deaths_growth_rate_7d_normalized,new_cases_ma7_normalized,new_deaths_ma7_normalized
2020-02-28,Belarus,1,0,1,0,1,2020,2,28,4,0,1,0.0,,,1.0,0.0,0.0,0.0,1.2944146009966992e-05,0.0,0.0,,,1.4855088610603563e-05,0.0
2020-02-29,Belarus,1,0,0,0,1,2020,2,29,5,1,1,0.0,,,0.5,0.0,0.0,0.0,0.0,0.0,0.0,,,7.4275443053017815e-06,0.0
2020-03-01,Belarus,1,0,0,0,1,2020,3,1,6,1,1,0.0,,,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,,,4.95169620353452e-06,0.0
2020-03-02,Belarus,1,0,0,0,1,2020,3,2,0,0,1,0.0,,,0.25,0.0,0.0,0.0,0.0,0.0,0.0,,,3.7137721526508907e-06,0.0
2020-03-03,Belarus,1,0,0,0,1,2020,3,3,1,0,1,0.0,,,0.2,0.0,0.0,0.0,0.0,0.0,0.0,,,2.9710177221207125e-06,0.0
2020-03-04,Belarus,6,0,5,0,1,2020,3,4,2,0,1,0.0,,,1.0,0.0,1.1654310766392138e-06,0.0,6.472073004983496e-05,0.0,0.0,,,1.4855088610603563e-05,0.0
2020-03-05,Belarus,6,0,0,0,1,2020,3,5,3,0,1,0.0,,,0.8571428571428571,0.0,1.1654310766392138e-06,0.0,0.0,0.0,0.0,,,1.2732933094803053e-05,0.0
2020-03-06,Belarus,6,0,0,0,1,2020,3,6,4,0,1,0.0,5.0,,0.7142857142857143,0.0,1.1654310766392138e-06,0.0,0.0,0.0,0.0,0.025706868729390302,,1.0610777579002545e-05,0.0
2020-03-07,Belarus,6,0,0,0,1,2020,3,7,5,1,1,0.0,5.0,,0.7142857142857143,0.0,1.1654310766392138e-06,0.0,0.0,0.0,0.0,0.025706868729390302,,1.0610777579002545e-05,0.0
2020-03-08,Belarus,6,0,0,0,1,2020,3,8,6,1,1,0.0,5.0,,0.7142857142857143,0.0,1.1654310766392138e-06,0.0,0.0,0.0,0.0,0.025706868729390302,,1.0610777579002545e-05,0.0
2020-03-09,Belarus,6,0,0,0,1,2020,3,9,0,0,1,0.0,5.0,,0.7142857142857143,0.0,1.1654310766392138e-06,0.0,0.0,0.0,0.0,0.025706868729390302,,1.0610777579002545e-05,0.0
2020-03-10,Belarus,9,0,3,0,1,2020,3,10,1,0,1,0.0,8.0,,1.1428571428571428,0.0,1.8646897226227421e-06,0.0,3.8832438029900976e-05,0.0,0.0,0.03947239177716972,,1.697724412640407e-05,0.0
2020-03-11,Belarus,9,0,0,0,1,2020,3,11,2,0,1,0.0,0.5,,0.42857142857142855,0.0,1.8646897226227421e-06,0.0,0.0,0.0,0.0,0.005058584157721181,,6.3664665474015265e-06,0.0
2020-03-12,Belarus,12,0,3,0,1,2020,3,12,3,0,1,0.0,1.0,,0.8571428571428571,0.0,2.5639483686062704e-06,0.0,3.8832438029900976e-05,0.0,0.0,0.0073528379990177506,,1.2732933094803053e-05,0.0
2020-03-13,Belarus,27,0,15,0,1,2020,3,13,4,0,1,0.0,3.5,,3.0,0.0,6.060241598523911e-06,0.0,0.0001941621901495049,0.0,0.0,0.018824107205500595,,4.4565265831810684e-05,0.0
2020-03-14,Belarus,27,0,0,0,1,2020,3,14,5,1,1,0.0,3.5,,3.0,0.0,6.060241598523911e-06,0.0,0.0,0.0,0.0,0.018824107205500595,,4.4565265831810684e-05,0.0
2020-03-15,Belarus,27,0,0,0,1,2020,3,15,6,1,1,0.0,3.5,,3.0,0.0,6.060241598523911e-06,0.0,0.0,0.0,0.0,0.018824107205500595,,4.4565265831810684e-05,0.0
2020-03-16,Belarus,36,0,9,0,1,2020,3,16,0,0,1,0.0,5.0,,4.285714285714286,0.0,8.158017536474496e-06,0.0,0.00011649731408970293,0.0,0.0,0.025706868729390302,,6.366466547401527e-05,0.0
2020-03-17,Belarus,36,0,0,0,1,2020,3,17,1,0,1,0.0,3.0,,3.857142857142857,0.0,8.158017536474496e-06,0.0,0.0,0.0,0.0,0.01652985336420403,,5.729819892661374e-05,0.0
2020-03-18,Belarus,51,0,15,0,1,2020,3,18,2,0,1,0.0,4.666666666666667,,6.0,0.0,1.1654310766392138e-05,0.0,0.0001941621901495049,0.0,0.0,0.024177366168525928,,8.913053166362137e-05,0.0
2020-03-19,Belarus,51,0,0,0,1,2020,3,19,3,0,1,0.0,3.25,,5.571428571428571,0.0,1.1654310766392138e-05,0.0,0.0,0.0,0.0,0.017676980284852314,,8.276406511621984e-05,0.0
2020-03-20,Belarus,69,0,18,0,1,2020,3,20,4,0,1,0.0,1.5555555555555554,,6.0,0.0,1.584986264229331e-05,0.0,0.00023299462817940586,0.0,0.0,0.009902008933791716,,8.913053166362137e-05,0.0
2020-03-21,Belarus,76,0,7,0,1,2020,3,21,5,1,1,0.0,1.8148148148148149,,7.0,0.0,1.7481466149588206e-05,0.0,9.060902206976894e-05,0.0,0.0,0.011091622036686235,,0.00010398562027422494,0.0
2020-03-22,Belarus,76,0,0,0,1,2020,3,22,6,1,1,0.0,1.8148148148148149,,7.0,0.0,1.7481466149588206e-05,0.0,0.0,0.0,0.0,0.011091622036686235,,0.00010398562027422494,0.0
2020-03-23,Belarus,81,0,5,0,1,2020,3,23,0,0,1,0.0,1.25,,6.428571428571429,0.0,1.864689722622742e-05,0.0,6.472073004983496e-05,0.0,0.0,0.008499964919666035,,9.549699821102291e-05,0.0
2020-03-24,Belarus,81,0,0,0,1,2020,3,24,1,0,1,0.0,1.25,,6.428571428571429,0.0,1.864689722622742e-05,0.0,0.0,0.0,0.0,0.008499964919666035,,9.549699821102291e-05,0.0
2020-03-25,Belarus,86,0,5,0,1,2020,3,25,2,0,1,0.0,0.6862745098039216,,5.0,0.0,1.9812328302866635e-05,0.0,6.472073004983496e-05,0.0,0.0,0.005913306177027747,,7.42754430530178e-05,0.0
2020-03-26,Belarus,86,0,0,0,1,2020,3,26,3,0,1,0.0,0.6862745098039216,,5.0,0.0,1.9812328302866635e-05,0.0,0.0,0.0,0.0,0.005913306177027747,,7.42754430530178e-05,0.0
