date_value,country,total_cases,total_deaths,new_cases,new_deaths,id_pandemic,year,month,day,day_of_week,is_weekend,quarter,mortality_rate,cases_growth_rate_7d,deaths_growth_rate_7d,new_cases_ma7,new_deaths_ma7,total_cases_normalized,total_deaths_normalized,new_cases_normalized,new_deaths_normalized,mortality_rate_normalized,cases_growth_rate_7d_normalized,deaths_growth_rate_7d_normalized,new_cases_ma7_normalized,new_deaths_ma7_normalized
2020-03-16,Benin,1,0,1,0,1,2020,3,16,0,0,1,0.0,,,1.0,0.0,0.0,0.0,1.2944146009966992e-05,0.0,0.0,,,1.4855088610603563e-05,0.0
2020-03-17,Benin,1,0,0,0,1,2020,3,17,1,0,1,0.0,,,0.5,0.0,0.0,0.0,0.0,0.0,0.0,,,7.4275443053017815e-06,0.0
2020-03-18,Benin,2,0,1,0,1,2020,3,18,2,0,1,0.0,,,0.6666666666666666,0.0,2.3308621532784276e-07,0.0,1.2944146009966992e-05,0.0,0.0,,,9.90339240706904e-06,0.0
2020-03-19,Benin,2,0,0,0,1,2020,3,19,3,0,1,0.0,,,0.5,0.0,2.3308621532784276e-07,0.0,0.0,0.0,0.0,,,7.4275443053017815e-06,0.0
2020-03-20,Benin,2,0,0,0,1,2020,3,20,4,0,1,0.0,,,0.4,0.0,2.3308621532784276e-07,0.0,0.0,0.0,0.0,,,5.942035444241425e-06,0.0
2020-03-21,Benin,2,0,0,0,1,2020,3,21,5,1,1,0.0,,,0.3333333333333333,0.0,2.3308621532784276e-07,0.0,0.0,0.0,0.0,,,4.95169620353452e-06,0.0
2020-03-22,Benin,2,0,0,0,1,2020,3,22,6,1,1,0.0,,,0.2857142857142857,0.0,2.3308621532784276e-07,0.0,0.0,0.0,0.0,,,4.244311031601017e-06,0.0
2020-03-23,Benin,5,0,3,0,1,2020,3,23,0,0,1,0.0,4.0,,0.5714285714285714,0.0,9.323448613113711e-07,0.0,3.8832438029900976e-05,0.0,0.0,0.021118361046797166,,8.488622063202035e-06,0.0
2020-03-24,Benin,6,0,1,0,1,2020,3,24,1,0,1,0.0,5.0,,0.7142857142857143,0.0,1.1654310766392138e-06,0.0,1.2944146009966992e-05,0.0,0.0,0.025706868729390302,,1.0610777579002545e-05,0.0
2020-03-25,Benin,6,0,0,0,1,2020,3,25,2,0,1,0.0,2.0,,0.5714285714285714,0.0,1.1654310766392138e-06,0.0,0.0,0.0,0.0,0.01194134568161089,,8.488622063202035e-06,0.0
2020-03-26,Benin,6,0,0,0,1,2020,3,26,3,0,1,0.0,2.0,,0.5714285714285714,0.0,1.1654310766392138e-06,0.0,0.0,0.0,0.0,0.01194134568161089,,8.488622063202035e-06,0.0
2020-03-27,Benin,6,0,0,0,1,2020,3,27,4,0,1,0.0,2.0,,0.5714285714285714,0.0,1.1654310766392138e-06,0.0,0.0,0.0,0.0,0.01194134568161089,,8.488622063202035e-06,0.0
2020-03-28,Benin,6,0,0,0,1,2020,3,28,5,1,1,0.0,2.0,,0.5714285714285714,0.0,1.1654310766392138e-06,0.0,0.0,0.0,0.0,0.01194134568161089,,8.488622063202035e-06,0.0
2020-03-29,Benin,6,0,0,0,1,2020,3,29,6,1,1,0.0,2.0,,0.5714285714285714,0.0,1.1654310766392138e-06,0.0,0.0,0.0,0.0,0.01194134568161089,,8.488622063202035e-06,0.0
2020-03-30,Benin,6,0,0,0,1,2020,3,30,0,0,1,0.0,0.19999999999999996,,0.14285714285714285,0.0,1.1654310766392138e-06,0.0,0.0,0.0,0.0,0.00368203185294324,,2.1221555158005087e-06,0.0
2020-03-31,Benin,9,0,3,0,1,2020,3,31,1,0,1,0.0,0.5,,0.42857142857142855,0.0,1.8646897226227421e-06,0.0,3.8832438029900976e-05,0.0,0.0,0.005058584157721181,,6.3664665474015265e-06,0.0
2020-04-01,Benin,13,0,4,0,1,2020,4,1,2,0,2,0.0,1.1666666666666665,,1.0,0.0,2.797034583934113e-06,0.0,5.177658403986797e-05,0.0,0.0,0.00811758927944994,,1.4855088610603563e-05,0.0
2020-04-02,Benin,13,0,0,0,1,2020,4,2,3,0,2,0.0,1.1666666666666665,,1.0,0.0,2.797034583934113e-06,0.0,0.0,0.0,0.0,0.00811758927944994,,1.4855088610603563e-05,0.0
2020-04-03,Benin,16,0,3,0,1,2020,4,3,4,0,2,0.0,1.6666666666666665,,1.4285714285714286,0.0,3.4962932299176414e-06,0.0,3.8832438029900976e-05,0.0,0.0,0.010411843120746509,,2.122155515800509e-05,0.0
2020-04-04,Benin,16,0,0,0,1,2020,4,4,5,1,2,0.0,1.6666666666666665,,1.4285714285714286,0.0,3.4962932299176414e-06,0.0,0.0,0.0,0.0,0.010411843120746509,,2.122155515800509e-05,0.0
2020-04-05,Benin,22,0,6,0,1,2020,4,5,6,1,2,0.0,2.6666666666666665,,2.2857142857142856,0.0,4.894810521884698e-06,0.0,7.766487605980195e-05,0.0,0.0,0.015000350803339647,,3.395448825280814e-05,0.0
2020-04-06,Benin,26,1,4,1,1,2020,4,6,0,0,2,0.038461538461538464,3.333333333333333,inf,2.857142857142857,0.14285714285714285,5.827155383196069e-06,6.756254602698448e-06,5.177658403986797e-05,0.0002572678157962439,0.038461538461538464,0.018059355925068406,,4.244311031601018e-05,6.383657835939994e-05
2020-04-07,Benin,26,1,0,0,1,2020,4,7,1,0,2,0.038461538461538464,1.8888888888888888,inf,2.4285714285714284,0.14285714285714285,5.827155383196069e-06,6.756254602698448e-06,0.0,0.0,0.038461538461538464,0.011431511494656096,,3.607664376860865e-05,6.383657835939994e-05
2020-04-08,Benin,26,1,0,0,1,2020,4,8,2,0,2,0.038461538461538464,1.0,inf,1.8571428571428572,0.14285714285714285,5.827155383196069e-06,6.756254602698448e-06,0.0,0.0,0.038461538461538464,0.0073528379990177506,,2.7588021705406618e-05,6.383657835939994e-05
2020-04-09,Benin,26,1,0,0,1,2020,4,9,3,0,2,0.038461538461538464,1.0,inf,1.8571428571428572,0.14285714285714285,5.827155383196069e-06,6.756254602698448e-06,0.0,0.0,0.038461538461538464,0.0073528379990177506,,2.7588021705406618e-05,6.383657835939994e-05
2020-04-10,Benin,35,1,9,0,1,2020,4,10,4,0,2,0.02857142857142857,1.1875,inf,2.7142857142857144,0.14285714285714285,7.924931321146654e-06,6.756254602698448e-06,0.00011649731408970293,0.0,0.02857142857142857,0.008213183189503964,,4.0320954800209674e-05,6.383657835939994e-05
2020-04-11,Benin,35,1,0,0,1,2020,4,11,5,1,2,0.02857142857142857,1.1875,inf,2.7142857142857144,0.14285714285714285,7.924931321146654e-06,6.756254602698448e-06,0.0,0.0,0.02857142857142857,0.008213183189503964,,4.0320954800209674e-05,6.383657835939994e-05
2020-04-12,Benin,35,1,0,0,1,2020,4,12,6,1,2,0.02857142857142857,0.5909090909090908,inf,1.8571428571428572,0.14285714285714285,7.924931321146654e-06,6.756254602698448e-06,0.0,0.0,0.02857142857142857,0.005475721219775103,,2.7588021705406618e-05,6.383657835939994e-05
2020-04-13,Benin,35,1,0,0,1,2020,4,13,0,0,2,0.02857142857142857,0.34615384615384626,0.0,1.2857142857142858,0.0,7.924931321146654e-06,6.756254602698448e-06,0.0,0.0,0.02857142857142857,0.0043526598988606995,0.0,1.909939964220458e-05,0.0
2020-04-14,Benin,35,1,0,0,1,2020,4,14,1,0,2,0.02857142857142857,0.34615384615384626,0.0,1.2857142857142858,0.0,7.924931321146654e-06,6.756254602698448e-06,0.0,0.0,0.02857142857142857,0.0043526598988606995,0.0,1.909939964220458e-05,0.0
2020-04-15,Benin,35,1,0,0,1,2020,4,15,2,0,2,0.02857142857142857,0.34615384615384626,0.0,1.2857142857142858,0.0,7.924931321146654e-06,6.756254602698448e-06,0.0,0.0,0.02857142857142857,0.0043526598988606995,0.0,1.909939964220458e-05,0.0
2020-04-16,Benin,35,1,0,0,1,2020,4,16,3,0,2,0.02857142857142857,0.34615384615384626,0.0,1.2857142857142858,0.0,7.924931321146654e-06,6.756254602698448e-06,0.0,0.0,0.02857142857142857,0.0043526598988606995,0.0,1.909939964220458e-05,0.0
2020-04-17,Benin,35,1,0,0,1,2020,4,17,4,0,2,0.02857142857142857,0.0,0.0,0.0,0.0,7.924931321146654e-06,6.756254602698448e-06,0.0,0.0,0.02857142857142857,0.0027643303164246124,0.0,0.0,0.0
2020-04-18,Benin,35,1,0,0,1,2020,4,18,5,1,2,0.02857142857142857,0.0,0.0,0.0,0.0,7.924931321146654e-06,6.756254602698448e-06,0.0,0.0,0.02857142857142857,0.0027643303164246124,0.0,0.0,0.0
2020-04-19,Benin,35,1,0,0,1,2020,4,19,6,1,2,0.02857142857142857,0.0,0.0,0.0,0.0,7.924931321146654e-06,6.756254602698448e-06,0.0,0.0,0.02857142857142857,0.0027643303164246124,0.0,0.0,0.0
2020-04-20,Benin,54,1,19,0,1,2020,4,20,0,0,2,0.018518518518518517,0.5428571428571429,0.0,2.7142857142857144,0.0,1.2353569412375666e-05,6.756254602698448e-06,0.00024593877418937284,0.0,0.018518518518518517,0.005255234486975174,0.0,4.0320954800209674e-05,0.0
2020-04-21,Benin,54,1,0,0,1,2020,4,21,1,0,2,0.018518518518518517,0.5428571428571429,0.0,2.7142857142857144,0.0,1.2353569412375666e-05,6.756254602698448e-06,0.0,0.0,0.018518518518518517,0.005255234486975174,0.0,4.0320954800209674e-05,0.0
2020-04-22,Benin,54,1,0,0,1,2020,4,22,2,0,2,0.018518518518518517,0.5428571428571429,0.0,2.7142857142857144,0.0,1.2353569412375666e-05,6.756254602698448e-06,0.0,0.0,0.018518518518518517,0.005255234486975174,0.0,4.0320954800209674e-05,0.0
2020-04-23,Benin,54,1,0,0,1,2020,4,23,3,0,2,0.018518518518518517,0.5428571428571429,0.0,2.7142857142857144,0.0,1.2353569412375666e-05,6.756254602698448e-06,0.0,0.0,0.018518518518518517,0.005255234486975174,0.0,4.0320954800209674e-05,0.0
2020-04-24,Benin,54,1,0,0,1,2020,4,24,4,0,2,0.018518518518518517,0.5428571428571429,0.0,2.7142857142857144,0.0,1.2353569412375666e-05,6.756254602698448e-06,0.0,0.0,0.018518518518518517,0.005255234486975174,0.0,4.0320954800209674e-05,0.0
2020-04-25,Benin,54,1,0,0,1,2020,4,25,5,1,2,0.018518518518518517,0.5428571428571429,0.0,2.7142857142857144,0.0,1.2353569412375666e-05,6.756254602698448e-06,0.0,0.0,0.018518518518518517,0.005255234486975174,0.0,4.0320954800209674e-05,0.0
2020-04-26,Benin,64,1,10,0,1,2020,4,26,6,1,2,0.015625,0.8285714285714285,0.0,4.142857142857143,0.0,1.4684431565654094e-05,6.756254602698448e-06,0.00012944146009966992,0.0,0.015625,0.006566236682001784,0.0,6.154250995821476e-05,0.0
2020-04-27,Benin,64,1,0,0,1,2020,4,27,0,0,2,0.015625,0.18518518518518512,0.0,1.4285714285714286,0.0,1.4684431565654094e-05,6.756254602698448e-06,0.0,0.0,0.015625,0.0036140539613492674,0.0,2.122155515800509e-05,0.0
2020-04-28,Benin,64,1,0,0,1,2020,4,28,1,0,2,0.015625,0.18518518518518512,0.0,1.4285714285714286,0.0,1.4684431565654094e-05,6.756254602698448e-06,0.0,0.0,0.015625,0.0036140539613492674,0.0,2.122155515800509e-05,0.0
2020-04-29,Benin,64,1,0,0,1,2020,4,29,2,0,2,0.015625,0.18518518518518512,0.0,1.4285714285714286,0.0,1.4684431565654094e-05,6.756254602698448e-06,0.0,0.0,0.015625,0.0036140539613492674,0.0,2.122155515800509e-05,0.0
2020-04-30,Benin,64,1,0,0,1,2020,4,30,3,0,2,0.015625,0.18518518518518512,0.0,1.4285714285714286,0.0,1.4684431565654094e-05,6.756254602698448e-06,0.0,0.0,0.015625,0.0036140539613492674,0.0,2.122155515800509e-05,0.0
2020-05-01,Benin,90,2,26,1,1,2020,5,1,4,0,2,0.022222222222222223,0.6666666666666667,1.0,5.142857142857143,0.14285714285714285,2.0744673164178005e-05,1.3512509205396897e-05,0.0003365477962591418,0.0002572678157962439,0.022222222222222223,0.005823335438153372,0.0,7.639759856881832e-05,6.383657835939994e-05
2020-05-02,Benin,90,2,0,0,1,2020,5,2,5,1,2,0.022222222222222223,0.6666666666666667,1.0,5.142857142857143,0.14285714285714285,2.0744673164178005e-05,1.3512509205396897e-05,0.0,0.0,0.022222222222222223,0.005823335438153372,0.0,7.639759856881832e-05,6.383657835939994e-05
