date_value,country,total_cases,total_deaths,new_cases,new_deaths,id_pandemic,year,month,day,day_of_week,is_weekend,quarter,mortality_rate,cases_growth_rate_7d,deaths_growth_rate_7d,new_cases_ma7,new_deaths_ma7,total_cases_normalized,total_deaths_normalized,new_cases_normalized,new_deaths_normalized,mortality_rate_normalized,cases_growth_rate_7d_normalized,deaths_growth_rate_7d_normalized,new_cases_ma7_normalized,new_deaths_ma7_normalized
2020-03-11,Bolivia,2,0,2,0,1,2020,3,11,2,0,1,0.0,,,2.0,0.0,2.3308621532784276e-07,0.0,2.5888292019933984e-05,0.0,0.0,,,2.9710177221207126e-05,0.0
2020-03-12,Bolivia,2,0,0,0,1,2020,3,12,3,0,1,0.0,,,1.0,0.0,2.3308621532784276e-07,0.0,0.0,0.0,0.0,,,1.4855088610603563e-05,0.0
2020-03-13,Bolivia,3,0,1,0,1,2020,3,13,4,0,1,0.0,,,1.0,0.0,4.6617243065568553e-07,0.0,1.2944146009966992e-05,0.0,0.0,,,1.4855088610603563e-05,0.0
2020-03-14,Bolivia,10,0,7,0,1,2020,3,14,5,1,1,0.0,,,2.5,0.0,2.0977759379505848e-06,0.0,9.060902206976894e-05,0.0,0.0,,,3.71377215265089e-05,0.0
2020-03-15,Bolivia,10,0,0,0,1,2020,3,15,6,1,1,0.0,,,2.0,0.0,2.0977759379505848e-06,0.0,0.0,0.0,0.0,,,2.9710177221207126e-05,0.0
2020-03-16,Bolivia,11,0,1,0,1,2020,3,16,0,0,1,0.0,,,1.8333333333333333,0.0,2.3308621532784276e-06,0.0,1.2944146009966992e-05,0.0,0.0,,,2.7234329119439862e-05,0.0
2020-03-17,Bolivia,11,0,0,0,1,2020,3,17,1,0,1,0.0,,,1.5714285714285714,0.0,2.3308621532784276e-06,0.0,0.0,0.0,0.0,,,2.3343710673805598e-05,0.0
2020-03-18,Bolivia,12,0,1,0,1,2020,3,18,2,0,1,0.0,5.0,,1.4285714285714286,0.0,2.5639483686062704e-06,0.0,1.2944146009966992e-05,0.0,0.0,0.025706868729390302,,2.122155515800509e-05,0.0
2020-03-19,Bolivia,12,0,0,0,1,2020,3,19,3,0,1,0.0,5.0,,1.4285714285714286,0.0,2.5639483686062704e-06,0.0,0.0,0.0,0.0,0.025706868729390302,,2.122155515800509e-05,0.0
2020-03-20,Bolivia,15,0,3,0,1,2020,3,20,4,0,1,0.0,4.0,,1.7142857142857142,0.0,3.2632070145897985e-06,0.0,3.8832438029900976e-05,0.0,0.0,0.021118361046797166,,2.5465866189606106e-05,0.0
