date_value,country,total_cases,total_deaths,new_cases,new_deaths,id_pandemic,year,month,day,day_of_week,is_weekend,quarter,mortality_rate,cases_growth_rate_7d,deaths_growth_rate_7d,new_cases_ma7,new_deaths_ma7,total_cases_normalized,total_deaths_normalized,new_cases_normalized,new_deaths_normalized,mortality_rate_normalized,cases_growth_rate_7d_normalized,deaths_growth_rate_7d_normalized,new_cases_ma7_normalized,new_deaths_ma7_normalized
2020-03-05,Bosnia and Herzegovina,2,0,2,0,1,2020,3,5,3,0,1,0.0,,,2.0,0.0,2.3308621532784276e-07,0.0,2.5888292019933984e-05,0.0,0.0,,,2.9710177221207126e-05,0.0
2020-03-06,Bosnia and Herzegovina,2,0,0,0,1,2020,3,6,4,0,1,0.0,,,1.0,0.0,2.3308621532784276e-07,0.0,0.0,0.0,0.0,,,1.4855088610603563e-05,0.0
2020-03-07,Bosnia and Herzegovina,3,0,1,0,1,2020,3,7,5,1,1,0.0,,,1.0,0.0,4.6617243065568553e-07,0.0,1.2944146009966992e-05,0.0,0.0,,,1.4855088610603563e-05,0.0
2020-03-08,Bosnia and Herzegovina,3,0,0,0,1,2020,3,8,6,1,1,0.0,,,0.75,0.0,4.6617243065568553e-07,0.0,0.0,0.0,0.0,,,1.1141316457952671e-05,0.0
2020-03-09,Bosnia and Herzegovina,3,0,0,0,1,2020,3,9,0,0,1,0.0,,,0.6,0.0,4.6617243065568553e-07,0.0,0.0,0.0,0.0,,,8.913053166362137e-06,0.0
2020-03-10,Bosnia and Herzegovina,5,0,2,0,1,2020,3,10,1,0,1,0.0,,,0.8333333333333334,0.0,9.323448613113711e-07,0.0,2.5888292019933984e-05,0.0,0.0,,,1.2379240508836303e-05,0.0
2020-03-11,Bosnia and Herzegovina,7,0,2,0,1,2020,3,11,2,0,1,0.0,,,1.0,0.0,1.3985172919670564e-06,0.0,2.5888292019933984e-05,0.0,0.0,,,1.4855088610603563e-05,0.0
2020-03-12,Bosnia and Herzegovina,11,0,4,0,1,2020,3,12,3,0,1,0.0,4.5,,1.2857142857142858,0.0,2.3308621532784276e-06,0.0,5.177658403986797e-05,0.0,0.0,0.023412614888093732,,1.909939964220458e-05,0.0
2020-03-13,Bosnia and Herzegovina,13,0,2,0,1,2020,3,13,4,0,1,0.0,5.5,,1.5714285714285714,0.0,2.797034583934113e-06,0.0,2.5888292019933984e-05,0.0,0.0,0.028001122570686873,,2.3343710673805598e-05,0.0
2020-03-14,Bosnia and Herzegovina,18,0,5,0,1,2020,3,14,5,1,1,0.0,5.0,,2.142857142857143,0.0,3.962465660573327e-06,0.0,6.472073004983496e-05,0.0,0.0,0.025706868729390302,,3.1832332737007634e-05,0.0
2020-03-15,Bosnia and Herzegovina,24,0,6,0,1,2020,3,15,6,1,1,0.0,7.0,,3.0,0.0,5.360982952540383e-06,0.0,7.766487605980195e-05,0.0,0.0,0.03488388409457658,,4.4565265831810684e-05,0.0
