date_value,country,total_cases,total_deaths,new_cases,new_deaths,id_pandemic,year,month,day,day_of_week,is_weekend,quarter,mortality_rate,cases_growth_rate_7d,deaths_growth_rate_7d,new_cases_ma7,new_deaths_ma7,total_cases_normalized,total_deaths_normalized,new_cases_normalized,new_deaths_normalized,mortality_rate_normalized,cases_growth_rate_7d_normalized,deaths_growth_rate_7d_normalized,new_cases_ma7_normalized,new_deaths_ma7_normalized
2020-03-30,Botswana,3,0,3,0,1,2020,3,30,0,0,1,0.0,,,3.0,0.0,4.6617243065568553e-07,0.0,3.8832438029900976e-05,0.0,0.0,,,4.4565265831810684e-05,0.0
2020-03-31,Botswana,4,1,1,1,1,2020,3,31,1,0,1,0.25,,,2.0,0.5,6.992586459835282e-07,6.756254602698448e-06,1.2944146009966992e-05,0.0002572678157962439,0.25,,,2.9710177221207126e-05,0.0002234280242578998
2020-04-01,Botswana,4,1,0,0,1,2020,4,1,2,0,2,0.25,,,1.3333333333333333,0.3333333333333333,6.992586459835282e-07,6.756254602698448e-06,0.0,0.0,0.25,,,1.980678481413808e-05,0.0001489520161719332
2020-04-02,Botswana,4,1,0,0,1,2020,4,2,3,0,2,0.25,,,1.0,0.25,6.992586459835282e-07,6.756254602698448e-06,0.0,0.0,0.25,,,1.4855088610603563e-05,0.0001117140121289499
2020-04-03,Botswana,4,1,0,0,1,2020,4,3,4,0,2,0.25,,,0.8,0.2,6.992586459835282e-07,6.756254602698448e-06,0.0,0.0,0.25,,,1.188407088848285e-05,8.937120970315993e-05
2020-04-04,Botswana,4,1,0,0,1,2020,4,4,5,1,2,0.25,,,0.6666666666666666,0.16666666666666666,6.992586459835282e-07,6.756254602698448e-06,0.0,0.0,0.25,,,9.90339240706904e-06,7.44760080859666e-05
2020-04-05,Botswana,6,1,2,0,1,2020,4,5,6,1,2,0.16666666666666666,,,0.8571428571428571,0.14285714285714285,1.1654310766392138e-06,6.756254602698448e-06,2.5888292019933984e-05,0.0,0.16666666666666666,,,1.2732933094803053e-05,6.383657835939994e-05
2020-04-06,Botswana,6,1,0,0,1,2020,4,6,0,0,2,0.16666666666666666,1.0,inf,0.42857142857142855,0.14285714285714285,1.1654310766392138e-06,6.756254602698448e-06,0.0,0.0,0.16666666666666666,0.0073528379990177506,,6.3664665474015265e-06,6.383657835939994e-05
2020-04-07,Botswana,6,1,0,0,1,2020,4,7,1,0,2,0.16666666666666666,0.5,0.0,0.2857142857142857,0.0,1.1654310766392138e-06,6.756254602698448e-06,0.0,0.0,0.16666666666666666,0.005058584157721181,0.0,4.244311031601017e-06,0.0
2020-04-08,Botswana,6,1,0,0,1,2020,4,8,2,0,2,0.16666666666666666,0.5,0.0,0.2857142857142857,0.0,1.1654310766392138e-06,6.756254602698448e-06,0.0,0.0,0.16666666666666666,0.005058584157721181,0.0,4.244311031601017e-06,0.0
2020-04-09,Botswana,13,1,7,0,1,2020,4,9,3,0,2,0.07692307692307693,2.25,0.0,1.2857142857142858,0.0,2.797034583934113e-06,6.756254602698448e-06,9.060902206976894e-05,0.0,0.07692307692307693,0.013088472602259173,0.0,1.909939964220458e-05,0.0
2020-04-10,Botswana,13,1,0,0,1,2020,4,10,4,0,2,0.07692307692307693,2.25,0.0,1.2857142857142858,0.0,2.797034583934113e-06,6.756254602698448e-06,0.0,0.0,0.07692307692307693,0.013088472602259173,0.0,1.909939964220458e-05,0.0
2020-04-11,Botswana,13,1,0,0,1,2020,4,11,5,1,2,0.07692307692307693,2.25,0.0,1.2857142857142858,0.0,2.797034583934113e-06,6.756254602698448e-06,0.0,0.0,0.07692307692307693,0.013088472602259173,0.0,1.909939964220458e-05,0.0
2020-04-12,Botswana,13,1,0,0,1,2020,4,12,6,1,2,0.07692307692307693,1.1666666666666665,0.0,1.0,0.0,2.797034583934113e-06,6.756254602698448e-06,0.0,0.0,0.07692307692307693,0.00811758927944994,0.0,1.4855088610603563e-05,0.0
2020-04-13,Botswana,13,1,0,0,1,2020,4,13,0,0,2,0.07692307692307693,1.1666666666666665,0.0,1.0,0.0,2.797034583934113e-06,6.756254602698448e-06,0.0,0.0,0.07692307692307693,0.00811758927944994,0.0,1.4855088610603563e-05,0.0
2020-04-14,Botswana,13,1,0,0,1,2020,4,14,1,0,2,0.07692307692307693,1.1666666666666665,0.0,1.0,0.0,2.797034583934113e-06,6.756254602698448e-06,0.0,0.0,0.07692307692307693,0.00811758927944994,0.0,1.4855088610603563e-05,0.0
2020-04-15,Botswana,13,1,0,0,1,2020,4,15,2,0,2,0.07692307692307693,1.1666666666666665,0.0,1.0,0.0,2.797034583934113e-06,6.756254602698448e-06,0.0,0.0,0.07692307692307693,0.00811758927944994,0.0,1.4855088610603563e-05,0.0
2020-04-16,Botswana,15,1,2,0,1,2020,4,16,3,0,2,0.06666666666666667,0.15384615384615374,0.0,0.2857142857142857,0.0,3.2632070145897985e-06,6.756254602698448e-06,2.5888292019933984e-05,0.0,0.06666666666666667,0.003470254575285095,0.0,4.244311031601017e-06,0.0
2020-04-17,Botswana,15,1,0,0,1,2020,4,17,4,0,2,0.06666666666666667,0.15384615384615374,0.0,0.2857142857142857,0.0,3.2632070145897985e-06,6.756254602698448e-06,0.0,0.0,0.06666666666666667,0.003470254575285095,0.0,4.244311031601017e-06,0.0
2020-04-18,Botswana,15,1,0,0,1,2020,4,18,5,1,2,0.06666666666666667,0.15384615384615374,0.0,0.2857142857142857,0.0,3.2632070145897985e-06,6.756254602698448e-06,0.0,0.0,0.06666666666666667,0.003470254575285095,0.0,4.244311031601017e-06,0.0
2020-04-19,Botswana,20,1,5,0,1,2020,4,19,6,1,2,0.05,0.5384615384615385,0.0,1.0,0.0,4.428638091229012e-06,6.756254602698448e-06,6.472073004983496e-05,0.0,0.05,0.005235065222436303,0.0,1.4855088610603563e-05,0.0
2020-04-20,Botswana,20,1,0,0,1,2020,4,20,0,0,2,0.05,0.5384615384615385,0.0,1.0,0.0,4.428638091229012e-06,6.756254602698448e-06,0.0,0.0,0.05,0.005235065222436303,0.0,1.4855088610603563e-05,0.0
2020-04-21,Botswana,20,1,0,0,1,2020,4,21,1,0,2,0.05,0.5384615384615385,0.0,1.0,0.0,4.428638091229012e-06,6.756254602698448e-06,0.0,0.0,0.05,0.005235065222436303,0.0,1.4855088610603563e-05,0.0
2020-04-22,Botswana,22,1,2,0,1,2020,4,22,2,0,2,0.045454545454545456,0.6923076923076923,0.0,1.2857142857142858,0.0,4.894810521884698e-06,6.756254602698448e-06,2.5888292019933984e-05,0.0,0.045454545454545456,0.005940989481296785,0.0,1.909939964220458e-05,0.0
2020-04-23,Botswana,22,1,0,0,1,2020,4,23,3,0,2,0.045454545454545456,0.46666666666666656,0.0,1.0,0.0,4.894810521884698e-06,6.756254602698448e-06,0.0,0.0,0.045454545454545456,0.004905633901634743,0.0,1.4855088610603563e-05,0.0
2020-04-24,Botswana,22,1,0,0,1,2020,4,24,4,0,2,0.045454545454545456,0.46666666666666656,0.0,1.0,0.0,4.894810521884698e-06,6.756254602698448e-06,0.0,0.0,0.045454545454545456,0.004905633901634743,0.0,1.4855088610603563e-05,0.0
2020-04-25,Botswana,22,1,0,0,1,2020,4,25,5,1,2,0.045454545454545456,0.46666666666666656,0.0,1.0,0.0,4.894810521884698e-06,6.756254602698448e-06,0.0,0.0,0.045454545454545456,0.004905633901634743,0.0,1.4855088610603563e-05,0.0
2020-04-26,Botswana,22,1,0,0,1,2020,4,26,6,1,2,0.045454545454545456,0.10000000000000009,0.0,0.2857142857142857,0.0,4.894810521884698e-06,6.756254602698448e-06,0.0,0.0,0.045454545454545456,0.003223181084683927,0.0,4.244311031601017e-06,0.0
2020-04-27,Botswana,22,1,0,0,1,2020,4,27,0,0,2,0.045454545454545456,0.10000000000000009,0.0,0.2857142857142857,0.0,4.894810521884698e-06,6.756254602698448e-06,0.0,0.0,0.045454545454545456,0.003223181084683927,0.0,4.244311031601017e-06,0.0
