date_value,country,total_cases,total_deaths,new_cases,new_deaths,id_pandemic,year,month,day,day_of_week,is_weekend,quarter,mortality_rate,cases_growth_rate_7d,deaths_growth_rate_7d,new_cases_ma7,new_deaths_ma7,total_cases_normalized,total_deaths_normalized,new_cases_normalized,new_deaths_normalized,mortality_rate_normalized,cases_growth_rate_7d_normalized,deaths_growth_rate_7d_normalized,new_cases_ma7_normalized,new_deaths_ma7_normalized
2020-02-26,Brazil,1,0,1,0,1,2020,2,26,2,0,1,0.0,,,1.0,0.0,0.0,0.0,1.2944146009966992e-05,0.0,0.0,,,1.4855088610603563e-05,0.0
2020-02-27,Brazil,1,0,0,0,1,2020,2,27,3,0,1,0.0,,,0.5,0.0,0.0,0.0,0.0,0.0,0.0,,,7.4275443053017815e-06,0.0
2020-02-28,Brazil,1,0,0,0,1,2020,2,28,4,0,1,0.0,,,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,,,4.95169620353452e-06,0.0
2020-02-29,Brazil,2,0,1,0,1,2020,2,29,5,1,1,0.0,,,0.5,0.0,2.3308621532784276e-07,0.0,1.2944146009966992e-05,0.0,0.0,,,7.4275443053017815e-06,0.0
2020-03-01,Brazil,2,0,0,0,1,2020,3,1,6,1,1,0.0,,,0.4,0.0,2.3308621532784276e-07,0.0,0.0,0.0,0.0,,,5.942035444241425e-06,0.0
2020-03-02,Brazil,2,0,0,0,1,2020,3,2,0,0,1,0.0,,,0.3333333333333333,0.0,2.3308621532784276e-07,0.0,0.0,0.0,0.0,,,4.95169620353452e-06,0.0
2020-03-03,Brazil,2,0,0,0,1,2020,3,3,1,0,1,0.0,,,0.2857142857142857,0.0,2.3308621532784276e-07,0.0,0.0,0.0,0.0,,,4.244311031601017e-06,0.0
2020-03-04,Brazil,4,0,2,0,1,2020,3,4,2,0,1,0.0,3.0,,0.42857142857142855,0.0,6.992586459835282e-07,0.0,2.5888292019933984e-05,0.0,0.0,0.01652985336420403,,6.3664665474015265e-06,0.0
2020-03-05,Brazil,4,0,0,0,1,2020,3,5,3,0,1,0.0,3.0,,0.42857142857142855,0.0,6.992586459835282e-07,0.0,0.0,0.0,0.0,0.01652985336420403,,6.3664665474015265e-06,0.0
2020-03-06,Brazil,13,0,9,0,1,2020,3,6,4,0,1,0.0,12.0,,1.7142857142857142,0.0,2.797034583934113e-06,0.0,0.00011649731408970293,0.0,0.0,0.05782642250754227,,2.5465866189606106e-05,0.0
2020-03-07,Brazil,13,0,0,0,1,2020,3,7,5,1,1,0.0,5.5,,1.5714285714285714,0.0,2.797034583934113e-06,0.0,0.0,0.0,0.0,0.028001122570686873,,2.3343710673805598e-05,0.0
2020-03-08,Brazil,20,0,7,0,1,2020,3,8,6,1,1,0.0,9.0,,2.5714285714285716,0.0,4.428638091229012e-06,0.0,9.060902206976894e-05,0.0,0.0,0.04406089945976285,,3.819879928440916e-05,0.0
2020-03-09,Brazil,25,0,5,0,1,2020,3,9,0,0,1,0.0,11.5,,3.2857142857142856,0.0,5.594069167868226e-06,0.0,6.472073004983496e-05,0.0,0.0,0.055532168666245704,,4.88095768634117e-05,0.0
2020-03-10,Brazil,31,0,6,0,1,2020,3,10,1,0,1,0.0,14.5,,4.142857142857143,0.0,6.992586459835283e-06,0.0,7.766487605980195e-05,0.0,0.0,0.06929769171402511,,6.154250995821476e-05,0.0
2020-03-11,Brazil,38,0,7,0,1,2020,3,11,2,0,1,0.0,8.5,,4.857142857142857,0.0,8.624189967130182e-06,0.0,9.060902206976894e-05,0.0,0.0,0.04176664561846628,,7.21532875372173e-05,0.0
