date_value,country,total_cases,total_deaths,new_cases,new_deaths,id_pandemic,year,month,day,day_of_week,is_weekend,quarter,mortality_rate,cases_growth_rate_7d,deaths_growth_rate_7d,new_cases_ma7,new_deaths_ma7,total_cases_normalized,total_deaths_normalized,new_cases_normalized,new_deaths_normalized,mortality_rate_normalized,cases_growth_rate_7d_normalized,deaths_growth_rate_7d_normalized,new_cases_ma7_normalized,new_deaths_ma7_normalized
2020-03-09,Brunei,1,0,1,0,1,2020,3,9,0,0,1,0.0,,,1.0,0.0,0.0,0.0,1.2944146009966992e-05,0.0,0.0,,,1.4855088610603563e-05,0.0
2020-03-10,Brunei,1,0,0,0,1,2020,3,10,1,0,1,0.0,,,0.5,0.0,0.0,0.0,0.0,0.0,0.0,,,7.4275443053017815e-06,0.0
2020-03-11,Brunei,11,0,10,0,1,2020,3,11,2,0,1,0.0,,,3.6666666666666665,0.0,2.3308621532784276e-06,0.0,0.00012944146009966992,0.0,0.0,,,5.4468658238879724e-05,0.0
2020-03-12,Brunei,11,0,0,0,1,2020,3,12,3,0,1,0.0,,,2.75,0.0,2.3308621532784276e-06,0.0,0.0,0.0,0.0,,,4.085149367915979e-05,0.0
2020-03-13,Brunei,37,0,26,0,1,2020,3,13,4,0,1,0.0,,,7.4,0.0,8.391103751802339e-06,0.0,0.0003365477962591418,0.0,0.0,,,0.00010992765571846636,0.0
2020-03-14,Brunei,40,0,3,0,1,2020,3,14,5,1,1,0.0,,,6.666666666666667,0.0,9.090362397785867e-06,0.0,3.8832438029900976e-05,0.0,0.0,,,9.903392407069042e-05,0.0
2020-03-15,Brunei,50,0,10,0,1,2020,3,15,6,1,1,0.0,,,7.142857142857143,0.0,1.1421224551064295e-05,0.0,0.00012944146009966992,0.0,0.0,,,0.00010610777579002545,0.0
2020-03-16,Brunei,54,0,4,0,1,2020,3,16,0,0,1,0.0,53.0,,7.571428571428571,0.0,1.2353569412375666e-05,0.0,5.177658403986797e-05,0.0,0.0,0.24595523749386095,,0.00011247424233742696,0.0
2020-03-17,Brunei,56,0,2,0,1,2020,3,17,1,0,1,0.0,55.0,,7.857142857142857,0.0,1.2819741843031351e-05,0.0,2.5888292019933984e-05,0.0,0.0,0.2551322528590472,,0.00011671855336902798,0.0
2020-03-18,Brunei,68,0,12,0,1,2020,3,18,2,0,1,0.0,5.181818181818182,,8.142857142857142,0.0,1.5616776426965463e-05,0.0,0.0001553297521196039,0.0,0.0,0.026541142853498144,,0.000120962864400629,0.0
2020-03-19,Brunei,75,0,7,0,1,2020,3,19,3,0,1,0.0,5.818181818181818,,9.142857142857142,0.0,1.7248379934260365e-05,0.0,9.060902206976894e-05,0.0,0.0,0.029461102287875598,,0.00013581795301123256,0.0
2020-03-20,Brunei,78,0,3,0,1,2020,3,20,4,0,1,0.0,1.108108108108108,,5.857142857142857,0.0,1.7947638580243893e-05,0.0,3.8832438029900976e-05,0.0,0.0,0.007848892883622413,,8.700837614782086e-05,0.0
2020-03-21,Brunei,83,0,5,0,1,2020,3,21,5,1,1,0.0,1.0750000000000002,,6.142857142857143,0.0,1.9113069656883107e-05,0.0,6.472073004983496e-05,0.0,0.0,0.007696976075212237,,9.125268717942189e-05,0.0
2020-03-22,Brunei,88,0,5,0,1,2020,3,22,6,1,1,0.0,0.76,,5.428571428571429,0.0,2.027850073352232e-05,0.0,6.472073004983496e-05,0.0,0.0,0.006251596155195398,,8.064190960041935e-05,0.0
2020-03-23,Brunei,91,0,3,0,1,2020,3,23,0,0,1,0.0,0.6851851851851851,,5.285714285714286,0.0,2.0977759379505847e-05,0.0,3.8832438029900976e-05,0.0,0.0,0.005908307802645837,,7.851975408461883e-05,0.0
2020-03-24,Brunei,104,0,13,0,1,2020,3,24,1,0,1,0.0,0.8571428571428572,,6.857142857142857,0.0,2.4007880178767804e-05,0.0,0.0001682738981295709,0.0,0.0,0.006697336901504446,,0.00010186346475842442,0.0
