date_value,country,total_cases,total_deaths,new_cases,new_deaths,id_pandemic,year,month,day,day_of_week,is_weekend,quarter,mortality_rate,cases_growth_rate_7d,deaths_growth_rate_7d,new_cases_ma7,new_deaths_ma7,total_cases_normalized,total_deaths_normalized,new_cases_normalized,new_deaths_normalized,mortality_rate_normalized,cases_growth_rate_7d_normalized,deaths_growth_rate_7d_normalized,new_cases_ma7_normalized,new_deaths_ma7_normalized
2020-03-27,Burma,8,0,8,0,1,2020,3,27,4,0,1,0.0,,,8.0,0.0,1.6316035072948993e-06,0.0,0.00010355316807973594,0.0,0.0,,,0.0001188407088848285,0.0
2020-03-28,Burma,8,0,0,0,1,2020,3,28,5,1,1,0.0,,,4.0,0.0,1.6316035072948993e-06,0.0,0.0,0.0,0.0,,,5.942035444241425e-05,0.0
2020-03-29,Burma,10,0,2,0,1,2020,3,29,6,1,1,0.0,,,3.3333333333333335,0.0,2.0977759379505848e-06,0.0,2.5888292019933984e-05,0.0,0.0,,,4.951696203534521e-05,0.0
2020-03-30,Burma,14,0,4,0,1,2020,3,30,0,0,1,0.0,,,3.5,0.0,3.0301207992619557e-06,0.0,5.177658403986797e-05,0.0,0.0,,,5.199281013711247e-05,0.0
2020-03-31,Burma,15,1,1,1,1,2020,3,31,1,0,1,0.06666666666666667,,,3.0,0.2,3.2632070145897985e-06,6.756254602698448e-06,1.2944146009966992e-05,0.0002572678157962439,0.06666666666666667,,,4.4565265831810684e-05,8.937120970315993e-05
2020-04-01,Burma,15,1,0,0,1,2020,4,1,2,0,2,0.06666666666666667,,,2.5,0.16666666666666666,3.2632070145897985e-06,6.756254602698448e-06,0.0,0.0,0.06666666666666667,,,3.71377215265089e-05,7.44760080859666e-05
2020-04-02,Burma,20,1,5,0,1,2020,4,2,3,0,2,0.05,,,2.857142857142857,0.14285714285714285,4.428638091229012e-06,6.756254602698448e-06,6.472073004983496e-05,0.0,0.05,,,4.244311031601018e-05,6.383657835939994e-05
2020-04-03,Burma,20,1,0,0,1,2020,4,3,4,0,2,0.05,1.5,inf,1.7142857142857142,0.14285714285714285,4.428638091229012e-06,6.756254602698448e-06,0.0,0.0,0.05,0.00964709184031432,,2.5465866189606106e-05,6.383657835939994e-05
2020-04-04,Burma,21,1,1,0,1,2020,4,4,5,1,2,0.047619047619047616,1.625,inf,1.8571428571428572,0.14285714285714285,4.661724306556855e-06,6.756254602698448e-06,1.2944146009966992e-05,0.0,0.047619047619047616,0.010220655300638462,,2.7588021705406618e-05,6.383657835939994e-05
2020-04-05,Burma,21,1,0,0,1,2020,4,5,6,1,2,0.047619047619047616,1.1,inf,1.5714285714285714,0.14285714285714285,4.661724306556855e-06,6.756254602698448e-06,0.0,0.0,0.047619047619047616,0.0078116887672770655,,2.3343710673805598e-05,6.383657835939994e-05
