date_value,country,total_cases,total_deaths,new_cases,new_deaths,id_pandemic,year,month,day,day_of_week,is_weekend,quarter,mortality_rate,cases_growth_rate_7d,deaths_growth_rate_7d,new_cases_ma7,new_deaths_ma7,total_cases_normalized,total_deaths_normalized,new_cases_normalized,new_deaths_normalized,mortality_rate_normalized,cases_growth_rate_7d_normalized,deaths_growth_rate_7d_normalized,new_cases_ma7_normalized,new_deaths_ma7_normalized
2020-03-31,Burundi,2,0,2,0,1,2020,3,31,1,0,1,0.0,,,2.0,0.0,2.3308621532784276e-07,0.0,2.5888292019933984e-05,0.0,0.0,,,2.9710177221207126e-05,0.0
2020-04-01,Burundi,2,0,0,0,1,2020,4,1,2,0,2,0.0,,,1.0,0.0,2.3308621532784276e-07,0.0,0.0,0.0,0.0,,,1.4855088610603563e-05,0.0
2020-04-02,Burundi,3,0,1,0,1,2020,4,2,3,0,2,0.0,,,1.0,0.0,4.6617243065568553e-07,0.0,1.2944146009966992e-05,0.0,0.0,,,1.4855088610603563e-05,0.0
2020-04-03,Burundi,3,0,0,0,1,2020,4,3,4,0,2,0.0,,,0.75,0.0,4.6617243065568553e-07,0.0,0.0,0.0,0.0,,,1.1141316457952671e-05,0.0
2020-04-04,Burundi,3,0,0,0,1,2020,4,4,5,1,2,0.0,,,0.6,0.0,4.6617243065568553e-07,0.0,0.0,0.0,0.0,,,8.913053166362137e-06,0.0
2020-04-05,Burundi,3,0,0,0,1,2020,4,5,6,1,2,0.0,,,0.5,0.0,4.6617243065568553e-07,0.0,0.0,0.0,0.0,,,7.4275443053017815e-06,0.0
2020-04-06,Burundi,3,0,0,0,1,2020,4,6,0,0,2,0.0,,,0.42857142857142855,0.0,4.6617243065568553e-07,0.0,0.0,0.0,0.0,,,6.3664665474015265e-06,0.0
2020-04-07,Burundi,3,0,0,0,1,2020,4,7,1,0,2,0.0,0.5,,0.14285714285714285,0.0,4.6617243065568553e-07,0.0,0.0,0.0,0.0,0.005058584157721181,,2.1221555158005087e-06,0.0
2020-04-08,Burundi,3,0,0,0,1,2020,4,8,2,0,2,0.0,0.5,,0.14285714285714285,0.0,4.6617243065568553e-07,0.0,0.0,0.0,0.0,0.005058584157721181,,2.1221555158005087e-06,0.0
2020-04-09,Burundi,3,0,0,0,1,2020,4,9,3,0,2,0.0,0.0,,0.0,0.0,4.6617243065568553e-07,0.0,0.0,0.0,0.0,0.0027643303164246124,,0.0,0.0
2020-04-10,Burundi,3,0,0,0,1,2020,4,10,4,0,2,0.0,0.0,,0.0,0.0,4.6617243065568553e-07,0.0,0.0,0.0,0.0,0.0027643303164246124,,0.0,0.0
2020-04-11,Burundi,5,0,2,0,1,2020,4,11,5,1,2,0.0,0.6666666666666667,,0.2857142857142857,0.0,9.323448613113711e-07,0.0,2.5888292019933984e-05,0.0,0.0,0.005823335438153372,,4.244311031601017e-06,0.0
2020-04-12,Burundi,5,0,0,0,1,2020,4,12,6,1,2,0.0,0.6666666666666667,,0.2857142857142857,0.0,9.323448613113711e-07,0.0,0.0,0.0,0.0,0.005823335438153372,,4.244311031601017e-06,0.0
2020-04-13,Burundi,5,1,0,1,1,2020,4,13,0,0,2,0.2,0.6666666666666667,inf,0.2857142857142857,0.14285714285714285,9.323448613113711e-07,6.756254602698448e-06,0.0,0.0002572678157962439,0.2,0.005823335438153372,,4.244311031601017e-06,6.383657835939994e-05
2020-04-14,Burundi,5,1,0,0,1,2020,4,14,1,0,2,0.2,0.6666666666666667,inf,0.2857142857142857,0.14285714285714285,9.323448613113711e-07,6.756254602698448e-06,0.0,0.0,0.2,0.005823335438153372,,4.244311031601017e-06,6.383657835939994e-05
2020-04-15,Burundi,5,1,0,0,1,2020,4,15,2,0,2,0.2,0.6666666666666667,inf,0.2857142857142857,0.14285714285714285,9.323448613113711e-07,6.756254602698448e-06,0.0,0.0,0.2,0.005823335438153372,,4.244311031601017e-06,6.383657835939994e-05
2020-04-16,Burundi,5,1,0,0,1,2020,4,16,3,0,2,0.2,0.6666666666666667,inf,0.2857142857142857,0.14285714285714285,9.323448613113711e-07,6.756254602698448e-06,0.0,0.0,0.2,0.005823335438153372,,4.244311031601017e-06,6.383657835939994e-05
2020-04-17,Burundi,5,1,0,0,1,2020,4,17,4,0,2,0.2,0.6666666666666667,inf,0.2857142857142857,0.14285714285714285,9.323448613113711e-07,6.756254602698448e-06,0.0,0.0,0.2,0.005823335438153372,,4.244311031601017e-06,6.383657835939994e-05
2020-04-18,Burundi,5,1,0,0,1,2020,4,18,5,1,2,0.2,0.0,inf,0.0,0.14285714285714285,9.323448613113711e-07,6.756254602698448e-06,0.0,0.0,0.2,0.0027643303164246124,,0.0,6.383657835939994e-05
2020-04-19,Burundi,5,1,0,0,1,2020,4,19,6,1,2,0.2,0.0,inf,0.0,0.14285714285714285,9.323448613113711e-07,6.756254602698448e-06,0.0,0.0,0.2,0.0027643303164246124,,0.0,6.383657835939994e-05
2020-04-20,Burundi,5,1,0,0,1,2020,4,20,0,0,2,0.2,0.0,0.0,0.0,0.0,9.323448613113711e-07,6.756254602698448e-06,0.0,0.0,0.2,0.0027643303164246124,0.0,0.0,0.0
2020-04-21,Burundi,5,1,0,0,1,2020,4,21,1,0,2,0.2,0.0,0.0,0.0,0.0,9.323448613113711e-07,6.756254602698448e-06,0.0,0.0,0.2,0.0027643303164246124,0.0,0.0,0.0
2020-04-22,Burundi,11,1,6,0,1,2020,4,22,2,0,2,0.09090909090909091,1.2000000000000002,0.0,0.8571428571428571,0.0,2.3308621532784276e-06,6.756254602698448e-06,7.766487605980195e-05,0.0,0.09090909090909091,0.00827053953553638,0.0,1.2732933094803053e-05,0.0
2020-04-23,Burundi,11,1,0,0,1,2020,4,23,3,0,2,0.09090909090909091,1.2000000000000002,0.0,0.8571428571428571,0.0,2.3308621532784276e-06,6.756254602698448e-06,0.0,0.0,0.09090909090909091,0.00827053953553638,0.0,1.2732933094803053e-05,0.0
2020-04-24,Burundi,11,1,0,0,1,2020,4,24,4,0,2,0.09090909090909091,1.2000000000000002,0.0,0.8571428571428571,0.0,2.3308621532784276e-06,6.756254602698448e-06,0.0,0.0,0.09090909090909091,0.00827053953553638,0.0,1.2732933094803053e-05,0.0
2020-04-25,Burundi,11,1,0,0,1,2020,4,25,5,1,2,0.09090909090909091,1.2000000000000002,0.0,0.8571428571428571,0.0,2.3308621532784276e-06,6.756254602698448e-06,0.0,0.0,0.09090909090909091,0.00827053953553638,0.0,1.2732933094803053e-05,0.0
2020-04-26,Burundi,11,1,0,0,1,2020,4,26,6,1,2,0.09090909090909091,1.2000000000000002,0.0,0.8571428571428571,0.0,2.3308621532784276e-06,6.756254602698448e-06,0.0,0.0,0.09090909090909091,0.00827053953553638,0.0,1.2732933094803053e-05,0.0
2020-04-27,Burundi,11,1,0,0,1,2020,4,27,0,0,2,0.09090909090909091,1.2000000000000002,0.0,0.8571428571428571,0.0,2.3308621532784276e-06,6.756254602698448e-06,0.0,0.0,0.09090909090909091,0.00827053953553638,0.0,1.2732933094803053e-05,0.0
2020-04-28,Burundi,11,1,0,0,1,2020,4,28,1,0,2,0.09090909090909091,1.2000000000000002,0.0,0.8571428571428571,0.0,2.3308621532784276e-06,6.756254602698448e-06,0.0,0.0,0.09090909090909091,0.00827053953553638,0.0,1.2732933094803053e-05,0.0
2020-04-29,Burundi,11,1,0,0,1,2020,4,29,2,0,2,0.09090909090909091,0.0,0.0,0.0,0.0,2.3308621532784276e-06,6.756254602698448e-06,0.0,0.0,0.09090909090909091,0.0027643303164246124,0.0,0.0,0.0
2020-04-30,Burundi,11,1,0,0,1,2020,4,30,3,0,2,0.09090909090909091,0.0,0.0,0.0,0.0,2.3308621532784276e-06,6.756254602698448e-06,0.0,0.0,0.09090909090909091,0.0027643303164246124,0.0,0.0,0.0
2020-05-01,Burundi,11,1,0,0,1,2020,5,1,4,0,2,0.09090909090909091,0.0,0.0,0.0,0.0,2.3308621532784276e-06,6.756254602698448e-06,0.0,0.0,0.09090909090909091,0.0027643303164246124,0.0,0.0,0.0
2020-05-02,Burundi,15,1,4,0,1,2020,5,2,5,1,2,0.06666666666666667,0.36363636363636354,0.0,0.5714285714285714,0.0,3.2632070145897985e-06,6.756254602698448e-06,5.177658403986797e-05,0.0,0.06666666666666667,0.004432878564640298,0.0,8.488622063202035e-06,0.0
2020-05-03,Burundi,15,1,0,0,1,2020,5,3,6,1,2,0.06666666666666667,0.36363636363636354,0.0,0.5714285714285714,0.0,3.2632070145897985e-06,6.756254602698448e-06,0.0,0.0,0.06666666666666667,0.004432878564640298,0.0,8.488622063202035e-06,0.0
2020-05-04,Burundi,15,1,0,0,1,2020,5,4,0,0,2,0.06666666666666667,0.36363636363636354,0.0,0.5714285714285714,0.0,3.2632070145897985e-06,6.756254602698448e-06,0.0,0.0,0.06666666666666667,0.004432878564640298,0.0,8.488622063202035e-06,0.0
2020-05-05,Burundi,15,1,0,0,1,2020,5,5,1,0,2,0.06666666666666667,0.36363636363636354,0.0,0.5714285714285714,0.0,3.2632070145897985e-06,6.756254602698448e-06,0.0,0.0,0.06666666666666667,0.004432878564640298,0.0,8.488622063202035e-06,0.0
2020-05-06,Burundi,15,1,0,0,1,2020,5,6,2,0,2,0.06666666666666667,0.36363636363636354,0.0,0.5714285714285714,0.0,3.2632070145897985e-06,6.756254602698448e-06,0.0,0.0,0.06666666666666667,0.004432878564640298,0.0,8.488622063202035e-06,0.0
2020-05-07,Burundi,15,1,0,0,1,2020,5,7,3,0,2,0.06666666666666667,0.36363636363636354,0.0,0.5714285714285714,0.0,3.2632070145897985e-06,6.756254602698448e-06,0.0,0.0,0.06666666666666667,0.004432878564640298,0.0,8.488622063202035e-06,0.0
2020-05-08,Burundi,15,1,0,0,1,2020,5,8,4,0,2,0.06666666666666667,0.36363636363636354,0.0,0.5714285714285714,0.0,3.2632070145897985e-06,6.756254602698448e-06,0.0,0.0,0.06666666666666667,0.004432878564640298,0.0,8.488622063202035e-06,0.0
2020-05-09,Burundi,15,1,0,0,1,2020,5,9,5,1,2,0.06666666666666667,0.0,0.0,0.0,0.0,3.2632070145897985e-06,6.756254602698448e-06,0.0,0.0,0.06666666666666667,0.0027643303164246124,0.0,0.0,0.0
2020-05-10,Burundi,15,1,0,0,1,2020,5,10,6,1,2,0.06666666666666667,0.0,0.0,0.0,0.0,3.2632070145897985e-06,6.756254602698448e-06,0.0,0.0,0.06666666666666667,0.0027643303164246124,0.0,0.0,0.0
2020-05-11,Burundi,15,1,0,0,1,2020,5,11,0,0,2,0.06666666666666667,0.0,0.0,0.0,0.0,3.2632070145897985e-06,6.756254602698448e-06,0.0,0.0,0.06666666666666667,0.0027643303164246124,0.0,0.0,0.0
2020-05-12,Burundi,15,1,0,0,1,2020,5,12,1,0,2,0.06666666666666667,0.0,0.0,0.0,0.0,3.2632070145897985e-06,6.756254602698448e-06,0.0,0.0,0.06666666666666667,0.0027643303164246124,0.0,0.0,0.0
2020-05-13,Burundi,15,1,0,0,1,2020,5,13,2,0,2,0.06666666666666667,0.0,0.0,0.0,0.0,3.2632070145897985e-06,6.756254602698448e-06,0.0,0.0,0.06666666666666667,0.0027643303164246124,0.0,0.0,0.0
2020-05-14,Burundi,15,1,0,0,1,2020,5,14,3,0,2,0.06666666666666667,0.0,0.0,0.0,0.0,3.2632070145897985e-06,6.756254602698448e-06,0.0,0.0,0.06666666666666667,0.0027643303164246124,0.0,0.0,0.0
2020-05-15,Burundi,15,1,0,0,1,2020,5,15,4,0,2,0.06666666666666667,0.0,0.0,0.0,0.0,3.2632070145897985e-06,6.756254602698448e-06,0.0,0.0,0.06666666666666667,0.0027643303164246124,0.0,0.0,0.0
2020-05-16,Burundi,15,1,0,0,1,2020,5,16,5,1,2,0.06666666666666667,0.0,0.0,0.0,0.0,3.2632070145897985e-06,6.756254602698448e-06,0.0,0.0,0.06666666666666667,0.0027643303164246124,0.0,0.0,0.0
2020-05-17,Burundi,23,1,8,0,1,2020,5,17,6,1,2,0.043478260869565216,0.5333333333333334,0.0,1.1428571428571428,0.0,5.127896737212541e-06,6.756254602698448e-06,0.00010355316807973594,0.0,0.043478260869565216,0.00521153441380762,0.0,1.697724412640407e-05,0.0
2020-05-18,Burundi,42,1,19,0,1,2020,5,18,0,0,2,0.023809523809523808,1.7999999999999998,0.0,3.857142857142857,0.0,9.556534828441554e-06,6.756254602698448e-06,0.00024593877418937284,0.0,0.023809523809523808,0.01102364414509226,0.0,5.729819892661374e-05,0.0
