date_value,country,total_cases,total_deaths,new_cases,new_deaths,id_pandemic,year,month,day,day_of_week,is_weekend,quarter,mortality_rate,cases_growth_rate_7d,deaths_growth_rate_7d,new_cases_ma7,new_deaths_ma7,total_cases_normalized,total_deaths_normalized,new_cases_normalized,new_deaths_normalized,mortality_rate_normalized,cases_growth_rate_7d_normalized,deaths_growth_rate_7d_normalized,new_cases_ma7_normalized,new_deaths_ma7_normalized
2020-03-20,Cabo Verde,1,0,1,0,1,2020,3,20,4,0,1,0.0,,,1.0,0.0,0.0,0.0,1.2944146009966992e-05,0.0,0.0,,,1.4855088610603563e-05,0.0
2020-03-21,Cabo Verde,3,0,2,0,1,2020,3,21,5,1,1,0.0,,,1.5,0.0,4.6617243065568553e-07,0.0,2.5888292019933984e-05,0.0,0.0,,,2.2282632915905342e-05,0.0
2020-03-22,Cabo Verde,3,0,0,0,1,2020,3,22,6,1,1,0.0,,,1.0,0.0,4.6617243065568553e-07,0.0,0.0,0.0,0.0,,,1.4855088610603563e-05,0.0
2020-03-23,Cabo Verde,3,0,0,0,1,2020,3,23,0,0,1,0.0,,,0.75,0.0,4.6617243065568553e-07,0.0,0.0,0.0,0.0,,,1.1141316457952671e-05,0.0
2020-03-24,Cabo Verde,3,1,0,1,1,2020,3,24,1,0,1,0.3333333333333333,,,0.6,0.2,4.6617243065568553e-07,6.756254602698448e-06,0.0,0.0002572678157962439,0.3333333333333333,,,8.913053166362137e-06,8.937120970315993e-05
2020-03-25,Cabo Verde,4,1,1,0,1,2020,3,25,2,0,1,0.25,,,0.6666666666666666,0.16666666666666666,6.992586459835282e-07,6.756254602698448e-06,1.2944146009966992e-05,0.0,0.25,,,9.90339240706904e-06,7.44760080859666e-05
2020-03-26,Cabo Verde,4,1,0,0,1,2020,3,26,3,0,1,0.25,,,0.5714285714285714,0.14285714285714285,6.992586459835282e-07,6.756254602698448e-06,0.0,0.0,0.25,,,8.488622063202035e-06,6.383657835939994e-05
2020-03-27,Cabo Verde,5,1,1,0,1,2020,3,27,4,0,1,0.2,4.0,inf,0.5714285714285714,0.14285714285714285,9.323448613113711e-07,6.756254602698448e-06,1.2944146009966992e-05,0.0,0.2,0.021118361046797166,,8.488622063202035e-06,6.383657835939994e-05
2020-03-28,Cabo Verde,5,1,0,0,1,2020,3,28,5,1,1,0.2,0.6666666666666667,inf,0.2857142857142857,0.14285714285714285,9.323448613113711e-07,6.756254602698448e-06,0.0,0.0,0.2,0.005823335438153372,,4.244311031601017e-06,6.383657835939994e-05
2020-03-29,Cabo Verde,6,1,1,0,1,2020,3,29,6,1,1,0.16666666666666666,1.0,inf,0.42857142857142855,0.14285714285714285,1.1654310766392138e-06,6.756254602698448e-06,1.2944146009966992e-05,0.0,0.16666666666666666,0.0073528379990177506,,6.3664665474015265e-06,6.383657835939994e-05
2020-03-30,Cabo Verde,6,1,0,0,1,2020,3,30,0,0,1,0.16666666666666666,1.0,inf,0.42857142857142855,0.14285714285714285,1.1654310766392138e-06,6.756254602698448e-06,0.0,0.0,0.16666666666666666,0.0073528379990177506,,6.3664665474015265e-06,6.383657835939994e-05
2020-03-31,Cabo Verde,6,1,0,0,1,2020,3,31,1,0,1,0.16666666666666666,1.0,0.0,0.42857142857142855,0.0,1.1654310766392138e-06,6.756254602698448e-06,0.0,0.0,0.16666666666666666,0.0073528379990177506,0.0,6.3664665474015265e-06,0.0
2020-04-01,Cabo Verde,6,1,0,0,1,2020,4,1,2,0,2,0.16666666666666666,0.5,0.0,0.2857142857142857,0.0,1.1654310766392138e-06,6.756254602698448e-06,0.0,0.0,0.16666666666666666,0.005058584157721181,0.0,4.244311031601017e-06,0.0
2020-04-02,Cabo Verde,6,1,0,0,1,2020,4,2,3,0,2,0.16666666666666666,0.5,0.0,0.2857142857142857,0.0,1.1654310766392138e-06,6.756254602698448e-06,0.0,0.0,0.16666666666666666,0.005058584157721181,0.0,4.244311031601017e-06,0.0
2020-04-03,Cabo Verde,6,1,0,0,1,2020,4,3,4,0,2,0.16666666666666666,0.19999999999999996,0.0,0.14285714285714285,0.0,1.1654310766392138e-06,6.756254602698448e-06,0.0,0.0,0.16666666666666666,0.00368203185294324,0.0,2.1221555158005087e-06,0.0
