date_value,country,total_cases,total_deaths,new_cases,new_deaths,id_pandemic,year,month,day,day_of_week,is_weekend,quarter,mortality_rate,cases_growth_rate_7d,deaths_growth_rate_7d,new_cases_ma7,new_deaths_ma7,total_cases_normalized,total_deaths_normalized,new_cases_normalized,new_deaths_normalized,mortality_rate_normalized,cases_growth_rate_7d_normalized,deaths_growth_rate_7d_normalized,new_cases_ma7_normalized,new_deaths_ma7_normalized
2020-03-06,Cameroon,1,0,1,0,1,2020,3,6,4,0,1,0.0,,,1.0,0.0,0.0,0.0,1.2944146009966992e-05,0.0,0.0,,,1.4855088610603563e-05,0.0
2020-03-07,Cameroon,1,0,0,0,1,2020,3,7,5,1,1,0.0,,,0.5,0.0,0.0,0.0,0.0,0.0,0.0,,,7.4275443053017815e-06,0.0
2020-03-08,Cameroon,2,0,1,0,1,2020,3,8,6,1,1,0.0,,,0.6666666666666666,0.0,2.3308621532784276e-07,0.0,1.2944146009966992e-05,0.0,0.0,,,9.90339240706904e-06,0.0
2020-03-09,Cameroon,2,0,0,0,1,2020,3,9,0,0,1,0.0,,,0.5,0.0,2.3308621532784276e-07,0.0,0.0,0.0,0.0,,,7.4275443053017815e-06,0.0
2020-03-10,Cameroon,2,0,0,0,1,2020,3,10,1,0,1,0.0,,,0.4,0.0,2.3308621532784276e-07,0.0,0.0,0.0,0.0,,,5.942035444241425e-06,0.0
2020-03-11,Cameroon,2,0,0,0,1,2020,3,11,2,0,1,0.0,,,0.3333333333333333,0.0,2.3308621532784276e-07,0.0,0.0,0.0,0.0,,,4.95169620353452e-06,0.0
2020-03-12,Cameroon,2,0,0,0,1,2020,3,12,3,0,1,0.0,,,0.2857142857142857,0.0,2.3308621532784276e-07,0.0,0.0,0.0,0.0,,,4.244311031601017e-06,0.0
2020-03-13,Cameroon,2,0,0,0,1,2020,3,13,4,0,1,0.0,1.0,,0.14285714285714285,0.0,2.3308621532784276e-07,0.0,0.0,0.0,0.0,0.0073528379990177506,,2.1221555158005087e-06,0.0
2020-03-14,Cameroon,2,0,0,0,1,2020,3,14,5,1,1,0.0,1.0,,0.14285714285714285,0.0,2.3308621532784276e-07,0.0,0.0,0.0,0.0,0.0073528379990177506,,2.1221555158005087e-06,0.0
2020-03-15,Cameroon,2,0,0,0,1,2020,3,15,6,1,1,0.0,0.0,,0.0,0.0,2.3308621532784276e-07,0.0,0.0,0.0,0.0,0.0027643303164246124,,0.0,0.0
2020-03-16,Cameroon,4,0,2,0,1,2020,3,16,0,0,1,0.0,1.0,,0.2857142857142857,0.0,6.992586459835282e-07,0.0,2.5888292019933984e-05,0.0,0.0,0.0073528379990177506,,4.244311031601017e-06,0.0
2020-03-17,Cameroon,10,0,6,0,1,2020,3,17,1,0,1,0.0,4.0,,1.1428571428571428,0.0,2.0977759379505848e-06,0.0,7.766487605980195e-05,0.0,0.0,0.021118361046797166,,1.697724412640407e-05,0.0
2020-03-18,Cameroon,10,0,0,0,1,2020,3,18,2,0,1,0.0,4.0,,1.1428571428571428,0.0,2.0977759379505848e-06,0.0,0.0,0.0,0.0,0.021118361046797166,,1.697724412640407e-05,0.0
2020-03-19,Cameroon,13,0,3,0,1,2020,3,19,3,0,1,0.0,5.5,,1.5714285714285714,0.0,2.797034583934113e-06,0.0,3.8832438029900976e-05,0.0,0.0,0.028001122570686873,,2.3343710673805598e-05,0.0
2020-03-20,Cameroon,20,0,7,0,1,2020,3,20,4,0,1,0.0,9.0,,2.5714285714285716,0.0,4.428638091229012e-06,0.0,9.060902206976894e-05,0.0,0.0,0.04406089945976285,,3.819879928440916e-05,0.0
2020-03-21,Cameroon,27,0,7,0,1,2020,3,21,5,1,1,0.0,12.5,,3.5714285714285716,0.0,6.060241598523911e-06,0.0,9.060902206976894e-05,0.0,0.0,0.06012067634883884,,5.3053887895012723e-05,0.0
