date_value,country,total_cases,total_deaths,new_cases,new_deaths,id_pandemic,year,month,day,day_of_week,is_weekend,quarter,mortality_rate,cases_growth_rate_7d,deaths_growth_rate_7d,new_cases_ma7,new_deaths_ma7,total_cases_normalized,total_deaths_normalized,new_cases_normalized,new_deaths_normalized,mortality_rate_normalized,cases_growth_rate_7d_normalized,deaths_growth_rate_7d_normalized,new_cases_ma7_normalized,new_deaths_ma7_normalized
2020-01-26,Canada,1,0,1,0,1,2020,1,26,6,1,1,0.0,,,1.0,0.0,0.0,0.0,1.2944146009966992e-05,0.0,0.0,,,1.4855088610603563e-05,0.0
2020-01-27,Canada,1,0,0,0,1,2020,1,27,0,0,1,0.0,,,0.5,0.0,0.0,0.0,0.0,0.0,0.0,,,7.4275443053017815e-06,0.0
2020-01-28,Canada,2,0,1,0,1,2020,1,28,1,0,1,0.0,,,0.6666666666666666,0.0,2.3308621532784276e-07,0.0,1.2944146009966992e-05,0.0,0.0,,,9.90339240706904e-06,0.0
2020-01-29,Canada,2,0,0,0,1,2020,1,29,2,0,1,0.0,,,0.5,0.0,2.3308621532784276e-07,0.0,0.0,0.0,0.0,,,7.4275443053017815e-06,0.0
2020-01-30,Canada,2,0,0,0,1,2020,1,30,3,0,1,0.0,,,0.4,0.0,2.3308621532784276e-07,0.0,0.0,0.0,0.0,,,5.942035444241425e-06,0.0
2020-01-31,Canada,4,0,2,0,1,2020,1,31,4,0,1,0.0,,,0.6666666666666666,0.0,6.992586459835282e-07,0.0,2.5888292019933984e-05,0.0,0.0,,,9.90339240706904e-06,0.0
2020-02-01,Canada,4,0,0,0,1,2020,2,1,5,1,1,0.0,,,0.5714285714285714,0.0,6.992586459835282e-07,0.0,0.0,0.0,0.0,,,8.488622063202035e-06,0.0
2020-02-02,Canada,4,0,0,0,1,2020,2,2,6,1,1,0.0,3.0,,0.42857142857142855,0.0,6.992586459835282e-07,0.0,0.0,0.0,0.0,0.01652985336420403,,6.3664665474015265e-06,0.0
2020-02-03,Canada,4,0,0,0,1,2020,2,3,0,0,1,0.0,3.0,,0.42857142857142855,0.0,6.992586459835282e-07,0.0,0.0,0.0,0.0,0.01652985336420403,,6.3664665474015265e-06,0.0
2020-02-04,Canada,4,0,0,0,1,2020,2,4,1,0,1,0.0,1.0,,0.2857142857142857,0.0,6.992586459835282e-07,0.0,0.0,0.0,0.0,0.0073528379990177506,,4.244311031601017e-06,0.0
2020-02-05,Canada,5,0,1,0,1,2020,2,5,2,0,1,0.0,1.5,,0.42857142857142855,0.0,9.323448613113711e-07,0.0,1.2944146009966992e-05,0.0,0.0,0.00964709184031432,,6.3664665474015265e-06,0.0
2020-02-06,Canada,5,0,0,0,1,2020,2,6,3,0,1,0.0,1.5,,0.42857142857142855,0.0,9.323448613113711e-07,0.0,0.0,0.0,0.0,0.00964709184031432,,6.3664665474015265e-06,0.0
2020-02-07,Canada,7,0,2,0,1,2020,2,7,4,0,1,0.0,0.75,,0.42857142857142855,0.0,1.3985172919670564e-06,0.0,2.5888292019933984e-05,0.0,0.0,0.006205711078369466,,6.3664665474015265e-06,0.0
2020-02-08,Canada,7,0,0,0,1,2020,2,8,5,1,1,0.0,0.75,,0.42857142857142855,0.0,1.3985172919670564e-06,0.0,0.0,0.0,0.0,0.006205711078369466,,6.3664665474015265e-06,0.0
2020-02-09,Canada,7,0,0,0,1,2020,2,9,6,1,1,0.0,0.75,,0.42857142857142855,0.0,1.3985172919670564e-06,0.0,0.0,0.0,0.0,0.006205711078369466,,6.3664665474015265e-06,0.0
2020-02-10,Canada,7,0,0,0,1,2020,2,10,0,0,1,0.0,0.75,,0.42857142857142855,0.0,1.3985172919670564e-06,0.0,0.0,0.0,0.0,0.006205711078369466,,6.3664665474015265e-06,0.0
2020-02-11,Canada,7,0,0,0,1,2020,2,11,1,0,1,0.0,0.75,,0.42857142857142855,0.0,1.3985172919670564e-06,0.0,0.0,0.0,0.0,0.006205711078369466,,6.3664665474015265e-06,0.0
2020-02-12,Canada,7,0,0,0,1,2020,2,12,2,0,1,0.0,0.3999999999999999,,0.2857142857142857,0.0,1.3985172919670564e-06,0.0,0.0,0.0,0.0,0.004599733389461867,,4.244311031601017e-06,0.0
2020-02-13,Canada,7,0,0,0,1,2020,2,13,3,0,1,0.0,0.3999999999999999,,0.2857142857142857,0.0,1.3985172919670564e-06,0.0,0.0,0.0,0.0,0.004599733389461867,,4.244311031601017e-06,0.0
2020-02-14,Canada,7,0,0,0,1,2020,2,14,4,0,1,0.0,0.0,,0.0,0.0,1.3985172919670564e-06,0.0,0.0,0.0,0.0,0.0027643303164246124,,0.0,0.0
2020-02-15,Canada,7,0,0,0,1,2020,2,15,5,1,1,0.0,0.0,,0.0,0.0,1.3985172919670564e-06,0.0,0.0,0.0,0.0,0.0027643303164246124,,0.0,0.0
2020-02-16,Canada,7,0,0,0,1,2020,2,16,6,1,1,0.0,0.0,,0.0,0.0,1.3985172919670564e-06,0.0,0.0,0.0,0.0,0.0027643303164246124,,0.0,0.0
2020-02-17,Canada,8,0,1,0,1,2020,2,17,0,0,1,0.0,0.1428571428571428,,0.14285714285714285,0.0,1.6316035072948993e-06,0.0,1.2944146009966992e-05,0.0,0.0,0.0034198314139379177,,2.1221555158005087e-06,0.0
2020-02-18,Canada,8,0,0,0,1,2020,2,18,1,0,1,0.0,0.1428571428571428,,0.14285714285714285,0.0,1.6316035072948993e-06,0.0,0.0,0.0,0.0,0.0034198314139379177,,2.1221555158005087e-06,0.0
2020-02-19,Canada,8,0,0,0,1,2020,2,19,2,0,1,0.0,0.1428571428571428,,0.14285714285714285,0.0,1.6316035072948993e-06,0.0,0.0,0.0,0.0,0.0034198314139379177,,2.1221555158005087e-06,0.0
2020-02-20,Canada,8,0,0,0,1,2020,2,20,3,0,1,0.0,0.1428571428571428,,0.14285714285714285,0.0,1.6316035072948993e-06,0.0,0.0,0.0,0.0,0.0034198314139379177,,2.1221555158005087e-06,0.0
2020-02-21,Canada,9,0,1,0,1,2020,2,21,4,0,1,0.0,0.2857142857142858,,0.2857142857142857,0.0,1.8646897226227421e-06,0.0,1.2944146009966992e-05,0.0,0.0,0.0040753325114512235,,4.244311031601017e-06,0.0
2020-02-22,Canada,9,0,0,0,1,2020,2,22,5,1,1,0.0,0.2857142857142858,,0.2857142857142857,0.0,1.8646897226227421e-06,0.0,0.0,0.0,0.0,0.0040753325114512235,,4.244311031601017e-06,0.0
2020-02-23,Canada,9,0,0,0,1,2020,2,23,6,1,1,0.0,0.2857142857142858,,0.2857142857142857,0.0,1.8646897226227421e-06,0.0,0.0,0.0,0.0,0.0040753325114512235,,4.244311031601017e-06,0.0
2020-02-24,Canada,10,0,1,0,1,2020,2,24,0,0,1,0.0,0.25,,0.2857142857142857,0.0,2.0977759379505848e-06,0.0,1.2944146009966992e-05,0.0,0.0,0.003911457237072897,,4.244311031601017e-06,0.0
2020-02-25,Canada,11,0,1,0,1,2020,2,25,1,0,1,0.0,0.375,,0.42857142857142855,0.0,2.3308621532784276e-06,0.0,1.2944146009966992e-05,0.0,0.0,0.00448502069739704,,6.3664665474015265e-06,0.0
2020-02-26,Canada,11,0,0,0,1,2020,2,26,2,0,1,0.0,0.375,,0.42857142857142855,0.0,2.3308621532784276e-06,0.0,0.0,0.0,0.0,0.00448502069739704,,6.3664665474015265e-06,0.0
2020-02-27,Canada,13,0,2,0,1,2020,2,27,3,0,1,0.0,0.625,,0.7142857142857143,0.0,2.797034583934113e-06,0.0,2.5888292019933984e-05,0.0,0.0,0.005632147618045324,,1.0610777579002545e-05,0.0
2020-02-28,Canada,14,0,1,0,1,2020,2,28,4,0,1,0.0,0.5555555555555556,,0.7142857142857143,0.0,3.0301207992619557e-06,0.0,1.2944146009966992e-05,0.0,0.0,0.005313501251198578,,1.0610777579002545e-05,0.0
2020-02-29,Canada,20,0,6,0,1,2020,2,29,5,1,1,0.0,1.2222222222222223,,1.5714285714285714,0.0,4.428638091229012e-06,0.0,7.766487605980195e-05,0.0,0.0,0.008372506372927338,,2.3343710673805598e-05,0.0
2020-03-01,Canada,24,0,4,0,1,2020,3,1,6,1,1,0.0,1.6666666666666665,,2.142857142857143,0.0,5.360982952540383e-06,0.0,5.177658403986797e-05,0.0,0.0,0.010411843120746509,,3.1832332737007634e-05,0.0
2020-03-02,Canada,27,0,3,0,1,2020,3,2,0,0,1,0.0,1.7000000000000002,,2.4285714285714284,0.0,6.060241598523911e-06,0.0,3.8832438029900976e-05,0.0,0.0,0.010564793376832948,,3.607664376860865e-05,0.0
2020-03-03,Canada,30,0,3,0,1,2020,3,3,1,0,1,0.0,1.727272727272727,,2.7142857142857144,0.0,6.7595002445074395e-06,0.0,3.8832438029900976e-05,0.0,0.0,0.010689934495449123,,4.0320954800209674e-05,0.0
2020-03-04,Canada,33,0,3,0,1,2020,3,4,2,0,1,0.0,2.0,,3.142857142857143,0.0,7.4587588904909685e-06,0.0,3.8832438029900976e-05,0.0,0.0,0.01194134568161089,,4.6687421347611195e-05,0.0
2020-03-05,Canada,37,0,4,0,1,2020,3,5,3,0,1,0.0,1.8461538461538463,,3.4285714285714284,0.0,8.391103751802339e-06,0.0,5.177658403986797e-05,0.0,0.0,0.011235421422750407,,5.093173237921221e-05,0.0
2020-03-06,Canada,49,0,12,0,1,2020,3,6,4,0,1,0.0,2.5,,5.0,0.0,1.1188138335736451e-05,0.0,0.0001553297521196039,0.0,0.0,0.014235599522907458,,7.42754430530178e-05,0.0
2020-03-07,Canada,54,0,5,0,1,2020,3,7,5,1,1,0.0,1.7000000000000002,,4.857142857142857,0.0,1.2353569412375666e-05,0.0,6.472073004983496e-05,0.0,0.0,0.010564793376832948,,7.21532875372173e-05,0.0
2020-03-08,Canada,64,0,10,0,1,2020,3,8,6,1,1,0.0,1.6666666666666665,,5.714285714285714,0.0,1.4684431565654094e-05,0.0,0.00012944146009966992,0.0,0.0,0.010411843120746509,,8.488622063202036e-05,0.0
2020-03-09,Canada,77,1,13,1,1,2020,3,9,0,0,1,0.012987012987012988,1.8518518518518516,inf,7.142857142857143,0.14285714285714285,1.7714552364916048e-05,6.756254602698448e-06,0.0001682738981295709,0.0002572678157962439,0.012987012987012988,0.011261566765671164,,0.00010610777579002545,6.383657835939994e-05
2020-03-10,Canada,79,1,2,0,1,2020,3,10,1,0,1,0.012658227848101266,1.6333333333333333,inf,7.0,0.14285714285714285,1.8180724795571734e-05,6.756254602698448e-06,2.5888292019933984e-05,0.0,0.012658227848101266,0.010258892864660071,,0.00010398562027422494,6.383657835939994e-05
2020-03-11,Canada,108,1,29,0,1,2020,3,11,2,0,1,0.009259259259259259,2.272727272727273,inf,10.714285714285714,0.14285714285714285,2.4940225040079174e-05,6.756254602698448e-06,0.0003753802342890428,0.0,0.009259259259259259,0.013192756867772656,,0.00015916166368503816,6.383657835939994e-05
