date_value,country,total_cases,total_deaths,new_cases,new_deaths,id_pandemic,year,month,day,day_of_week,is_weekend,quarter,mortality_rate,cases_growth_rate_7d,deaths_growth_rate_7d,new_cases_ma7,new_deaths_ma7,total_cases_normalized,total_deaths_normalized,new_cases_normalized,new_deaths_normalized,mortality_rate_normalized,cases_growth_rate_7d_normalized,deaths_growth_rate_7d_normalized,new_cases_ma7_normalized,new_deaths_ma7_normalized
2020-01-22,China,548,17,0,0,1,2020,1,22,2,0,1,0.03102189781021898,,,0.0,0.0,0.00012749815978432998,0.00011485632824587362,0.0,0.0,0.03102189781021898,,,0.0,0.0
2020-01-23,China,643,18,95,1,1,2020,1,23,3,0,1,0.027993779160186624,,,47.5,0.5,0.00014964135024047505,0.00012161258284857206,0.0012296938709468643,0.0002572678157962439,0.027993779160186624,,,0.0007056167090036692,0.0002234280242578998
2020-01-24,China,920,26,277,8,1,2020,1,24,4,0,1,0.02826086956521739,,,124.0,3.0,0.0002142062318862875,0.00017566261967015965,0.0035855284447608568,0.0020581425263699513,0.02826086956521739,,,0.0018420309877148417,0.0013405681455473989
2020-01-25,China,1406,42,486,16,1,2020,1,25,5,1,1,0.029871977240398292,,,214.5,6.25,0.0003274861325356191,0.0002837626933133348,0.0062908549608439585,0.004116285052739903,0.029871977240398292,,,0.0031864165069744642,0.0027928503032237473
2020-01-26,China,2075,56,669,14,1,2020,1,26,6,1,1,0.026987951807228915,,,305.4,7.8,0.0004834208105899459,0.0003783502577511131,0.008659633680667918,0.0036017494211474143,0.026987951807228915,,,0.004536744061678328,0.0034854771784232365
2020-01-27,China,2877,82,802,26,1,2020,1,27,0,0,1,0.028501911713590546,,,388.1666666666667,10.833333333333334,0.0006703559552828758,0.0005540128774212728,0.010381205099993528,0.006688963210702341,0.028501911713590546,,,0.00576625022901595,0.0048409405255878295
2020-01-28,China,5509,131,2632,49,1,2020,1,28,1,0,1,0.0237792702849882,,,708.7142857142857,16.285714285714285,0.0012838388740257578,0.0008850693529534967,0.034068992298233125,0.01260612297401595,0.0237792702849882,,,0.010528013513886323,0.007277369932971593
2020-01-29,China,6087,133,578,2,1,2020,1,29,2,0,1,0.021849843929686218,10.107664233576642,6.823529411764706,791.2857142857143,16.571428571428573,0.001418562706485251,0.0008985818621588936,0.007481716393760922,0.0005145356315924878,0.021849843929686218,0.04914342530526292,0.0,0.01175461940201902,0.007405043089690394
2020-01-30,China,8141,171,2054,38,1,2020,1,30,3,0,1,0.0210047905662695,11.660964230171073,8.5,1071.142857142857,21.857142857142858,0.00189732179276864,0.0011553195370614345,0.026587275904472202,0.009776177000257269,0.0210047905662695,0.05627075427300836,0.0,0.015911922057472216,0.009766996488988192
2020-01-31,China,9802,213,1661,42,1,2020,1,31,4,0,1,0.021730259130789634,9.654347826086957,7.192307692307692,1268.857142857143,26.714285714285715,0.002284477996428187,0.0014390822303747693,0.021500226522555173,0.010805248263442244,0.021730259130789634,0.04706337948685097,0.0,0.01884898529134012,0.011937440153207789
