date_value,country,total_cases,total_deaths,new_cases,new_deaths,id_pandemic,year,month,day,day_of_week,is_weekend,quarter,mortality_rate,cases_growth_rate_7d,deaths_growth_rate_7d,new_cases_ma7,new_deaths_ma7,total_cases_normalized,total_deaths_normalized,new_cases_normalized,new_deaths_normalized,mortality_rate_normalized,cases_growth_rate_7d_normalized,deaths_growth_rate_7d_normalized,new_cases_ma7_normalized,new_deaths_ma7_normalized
2020-03-06,Colombia,1,0,1,0,1,2020,3,6,4,0,1,0.0,,,1.0,0.0,0.0,0.0,1.2944146009966992e-05,0.0,0.0,,,1.4855088610603563e-05,0.0
2020-03-07,Colombia,1,0,0,0,1,2020,3,7,5,1,1,0.0,,,0.5,0.0,0.0,0.0,0.0,0.0,0.0,,,7.4275443053017815e-06,0.0
2020-03-08,Colombia,1,0,0,0,1,2020,3,8,6,1,1,0.0,,,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,,,4.95169620353452e-06,0.0
2020-03-09,Colombia,1,0,0,0,1,2020,3,9,0,0,1,0.0,,,0.25,0.0,0.0,0.0,0.0,0.0,0.0,,,3.7137721526508907e-06,0.0
2020-03-10,Colombia,3,0,2,0,1,2020,3,10,1,0,1,0.0,,,0.6,0.0,4.6617243065568553e-07,0.0,2.5888292019933984e-05,0.0,0.0,,,8.913053166362137e-06,0.0
2020-03-11,Colombia,9,0,6,0,1,2020,3,11,2,0,1,0.0,,,1.5,0.0,1.8646897226227421e-06,0.0,7.766487605980195e-05,0.0,0.0,,,2.2282632915905342e-05,0.0
2020-03-12,Colombia,9,0,0,0,1,2020,3,12,3,0,1,0.0,,,1.2857142857142858,0.0,1.8646897226227421e-06,0.0,0.0,0.0,0.0,,,1.909939964220458e-05,0.0
2020-03-13,Colombia,13,0,4,0,1,2020,3,13,4,0,1,0.0,12.0,,1.7142857142857142,0.0,2.797034583934113e-06,0.0,5.177658403986797e-05,0.0,0.0,0.05782642250754227,,2.5465866189606106e-05,0.0
2020-03-14,Colombia,22,0,9,0,1,2020,3,14,5,1,1,0.0,21.0,,3.0,0.0,4.894810521884698e-06,0.0,0.00011649731408970293,0.0,0.0,0.09912299165088052,,4.4565265831810684e-05,0.0
2020-03-15,Colombia,34,0,12,0,1,2020,3,15,6,1,1,0.0,33.0,,4.714285714285714,0.0,7.691845105818811e-06,0.0,0.0001553297521196039,0.0,0.0,0.1541850838419982,,7.00311320214168e-05,0.0
2020-03-16,Colombia,57,0,23,0,1,2020,3,16,0,0,1,0.0,56.0,,8.0,0.0,1.3052828058359194e-05,0.0,0.0002977153582292408,0.0,0.0,0.2597207605416404,,0.0001188407088848285,0.0
2020-03-17,Colombia,75,0,18,0,1,2020,3,17,1,0,1,0.0,24.0,,10.285714285714286,0.0,1.7248379934260365e-05,0.0,0.00023299462817940586,0.0,0.0,0.11288851469865994,,0.00015279519713763665,0.0
2020-03-18,Colombia,102,0,27,0,1,2020,3,18,2,0,1,0.0,10.333333333333334,,13.285714285714286,0.0,2.3541707748112118e-05,0.0,0.0003494919422691088,0.0,0.0,0.05017890970322038,,0.00019736046296944733,0.0
2020-03-19,Colombia,108,0,6,0,1,2020,3,19,3,0,1,0.0,11.0,,14.142857142857142,0.0,2.4940225040079174e-05,0.0,7.766487605980195e-05,0.0,0.0,0.053237914824949134,,0.00021009339606425036,0.0
2020-03-20,Colombia,158,0,50,0,1,2020,3,20,4,0,1,0.0,11.153846153846153,,20.714285714285715,0.0,3.659453580647131e-05,0.0,0.0006472073004983496,0.0,0.0,0.05394383908380961,,0.0003077125497910738,0.0
2020-03-21,Colombia,196,0,38,0,1,2020,3,21,5,1,1,0.0,7.909090909090908,,24.857142857142858,0.0,4.545181198892934e-05,0.0,0.0004918775483787457,0.0,0.0,0.03905525471511579,,0.00036925505974928855,0.0
2020-03-22,Colombia,231,2,35,2,1,2020,3,22,6,1,1,0.008658008658008658,5.794117647058823,inf,28.142857142857142,0.2857142857142857,5.360982952540383e-05,1.3512509205396897e-05,0.0004530451103488447,0.0005145356315924878,0.008658008658008658,0.029350683653802504,,0.0004180646366127002,0.00012767315671879988
2020-03-23,Colombia,277,3,46,1,1,2020,3,23,0,0,1,0.010830324909747292,3.859649122807017,inf,31.428571428571427,0.42857142857142855,6.43317954304846e-05,2.0268763808095344e-05,0.0005954307164584816,0.0002572678157962439,0.010830324909747292,0.020474359968538476,,0.00046687421347611194,0.0001915097350781998
2020-03-24,Colombia,378,3,101,0,1,2020,3,24,1,0,1,0.007936507936507936,4.04,inf,43.285714285714285,0.42857142857142855,8.787350317859672e-05,2.0268763808095344e-05,0.0013073587470066662,0.0,0.007936507936507936,0.021301901354100893,,0.0006430131212875542,0.0001915097350781998
2020-03-25,Colombia,470,4,92,1,1,2020,3,25,2,0,1,0.00851063829787234,3.6078431372549016,inf,52.57142857142857,0.5714285714285714,0.00010931743498875825,2.7025018410793794e-05,0.0011908614329169632,0.0002572678157962439,0.00851063829787234,0.019318946269309658,,0.0007809532298145872,0.00025534631343759976
2020-03-26,Colombia,491,6,21,2,1,2020,3,26,3,0,1,0.012219959266802444,3.5462962962962967,inf,54.714285714285715,0.8571428571428571,0.00011421224551064295,4.053752761619069e-05,0.00027182706620930685,0.0005145356315924878,0.012219959266802444,0.019036538116731765,,0.0008127855625515949,0.0003830194701563996
2020-03-27,Colombia,539,6,48,0,1,2020,3,27,4,0,1,0.011131725417439703,2.411392405063291,inf,54.42857142857143,0.8571428571428571,0.0001254003838463794,4.053752761619069e-05,0.0006213190084784156,0.0,0.011131725417439703,0.01382902289280427,,0.0008085412515199939,0.0003830194701563996
2020-03-28,Colombia,608,6,69,0,1,2020,3,28,5,1,1,0.009868421052631578,2.1020408163265305,inf,58.857142857142854,0.8571428571428571,0.00014148333270400055,4.053752761619069e-05,0.0008931460746877225,0.0,0.009868421052631578,0.01240956075126325,,0.0008743280725098096,0.0003830194701563996
2020-03-29,Colombia,702,10,94,4,1,2020,3,29,6,1,1,0.014245014245014245,2.038961038961039,4.0,67.28571428571429,1.1428571428571428,0.00016339343694481777,6.756254602698448e-05,0.0012167497249368972,0.0010290712631849757,0.014245014245014245,0.012120118708205426,0.0,0.0009995352479420397,0.0005106926268751995
2020-03-30,Colombia,798,12,96,2,1,2020,3,30,0,0,1,0.015037593984962405,1.8808664259927799,3.0,74.42857142857143,1.2857142857142858,0.00018576971361629067,8.107505523238138e-05,0.0012426380169568312,0.0005145356315924878,0.015037593984962405,0.011394700362023981,0.0,0.0011056430237320653,0.0005745292052345996
2020-03-31,Colombia,906,16,108,4,1,2020,3,31,1,0,1,0.017660044150110375,1.3968253968253967,4.333333333333333,75.42857142857143,1.8571428571428572,0.0002109430248716977,0.00010810007364317517,0.001397967769076435,0.0010290712631849757,0.017660044150110375,0.009173674380999154,0.0,0.0011204981123426687,0.0008298755186721993
2020-04-01,Colombia,1065,17,159,1,1,2020,4,1,2,0,2,0.01596244131455399,1.2659574468085109,3.25,85.0,1.8571428571428572,0.0002480037331088247,0.00011485632824587362,0.0020581192155847516,0.0002572678157962439,0.01596244131455399,0.008573185786941459,0.0,0.0012626825319013027,0.0008298755186721993
2020-04-02,Colombia,1161,19,96,2,1,2020,4,2,3,0,2,0.01636520241171404,1.364562118126273,2.1666666666666665,95.71428571428571,1.8571428571428572,0.0002703800097802976,0.0001283688374512705,0.0012426380169568312,0.0005145356315924878,0.01636520241171404,0.009025634078822582,0.0,0.001421844195586341,0.0008298755186721993
2020-04-03,Colombia,1267,25,106,6,1,2020,4,3,4,0,2,0.01973164956590371,1.3506493506493507,3.166666666666667,104.0,2.7142857142857144,0.0002950871486050489,0.0001689063650674612,0.0013720794770565013,0.0015436068947774634,0.01973164956590371,0.008961795238368592,0.0,0.0015449292155027704,0.001212894988828599
2020-04-04,Colombia,1406,32,139,7,1,2020,4,4,5,1,2,0.02275960170697013,1.3125,4.333333333333333,114.0,3.7142857142857144,0.0003274861325356191,0.00021620014728635035,0.001799236295385412,0.0018008747105737071,0.02275960170697013,0.008786746649828106,0.0,0.001693480101608806,0.0016597510373443985
2020-04-05,Colombia,1485,35,79,3,1,2020,4,5,6,1,2,0.02356902356902357,1.1153846153846154,2.5,111.85714285714286,3.5714285714285716,0.00034589994354651863,0.00023646891109444567,0.0010225875347873925,0.0007718034473887317,0.02356902356902357,0.007882281193163114,0.0,0.0016616477688717985,0.0015959144589849986
2020-04-06,Colombia,1579,46,94,11,1,2020,4,6,0,0,2,0.029132362254591513,0.9786967418546366,2.8333333333333335,111.57142857142857,4.857142857142857,0.0003678100477873359,0.0003107877117241286,0.0012167497249368972,0.002829945973758683,0.029132362254591513,0.007255087835353486,0.0,0.0016574034578401974,0.002170443664219598
2020-04-07,Colombia,1780,50,201,4,1,2020,4,7,1,0,2,0.028089887640449437,0.9646799116997793,2.125,124.85714285714286,4.857142857142857,0.0004146603770682323,0.0003378127301349224,0.0026017733480033656,0.0010290712631849757,0.028089887640449437,0.0071907715025023205,0.0,0.0018547639208096448,0.002170443664219598
2020-04-08,Colombia,2054,54,274,4,1,2020,4,8,2,0,2,0.02629016553067186,0.9286384976525821,2.176470588235294,141.28571428571428,5.285714285714286,0.0004785260000680612,0.0003648377485457162,0.003546696006730956,0.0010290712631849757,0.02629016553067186,0.007025395197255236,0.0,0.002098811805126703,0.002361953399297798
2020-04-09,Colombia,2223,69,169,15,1,2020,4,9,3,0,2,0.0310391363022942,0.9147286821705427,2.6315789473684212,151.71428571428572,7.142857142857143,0.0005179175704584666,0.0004661815675861929,0.002187560675684422,0.0038590172369436584,0.0310391363022942,0.006961569902052445,0.0,0.0022537291577801404,0.003191828917969997
2020-04-10,Colombia,2473,80,250,11,1,2020,4,10,4,0,2,0.03234937323089365,0.951854775059195,2.2,172.28571428571428,7.857142857142857,0.0005761891242904273,0.0005405003682158758,0.003236036502491748,0.002829945973758683,0.03234937323089365,0.007131923264496692,0.0,0.0025593195520554135,0.0035110118097669966
2020-04-11,Colombia,2709,100,236,20,1,2020,4,11,5,1,2,0.0369139904023625,0.9267425320056899,2.125,186.14285714285714,9.714285714285714,0.0006311974711077982,0.0006756254602698448,0.0030548184583522103,0.005145356315924878,0.0369139904023625,0.007016695544318538,0.0,0.002765168637088063,0.004340887328439196
