date_value,country,total_cases,total_deaths,new_cases,new_deaths,id_pandemic,year,month,day,day_of_week,is_weekend,quarter,mortality_rate,cases_growth_rate_7d,deaths_growth_rate_7d,new_cases_ma7,new_deaths_ma7,total_cases_normalized,total_deaths_normalized,new_cases_normalized,new_deaths_normalized,mortality_rate_normalized,cases_growth_rate_7d_normalized,deaths_growth_rate_7d_normalized,new_cases_ma7_normalized,new_deaths_ma7_normalized
2020-03-11,Congo (Kinshasa),1,0,1,0,1,2020,3,11,2,0,1,0.0,,,1.0,0.0,0.0,0.0,1.2944146009966992e-05,0.0,0.0,,,1.4855088610603563e-05,0.0
2020-03-12,Congo (Kinshasa),1,0,0,0,1,2020,3,12,3,0,1,0.0,,,0.5,0.0,0.0,0.0,0.0,0.0,0.0,,,7.4275443053017815e-06,0.0
2020-03-13,Congo (Kinshasa),2,0,1,0,1,2020,3,13,4,0,1,0.0,,,0.6666666666666666,0.0,2.3308621532784276e-07,0.0,1.2944146009966992e-05,0.0,0.0,,,9.90339240706904e-06,0.0
2020-03-14,Congo (Kinshasa),2,0,0,0,1,2020,3,14,5,1,1,0.0,,,0.5,0.0,2.3308621532784276e-07,0.0,0.0,0.0,0.0,,,7.4275443053017815e-06,0.0
2020-03-15,Congo (Kinshasa),2,0,0,0,1,2020,3,15,6,1,1,0.0,,,0.4,0.0,2.3308621532784276e-07,0.0,0.0,0.0,0.0,,,5.942035444241425e-06,0.0
2020-03-16,Congo (Kinshasa),2,0,0,0,1,2020,3,16,0,0,1,0.0,,,0.3333333333333333,0.0,2.3308621532784276e-07,0.0,0.0,0.0,0.0,,,4.95169620353452e-06,0.0
2020-03-17,Congo (Kinshasa),3,0,1,0,1,2020,3,17,1,0,1,0.0,,,0.42857142857142855,0.0,4.6617243065568553e-07,0.0,1.2944146009966992e-05,0.0,0.0,,,6.3664665474015265e-06,0.0
2020-03-18,Congo (Kinshasa),4,0,1,0,1,2020,3,18,2,0,1,0.0,3.0,,0.42857142857142855,0.0,6.992586459835282e-07,0.0,1.2944146009966992e-05,0.0,0.0,0.01652985336420403,,6.3664665474015265e-06,0.0
2020-03-19,Congo (Kinshasa),14,0,10,0,1,2020,3,19,3,0,1,0.0,13.0,,1.8571428571428572,0.0,3.0301207992619557e-06,0.0,0.00012944146009966992,0.0,0.0,0.06241493019013541,,2.7588021705406618e-05,0.0
2020-03-20,Congo (Kinshasa),18,0,4,0,1,2020,3,20,4,0,1,0.0,8.0,,2.2857142857142856,0.0,3.962465660573327e-06,0.0,5.177658403986797e-05,0.0,0.0,0.03947239177716972,,3.395448825280814e-05,0.0
2020-03-21,Congo (Kinshasa),23,1,5,1,1,2020,3,21,5,1,1,0.043478260869565216,10.5,inf,3.0,0.14285714285714285,5.127896737212541e-06,6.756254602698448e-06,6.472073004983496e-05,0.0002572678157962439,0.043478260869565216,0.050943660983652564,,4.4565265831810684e-05,6.383657835939994e-05
2020-03-22,Congo (Kinshasa),30,1,7,0,1,2020,3,22,6,1,1,0.03333333333333333,14.0,inf,4.0,0.14285714285714285,6.7595002445074395e-06,6.756254602698448e-06,9.060902206976894e-05,0.0,0.03333333333333333,0.06700343787272854,,5.942035444241425e-05,6.383657835939994e-05
2020-03-23,Congo (Kinshasa),36,1,6,0,1,2020,3,23,0,0,1,0.027777777777777776,17.0,inf,4.857142857142857,0.14285714285714285,8.158017536474496e-06,6.756254602698448e-06,7.766487605980195e-05,0.0,0.027777777777777776,0.08076896092050798,,7.21532875372173e-05,6.383657835939994e-05
2020-03-24,Congo (Kinshasa),45,2,9,1,1,2020,3,24,1,0,1,0.044444444444444446,14.0,inf,6.0,0.2857142857142857,1.0255793474425082e-05,1.3512509205396897e-05,0.00011649731408970293,0.0002572678157962439,0.044444444444444446,0.06700343787272854,,8.913053166362137e-05,0.00012767315671879988
2020-03-25,Congo (Kinshasa),48,2,3,0,1,2020,3,25,2,0,1,0.041666666666666664,11.0,inf,6.285714285714286,0.2857142857142857,1.095505212040861e-05,1.3512509205396897e-05,3.8832438029900976e-05,0.0,0.041666666666666664,0.053237914824949134,,9.337484269522239e-05,0.00012767315671879988
2020-03-26,Congo (Kinshasa),51,3,3,1,1,2020,3,26,3,0,1,0.058823529411764705,2.642857142857143,inf,5.285714285714286,0.42857142857142855,1.1654310766392138e-05,2.0268763808095344e-05,3.8832438029900976e-05,0.0002572678157962439,0.058823529411764705,0.014891100620420764,,7.851975408461883e-05,0.0001915097350781998
2020-03-27,Congo (Kinshasa),51,3,0,0,1,2020,3,27,4,0,1,0.058823529411764705,1.8333333333333335,inf,4.714285714285714,0.42857142857142855,1.1654310766392138e-05,2.0268763808095344e-05,0.0,0.0,0.058823529411764705,0.0111765944011787,,7.00311320214168e-05,0.0001915097350781998
2020-03-28,Congo (Kinshasa),65,6,14,3,1,2020,3,28,5,1,1,0.09230769230769231,1.8260869565217392,5.0,6.0,0.7142857142857143,1.4917517780981937e-05,4.053752761619069e-05,0.0001812180441395379,0.0007718034473887317,0.09230769230769231,0.011143344345507735,0.0,8.913053166362137e-05,0.00031918289179699974
2020-03-29,Congo (Kinshasa),65,6,0,0,1,2020,3,29,6,1,1,0.09230769230769231,1.1666666666666665,5.0,5.0,0.7142857142857143,1.4917517780981937e-05,4.053752761619069e-05,0.0,0.0,0.09230769230769231,0.00811758927944994,0.0,7.42754430530178e-05,0.00031918289179699974
2020-03-30,Congo (Kinshasa),81,8,16,2,1,2020,3,30,0,0,1,0.09876543209876543,1.25,7.0,6.428571428571429,1.0,1.864689722622742e-05,5.405003682158759e-05,0.00020710633615947187,0.0005145356315924878,0.09876543209876543,0.008499964919666035,0.0,9.549699821102291e-05,0.0004468560485157996
2020-03-31,Congo (Kinshasa),98,8,17,0,1,2020,3,31,1,0,1,0.08163265306122448,1.1777777777777776,3.0,7.571428571428571,0.8571428571428571,2.2609362886800748e-05,5.405003682158759e-05,0.00022005048216943888,0.0,0.08163265306122448,0.008168572698145419,0.0,0.00011247424233742696,0.0003830194701563996
2020-04-01,Congo (Kinshasa),109,9,11,1,1,2020,4,1,2,0,2,0.08256880733944955,1.2708333333333335,3.5,8.714285714285714,1.0,2.517331125540702e-05,6.080629142428603e-05,0.00014238560610963693,0.0002572678157962439,0.08256880733944955,0.00859555882972006,0.0,0.00012945148646383104,0.0004468560485157996
2020-04-02,Congo (Kinshasa),134,13,25,4,1,2020,4,2,3,0,2,0.09701492537313433,1.6274509803921569,3.333333333333333,11.857142857142858,1.4285714285714286,3.1000466638603085e-05,8.783130983507983e-05,0.0003236036502491748,0.0010290712631849757,0.09701492537313433,0.010231901642997759,0.0,0.00017613890781144226,0.0006383657835939995
2020-04-03,Congo (Kinshasa),134,13,0,0,1,2020,4,3,4,0,2,0.09701492537313433,1.6274509803921569,3.333333333333333,11.857142857142858,1.4285714285714286,3.1000466638603085e-05,8.783130983507983e-05,0.0,0.0,0.09701492537313433,0.010231901642997759,0.0,0.00017613890781144226,0.0006383657835939995
2020-04-04,Congo (Kinshasa),154,18,20,5,1,2020,4,4,5,1,2,0.11688311688311688,1.3692307692307693,2.0,12.714285714285714,1.7142857142857142,3.5662190945159944e-05,0.00012161258284857206,0.00025888292019933984,0.0012863390789812194,0.11688311688311688,0.00904705622028291,0.0,0.00018887184090624529,0.0007660389403127992
2020-04-05,Congo (Kinshasa),154,18,0,0,1,2020,4,5,6,1,2,0.11688311688311688,1.3692307692307693,2.0,12.714285714285714,1.7142857142857142,3.5662190945159944e-05,0.00012161258284857206,0.0,0.0,0.11688311688311688,0.00904705622028291,0.0,0.00018887184090624529,0.0007660389403127992
2020-04-06,Congo (Kinshasa),161,18,7,0,1,2020,4,6,0,0,2,0.11180124223602485,0.9876543209876543,1.25,11.428571428571429,1.4285714285714286,3.729379445245484e-05,0.00012161258284857206,9.060902206976894e-05,0.0,0.11180124223602485,0.007296189756022774,0.0,0.00016977244126404072,0.0006383657835939995
2020-04-07,Congo (Kinshasa),180,18,19,0,1,2020,4,7,1,0,2,0.1,0.8367346938775511,1.25,11.714285714285714,1.4285714285714286,4.172243254368385e-05,0.00012161258284857206,0.00024593877418937284,0.0,0.1,0.006603693887573973,0.0,0.00017401675229564172,0.0006383657835939995
2020-04-08,Congo (Kinshasa),180,18,0,0,1,2020,4,8,2,0,2,0.1,0.6513761467889909,1.0,10.142857142857142,1.2857142857142858,4.172243254368385e-05,0.00012161258284857206,0.0,0.0,0.1,0.005753174770223813,0.0,0.00015067304162183612,0.0005745292052345996
2020-04-09,Congo (Kinshasa),180,18,0,0,1,2020,4,9,3,0,2,0.1,0.34328358208955234,0.3846153846153846,6.571428571428571,0.7142857142857143,4.172243254368385e-05,0.00012161258284857206,0.0,0.0,0.1,0.004339489670150616,0.0,9.76191537268234e-05,0.00031918289179699974
2020-04-10,Congo (Kinshasa),215,20,35,2,1,2020,4,10,4,0,2,0.09302325581395349,0.6044776119402986,0.5384615384615385,11.571428571428571,1.0,4.988045008015835e-05,0.00013512509205396896,0.0004530451103488447,0.0005145356315924878,0.09302325581395349,0.005537980482768226,0.0,0.00017189459677984122,0.0004468560485157996
2020-04-11,Congo (Kinshasa),223,20,8,0,1,2020,4,11,5,1,2,0.08968609865470852,0.44805194805194803,0.11111111111111116,9.857142857142858,0.2857142857142857,5.1745139802781094e-05,0.00013512509205396896,0.00010355316807973594,0.0,0.08968609865470852,0.004820220122261798,0.0,0.00014642873059023513,0.00012767315671879988
2020-04-12,Congo (Kinshasa),234,20,11,0,1,2020,4,12,6,1,2,0.08547008547008547,0.5194805194805194,0.11111111111111116,11.428571428571429,0.2857142857142857,5.4309088171387364e-05,0.00013512509205396896,0.00014238560610963693,0.0,0.08547008547008547,0.00514797067101845,0.0,0.00016977244126404072,0.00012767315671879988
2020-04-13,Congo (Kinshasa),235,20,1,0,1,2020,4,13,0,0,2,0.0851063829787234,0.45962732919254656,0.11111111111111116,10.571428571428571,0.2857142857142857,5.4542174386715206e-05,0.00013512509205396896,1.2944146009966992e-05,0.0,0.0851063829787234,0.004873333847554378,0.0,0.00015703950816923766,0.00012767315671879988
2020-04-14,Congo (Kinshasa),241,20,6,0,1,2020,4,14,1,0,2,0.08298755186721991,0.3388888888888888,0.11111111111111116,8.714285714285714,0.2857142857142857,5.594069167868226e-05,0.00013512509205396896,7.766487605980195e-05,0.0,0.08298755186721991,0.004319324586636731,0.0,0.00012945148646383104,0.00012767315671879988
2020-04-15,Congo (Kinshasa),254,21,13,1,1,2020,4,15,2,0,2,0.08267716535433071,0.4111111111111112,0.16666666666666674,10.571428571428571,0.42857142857142855,5.8970812477944216e-05,0.0001418813466566674,0.0001682738981295709,0.0002572678157962439,0.08267716535433071,0.0046507168081573475,0.0,0.00015703950816923766,0.0001915097350781998
2020-04-16,Congo (Kinshasa),267,22,13,1,1,2020,4,16,3,0,2,0.08239700374531835,0.4833333333333334,0.22222222222222232,12.428571428571429,0.5714285714285714,6.200093327720617e-05,0.00014863760125936586,0.0001682738981295709,0.0002572678157962439,0.08239700374531835,0.0049821090296779625,0.0,0.00018462752987464428,0.00025534631343759976
2020-04-17,Congo (Kinshasa),287,23,20,1,1,2020,4,17,4,0,2,0.08013937282229965,0.33488372093023266,0.1499999999999999,10.285714285714286,0.42857142857142855,6.666265758376303e-05,0.0001553938558620643,0.00025888292019933984,0.0002572678157962439,0.08013937282229965,0.004300946842688362,0.0,0.00015279519713763665,0.0001915097350781998
2020-04-18,Congo (Kinshasa),307,25,20,2,1,2020,4,18,5,1,2,0.08143322475570032,0.37668161434977576,0.25,12.0,0.7142857142857143,7.132438189031989e-05,0.0001689063650674612,0.00025888292019933984,0.0005145356315924878,0.08143322475570032,0.004492736797760144,0.0,0.00017826106332724273,0.00031918289179699974
2020-04-19,Congo (Kinshasa),327,25,20,0,1,2020,4,19,6,1,2,0.0764525993883792,0.39743589743589736,0.25,13.285714285714286,0.7142857142857143,7.598610619687673e-05,0.0001689063650674612,0.00025888292019933984,0.0,0.0764525993883792,0.004587967985147526,0.0,0.00019736046296944733,0.00031918289179699974
2020-04-20,Congo (Kinshasa),332,25,5,0,1,2020,4,20,0,0,2,0.07530120481927711,0.41276595744680855,0.25,13.857142857142858,0.7142857142857143,7.715153727351595e-05,0.0001689063650674612,6.472073004983496e-05,0.0,0.07530120481927711,0.004658310083282206,0.0,0.00020584908503264938,0.00031918289179699974
2020-04-21,Congo (Kinshasa),350,25,18,0,1,2020,4,21,1,0,2,0.07142857142857142,0.4522821576763485,0.25,15.571428571428571,0.7142857142857143,8.134708914941712e-05,0.0001689063650674612,0.00023299462817940586,0.0,0.07142857142857142,0.0048396304716223386,0.0,0.00023131495122225546,0.00031918289179699974
2020-04-22,Congo (Kinshasa),359,25,9,0,1,2020,4,22,2,0,2,0.06963788300835655,0.4133858267716535,0.19047619047619047,15.0,0.5714285714285714,8.34448650873677e-05,0.0001689063650674612,0.00011649731408970293,0.0,0.06963788300835655,0.00466115435844146,0.0,0.00022282632915905345,0.00025534631343759976
2020-04-23,Congo (Kinshasa),377,25,18,0,1,2020,4,23,3,0,2,0.06631299734748011,0.41198501872659166,0.13636363636363646,15.714285714285714,0.42857142857142855,8.764041696326888e-05,0.0001689063650674612,0.00023299462817940586,0.0,0.06631299734748011,0.004654726739964856,0.0,0.00023343710673805597,0.0001915097350781998
