date_value,country,total_cases,total_deaths,new_cases,new_deaths,id_pandemic,year,month,day,day_of_week,is_weekend,quarter,mortality_rate,cases_growth_rate_7d,deaths_growth_rate_7d,new_cases_ma7,new_deaths_ma7,total_cases_normalized,total_deaths_normalized,new_cases_normalized,new_deaths_normalized,mortality_rate_normalized,cases_growth_rate_7d_normalized,deaths_growth_rate_7d_normalized,new_cases_ma7_normalized,new_deaths_ma7_normalized
2020-03-06,Costa Rica,1,0,1,0,1,2020,3,6,4,0,1,0.0,,,1.0,0.0,0.0,0.0,1.2944146009966992e-05,0.0,0.0,,,1.4855088610603563e-05,0.0
2020-03-07,Costa Rica,1,0,0,0,1,2020,3,7,5,1,1,0.0,,,0.5,0.0,0.0,0.0,0.0,0.0,0.0,,,7.4275443053017815e-06,0.0
2020-03-08,Costa Rica,5,0,4,0,1,2020,3,8,6,1,1,0.0,,,1.6666666666666667,0.0,9.323448613113711e-07,0.0,5.177658403986797e-05,0.0,0.0,,,2.4758481017672605e-05,0.0
2020-03-09,Costa Rica,9,0,4,0,1,2020,3,9,0,0,1,0.0,,,2.25,0.0,1.8646897226227421e-06,0.0,5.177658403986797e-05,0.0,0.0,,,3.342394937385801e-05,0.0
2020-03-10,Costa Rica,9,0,0,0,1,2020,3,10,1,0,1,0.0,,,1.8,0.0,1.8646897226227421e-06,0.0,0.0,0.0,0.0,,,2.6739159499086413e-05,0.0
2020-03-11,Costa Rica,13,0,4,0,1,2020,3,11,2,0,1,0.0,,,2.1666666666666665,0.0,2.797034583934113e-06,0.0,5.177658403986797e-05,0.0,0.0,,,3.218602532297438e-05,0.0
2020-03-12,Costa Rica,22,0,9,0,1,2020,3,12,3,0,1,0.0,,,3.142857142857143,0.0,4.894810521884698e-06,0.0,0.00011649731408970293,0.0,0.0,,,4.6687421347611195e-05,0.0
2020-03-13,Costa Rica,23,0,1,0,1,2020,3,13,4,0,1,0.0,22.0,,3.142857142857143,0.0,5.127896737212541e-06,0.0,1.2944146009966992e-05,0.0,0.0,0.10371149933347366,,4.6687421347611195e-05,0.0
2020-03-14,Costa Rica,26,0,3,0,1,2020,3,14,5,1,1,0.0,25.0,,3.5714285714285716,0.0,5.827155383196069e-06,0.0,3.8832438029900976e-05,0.0,0.0,0.11747702238125307,,5.3053887895012723e-05,0.0
2020-03-15,Costa Rica,27,0,1,0,1,2020,3,15,6,1,1,0.0,4.4,,3.142857142857143,0.0,6.060241598523911e-06,0.0,1.2944146009966992e-05,0.0,0.0,0.02295376411983442,,4.6687421347611195e-05,0.0
2020-03-16,Costa Rica,35,0,8,0,1,2020,3,16,0,0,1,0.0,2.888888888888889,,3.7142857142857144,0.0,7.924931321146654e-06,0.0,0.00010355316807973594,0.0,0.0,0.016020019177249233,,5.5176043410813235e-05,0.0
2020-03-17,Costa Rica,41,0,6,0,1,2020,3,17,1,0,1,0.0,3.5555555555555554,,4.571428571428571,0.0,9.32344861311371e-06,0.0,7.766487605980195e-05,0.0,0.0,0.01907902429897799,,6.790897650561628e-05,0.0
2020-03-18,Costa Rica,50,0,9,0,1,2020,3,18,2,0,1,0.0,2.8461538461538463,,5.285714285714286,0.0,1.1421224551064295e-05,0.0,0.00011649731408970293,0.0,0.0,0.015823929105343547,,7.851975408461883e-05,0.0
2020-03-19,Costa Rica,69,1,19,1,1,2020,3,19,3,0,1,0.014492753623188406,2.1363636363636362,inf,6.714285714285714,0.14285714285714285,1.584986264229331e-05,6.756254602698448e-06,0.00024593877418937284,0.0002572678157962439,0.014492753623188406,0.01256705127469177,,9.974130924262392e-05,6.383657835939994e-05
2020-03-20,Costa Rica,89,1,20,0,1,2020,3,20,4,0,1,0.011235955056179775,2.869565217391304,inf,9.428571428571429,0.14285714285714285,2.0511586948850164e-05,6.756254602698448e-06,0.00025888292019933984,0.0,0.011235955056179775,0.01593135236212666,,0.0001400622640428336,6.383657835939994e-05
2020-03-21,Costa Rica,117,2,28,1,1,2020,3,21,5,1,1,0.017094017094017096,3.5,inf,13.0,0.2857142857142857,2.7038000978029758e-05,1.3512509205396897e-05,0.0003624360882790758,0.0002572678157962439,0.017094017094017096,0.018824107205500595,,0.0001931161519378463,0.00012767315671879988
2020-03-22,Costa Rica,134,2,17,0,1,2020,3,22,6,1,1,0.014925373134328358,3.962962962962963,inf,15.285714285714286,0.2857142857142857,3.1000466638603085e-05,1.3512509205396897e-05,0.00022005048216943888,0.0,0.014925373134328358,0.020948416317812236,,0.00022707064019065446,0.00012767315671879988
2020-03-23,Costa Rica,158,2,24,0,1,2020,3,23,0,0,1,0.012658227848101266,3.5142857142857142,inf,17.571428571428573,0.2857142857142857,3.659453580647131e-05,1.3512509205396897e-05,0.0003106595042392078,0.0,0.012658227848101266,0.018889657315251926,,0.00026102512844346264,0.00012767315671879988
