date_value,country,total_cases,total_deaths,new_cases,new_deaths,id_pandemic,year,month,day,day_of_week,is_weekend,quarter,mortality_rate,cases_growth_rate_7d,deaths_growth_rate_7d,new_cases_ma7,new_deaths_ma7,total_cases_normalized,total_deaths_normalized,new_cases_normalized,new_deaths_normalized,mortality_rate_normalized,cases_growth_rate_7d_normalized,deaths_growth_rate_7d_normalized,new_cases_ma7_normalized,new_deaths_ma7_normalized
2020-02-25,Croatia,1,0,1,0,1,2020,2,25,1,0,1,0.0,,,1.0,0.0,0.0,0.0,1.2944146009966992e-05,0.0,0.0,,,1.4855088610603563e-05,0.0
2020-02-26,Croatia,3,0,2,0,1,2020,2,26,2,0,1,0.0,,,1.5,0.0,4.6617243065568553e-07,0.0,2.5888292019933984e-05,0.0,0.0,,,2.2282632915905342e-05,0.0
2020-02-27,Croatia,3,0,0,0,1,2020,2,27,3,0,1,0.0,,,1.0,0.0,4.6617243065568553e-07,0.0,0.0,0.0,0.0,,,1.4855088610603563e-05,0.0
2020-02-28,Croatia,5,0,2,0,1,2020,2,28,4,0,1,0.0,,,1.25,0.0,9.323448613113711e-07,0.0,2.5888292019933984e-05,0.0,0.0,,,1.856886076325445e-05,0.0
2020-02-29,Croatia,6,0,1,0,1,2020,2,29,5,1,1,0.0,,,1.2,0.0,1.1654310766392138e-06,0.0,1.2944146009966992e-05,0.0,0.0,,,1.7826106332724274e-05,0.0
2020-03-01,Croatia,7,0,1,0,1,2020,3,1,6,1,1,0.0,,,1.1666666666666667,0.0,1.3985172919670564e-06,0.0,1.2944146009966992e-05,0.0,0.0,,,1.7330936712370825e-05,0.0
2020-03-02,Croatia,7,0,0,0,1,2020,3,2,0,0,1,0.0,,,1.0,0.0,1.3985172919670564e-06,0.0,0.0,0.0,0.0,,,1.4855088610603563e-05,0.0
2020-03-03,Croatia,9,0,2,0,1,2020,3,3,1,0,1,0.0,8.0,,1.1428571428571428,0.0,1.8646897226227421e-06,0.0,2.5888292019933984e-05,0.0,0.0,0.03947239177716972,,1.697724412640407e-05,0.0
2020-03-04,Croatia,10,0,1,0,1,2020,3,4,2,0,1,0.0,2.3333333333333335,,1.0,0.0,2.0977759379505848e-06,0.0,1.2944146009966992e-05,0.0,0.0,0.01347084824247527,,1.4855088610603563e-05,0.0
2020-03-05,Croatia,10,0,0,0,1,2020,3,5,3,0,1,0.0,2.3333333333333335,,1.0,0.0,2.0977759379505848e-06,0.0,0.0,0.0,0.0,0.01347084824247527,,1.4855088610603563e-05,0.0
