date_value,country,total_cases,total_deaths,new_cases,new_deaths,id_pandemic,year,month,day,day_of_week,is_weekend,quarter,mortality_rate,cases_growth_rate_7d,deaths_growth_rate_7d,new_cases_ma7,new_deaths_ma7,total_cases_normalized,total_deaths_normalized,new_cases_normalized,new_deaths_normalized,mortality_rate_normalized,cases_growth_rate_7d_normalized,deaths_growth_rate_7d_normalized,new_cases_ma7_normalized,new_deaths_ma7_normalized
2020-03-12,Cuba,3,0,3,0,1,2020,3,12,3,0,1,0.0,,,3.0,0.0,4.6617243065568553e-07,0.0,3.8832438029900976e-05,0.0,0.0,,,4.4565265831810684e-05,0.0
2020-03-13,Cuba,4,0,1,0,1,2020,3,13,4,0,1,0.0,,,2.0,0.0,6.992586459835282e-07,0.0,1.2944146009966992e-05,0.0,0.0,,,2.9710177221207126e-05,0.0
2020-03-14,Cuba,4,0,0,0,1,2020,3,14,5,1,1,0.0,,,1.3333333333333333,0.0,6.992586459835282e-07,0.0,0.0,0.0,0.0,,,1.980678481413808e-05,0.0
2020-03-15,Cuba,4,0,0,0,1,2020,3,15,6,1,1,0.0,,,1.0,0.0,6.992586459835282e-07,0.0,0.0,0.0,0.0,,,1.4855088610603563e-05,0.0
2020-03-16,Cuba,4,0,0,0,1,2020,3,16,0,0,1,0.0,,,0.8,0.0,6.992586459835282e-07,0.0,0.0,0.0,0.0,,,1.188407088848285e-05,0.0
2020-03-17,Cuba,5,0,1,0,1,2020,3,17,1,0,1,0.0,,,0.8333333333333334,0.0,9.323448613113711e-07,0.0,1.2944146009966992e-05,0.0,0.0,,,1.2379240508836303e-05,0.0
2020-03-18,Cuba,7,1,2,1,1,2020,3,18,2,0,1,0.14285714285714285,,,1.0,0.14285714285714285,1.3985172919670564e-06,6.756254602698448e-06,2.5888292019933984e-05,0.0002572678157962439,0.14285714285714285,,,1.4855088610603563e-05,6.383657835939994e-05
2020-03-19,Cuba,11,1,4,0,1,2020,3,19,3,0,1,0.09090909090909091,2.6666666666666665,inf,1.1428571428571428,0.14285714285714285,2.3308621532784276e-06,6.756254602698448e-06,5.177658403986797e-05,0.0,0.09090909090909091,0.015000350803339647,,1.697724412640407e-05,6.383657835939994e-05
2020-03-20,Cuba,16,1,5,0,1,2020,3,20,4,0,1,0.0625,3.0,inf,1.7142857142857142,0.14285714285714285,3.4962932299176414e-06,6.756254602698448e-06,6.472073004983496e-05,0.0,0.0625,0.01652985336420403,,2.5465866189606106e-05,6.383657835939994e-05
2020-03-21,Cuba,21,1,5,0,1,2020,3,21,5,1,1,0.047619047619047616,4.25,inf,2.4285714285714284,0.14285714285714285,4.661724306556855e-06,6.756254602698448e-06,6.472073004983496e-05,0.0,0.047619047619047616,0.022265487967445447,,3.607664376860865e-05,6.383657835939994e-05
2020-03-22,Cuba,35,1,14,0,1,2020,3,22,6,1,1,0.02857142857142857,7.75,inf,4.428571428571429,0.14285714285714285,7.924931321146654e-06,6.756254602698448e-06,0.0001812180441395379,0.0,0.02857142857142857,0.038325264856521435,,6.578682098981577e-05,6.383657835939994e-05
2020-03-23,Cuba,40,1,5,0,1,2020,3,23,0,0,1,0.025,9.0,inf,5.142857142857143,0.14285714285714285,9.090362397785867e-06,6.756254602698448e-06,6.472073004983496e-05,0.0,0.025,0.04406089945976285,,7.639759856881832e-05,6.383657835939994e-05
2020-03-24,Cuba,48,1,8,0,1,2020,3,24,1,0,1,0.020833333333333332,8.6,inf,6.142857142857143,0.14285714285714285,1.095505212040861e-05,6.756254602698448e-06,0.00010355316807973594,0.0,0.020833333333333332,0.0422254963867256,,9.125268717942189e-05,6.383657835939994e-05
2020-03-25,Cuba,57,1,9,0,1,2020,3,25,2,0,1,0.017543859649122806,7.142857142857142,0.0,7.142857142857143,0.0,1.3052828058359194e-05,6.756254602698448e-06,0.00011649731408970293,0.0,0.017543859649122806,0.035539385192089885,0.0,0.00010610777579002545,0.0
2020-03-26,Cuba,67,2,10,1,1,2020,3,26,3,0,1,0.029850746268656716,5.090909090909091,1.0,8.0,0.14285714285714285,1.5383690211637622e-05,1.3512509205396897e-05,0.00012944146009966992,0.0002572678157962439,0.029850746268656716,0.02612400579144423,0.0,0.0001188407088848285,6.383657835939994e-05
2020-03-27,Cuba,80,2,13,0,1,2020,3,27,4,0,1,0.025,4.0,1.0,9.142857142857142,0.14285714285714285,1.841381101089958e-05,1.3512509205396897e-05,0.0001682738981295709,0.0,0.025,0.021118361046797166,0.0,0.00013581795301123256,6.383657835939994e-05
2020-03-28,Cuba,119,3,39,1,1,2020,3,28,5,1,1,0.025210084033613446,4.666666666666667,2.0,14.0,0.2857142857142857,2.7504173408685445e-05,2.0268763808095344e-05,0.0005048216943887127,0.0002572678157962439,0.025210084033613446,0.024177366168525928,0.0,0.00020797124054844988,0.00012767315671879988
2020-03-29,Cuba,139,3,20,0,1,2020,3,29,6,1,1,0.02158273381294964,2.9714285714285715,2.0,14.857142857142858,0.2857142857142857,3.21658977152423e-05,2.0268763808095344e-05,0.00025888292019933984,0.0,0.02158273381294964,0.016398753144701367,0.0,0.00022070417364325294,0.00012767315671879988
2020-03-30,Cuba,170,4,31,1,1,2020,3,30,0,0,1,0.023529411764705882,3.25,3.0,18.571428571428573,0.42857142857142855,3.939157039040542e-05,2.7025018410793794e-05,0.00040126852630897674,0.0002572678157962439,0.023529411764705882,0.017676980284852314,0.0,0.0002758802170540662,0.0001915097350781998
2020-03-31,Cuba,186,6,16,2,1,2020,3,31,1,0,1,0.03225806451612903,2.875,5.0,19.714285714285715,0.7142857142857143,4.312094983565091e-05,4.053752761619069e-05,0.00020710633615947187,0.0005145356315924878,0.03225806451612903,0.015956289903879886,0.0,0.00029285746118047027,0.00031918289179699974
2020-04-01,Cuba,212,6,26,0,1,2020,4,1,2,0,2,0.02830188679245283,2.719298245614035,5.0,22.142857142857142,0.7142857142857143,4.918119143417482e-05,4.053752761619069e-05,0.0003365477962591418,0.0,0.02830188679245283,0.015241851207686655,0.0,0.00032893410494907885,0.00031918289179699974
