date_value,country,total_cases,total_deaths,new_cases,new_deaths,id_pandemic,year,month,day,day_of_week,is_weekend,quarter,mortality_rate,cases_growth_rate_7d,deaths_growth_rate_7d,new_cases_ma7,new_deaths_ma7,total_cases_normalized,total_deaths_normalized,new_cases_normalized,new_deaths_normalized,mortality_rate_normalized,cases_growth_rate_7d_normalized,deaths_growth_rate_7d_normalized,new_cases_ma7_normalized,new_deaths_ma7_normalized
2020-03-01,Czechia,3,0,3,0,1,2020,3,1,6,1,1,0.0,,,3.0,0.0,4.6617243065568553e-07,0.0,3.8832438029900976e-05,0.0,0.0,,,4.4565265831810684e-05,0.0
2020-03-02,Czechia,3,0,0,0,1,2020,3,2,0,0,1,0.0,,,1.5,0.0,4.6617243065568553e-07,0.0,0.0,0.0,0.0,,,2.2282632915905342e-05,0.0
2020-03-03,Czechia,5,0,2,0,1,2020,3,3,1,0,1,0.0,,,1.6666666666666667,0.0,9.323448613113711e-07,0.0,2.5888292019933984e-05,0.0,0.0,,,2.4758481017672605e-05,0.0
2020-03-04,Czechia,8,0,3,0,1,2020,3,4,2,0,1,0.0,,,2.0,0.0,1.6316035072948993e-06,0.0,3.8832438029900976e-05,0.0,0.0,,,2.9710177221207126e-05,0.0
2020-03-05,Czechia,12,0,4,0,1,2020,3,5,3,0,1,0.0,,,2.4,0.0,2.5639483686062704e-06,0.0,5.177658403986797e-05,0.0,0.0,,,3.565221266544855e-05,0.0
2020-03-06,Czechia,18,0,6,0,1,2020,3,6,4,0,1,0.0,,,3.0,0.0,3.962465660573327e-06,0.0,7.766487605980195e-05,0.0,0.0,,,4.4565265831810684e-05,0.0
2020-03-07,Czechia,19,0,1,0,1,2020,3,7,5,1,1,0.0,,,2.7142857142857144,0.0,4.1955518759011695e-06,0.0,1.2944146009966992e-05,0.0,0.0,,,4.0320954800209674e-05,0.0
2020-03-08,Czechia,31,0,12,0,1,2020,3,8,6,1,1,0.0,9.333333333333334,,4.0,0.0,6.992586459835283e-06,0.0,0.0001553297521196039,0.0,0.0,0.04559040202062724,,5.942035444241425e-05,0.0
2020-03-09,Czechia,31,0,0,0,1,2020,3,9,0,0,1,0.0,9.333333333333334,,4.0,0.0,6.992586459835283e-06,0.0,0.0,0.0,0.0,0.04559040202062724,,5.942035444241425e-05,0.0
2020-03-10,Czechia,41,0,10,0,1,2020,3,10,1,0,1,0.0,7.199999999999999,,5.142857142857143,0.0,9.32344861311371e-06,0.0,0.00012944146009966992,0.0,0.0,0.0358015856310952,,7.639759856881832e-05,0.0
2020-03-11,Czechia,91,0,50,0,1,2020,3,11,2,0,1,0.0,10.375,,11.857142857142858,0.0,2.0977759379505847e-05,0.0,0.0006472073004983496,0.0,0.0,0.05037009752332842,,0.00017613890781144226,0.0
2020-03-12,Czechia,94,0,3,0,1,2020,3,12,3,0,1,0.0,6.833333333333333,,11.714285714285714,0.0,2.1677018025489375e-05,0.0,3.8832438029900976e-05,0.0,0.0,0.034119132814144394,,0.00017401675229564172,0.0
2020-03-13,Czechia,141,0,47,0,1,2020,3,13,4,0,1,0.0,6.833333333333333,,17.571428571428573,0.0,3.263207014589798e-05,0.0,0.0006083748624684486,0.0,0.0,0.034119132814144394,,0.00026102512844346264,0.0
2020-03-14,Czechia,189,0,48,0,1,2020,3,14,5,1,1,0.0,8.947368421052632,,24.285714285714285,0.0,4.382020848163444e-05,0.0,0.0006213190084784156,0.0,0.0,0.04381939905541585,,0.0003607664376860865,0.0
2020-03-15,Czechia,253,0,64,0,1,2020,3,15,6,1,1,0.0,7.161290322580646,,31.714285714285715,0.0,5.8737726262616375e-05,0.0,0.0008284253446378875,0.0,0.0,0.0356239659788658,,0.000471118524507713,0.0
2020-03-16,Czechia,298,0,45,0,1,2020,3,16,0,0,1,0.0,8.612903225806452,,38.142857142857146,0.0,6.92266059523693e-05,0.0,0.0005824865704485147,0.0,0.0,0.04228470293746874,,0.0005666155227187359,0.0
2020-03-17,Czechia,396,0,98,0,1,2020,3,17,1,0,1,0.0,8.658536585365853,,50.714285714285715,0.0,9.206905505449788e-05,0.0,0.0012685263089767653,0.0,0.0,0.04249409195838959,,0.0007533652081091807,0.0
2020-03-18,Czechia,464,0,68,0,1,2020,3,18,2,0,1,0.0,4.0989010989010985,,53.285714285714285,0.0,0.00010791891769679119,0.0,0.0008802019286777555,0.0,0.0,0.021572169498921757,,0.0007915640073935898,0.0
