date_value,country,total_cases,total_deaths,new_cases,new_deaths,id_pandemic,year,month,day,day_of_week,is_weekend,quarter,mortality_rate,cases_growth_rate_7d,deaths_growth_rate_7d,new_cases_ma7,new_deaths_ma7,total_cases_normalized,total_deaths_normalized,new_cases_normalized,new_deaths_normalized,mortality_rate_normalized,cases_growth_rate_7d_normalized,deaths_growth_rate_7d_normalized,new_cases_ma7_normalized,new_deaths_ma7_normalized
2020-02-27,Denmark,1,0,1,0,1,2020,2,27,3,0,1,0.0,,,1.0,0.0,0.0,0.0,1.2944146009966992e-05,0.0,0.0,,,1.4855088610603563e-05,0.0
2020-02-28,Denmark,1,0,0,0,1,2020,2,28,4,0,1,0.0,,,0.5,0.0,0.0,0.0,0.0,0.0,0.0,,,7.4275443053017815e-06,0.0
2020-02-29,Denmark,3,0,2,0,1,2020,2,29,5,1,1,0.0,,,1.0,0.0,4.6617243065568553e-07,0.0,2.5888292019933984e-05,0.0,0.0,,,1.4855088610603563e-05,0.0
2020-03-01,Denmark,4,0,1,0,1,2020,3,1,6,1,1,0.0,,,1.0,0.0,6.992586459835282e-07,0.0,1.2944146009966992e-05,0.0,0.0,,,1.4855088610603563e-05,0.0
2020-03-02,Denmark,4,0,0,0,1,2020,3,2,0,0,1,0.0,,,0.8,0.0,6.992586459835282e-07,0.0,0.0,0.0,0.0,,,1.188407088848285e-05,0.0
2020-03-03,Denmark,6,0,2,0,1,2020,3,3,1,0,1,0.0,,,1.0,0.0,1.1654310766392138e-06,0.0,2.5888292019933984e-05,0.0,0.0,,,1.4855088610603563e-05,0.0
2020-03-04,Denmark,11,0,5,0,1,2020,3,4,2,0,1,0.0,,,1.5714285714285714,0.0,2.3308621532784276e-06,0.0,6.472073004983496e-05,0.0,0.0,,,2.3343710673805598e-05,0.0
2020-03-05,Denmark,11,0,0,0,1,2020,3,5,3,0,1,0.0,10.0,,1.4285714285714286,0.0,2.3308621532784276e-06,0.0,0.0,0.0,0.0,0.048649407142355994,,2.122155515800509e-05,0.0
2020-03-06,Denmark,24,0,13,0,1,2020,3,6,4,0,1,0.0,23.0,,3.2857142857142856,0.0,5.360982952540383e-06,0.0,0.0001682738981295709,0.0,0.0,0.1083000070160668,,4.88095768634117e-05,0.0
2020-03-07,Denmark,24,0,0,0,1,2020,3,7,5,1,1,0.0,7.0,,3.0,0.0,5.360982952540383e-06,0.0,0.0,0.0,0.0,0.03488388409457658,,4.4565265831810684e-05,0.0
2020-03-08,Denmark,37,0,13,0,1,2020,3,8,6,1,1,0.0,8.25,,4.714285714285714,0.0,8.391103751802339e-06,0.0,0.0001682738981295709,0.0,0.0,0.040619518697818005,,7.00311320214168e-05,0.0
2020-03-09,Denmark,92,0,55,0,1,2020,3,9,0,0,1,0.0,22.0,,12.571428571428571,0.0,2.121084559483369e-05,0.0,0.0007119280305481846,0.0,0.0,0.10371149933347366,,0.00018674968539044478,0.0
2020-03-10,Denmark,264,0,172,0,1,2020,3,10,1,0,1,0.0,43.0,,36.857142857142854,0.0,6.130167463122265e-05,0.0,0.002226393113714323,0.0,0.0,0.20007016066792957,,0.0005475161230765312,0.0
