date_value,country,total_cases,total_deaths,new_cases,new_deaths,id_pandemic,year,month,day,day_of_week,is_weekend,quarter,mortality_rate,cases_growth_rate_7d,deaths_growth_rate_7d,new_cases_ma7,new_deaths_ma7,total_cases_normalized,total_deaths_normalized,new_cases_normalized,new_deaths_normalized,mortality_rate_normalized,cases_growth_rate_7d_normalized,deaths_growth_rate_7d_normalized,new_cases_ma7_normalized,new_deaths_ma7_normalized
2020-03-01,Dominican Republic,1,0,1,0,1,2020,3,1,6,1,1,0.0,,,1.0,0.0,0.0,0.0,1.2944146009966992e-05,0.0,0.0,,,1.4855088610603563e-05,0.0
2020-03-02,Dominican Republic,1,0,0,0,1,2020,3,2,0,0,1,0.0,,,0.5,0.0,0.0,0.0,0.0,0.0,0.0,,,7.4275443053017815e-06,0.0
2020-03-03,Dominican Republic,1,0,0,0,1,2020,3,3,1,0,1,0.0,,,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,,,4.95169620353452e-06,0.0
2020-03-04,Dominican Republic,1,0,0,0,1,2020,3,4,2,0,1,0.0,,,0.25,0.0,0.0,0.0,0.0,0.0,0.0,,,3.7137721526508907e-06,0.0
2020-03-05,Dominican Republic,1,0,0,0,1,2020,3,5,3,0,1,0.0,,,0.2,0.0,0.0,0.0,0.0,0.0,0.0,,,2.9710177221207125e-06,0.0
2020-03-06,Dominican Republic,2,0,1,0,1,2020,3,6,4,0,1,0.0,,,0.3333333333333333,0.0,2.3308621532784276e-07,0.0,1.2944146009966992e-05,0.0,0.0,,,4.95169620353452e-06,0.0
2020-03-07,Dominican Republic,2,0,0,0,1,2020,3,7,5,1,1,0.0,,,0.2857142857142857,0.0,2.3308621532784276e-07,0.0,0.0,0.0,0.0,,,4.244311031601017e-06,0.0
2020-03-08,Dominican Republic,5,0,3,0,1,2020,3,8,6,1,1,0.0,4.0,,0.5714285714285714,0.0,9.323448613113711e-07,0.0,3.8832438029900976e-05,0.0,0.0,0.021118361046797166,,8.488622063202035e-06,0.0
2020-03-09,Dominican Republic,5,0,0,0,1,2020,3,9,0,0,1,0.0,4.0,,0.5714285714285714,0.0,9.323448613113711e-07,0.0,0.0,0.0,0.0,0.021118361046797166,,8.488622063202035e-06,0.0
2020-03-10,Dominican Republic,5,0,0,0,1,2020,3,10,1,0,1,0.0,4.0,,0.5714285714285714,0.0,9.323448613113711e-07,0.0,0.0,0.0,0.0,0.021118361046797166,,8.488622063202035e-06,0.0
