date_value,country,total_cases,total_deaths,new_cases,new_deaths,id_pandemic,year,month,day,day_of_week,is_weekend,quarter,mortality_rate,cases_growth_rate_7d,deaths_growth_rate_7d,new_cases_ma7,new_deaths_ma7,total_cases_normalized,total_deaths_normalized,new_cases_normalized,new_deaths_normalized,mortality_rate_normalized,cases_growth_rate_7d_normalized,deaths_growth_rate_7d_normalized,new_cases_ma7_normalized,new_deaths_ma7_normalized
2020-03-01,Ecuador,6,0,6,0,1,2020,3,1,6,1,1,0.0,,,6.0,0.0,1.1654310766392138e-06,0.0,7.766487605980195e-05,0.0,0.0,,,8.913053166362137e-05,0.0
2020-03-02,Ecuador,6,0,0,0,1,2020,3,2,0,0,1,0.0,,,3.0,0.0,1.1654310766392138e-06,0.0,0.0,0.0,0.0,,,4.4565265831810684e-05,0.0
2020-03-03,Ecuador,7,0,1,0,1,2020,3,3,1,0,1,0.0,,,2.3333333333333335,0.0,1.3985172919670564e-06,0.0,1.2944146009966992e-05,0.0,0.0,,,3.466187342474165e-05,0.0
2020-03-04,Ecuador,10,0,3,0,1,2020,3,4,2,0,1,0.0,,,2.5,0.0,2.0977759379505848e-06,0.0,3.8832438029900976e-05,0.0,0.0,,,3.71377215265089e-05,0.0
2020-03-05,Ecuador,13,0,3,0,1,2020,3,5,3,0,1,0.0,,,2.6,0.0,2.797034583934113e-06,0.0,3.8832438029900976e-05,0.0,0.0,,,3.8623230387569265e-05,0.0
2020-03-06,Ecuador,13,0,0,0,1,2020,3,6,4,0,1,0.0,,,2.1666666666666665,0.0,2.797034583934113e-06,0.0,0.0,0.0,0.0,,,3.218602532297438e-05,0.0
2020-03-07,Ecuador,13,0,0,0,1,2020,3,7,5,1,1,0.0,,,1.8571428571428572,0.0,2.797034583934113e-06,0.0,0.0,0.0,0.0,,,2.7588021705406618e-05,0.0
2020-03-08,Ecuador,14,0,1,0,1,2020,3,8,6,1,1,0.0,1.3333333333333335,,1.1428571428571428,0.0,3.0301207992619557e-06,0.0,1.2944146009966992e-05,0.0,0.0,0.008882340559882131,,1.697724412640407e-05,0.0
2020-03-09,Ecuador,15,0,1,0,1,2020,3,9,0,0,1,0.0,1.5,,1.2857142857142858,0.0,3.2632070145897985e-06,0.0,1.2944146009966992e-05,0.0,0.0,0.00964709184031432,,1.909939964220458e-05,0.0
2020-03-10,Ecuador,15,0,0,0,1,2020,3,10,1,0,1,0.0,1.1428571428571428,,1.1428571428571428,0.0,3.2632070145897985e-06,0.0,0.0,0.0,0.0,0.008008339096531055,,1.697724412640407e-05,0.0
2020-03-11,Ecuador,17,0,2,0,1,2020,3,11,2,0,1,0.0,0.7,,1.0,0.0,3.7293794452454842e-06,0.0,2.5888292019933984e-05,0.0,0.0,0.005976285694239809,,1.4855088610603563e-05,0.0
2020-03-12,Ecuador,17,0,0,0,1,2020,3,12,3,0,1,0.0,0.3076923076923077,,0.5714285714285714,0.0,3.7293794452454842e-06,0.0,0.0,0.0,0.0,0.004176178834145578,,8.488622063202035e-06,0.0
2020-03-13,Ecuador,17,0,0,0,1,2020,3,13,4,0,1,0.0,0.3076923076923077,,0.5714285714285714,0.0,3.7293794452454842e-06,0.0,0.0,0.0,0.0,0.004176178834145578,,8.488622063202035e-06,0.0
2020-03-14,Ecuador,28,2,11,2,1,2020,3,14,5,1,1,0.07142857142857142,1.1538461538461537,inf,2.142857142857143,0.2857142857142857,6.293327813851755e-06,1.3512509205396897e-05,0.00014238560610963693,0.0005145356315924878,0.07142857142857142,0.008058762257878233,,3.1832332737007634e-05,0.00012767315671879988
2020-03-15,Ecuador,28,2,0,0,1,2020,3,15,6,1,1,0.07142857142857142,1.0,inf,2.0,0.2857142857142857,6.293327813851755e-06,1.3512509205396897e-05,0.0,0.0,0.07142857142857142,0.0073528379990177506,,2.9710177221207126e-05,0.00012767315671879988
