date_value,country,total_cases,total_deaths,new_cases,new_deaths,id_pandemic,year,month,day,day_of_week,is_weekend,quarter,mortality_rate,cases_growth_rate_7d,deaths_growth_rate_7d,new_cases_ma7,new_deaths_ma7,total_cases_normalized,total_deaths_normalized,new_cases_normalized,new_deaths_normalized,mortality_rate_normalized,cases_growth_rate_7d_normalized,deaths_growth_rate_7d_normalized,new_cases_ma7_normalized,new_deaths_ma7_normalized
2020-02-14,Egypt,1,0,1,0,1,2020,2,14,4,0,1,0.0,,,1.0,0.0,0.0,0.0,1.2944146009966992e-05,0.0,0.0,,,1.4855088610603563e-05,0.0
2020-02-15,Egypt,1,0,0,0,1,2020,2,15,5,1,1,0.0,,,0.5,0.0,0.0,0.0,0.0,0.0,0.0,,,7.4275443053017815e-06,0.0
2020-02-16,Egypt,1,0,0,0,1,2020,2,16,6,1,1,0.0,,,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,,,4.95169620353452e-06,0.0
2020-02-17,Egypt,1,0,0,0,1,2020,2,17,0,0,1,0.0,,,0.25,0.0,0.0,0.0,0.0,0.0,0.0,,,3.7137721526508907e-06,0.0
2020-02-18,Egypt,1,0,0,0,1,2020,2,18,1,0,1,0.0,,,0.2,0.0,0.0,0.0,0.0,0.0,0.0,,,2.9710177221207125e-06,0.0
2020-02-19,Egypt,1,0,0,0,1,2020,2,19,2,0,1,0.0,,,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,,,2.47584810176726e-06,0.0
2020-02-20,Egypt,1,0,0,0,1,2020,2,20,3,0,1,0.0,,,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,,,2.1221555158005087e-06,0.0
2020-02-21,Egypt,1,0,0,0,1,2020,2,21,4,0,1,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0027643303164246124,,0.0,0.0
2020-02-22,Egypt,1,0,0,0,1,2020,2,22,5,1,1,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0027643303164246124,,0.0,0.0
2020-02-23,Egypt,1,0,0,0,1,2020,2,23,6,1,1,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0027643303164246124,,0.0,0.0
2020-02-24,Egypt,1,0,0,0,1,2020,2,24,0,0,1,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0027643303164246124,,0.0,0.0
2020-02-25,Egypt,1,0,0,0,1,2020,2,25,1,0,1,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0027643303164246124,,0.0,0.0
2020-02-26,Egypt,1,0,0,0,1,2020,2,26,2,0,1,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0027643303164246124,,0.0,0.0
2020-02-27,Egypt,1,0,0,0,1,2020,2,27,3,0,1,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0027643303164246124,,0.0,0.0
2020-02-28,Egypt,1,0,0,0,1,2020,2,28,4,0,1,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0027643303164246124,,0.0,0.0
2020-02-29,Egypt,1,0,0,0,1,2020,2,29,5,1,1,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0027643303164246124,,0.0,0.0
2020-03-01,Egypt,2,0,1,0,1,2020,3,1,6,1,1,0.0,1.0,,0.14285714285714285,0.0,2.3308621532784276e-07,0.0,1.2944146009966992e-05,0.0,0.0,0.0073528379990177506,,2.1221555158005087e-06,0.0
2020-03-02,Egypt,2,0,0,0,1,2020,3,2,0,0,1,0.0,1.0,,0.14285714285714285,0.0,2.3308621532784276e-07,0.0,0.0,0.0,0.0,0.0073528379990177506,,2.1221555158005087e-06,0.0
2020-03-03,Egypt,2,0,0,0,1,2020,3,3,1,0,1,0.0,1.0,,0.14285714285714285,0.0,2.3308621532784276e-07,0.0,0.0,0.0,0.0,0.0073528379990177506,,2.1221555158005087e-06,0.0
2020-03-04,Egypt,2,0,0,0,1,2020,3,4,2,0,1,0.0,1.0,,0.14285714285714285,0.0,2.3308621532784276e-07,0.0,0.0,0.0,0.0,0.0073528379990177506,,2.1221555158005087e-06,0.0
2020-03-05,Egypt,3,0,1,0,1,2020,3,5,3,0,1,0.0,2.0,,0.2857142857142857,0.0,4.6617243065568553e-07,0.0,1.2944146009966992e-05,0.0,0.0,0.01194134568161089,,4.244311031601017e-06,0.0
2020-03-06,Egypt,15,0,12,0,1,2020,3,6,4,0,1,0.0,14.0,,2.0,0.0,3.2632070145897985e-06,0.0,0.0001553297521196039,0.0,0.0,0.06700343787272854,,2.9710177221207126e-05,0.0
2020-03-07,Egypt,15,0,0,0,1,2020,3,7,5,1,1,0.0,14.0,,2.0,0.0,3.2632070145897985e-06,0.0,0.0,0.0,0.0,0.06700343787272854,,2.9710177221207126e-05,0.0
2020-03-08,Egypt,49,1,34,1,1,2020,3,8,6,1,1,0.02040816326530612,23.5,inf,6.714285714285714,0.14285714285714285,1.1188138335736451e-05,6.756254602698448e-06,0.00044010096433887776,0.0002572678157962439,0.02040816326530612,0.11059426085736337,,9.974130924262392e-05,6.383657835939994e-05
2020-03-09,Egypt,55,1,6,0,1,2020,3,9,0,0,1,0.01818181818181818,26.5,inf,7.571428571428571,0.14285714285714285,1.258665562770351e-05,6.756254602698448e-06,7.766487605980195e-05,0.0,0.01818181818181818,0.12435978390514278,,0.00011247424233742696,6.383657835939994e-05
2020-03-10,Egypt,59,1,4,0,1,2020,3,10,1,0,1,0.01694915254237288,28.5,inf,8.142857142857142,0.14285714285714285,1.3519000489014879e-05,6.756254602698448e-06,5.177658403986797e-05,0.0,0.01694915254237288,0.13353679927032905,,0.000120962864400629,6.383657835939994e-05
2020-03-11,Egypt,60,1,1,0,1,2020,3,11,2,0,1,0.016666666666666666,29.0,inf,8.285714285714286,0.14285714285714285,1.3752086704342722e-05,6.756254602698448e-06,1.2944146009966992e-05,0.0,0.016666666666666666,0.13583105311162563,,0.00012308501991642953,6.383657835939994e-05
2020-03-12,Egypt,67,1,7,0,1,2020,3,12,3,0,1,0.014925373134328358,21.333333333333332,inf,9.142857142857142,0.14285714285714285,1.5383690211637622e-05,6.756254602698448e-06,9.060902206976894e-05,0.0,0.014925373134328358,0.1006524942117449,,0.00013581795301123256,6.383657835939994e-05
2020-03-13,Egypt,80,2,13,1,1,2020,3,13,4,0,1,0.025,4.333333333333333,inf,9.285714285714286,0.2857142857142857,1.841381101089958e-05,1.3512509205396897e-05,0.0001682738981295709,0.0002572678157962439,0.025,0.022647863607661547,,0.0001379401085270331,0.00012767315671879988
2020-03-14,Egypt,109,2,29,0,1,2020,3,14,5,1,1,0.01834862385321101,6.266666666666667,inf,13.428571428571429,0.2857142857142857,2.517331125540702e-05,1.3512509205396897e-05,0.0003753802342890428,0.0,0.01834862385321101,0.031518978460674946,,0.00019948261848524784,0.00012767315671879988
2020-03-15,Egypt,110,2,1,0,1,2020,3,15,6,1,1,0.01818181818181818,1.2448979591836733,1.0,8.714285714285714,0.14285714285714285,2.540639747073486e-05,1.3512509205396897e-05,1.2944146009966992e-05,0.0,0.01818181818181818,0.008476554166183417,0.0,0.00012945148646383104,6.383657835939994e-05
2020-03-16,Egypt,150,2,40,0,1,2020,3,16,0,0,1,0.013333333333333334,1.727272727272727,1.0,13.571428571428571,0.14285714285714285,3.472984608384857e-05,1.3512509205396897e-05,0.0005177658403986797,0.0,0.013333333333333334,0.010689934495449123,0.0,0.00020160477400104834,6.383657835939994e-05
2020-03-17,Egypt,196,4,46,2,1,2020,3,17,1,0,1,0.02040816326530612,2.3220338983050848,3.0,19.571428571428573,0.42857142857142855,4.545181198892934e-05,2.7025018410793794e-05,0.0005954307164584816,0.0005145356315924878,0.02040816326530612,0.013419000698039188,0.0,0.00029073530566466976,0.0001915097350781998
2020-03-18,Egypt,196,6,0,2,1,2020,3,18,2,0,1,0.030612244897959183,2.2666666666666666,5.0,19.428571428571427,0.7142857142857143,4.545181198892934e-05,4.053752761619069e-05,0.0,0.0005145356315924878,0.030612244897959183,0.013164947730302393,0.0,0.0002886131501488692,0.00031918289179699974
2020-03-19,Egypt,256,6,60,0,1,2020,3,19,3,0,1,0.0234375,2.8208955223880596,5.0,27.0,0.7142857142857143,5.94369849085999e-05,4.053752761619069e-05,0.0007766487605980196,0.0,0.0234375,0.015708031092694807,0.0,0.0004010873924862962,0.00031918289179699974
2020-03-20,Egypt,285,8,29,2,1,2020,3,20,4,0,1,0.028070175438596492,2.5625,3.0,29.285714285714285,0.8571428571428571,6.619648515310735e-05,5.405003682158759e-05,0.0003753802342890428,0.0005145356315924878,0.028070175438596492,0.01452238125306953,0.0,0.0004350418807391043,0.0003830194701563996
2020-03-21,Egypt,294,10,9,2,1,2020,3,21,5,1,1,0.034013605442176874,1.6972477064220182,4.0,26.428571428571427,1.1428571428571428,6.829426109105793e-05,6.756254602698448e-05,0.00011649731408970293,0.0005145356315924878,0.034013605442176874,0.010552164456605626,0.0,0.0003925987704230941,0.0005106926268751995
2020-03-22,Egypt,327,14,33,4,1,2020,3,22,6,1,1,0.04281345565749235,1.9727272727272727,6.0,31.0,1.7142857142857142,7.598610619687673e-05,9.458756443777828e-05,0.00042715681832891075,0.0010290712631849757,0.04281345565749235,0.011816204562994712,0.0,0.0004605077469287104,0.0007660389403127992
2020-03-23,Egypt,366,19,39,5,1,2020,3,23,0,0,1,0.05191256830601093,1.44,8.5,30.857142857142858,2.4285714285714284,8.507646859466261e-05,0.0001283688374512705,0.0005048216943887127,0.0012863390789812194,0.05191256830601093,0.009371781379358731,0.0,0.0004583855914129099,0.001085221832109799
2020-03-24,Egypt,402,20,36,1,1,2020,3,24,1,0,1,0.04975124378109453,1.0510204081632653,4.0,29.428571428571427,2.2857142857142856,9.346757234646495e-05,0.00013512509205396896,0.0004659892563588117,0.0002572678157962439,0.04975124378109453,0.007586945533843931,0.0,0.0004371640362549048,0.001021385253750399
2020-03-25,Egypt,456,21,54,1,1,2020,3,25,2,0,1,0.046052631578947366,1.3265306122448979,2.5,37.142857142857146,2.142857142857143,0.00010605422797416846,0.0001418813466566674,0.0006989838845382175,0.0002572678157962439,0.046052631578947366,0.008851126221905306,0.0,0.0005517604341081324,0.0009575486753909991
2020-03-26,Egypt,495,24,39,3,1,2020,3,26,3,0,1,0.048484848484848485,0.93359375,3.0,34.142857142857146,2.5714285714285716,0.00011514459037195432,0.00016215011046476276,0.0005048216943887127,0.0007718034473887317,0.048484848484848485,0.00704813241072055,0.0,0.0005071951682763217,0.001149058410469199
2020-03-27,Egypt,536,30,41,6,1,2020,3,27,4,0,1,0.055970149253731345,0.880701754385965,2.75,35.857142857142854,3.142857142857143,0.00012470112520039588,0.00020268763808095345,0.0005307099864086467,0.0015436068947774634,0.055970149253731345,0.006805437082497868,0.0,0.0005326610344659276,0.0014044047239067986
2020-03-28,Egypt,576,36,40,6,1,2020,3,28,5,1,1,0.0625,0.9591836734693877,2.6,40.285714285714285,3.7142857142857144,0.0001340245738135096,0.00024322516569714412,0.0005177658403986797,0.0015436068947774634,0.0625,0.007165551971156806,0.0,0.0005984478554557435,0.0016597510373443985
2020-03-29,Egypt,609,40,33,4,1,2020,3,29,6,1,1,0.06568144499178982,0.8623853211009174,1.8571428571428572,40.285714285714285,3.7142857142857144,0.00014171641891932838,0.0002702501841079379,0.00042715681832891075,0.0010290712631849757,0.06568144499178982,0.006721391987651723,0.0,0.0005984478554557435,0.0016597510373443985
2020-03-30,Egypt,656,41,47,1,1,2020,3,30,0,0,1,0.0625,0.7923497267759563,1.1578947368421053,41.42857142857143,3.142857142857143,0.000152671471039737,0.0002770064387106364,0.0006083748624684486,0.0002572678157962439,0.0625,0.006400033125036662,0.0,0.0006154250995821476,0.0014044047239067986
2020-03-31,Egypt,710,46,54,5,1,2020,3,31,1,0,1,0.0647887323943662,0.7661691542288558,1.2999999999999998,44.0,3.7142857142857144,0.0001652581266674405,0.0003107877117241286,0.0006989838845382175,0.0012863390789812194,0.0647887323943662,0.006279903366769604,0.0,0.0006536238988665567,0.0016597510373443985
2020-04-01,Egypt,779,52,69,6,1,2020,4,1,2,0,2,0.06675224646983312,0.7083333333333333,1.4761904761904763,46.142857142857146,4.428571428571429,0.00018134107552506167,0.0003513252393403193,0.0008931460746877225,0.0015436068947774634,0.06675224646983312,0.006014523258261418,0.0,0.0006854562316035644,0.0019789339291413984
2020-04-02,Egypt,865,58,86,6,1,2020,4,2,3,0,2,0.06705202312138728,0.7474747474747474,1.4166666666666665,52.857142857142854,4.857142857142857,0.00020138649004325615,0.00039186276695651,0.0011131965568571614,0.0015436068947774634,0.06705202312138728,0.006194123937756857,0.0,0.0007851975408461882,0.002170443664219598
2020-04-03,Egypt,985,66,120,8,1,2020,4,3,4,0,2,0.06700507614213198,0.8376865671641791,1.2000000000000002,64.14285714285714,5.142857142857143,0.00022935683588259727,0.0004459128037780976,0.0015532975211960392,0.0020581425263699513,0.06700507614213198,0.006608061565462522,0.0,0.0009528478265944285,0.002298116820938398
2020-04-04,Egypt,1070,71,85,5,1,2020,4,4,5,1,2,0.06635514018691589,0.8576388888888888,0.9722222222222223,70.57142857142857,5.0,0.00024916916418546393,0.0004796940767915898,0.0011002524108471943,0.0012863390789812194,0.06635514018691589,0.0066996129469819215,0.0,0.0010483448248054515,0.002234280242578998
2020-04-05,Egypt,1173,78,103,7,1,2020,4,5,6,1,2,0.06649616368286446,0.9261083743842364,0.95,80.57142857142857,5.428571428571429,0.00027317704436423173,0.000526987859010479,0.0013332470390266002,0.0018008747105737071,0.06649616368286446,0.007013785707200524,0.0,0.001196895710911487,0.002425789977657198
2020-04-06,Egypt,1322,85,149,7,1,2020,4,6,0,0,2,0.06429652042360061,1.0152439024390243,1.0731707317073171,95.14285714285714,6.285714285714286,0.0003079068904480803,0.000574281641229368,0.0019286777554850818,0.0018008747105737071,0.06429652042360061,0.007422784762471914,0.0,0.001413355573523139,0.002808809447813597
2020-04-07,Egypt,1450,94,128,9,1,2020,4,7,1,0,2,0.06482758620689655,1.0422535211267605,1.0434782608695654,105.71428571428571,6.857142857142857,0.00033774192601004416,0.0006350879326536541,0.001656850689275775,0.002315410342166195,0.06482758620689655,0.007546718605324503,0.0,0.0015703950816923764,0.003064155761251197
2020-04-08,Egypt,1560,103,110,9,1,2020,4,8,2,0,2,0.06602564102564103,1.0025673940949935,0.9807692307692308,111.57142857142857,7.285714285714286,0.00036338140969610687,0.0006958942240779402,0.001423856061096369,0.002315410342166195,0.06602564102564103,0.007364618506546873,0.0,0.0016574034578401974,0.003255665496329397
2020-04-09,Egypt,1699,118,139,15,1,2020,4,9,3,0,2,0.06945261918775751,0.9641618497109827,1.0344827586206895,119.14285714285714,8.571428571428571,0.00039578039362667697,0.0007972380431184168,0.001799236295385412,0.0038590172369436584,0.06945261918775751,0.007188394371086667,0.0,0.0017698777001776244,0.0038301947015639964
2020-04-10,Egypt,1794,135,95,17,1,2020,4,10,4,0,2,0.07525083612040134,0.8213197969543147,1.0454545454545454,115.57142857142857,9.857142857142858,0.00041792358408282204,0.0009120943713642905,0.0012296938709468643,0.004373552868536146,0.07525083612040134,0.0065329625146153215,0.0,0.0017168238122826117,0.004404723906798596
2020-04-11,Egypt,1939,146,145,11,1,2020,4,11,5,1,2,0.07529654461062403,0.8121495327102803,1.056338028169014,124.14285714285714,10.714285714285714,0.0004517210853053593,0.0009864131719939733,0.001876901171445214,0.002829945973758683,0.07529654461062403,0.006490884686680161,0.0,0.0018441531432306423,0.0047877433769549956
2020-04-12,Egypt,2065,159,126,13,1,2020,4,12,6,1,2,0.07699757869249395,0.7604433077578858,1.0384615384615383,127.42857142857143,11.571428571428571,0.00048108994843666745,0.0010742444818290532,0.001630962397255841,0.0033444816053511705,0.07699757869249395,0.00625363027624821,0.0,0.001892962720094054,0.0051707628471113955
2020-04-13,Egypt,2190,164,125,5,1,2020,4,13,0,0,2,0.07488584474885844,0.6565809379727685,0.9294117647058824,124.0,11.285714285714286,0.0005102257253526477,0.0011080257548425456,0.001618018251245874,0.0012863390789812194,0.07488584474885844,0.00577705699455687,0.0,0.0018420309877148417,0.005043089690392596
2020-04-14,Egypt,2350,178,160,14,1,2020,4,14,1,0,2,0.07574468085106383,0.6206896551724137,0.8936170212765957,128.57142857142858,12.0,0.0005475195198051026,0.0012026133192803237,0.0020710633615947187,0.0036017494211474143,0.07574468085106383,0.005612369567689319,0.0,0.0019099399642204583,0.0053622725821895955
2020-04-15,Egypt,2505,183,155,5,1,2020,4,15,2,0,2,0.07305389221556886,0.6057692307692308,0.7766990291262137,135.0,11.428571428571429,0.0005836478831809182,0.001236394592293816,0.002006342631544884,0.0012863390789812194,0.07305389221556886,0.005543907085687764,0.0,0.002005436962431481,0.005106926268751996
2020-04-16,Egypt,2673,196,168,13,1,2020,4,16,3,0,2,0.07332585110362888,0.5732783990582695,0.6610169491525424,139.14285714285714,11.142857142857142,0.0006228063673559958,0.0013242259021288957,0.0021746165296744548,0.0033444816053511705,0.07332585110362888,0.005394822654768177,0.0,0.0020669794723896955,0.0049792531120331955
2020-04-17,Egypt,2844,205,171,9,1,2020,4,17,4,0,2,0.0720815752461322,0.5852842809364549,0.5185185185185186,150.0,10.0,0.0006626641101770569,0.001385032193553182,0.0022134489677043557,0.002315410342166195,0.0720815752461322,0.005449911736002537,0.0,0.002228263291590534,0.004468560485157996
2020-04-18,Egypt,3032,224,188,19,1,2020,4,18,5,1,2,0.07387862796833773,0.5636926250644663,0.5342465753424657,156.14285714285714,11.142857142857142,0.0007064843186586914,0.0015134010310044524,0.0024334994498737945,0.004888088500128634,0.07387862796833773,0.005350838257154009,0.0,0.002319515978769956,0.0049792531120331955
2020-04-19,Egypt,3144,239,112,15,1,2020,4,19,6,1,2,0.07601781170483461,0.5225181598062953,0.5031446540880504,154.14285714285714,11.428571428571429,0.0007325899747754098,0.0016147448500449292,0.0014497443531163031,0.0038590172369436584,0.07601781170483461,0.0051619089069902275,0.0,0.002289805801548749,0.005106926268751996
2020-04-20,Egypt,3333,250,189,11,1,2020,4,20,0,0,2,0.075007500750075,0.521917808219178,0.524390243902439,163.28571428571428,12.285714285714286,0.0007766432694723721,0.001689063650674612,0.0024464435958837616,0.002829945973758683,0.075007500750075,0.005159154189120483,0.0,0.0024256237545599814,0.005489945738908395
2020-04-21,Egypt,3490,264,157,14,1,2020,4,21,1,0,2,0.07564469914040114,0.48510638297872344,0.4831460674157304,162.85714285714286,12.285714285714286,0.0008132378052788434,0.0017836512151123904,0.002032230923564818,0.0036017494211474143,0.07564469914040114,0.004990244681597454,0.0,0.00241925728801258,0.005489945738908395
2020-04-22,Egypt,3659,276,169,12,1,2020,4,22,2,0,2,0.07543044547690626,0.4606786427145708,0.5081967213114753,164.85714285714286,13.285714285714286,0.0008526293756692488,0.0018647262703447717,0.002187560675684422,0.0030872137895549268,0.07543044547690626,0.004878157807727,0.0,0.0024489674652337875,0.005936801787424195
2020-04-23,Egypt,3891,287,232,11,1,2020,4,23,3,0,2,0.07375995887946543,0.45566778900112226,0.4642857142857142,174.0,13.0,0.0009067053776253084,0.0019390450709744545,0.0030030418743123423,0.002829945973758683,0.07375995887946543,0.004855165466966491,0.0,0.00258478541824502,0.005809128630705394
2020-04-24,Egypt,4092,294,201,7,1,2020,4,24,4,0,2,0.0718475073313783,0.43881856540084385,0.4341463414634146,178.28571428571428,12.714285714285714,0.0009535557069062047,0.001986338853193344,0.0026017733480033656,0.0018008747105737071,0.0718475073313783,0.004777852675030884,0.0,0.002648450083719035,0.005681455473986594
2020-04-25,Egypt,4319,307,227,13,1,2020,4,25,5,1,2,0.07108126881222505,0.42447229551451193,0.3705357142857142,183.85714285714286,11.857142857142858,0.001006466277785625,0.0020741701630284234,0.002938321144262507,0.0033444816053511705,0.07108126881222505,0.004712024705440895,0.0,0.002731214148835255,0.005298436003830195
2020-04-26,Egypt,4534,317,215,10,1,2020,4,26,6,1,2,0.06991618879576533,0.4421119592875318,0.32635983263598334,198.57142857142858,11.142857142857142,0.001056579814081111,0.002141732709055408,0.0027829913921429035,0.002572678157962439,0.06991618879576533,0.004792964438181757,0.0,0.0029497961669627077,0.0049792531120331955
2020-04-27,Egypt,4782,337,248,20,1,2020,4,27,0,0,2,0.07047260560434965,0.43474347434743477,0.3480000000000001,207.0,12.428571428571429,0.0011143851954824161,0.002276857801109377,0.003210148210471814,0.005145356315924878,0.07047260560434965,0.00475915408842505,0.0,0.0030750033423949373,0.005553782317267795
2020-04-28,Egypt,5042,359,260,22,1,2020,4,28,1,0,2,0.07120190400634668,0.4446991404011462,0.35984848484848486,221.71428571428572,13.571428571428571,0.0011749876114676553,0.0024254954023687427,0.003365477962591418,0.005659891947517366,0.07120190400634668,0.004804835738597837,0.0,0.00329358536052239,0.006064474944142994
2020-04-29,Egypt,5268,380,226,21,1,2020,4,29,2,0,2,0.0721336370539104,0.43973763323312376,0.37681159420289845,229.85714285714286,14.857142857142858,0.0012276650961317477,0.0025673767490254104,0.0029253769982525405,0.005402624131721122,0.0721336370539104,0.004782069824840125,0.0,0.003414548224923019,0.006639004149377594
2020-04-30,Egypt,5537,392,269,12,1,2020,4,30,3,0,2,0.07079646017699115,0.4230274993574916,0.36585365853658547,235.14285714285714,15.0,0.0012903652880549375,0.0026484518042577915,0.003481975276681121,0.0030872137895549268,0.07079646017699115,0.0047053952471746265,0.0,0.0034930679790076374,0.006702840727736994
2020-05-01,Egypt,5895,406,358,14,1,2020,5,1,4,0,2,0.06887192536047498,0.44061583577712615,0.38095238095238093,257.57142857142856,16.0,0.001373810153142305,0.00274303936869557,0.0046340042715681835,0.0036017494211474143,0.06887192536047498,0.004786099463960153,0.0,0.0038262463949883174,0.0071496967762527935
2020-05-02,Egypt,6193,415,298,9,1,2020,5,2,5,1,2,0.06701114161149685,0.4338967353554064,0.35179153094462534,267.7142857142857,15.428571428571429,0.0014432698453100024,0.002803845660119856,0.0038573555109701636,0.002315410342166195,0.06701114161149685,0.004755268820054976,0.0,0.003976919436610154,0.006894350462815194
2020-05-03,Egypt,6465,429,272,14,1,2020,5,3,6,1,2,0.06635730858468677,0.4258932509925011,0.35331230283911674,275.85714285714283,16.0,0.0015066692958791755,0.0028984332245576344,0.003520807714711022,0.0036017494211474143,0.06635730858468677,0.004718544770568271,0.0,0.004097882301010782,0.0071496967762527935
2020-05-04,Egypt,6813,436,348,7,1,2020,5,4,0,0,2,0.06399530309702041,0.42471769134253456,0.2937685459940653,290.14285714285717,14.142857142857142,0.0015877832988132649,0.0029457270067765233,0.004504562811468513,0.0018008747105737071,0.06399530309702041,0.004713150706083053,0.0,0.004310097852590834,0.006319821257580594
2020-05-05,Egypt,7201,452,388,16,1,2020,5,5,1,0,2,0.06276905985279822,0.4282030940103134,0.25905292479108644,308.42857142857144,13.285714285714286,0.0016782207503604678,0.0030538270804196985,0.005022328651867193,0.004116285052739903,0.06276905985279822,0.004729143503001088,0.0,0.004581733758613299,0.005936801787424195
2020-05-06,Egypt,7588,469,387,17,1,2020,5,6,2,0,2,0.061808118081180814,0.44039483675018976,0.23421052631578942,331.42857142857144,12.714285714285714,0.001768425115692343,0.003168683408665572,0.005009384505857226,0.004373552868536146,0.061808118081180814,0.0047850854082272095,0.0,0.004923400796657181,0.005681455473986594
