date_value,country,total_cases,total_deaths,new_cases,new_deaths,id_pandemic,year,month,day,day_of_week,is_weekend,quarter,mortality_rate,cases_growth_rate_7d,deaths_growth_rate_7d,new_cases_ma7,new_deaths_ma7,total_cases_normalized,total_deaths_normalized,new_cases_normalized,new_deaths_normalized,mortality_rate_normalized,cases_growth_rate_7d_normalized,deaths_growth_rate_7d_normalized,new_cases_ma7_normalized,new_deaths_ma7_normalized
2020-03-21,Eritrea,1,0,1,0,1,2020,3,21,5,1,1,0.0,,,1.0,0.0,0.0,0.0,1.2944146009966992e-05,0.0,0.0,,,1.4855088610603563e-05,0.0
2020-03-22,Eritrea,1,0,0,0,1,2020,3,22,6,1,1,0.0,,,0.5,0.0,0.0,0.0,0.0,0.0,0.0,,,7.4275443053017815e-06,0.0
2020-03-23,Eritrea,1,0,0,0,1,2020,3,23,0,0,1,0.0,,,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,,,4.95169620353452e-06,0.0
2020-03-24,Eritrea,1,0,0,0,1,2020,3,24,1,0,1,0.0,,,0.25,0.0,0.0,0.0,0.0,0.0,0.0,,,3.7137721526508907e-06,0.0
2020-03-25,Eritrea,4,0,3,0,1,2020,3,25,2,0,1,0.0,,,0.8,0.0,6.992586459835282e-07,0.0,3.8832438029900976e-05,0.0,0.0,,,1.188407088848285e-05,0.0
2020-03-26,Eritrea,6,0,2,0,1,2020,3,26,3,0,1,0.0,,,1.0,0.0,1.1654310766392138e-06,0.0,2.5888292019933984e-05,0.0,0.0,,,1.4855088610603563e-05,0.0
2020-03-27,Eritrea,6,0,0,0,1,2020,3,27,4,0,1,0.0,,,0.8571428571428571,0.0,1.1654310766392138e-06,0.0,0.0,0.0,0.0,,,1.2732933094803053e-05,0.0
2020-03-28,Eritrea,6,0,0,0,1,2020,3,28,5,1,1,0.0,5.0,,0.7142857142857143,0.0,1.1654310766392138e-06,0.0,0.0,0.0,0.0,0.025706868729390302,,1.0610777579002545e-05,0.0
2020-03-29,Eritrea,12,0,6,0,1,2020,3,29,6,1,1,0.0,11.0,,1.5714285714285714,0.0,2.5639483686062704e-06,0.0,7.766487605980195e-05,0.0,0.0,0.053237914824949134,,2.3343710673805598e-05,0.0
2020-03-30,Eritrea,12,0,0,0,1,2020,3,30,0,0,1,0.0,11.0,,1.5714285714285714,0.0,2.5639483686062704e-06,0.0,0.0,0.0,0.0,0.053237914824949134,,2.3343710673805598e-05,0.0
2020-03-31,Eritrea,15,0,3,0,1,2020,3,31,1,0,1,0.0,14.0,,2.0,0.0,3.2632070145897985e-06,0.0,3.8832438029900976e-05,0.0,0.0,0.06700343787272854,,2.9710177221207126e-05,0.0
2020-04-01,Eritrea,15,0,0,0,1,2020,4,1,2,0,2,0.0,2.75,,1.5714285714285714,0.0,3.2632070145897985e-06,0.0,0.0,0.0,0.0,0.015382726443555744,,2.3343710673805598e-05,0.0
2020-04-02,Eritrea,22,0,7,0,1,2020,4,2,3,0,2,0.0,2.6666666666666665,,2.2857142857142856,0.0,4.894810521884698e-06,0.0,9.060902206976894e-05,0.0,0.0,0.015000350803339647,,3.395448825280814e-05,0.0
2020-04-03,Eritrea,22,0,0,0,1,2020,4,3,4,0,2,0.0,2.6666666666666665,,2.2857142857142856,0.0,4.894810521884698e-06,0.0,0.0,0.0,0.0,0.015000350803339647,,3.395448825280814e-05,0.0
2020-04-04,Eritrea,29,0,7,0,1,2020,4,4,5,1,2,0.0,3.833333333333333,,3.2857142857142856,0.0,6.526414029179597e-06,0.0,9.060902206976894e-05,0.0,0.0,0.020353609766364977,,4.88095768634117e-05,0.0
2020-04-05,Eritrea,29,0,0,0,1,2020,4,5,6,1,2,0.0,1.4166666666666665,,2.4285714285714284,0.0,6.526414029179597e-06,0.0,0.0,0.0,0.0,0.009264716200098224,,3.607664376860865e-05,0.0
2020-04-06,Eritrea,31,0,2,0,1,2020,4,6,0,0,2,0.0,1.5833333333333335,,2.7142857142857144,0.0,6.992586459835283e-06,0.0,2.5888292019933984e-05,0.0,0.0,0.010029467480530416,,4.0320954800209674e-05,0.0
2020-04-07,Eritrea,31,0,0,0,1,2020,4,7,1,0,2,0.0,1.0666666666666669,,2.2857142857142856,0.0,6.992586459835283e-06,0.0,0.0,0.0,0.0,0.007658738511190628,,3.395448825280814e-05,0.0
2020-04-08,Eritrea,33,0,2,0,1,2020,4,8,2,0,2,0.0,1.2000000000000002,,2.5714285714285716,0.0,7.4587588904909685e-06,0.0,2.5888292019933984e-05,0.0,0.0,0.00827053953553638,,3.819879928440916e-05,0.0
2020-04-09,Eritrea,33,0,0,0,1,2020,4,9,3,0,2,0.0,0.5,,1.5714285714285714,0.0,7.4587588904909685e-06,0.0,0.0,0.0,0.0,0.005058584157721181,,2.3343710673805598e-05,0.0
2020-04-10,Eritrea,34,0,1,0,1,2020,4,10,4,0,2,0.0,0.5454545454545454,,1.7142857142857142,0.0,7.691845105818811e-06,0.0,1.2944146009966992e-05,0.0,0.0,0.0052671526887481425,,2.5465866189606106e-05,0.0
2020-04-11,Eritrea,34,0,0,0,1,2020,4,11,5,1,2,0.0,0.17241379310344818,,0.7142857142857143,0.0,7.691845105818811e-06,0.0,0.0,0.0,0.0,0.003555452330664808,,1.0610777579002545e-05,0.0
2020-04-12,Eritrea,34,0,0,0,1,2020,4,12,6,1,2,0.0,0.17241379310344818,,0.7142857142857143,0.0,7.691845105818811e-06,0.0,0.0,0.0,0.0,0.003555452330664808,,1.0610777579002545e-05,0.0
2020-04-13,Eritrea,34,0,0,0,1,2020,4,13,0,0,2,0.0,0.09677419354838701,,0.42857142857142855,0.0,7.691845105818811e-06,0.0,0.0,0.0,0.0,0.0032083794469981415,,6.3664665474015265e-06,0.0
2020-04-14,Eritrea,34,0,0,0,1,2020,4,14,1,0,2,0.0,0.09677419354838701,,0.42857142857142855,0.0,7.691845105818811e-06,0.0,0.0,0.0,0.0,0.0032083794469981415,,6.3664665474015265e-06,0.0
2020-04-15,Eritrea,35,0,1,0,1,2020,4,15,2,0,2,0.0,0.06060606060606055,,0.2857142857142857,0.0,7.924931321146654e-06,0.0,1.2944146009966992e-05,0.0,0.0,0.0030424216911272266,,4.244311031601017e-06,0.0
2020-04-16,Eritrea,35,0,0,0,1,2020,4,16,3,0,2,0.0,0.06060606060606055,,0.2857142857142857,0.0,7.924931321146654e-06,0.0,0.0,0.0,0.0,0.0030424216911272266,,4.244311031601017e-06,0.0
2020-04-17,Eritrea,35,0,0,0,1,2020,4,17,4,0,2,0.0,0.02941176470588225,,0.14285714285714285,0.0,7.924931321146654e-06,0.0,0.0,0.0,0.0,0.002899286424736175,,2.1221555158005087e-06,0.0
2020-04-18,Eritrea,39,0,4,0,1,2020,4,18,5,1,2,0.0,0.1470588235294117,,0.7142857142857143,0.0,8.857276182458024e-06,0.0,5.177658403986797e-05,0.0,0.0,0.0034391108579824264,,1.0610777579002545e-05,0.0
2020-04-19,Eritrea,39,0,0,0,1,2020,4,19,6,1,2,0.0,0.1470588235294117,,0.7142857142857143,0.0,8.857276182458024e-06,0.0,0.0,0.0,0.0,0.0034391108579824264,,1.0610777579002545e-05,0.0
2020-04-20,Eritrea,39,0,0,0,1,2020,4,20,0,0,2,0.0,0.1470588235294117,,0.7142857142857143,0.0,8.857276182458024e-06,0.0,0.0,0.0,0.0,0.0034391108579824264,,1.0610777579002545e-05,0.0
2020-04-21,Eritrea,39,0,0,0,1,2020,4,21,1,0,2,0.0,0.1470588235294117,,0.7142857142857143,0.0,8.857276182458024e-06,0.0,0.0,0.0,0.0,0.0034391108579824264,,1.0610777579002545e-05,0.0
2020-04-22,Eritrea,39,0,0,0,1,2020,4,22,2,0,2,0.0,0.11428571428571432,,0.5714285714285714,0.0,8.857276182458024e-06,0.0,0.0,0.0,0.0,0.003288731194435257,,8.488622063202035e-06,0.0
2020-04-23,Eritrea,39,0,0,0,1,2020,4,23,3,0,2,0.0,0.11428571428571432,,0.5714285714285714,0.0,8.857276182458024e-06,0.0,0.0,0.0,0.0,0.003288731194435257,,8.488622063202035e-06,0.0
2020-04-24,Eritrea,39,0,0,0,1,2020,4,24,4,0,2,0.0,0.11428571428571432,,0.5714285714285714,0.0,8.857276182458024e-06,0.0,0.0,0.0,0.0,0.003288731194435257,,8.488622063202035e-06,0.0
2020-04-25,Eritrea,39,0,0,0,1,2020,4,25,5,1,2,0.0,0.0,,0.0,0.0,8.857276182458024e-06,0.0,0.0,0.0,0.0,0.0027643303164246124,,0.0,0.0
2020-04-26,Eritrea,39,0,0,0,1,2020,4,26,6,1,2,0.0,0.0,,0.0,0.0,8.857276182458024e-06,0.0,0.0,0.0,0.0,0.0027643303164246124,,0.0,0.0
2020-04-27,Eritrea,39,0,0,0,1,2020,4,27,0,0,2,0.0,0.0,,0.0,0.0,8.857276182458024e-06,0.0,0.0,0.0,0.0,0.0027643303164246124,,0.0,0.0
2020-04-28,Eritrea,39,0,0,0,1,2020,4,28,1,0,2,0.0,0.0,,0.0,0.0,8.857276182458024e-06,0.0,0.0,0.0,0.0,0.0027643303164246124,,0.0,0.0
2020-04-29,Eritrea,39,0,0,0,1,2020,4,29,2,0,2,0.0,0.0,,0.0,0.0,8.857276182458024e-06,0.0,0.0,0.0,0.0,0.0027643303164246124,,0.0,0.0
2020-04-30,Eritrea,39,0,0,0,1,2020,4,30,3,0,2,0.0,0.0,,0.0,0.0,8.857276182458024e-06,0.0,0.0,0.0,0.0,0.0027643303164246124,,0.0,0.0
2020-05-01,Eritrea,39,0,0,0,1,2020,5,1,4,0,2,0.0,0.0,,0.0,0.0,8.857276182458024e-06,0.0,0.0,0.0,0.0,0.0027643303164246124,,0.0,0.0
2020-05-02,Eritrea,39,0,0,0,1,2020,5,2,5,1,2,0.0,0.0,,0.0,0.0,8.857276182458024e-06,0.0,0.0,0.0,0.0,0.0027643303164246124,,0.0,0.0
2020-05-03,Eritrea,39,0,0,0,1,2020,5,3,6,1,2,0.0,0.0,,0.0,0.0,8.857276182458024e-06,0.0,0.0,0.0,0.0,0.0027643303164246124,,0.0,0.0
2020-05-04,Eritrea,39,0,0,0,1,2020,5,4,0,0,2,0.0,0.0,,0.0,0.0,8.857276182458024e-06,0.0,0.0,0.0,0.0,0.0027643303164246124,,0.0,0.0
2020-05-05,Eritrea,39,0,0,0,1,2020,5,5,1,0,2,0.0,0.0,,0.0,0.0,8.857276182458024e-06,0.0,0.0,0.0,0.0,0.0027643303164246124,,0.0,0.0
2020-05-06,Eritrea,39,0,0,0,1,2020,5,6,2,0,2,0.0,0.0,,0.0,0.0,8.857276182458024e-06,0.0,0.0,0.0,0.0,0.0027643303164246124,,0.0,0.0
2020-05-07,Eritrea,39,0,0,0,1,2020,5,7,3,0,2,0.0,0.0,,0.0,0.0,8.857276182458024e-06,0.0,0.0,0.0,0.0,0.0027643303164246124,,0.0,0.0
2020-05-08,Eritrea,39,0,0,0,1,2020,5,8,4,0,2,0.0,0.0,,0.0,0.0,8.857276182458024e-06,0.0,0.0,0.0,0.0,0.0027643303164246124,,0.0,0.0
2020-05-09,Eritrea,39,0,0,0,1,2020,5,9,5,1,2,0.0,0.0,,0.0,0.0,8.857276182458024e-06,0.0,0.0,0.0,0.0,0.0027643303164246124,,0.0,0.0
2020-05-10,Eritrea,39,0,0,0,1,2020,5,10,6,1,2,0.0,0.0,,0.0,0.0,8.857276182458024e-06,0.0,0.0,0.0,0.0,0.0027643303164246124,,0.0,0.0
2020-05-11,Eritrea,39,0,0,0,1,2020,5,11,0,0,2,0.0,0.0,,0.0,0.0,8.857276182458024e-06,0.0,0.0,0.0,0.0,0.0027643303164246124,,0.0,0.0
2020-05-12,Eritrea,39,0,0,0,1,2020,5,12,1,0,2,0.0,0.0,,0.0,0.0,8.857276182458024e-06,0.0,0.0,0.0,0.0,0.0027643303164246124,,0.0,0.0
