date_value,country,total_cases,total_deaths,new_cases,new_deaths,id_pandemic,year,month,day,day_of_week,is_weekend,quarter,mortality_rate,cases_growth_rate_7d,deaths_growth_rate_7d,new_cases_ma7,new_deaths_ma7,total_cases_normalized,total_deaths_normalized,new_cases_normalized,new_deaths_normalized,mortality_rate_normalized,cases_growth_rate_7d_normalized,deaths_growth_rate_7d_normalized,new_cases_ma7_normalized,new_deaths_ma7_normalized
2020-02-27,Estonia,1,0,1,0,1,2020,2,27,3,0,1,0.0,,,1.0,0.0,0.0,0.0,1.2944146009966992e-05,0.0,0.0,,,1.4855088610603563e-05,0.0
2020-02-28,Estonia,1,0,0,0,1,2020,2,28,4,0,1,0.0,,,0.5,0.0,0.0,0.0,0.0,0.0,0.0,,,7.4275443053017815e-06,0.0
2020-02-29,Estonia,1,0,0,0,1,2020,2,29,5,1,1,0.0,,,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,,,4.95169620353452e-06,0.0
2020-03-01,Estonia,1,0,0,0,1,2020,3,1,6,1,1,0.0,,,0.25,0.0,0.0,0.0,0.0,0.0,0.0,,,3.7137721526508907e-06,0.0
2020-03-02,Estonia,1,0,0,0,1,2020,3,2,0,0,1,0.0,,,0.2,0.0,0.0,0.0,0.0,0.0,0.0,,,2.9710177221207125e-06,0.0
2020-03-03,Estonia,2,0,1,0,1,2020,3,3,1,0,1,0.0,,,0.3333333333333333,0.0,2.3308621532784276e-07,0.0,1.2944146009966992e-05,0.0,0.0,,,4.95169620353452e-06,0.0
2020-03-04,Estonia,2,0,0,0,1,2020,3,4,2,0,1,0.0,,,0.2857142857142857,0.0,2.3308621532784276e-07,0.0,0.0,0.0,0.0,,,4.244311031601017e-06,0.0
2020-03-05,Estonia,3,0,1,0,1,2020,3,5,3,0,1,0.0,2.0,,0.2857142857142857,0.0,4.6617243065568553e-07,0.0,1.2944146009966992e-05,0.0,0.0,0.01194134568161089,,4.244311031601017e-06,0.0
2020-03-06,Estonia,10,0,7,0,1,2020,3,6,4,0,1,0.0,9.0,,1.2857142857142858,0.0,2.0977759379505848e-06,0.0,9.060902206976894e-05,0.0,0.0,0.04406089945976285,,1.909939964220458e-05,0.0
2020-03-07,Estonia,10,0,0,0,1,2020,3,7,5,1,1,0.0,9.0,,1.2857142857142858,0.0,2.0977759379505848e-06,0.0,0.0,0.0,0.0,0.04406089945976285,,1.909939964220458e-05,0.0
2020-03-08,Estonia,10,0,0,0,1,2020,3,8,6,1,1,0.0,9.0,,1.2857142857142858,0.0,2.0977759379505848e-06,0.0,0.0,0.0,0.0,0.04406089945976285,,1.909939964220458e-05,0.0
2020-03-09,Estonia,10,0,0,0,1,2020,3,9,0,0,1,0.0,9.0,,1.2857142857142858,0.0,2.0977759379505848e-06,0.0,0.0,0.0,0.0,0.04406089945976285,,1.909939964220458e-05,0.0
2020-03-10,Estonia,12,0,2,0,1,2020,3,10,1,0,1,0.0,5.0,,1.4285714285714286,0.0,2.5639483686062704e-06,0.0,2.5888292019933984e-05,0.0,0.0,0.025706868729390302,,2.122155515800509e-05,0.0
2020-03-11,Estonia,16,0,4,0,1,2020,3,11,2,0,1,0.0,7.0,,2.0,0.0,3.4962932299176414e-06,0.0,5.177658403986797e-05,0.0,0.0,0.03488388409457658,,2.9710177221207126e-05,0.0
2020-03-12,Estonia,16,0,0,0,1,2020,3,12,3,0,1,0.0,4.333333333333333,,1.8571428571428572,0.0,3.4962932299176414e-06,0.0,0.0,0.0,0.0,0.022647863607661547,,2.7588021705406618e-05,0.0
2020-03-13,Estonia,79,0,63,0,1,2020,3,13,4,0,1,0.0,6.9,,9.857142857142858,0.0,1.8180724795571734e-05,0.0,0.0008154811986279205,0.0,0.0,0.034425033326317266,,0.00014642873059023513,0.0
2020-03-14,Estonia,115,0,36,0,1,2020,3,14,5,1,1,0.0,10.5,,15.0,0.0,2.6571828547374075e-05,0.0,0.0004659892563588117,0.0,0.0,0.050943660983652564,,0.00022282632915905345,0.0
2020-03-15,Estonia,171,0,56,0,1,2020,3,15,6,1,1,0.0,16.1,,23.0,0.0,3.962465660573327e-05,0.0,0.0007248721765581516,0.0,0.0,0.07663930400617415,,0.00034166703804388194,0.0
2020-03-16,Estonia,205,0,34,0,1,2020,3,16,0,0,1,0.0,19.5,,27.857142857142858,0.0,4.7549587926879925e-05,0.0,0.00044010096433887776,0.0,0.0,0.09224023012699081,,0.00041382032558109926,0.0
2020-03-17,Estonia,225,0,20,0,1,2020,3,17,1,0,1,0.0,17.75,,30.428571428571427,0.0,5.221131223343678e-05,0.0,0.00025888292019933984,0.0,0.0,0.08421034168245282,,0.00045201912486550835,0.0
2020-03-18,Estonia,258,0,33,0,1,2020,3,18,2,0,1,0.0,15.125,,34.57142857142857,0.0,5.990315733925559e-05,0.0,0.00042715681832891075,0.0,0.0,0.07216550901564583,,0.0005135616348237232,0.0
2020-03-19,Estonia,267,0,9,0,1,2020,3,19,3,0,1,0.0,15.6875,,35.857142857142854,0.0,6.200093327720617e-05,0.0,0.00011649731408970293,0.0,0.0,0.07474654458710447,,0.0005326610344659276,0.0
2020-03-20,Estonia,283,0,16,0,1,2020,3,20,4,0,1,0.0,2.5822784810126582,,29.142857142857142,0.0,6.573031272245166e-05,0.0,0.00020710633615947187,0.0,0.0,0.014613134965146135,,0.0004329197252233038,0.0
2020-03-21,Estonia,306,0,23,0,1,2020,3,21,5,1,1,0.0,1.6608695652173915,,27.285714285714285,0.0,7.109129567499205e-05,0.0,0.0002977153582292408,0.0,0.0,0.010385243076209739,,0.0004053317035178972,0.0
2020-03-22,Estonia,326,0,20,0,1,2020,3,22,6,1,1,0.0,0.9064327485380117,,22.142857142857142,0.0,7.575301998154889e-05,0.0,0.00025888292019933984,0.0,0.0,0.006923503946845293,,0.00032893410494907885,0.0
2020-03-23,Estonia,352,0,26,0,1,2020,3,23,0,0,1,0.0,0.7170731707317073,,21.0,0.0,8.181326158007281e-05,0.0,0.0003365477962591418,0.0,0.0,0.006054626069308473,,0.0003119568608226748,0.0
2020-03-24,Estonia,369,0,17,0,1,2020,3,24,1,0,1,0.0,0.6399999999999999,,20.571428571428573,0.0,8.577572724064613e-05,0.0,0.00022005048216943888,0.0,0.0,0.0057009752332842206,,0.0003055903942752733,0.0
2020-03-25,Estonia,404,1,35,1,1,2020,3,25,2,0,1,0.0024752475247524753,0.565891472868217,inf,20.857142857142858,0.14285714285714285,9.393374477712063e-05,6.756254602698448e-06,0.0004530451103488447,0.0002572678157962439,0.0024752475247524753,0.005360927687194372,,0.0003098347053068743,6.383657835939994e-05
2020-03-26,Estonia,538,1,134,0,1,2020,3,26,3,0,1,0.0018587360594795538,1.0149812734082397,inf,38.714285714285715,0.14285714285714285,0.00012516729763105156,6.756254602698448e-06,0.001734515565335577,0.0,0.0018587360594795538,0.0074215796871464875,,0.000575104144781938,6.383657835939994e-05
2020-03-27,Estonia,575,1,37,0,1,2020,3,27,4,0,1,0.0017391304347826088,1.0318021201413425,inf,41.714285714285715,0.14285714285714285,0.00013379148759818174,6.756254602698448e-06,0.0004789334023687787,0.0,0.0017391304347826088,0.007498762271609051,,0.0006196694106137486,6.383657835939994e-05
2020-03-28,Estonia,645,1,70,0,1,2020,3,28,5,1,1,0.0015503875968992248,1.107843137254902,inf,48.42857142857143,0.14285714285714285,0.00015010752267113073,6.756254602698448e-06,0.0009060902206976894,0.0,0.0015503875968992248,0.007847677062826816,,0.0007194107198563725,6.383657835939994e-05
2020-03-29,Estonia,679,3,34,2,1,2020,3,29,6,1,1,0.004418262150220913,1.0828220858895707,inf,50.42857142857143,0.42857142857142855,0.0001580324539922774,2.0268763808095344e-05,0.00044010096433887776,0.0005145356315924878,0.004418262150220913,0.007732867776410435,,0.0007491208970775797,0.0001915097350781998
2020-03-30,Estonia,715,3,36,0,1,2020,3,30,0,0,1,0.004195804195804196,1.03125,inf,51.857142857142854,0.42857142857142855,0.00016642355774407972,2.0268763808095344e-05,0.0004659892563588117,0.0,0.004195804195804196,0.007496228864098786,,0.0007703424522355847,0.0001915097350781998
