date_value,country,total_cases,total_deaths,new_cases,new_deaths,id_pandemic,year,month,day,day_of_week,is_weekend,quarter,mortality_rate,cases_growth_rate_7d,deaths_growth_rate_7d,new_cases_ma7,new_deaths_ma7,total_cases_normalized,total_deaths_normalized,new_cases_normalized,new_deaths_normalized,mortality_rate_normalized,cases_growth_rate_7d_normalized,deaths_growth_rate_7d_normalized,new_cases_ma7_normalized,new_deaths_ma7_normalized
2020-03-13,Ethiopia,1,0,1,0,1,2020,3,13,4,0,1,0.0,,,1.0,0.0,0.0,0.0,1.2944146009966992e-05,0.0,0.0,,,1.4855088610603563e-05,0.0
2020-03-14,Ethiopia,1,0,0,0,1,2020,3,14,5,1,1,0.0,,,0.5,0.0,0.0,0.0,0.0,0.0,0.0,,,7.4275443053017815e-06,0.0
2020-03-15,Ethiopia,1,0,0,0,1,2020,3,15,6,1,1,0.0,,,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,,,4.95169620353452e-06,0.0
2020-03-16,Ethiopia,5,0,4,0,1,2020,3,16,0,0,1,0.0,,,1.25,0.0,9.323448613113711e-07,0.0,5.177658403986797e-05,0.0,0.0,,,1.856886076325445e-05,0.0
2020-03-17,Ethiopia,5,0,0,0,1,2020,3,17,1,0,1,0.0,,,1.0,0.0,9.323448613113711e-07,0.0,0.0,0.0,0.0,,,1.4855088610603563e-05,0.0
2020-03-18,Ethiopia,6,0,1,0,1,2020,3,18,2,0,1,0.0,,,1.0,0.0,1.1654310766392138e-06,0.0,1.2944146009966992e-05,0.0,0.0,,,1.4855088610603563e-05,0.0
2020-03-19,Ethiopia,6,0,0,0,1,2020,3,19,3,0,1,0.0,,,0.8571428571428571,0.0,1.1654310766392138e-06,0.0,0.0,0.0,0.0,,,1.2732933094803053e-05,0.0
2020-03-20,Ethiopia,9,0,3,0,1,2020,3,20,4,0,1,0.0,8.0,,1.1428571428571428,0.0,1.8646897226227421e-06,0.0,3.8832438029900976e-05,0.0,0.0,0.03947239177716972,,1.697724412640407e-05,0.0
2020-03-21,Ethiopia,9,0,0,0,1,2020,3,21,5,1,1,0.0,8.0,,1.1428571428571428,0.0,1.8646897226227421e-06,0.0,0.0,0.0,0.0,0.03947239177716972,,1.697724412640407e-05,0.0
2020-03-22,Ethiopia,11,0,2,0,1,2020,3,22,6,1,1,0.0,10.0,,1.4285714285714286,0.0,2.3308621532784276e-06,0.0,2.5888292019933984e-05,0.0,0.0,0.048649407142355994,,2.122155515800509e-05,0.0
2020-03-23,Ethiopia,11,0,0,0,1,2020,3,23,0,0,1,0.0,1.2000000000000002,,0.8571428571428571,0.0,2.3308621532784276e-06,0.0,0.0,0.0,0.0,0.00827053953553638,,1.2732933094803053e-05,0.0
2020-03-24,Ethiopia,12,0,1,0,1,2020,3,24,1,0,1,0.0,1.4,,1.0,0.0,2.5639483686062704e-06,0.0,1.2944146009966992e-05,0.0,0.0,0.009188241072055006,,1.4855088610603563e-05,0.0
2020-03-25,Ethiopia,12,0,0,0,1,2020,3,25,2,0,1,0.0,1.0,,0.8571428571428571,0.0,2.5639483686062704e-06,0.0,0.0,0.0,0.0,0.0073528379990177506,,1.2732933094803053e-05,0.0
2020-03-26,Ethiopia,12,0,0,0,1,2020,3,26,3,0,1,0.0,1.0,,0.8571428571428571,0.0,2.5639483686062704e-06,0.0,0.0,0.0,0.0,0.0073528379990177506,,1.2732933094803053e-05,0.0
