date_value,country,total_cases,total_deaths,new_cases,new_deaths,id_pandemic,year,month,day,day_of_week,is_weekend,quarter,mortality_rate,cases_growth_rate_7d,deaths_growth_rate_7d,new_cases_ma7,new_deaths_ma7,total_cases_normalized,total_deaths_normalized,new_cases_normalized,new_deaths_normalized,mortality_rate_normalized,cases_growth_rate_7d_normalized,deaths_growth_rate_7d_normalized,new_cases_ma7_normalized,new_deaths_ma7_normalized
2020-01-24,France,2,0,2,0,1,2020,1,24,4,0,1,0.0,,,2.0,0.0,2.3308621532784276e-07,0.0,2.5888292019933984e-05,0.0,0.0,,,2.9710177221207126e-05,0.0
2020-01-25,France,3,0,1,0,1,2020,1,25,5,1,1,0.0,,,1.5,0.0,4.6617243065568553e-07,0.0,1.2944146009966992e-05,0.0,0.0,,,2.2282632915905342e-05,0.0
2020-01-26,France,3,0,0,0,1,2020,1,26,6,1,1,0.0,,,1.0,0.0,4.6617243065568553e-07,0.0,0.0,0.0,0.0,,,1.4855088610603563e-05,0.0
2020-01-27,France,3,0,0,0,1,2020,1,27,0,0,1,0.0,,,0.75,0.0,4.6617243065568553e-07,0.0,0.0,0.0,0.0,,,1.1141316457952671e-05,0.0
2020-01-28,France,4,0,1,0,1,2020,1,28,1,0,1,0.0,,,0.8,0.0,6.992586459835282e-07,0.0,1.2944146009966992e-05,0.0,0.0,,,1.188407088848285e-05,0.0
2020-01-29,France,5,0,1,0,1,2020,1,29,2,0,1,0.0,,,0.8333333333333334,0.0,9.323448613113711e-07,0.0,1.2944146009966992e-05,0.0,0.0,,,1.2379240508836303e-05,0.0
2020-01-30,France,5,0,0,0,1,2020,1,30,3,0,1,0.0,,,0.7142857142857143,0.0,9.323448613113711e-07,0.0,0.0,0.0,0.0,,,1.0610777579002545e-05,0.0
2020-01-31,France,5,0,0,0,1,2020,1,31,4,0,1,0.0,1.5,,0.42857142857142855,0.0,9.323448613113711e-07,0.0,0.0,0.0,0.0,0.00964709184031432,,6.3664665474015265e-06,0.0
2020-02-01,France,6,0,1,0,1,2020,2,1,5,1,1,0.0,1.0,,0.42857142857142855,0.0,1.1654310766392138e-06,0.0,1.2944146009966992e-05,0.0,0.0,0.0073528379990177506,,6.3664665474015265e-06,0.0
2020-02-02,France,6,0,0,0,1,2020,2,2,6,1,1,0.0,1.0,,0.42857142857142855,0.0,1.1654310766392138e-06,0.0,0.0,0.0,0.0,0.0073528379990177506,,6.3664665474015265e-06,0.0
2020-02-03,France,6,0,0,0,1,2020,2,3,0,0,1,0.0,1.0,,0.42857142857142855,0.0,1.1654310766392138e-06,0.0,0.0,0.0,0.0,0.0073528379990177506,,6.3664665474015265e-06,0.0
2020-02-04,France,6,0,0,0,1,2020,2,4,1,0,1,0.0,0.5,,0.2857142857142857,0.0,1.1654310766392138e-06,0.0,0.0,0.0,0.0,0.005058584157721181,,4.244311031601017e-06,0.0
2020-02-05,France,6,0,0,0,1,2020,2,5,2,0,1,0.0,0.19999999999999996,,0.14285714285714285,0.0,1.1654310766392138e-06,0.0,0.0,0.0,0.0,0.00368203185294324,,2.1221555158005087e-06,0.0
2020-02-06,France,6,0,0,0,1,2020,2,6,3,0,1,0.0,0.19999999999999996,,0.14285714285714285,0.0,1.1654310766392138e-06,0.0,0.0,0.0,0.0,0.00368203185294324,,2.1221555158005087e-06,0.0
2020-02-07,France,6,0,0,0,1,2020,2,7,4,0,1,0.0,0.19999999999999996,,0.14285714285714285,0.0,1.1654310766392138e-06,0.0,0.0,0.0,0.0,0.00368203185294324,,2.1221555158005087e-06,0.0
2020-02-08,France,11,0,5,0,1,2020,2,8,5,1,1,0.0,0.8333333333333333,,0.7142857142857143,0.0,2.3308621532784276e-06,0.0,6.472073004983496e-05,0.0,0.0,0.006588086718585561,,1.0610777579002545e-05,0.0
2020-02-09,France,11,0,0,0,1,2020,2,9,6,1,1,0.0,0.8333333333333333,,0.7142857142857143,0.0,2.3308621532784276e-06,0.0,0.0,0.0,0.0,0.006588086718585561,,1.0610777579002545e-05,0.0
2020-02-10,France,11,0,0,0,1,2020,2,10,0,0,1,0.0,0.8333333333333333,,0.7142857142857143,0.0,2.3308621532784276e-06,0.0,0.0,0.0,0.0,0.006588086718585561,,1.0610777579002545e-05,0.0
