date_value,country,total_cases,total_deaths,new_cases,new_deaths,id_pandemic,year,month,day,day_of_week,is_weekend,quarter,mortality_rate,cases_growth_rate_7d,deaths_growth_rate_7d,new_cases_ma7,new_deaths_ma7,total_cases_normalized,total_deaths_normalized,new_cases_normalized,new_deaths_normalized,mortality_rate_normalized,cases_growth_rate_7d_normalized,deaths_growth_rate_7d_normalized,new_cases_ma7_normalized,new_deaths_ma7_normalized
2020-03-14,Gabon,1,0,1,0,1,2020,3,14,5,1,1,0.0,,,1.0,0.0,0.0,0.0,1.2944146009966992e-05,0.0,0.0,,,1.4855088610603563e-05,0.0
2020-03-15,Gabon,1,0,0,0,1,2020,3,15,6,1,1,0.0,,,0.5,0.0,0.0,0.0,0.0,0.0,0.0,,,7.4275443053017815e-06,0.0
2020-03-16,Gabon,1,0,0,0,1,2020,3,16,0,0,1,0.0,,,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,,,4.95169620353452e-06,0.0
2020-03-17,Gabon,1,0,0,0,1,2020,3,17,1,0,1,0.0,,,0.25,0.0,0.0,0.0,0.0,0.0,0.0,,,3.7137721526508907e-06,0.0
2020-03-18,Gabon,1,0,0,0,1,2020,3,18,2,0,1,0.0,,,0.2,0.0,0.0,0.0,0.0,0.0,0.0,,,2.9710177221207125e-06,0.0
2020-03-19,Gabon,1,0,0,0,1,2020,3,19,3,0,1,0.0,,,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,,,2.47584810176726e-06,0.0
2020-03-20,Gabon,3,1,2,1,1,2020,3,20,4,0,1,0.3333333333333333,,,0.42857142857142855,0.14285714285714285,4.6617243065568553e-07,6.756254602698448e-06,2.5888292019933984e-05,0.0002572678157962439,0.3333333333333333,,,6.3664665474015265e-06,6.383657835939994e-05
2020-03-21,Gabon,4,1,1,0,1,2020,3,21,5,1,1,0.25,3.0,inf,0.42857142857142855,0.14285714285714285,6.992586459835282e-07,6.756254602698448e-06,1.2944146009966992e-05,0.0,0.25,0.01652985336420403,,6.3664665474015265e-06,6.383657835939994e-05
2020-03-22,Gabon,5,1,1,0,1,2020,3,22,6,1,1,0.2,4.0,inf,0.5714285714285714,0.14285714285714285,9.323448613113711e-07,6.756254602698448e-06,1.2944146009966992e-05,0.0,0.2,0.021118361046797166,,8.488622063202035e-06,6.383657835939994e-05
2020-03-23,Gabon,5,1,0,0,1,2020,3,23,0,0,1,0.2,4.0,inf,0.5714285714285714,0.14285714285714285,9.323448613113711e-07,6.756254602698448e-06,0.0,0.0,0.2,0.021118361046797166,,8.488622063202035e-06,6.383657835939994e-05
2020-03-24,Gabon,6,1,1,0,1,2020,3,24,1,0,1,0.16666666666666666,5.0,inf,0.7142857142857143,0.14285714285714285,1.1654310766392138e-06,6.756254602698448e-06,1.2944146009966992e-05,0.0,0.16666666666666666,0.025706868729390302,,1.0610777579002545e-05,6.383657835939994e-05
2020-03-25,Gabon,6,1,0,0,1,2020,3,25,2,0,1,0.16666666666666666,5.0,inf,0.7142857142857143,0.14285714285714285,1.1654310766392138e-06,6.756254602698448e-06,0.0,0.0,0.16666666666666666,0.025706868729390302,,1.0610777579002545e-05,6.383657835939994e-05
2020-03-26,Gabon,7,1,1,0,1,2020,3,26,3,0,1,0.14285714285714285,6.0,inf,0.8571428571428571,0.14285714285714285,1.3985172919670564e-06,6.756254602698448e-06,1.2944146009966992e-05,0.0,0.14285714285714285,0.03029537641198344,,1.2732933094803053e-05,6.383657835939994e-05
2020-03-27,Gabon,7,1,0,0,1,2020,3,27,4,0,1,0.14285714285714285,1.3333333333333335,0.0,0.5714285714285714,0.0,1.3985172919670564e-06,6.756254602698448e-06,0.0,0.0,0.14285714285714285,0.008882340559882131,0.0,8.488622063202035e-06,0.0
2020-03-28,Gabon,7,1,0,0,1,2020,3,28,5,1,1,0.14285714285714285,0.75,0.0,0.42857142857142855,0.0,1.3985172919670564e-06,6.756254602698448e-06,0.0,0.0,0.14285714285714285,0.006205711078369466,0.0,6.3664665474015265e-06,0.0
2020-03-29,Gabon,7,1,0,0,1,2020,3,29,6,1,1,0.14285714285714285,0.3999999999999999,0.0,0.2857142857142857,0.0,1.3985172919670564e-06,6.756254602698448e-06,0.0,0.0,0.14285714285714285,0.004599733389461867,0.0,4.244311031601017e-06,0.0
2020-03-30,Gabon,7,1,0,0,1,2020,3,30,0,0,1,0.14285714285714285,0.3999999999999999,0.0,0.2857142857142857,0.0,1.3985172919670564e-06,6.756254602698448e-06,0.0,0.0,0.14285714285714285,0.004599733389461867,0.0,4.244311031601017e-06,0.0
2020-03-31,Gabon,16,1,9,0,1,2020,3,31,1,0,1,0.0625,1.6666666666666665,0.0,1.4285714285714286,0.0,3.4962932299176414e-06,6.756254602698448e-06,0.00011649731408970293,0.0,0.0625,0.010411843120746509,0.0,2.122155515800509e-05,0.0
