date_value,country,total_cases,total_deaths,new_cases,new_deaths,id_pandemic,year,month,day,day_of_week,is_weekend,quarter,mortality_rate,cases_growth_rate_7d,deaths_growth_rate_7d,new_cases_ma7,new_deaths_ma7,total_cases_normalized,total_deaths_normalized,new_cases_normalized,new_deaths_normalized,mortality_rate_normalized,cases_growth_rate_7d_normalized,deaths_growth_rate_7d_normalized,new_cases_ma7_normalized,new_deaths_ma7_normalized
2020-02-26,Georgia,1,0,1,0,1,2020,2,26,2,0,1,0.0,,,1.0,0.0,0.0,0.0,1.2944146009966992e-05,0.0,0.0,,,1.4855088610603563e-05,0.0
2020-02-27,Georgia,1,0,0,0,1,2020,2,27,3,0,1,0.0,,,0.5,0.0,0.0,0.0,0.0,0.0,0.0,,,7.4275443053017815e-06,0.0
2020-02-28,Georgia,1,0,0,0,1,2020,2,28,4,0,1,0.0,,,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,,,4.95169620353452e-06,0.0
2020-02-29,Georgia,1,0,0,0,1,2020,2,29,5,1,1,0.0,,,0.25,0.0,0.0,0.0,0.0,0.0,0.0,,,3.7137721526508907e-06,0.0
2020-03-01,Georgia,3,0,2,0,1,2020,3,1,6,1,1,0.0,,,0.6,0.0,4.6617243065568553e-07,0.0,2.5888292019933984e-05,0.0,0.0,,,8.913053166362137e-06,0.0
2020-03-02,Georgia,3,0,0,0,1,2020,3,2,0,0,1,0.0,,,0.5,0.0,4.6617243065568553e-07,0.0,0.0,0.0,0.0,,,7.4275443053017815e-06,0.0
2020-03-03,Georgia,3,0,0,0,1,2020,3,3,1,0,1,0.0,,,0.42857142857142855,0.0,4.6617243065568553e-07,0.0,0.0,0.0,0.0,,,6.3664665474015265e-06,0.0
2020-03-04,Georgia,3,0,0,0,1,2020,3,4,2,0,1,0.0,2.0,,0.2857142857142857,0.0,4.6617243065568553e-07,0.0,0.0,0.0,0.0,0.01194134568161089,,4.244311031601017e-06,0.0
2020-03-05,Georgia,4,0,1,0,1,2020,3,5,3,0,1,0.0,3.0,,0.42857142857142855,0.0,6.992586459835282e-07,0.0,1.2944146009966992e-05,0.0,0.0,0.01652985336420403,,6.3664665474015265e-06,0.0
2020-03-06,Georgia,4,0,0,0,1,2020,3,6,4,0,1,0.0,3.0,,0.42857142857142855,0.0,6.992586459835282e-07,0.0,0.0,0.0,0.0,0.01652985336420403,,6.3664665474015265e-06,0.0
2020-03-07,Georgia,4,0,0,0,1,2020,3,7,5,1,1,0.0,3.0,,0.42857142857142855,0.0,6.992586459835282e-07,0.0,0.0,0.0,0.0,0.01652985336420403,,6.3664665474015265e-06,0.0
2020-03-08,Georgia,13,0,9,0,1,2020,3,8,6,1,1,0.0,3.333333333333333,,1.4285714285714286,0.0,2.797034583934113e-06,0.0,0.00011649731408970293,0.0,0.0,0.018059355925068406,,2.122155515800509e-05,0.0
2020-03-09,Georgia,15,0,2,0,1,2020,3,9,0,0,1,0.0,4.0,,1.7142857142857142,0.0,3.2632070145897985e-06,0.0,2.5888292019933984e-05,0.0,0.0,0.021118361046797166,,2.5465866189606106e-05,0.0
2020-03-10,Georgia,15,0,0,0,1,2020,3,10,1,0,1,0.0,4.0,,1.7142857142857142,0.0,3.2632070145897985e-06,0.0,0.0,0.0,0.0,0.021118361046797166,,2.5465866189606106e-05,0.0
