date_value,country,total_cases,total_deaths,new_cases,new_deaths,id_pandemic,year,month,day,day_of_week,is_weekend,quarter,mortality_rate,cases_growth_rate_7d,deaths_growth_rate_7d,new_cases_ma7,new_deaths_ma7,total_cases_normalized,total_deaths_normalized,new_cases_normalized,new_deaths_normalized,mortality_rate_normalized,cases_growth_rate_7d_normalized,deaths_growth_rate_7d_normalized,new_cases_ma7_normalized,new_deaths_ma7_normalized
2020-01-27,Germany,1,0,1,0,1,2020,1,27,0,0,1,0.0,,,1.0,0.0,0.0,0.0,1.2944146009966992e-05,0.0,0.0,,,1.4855088610603563e-05,0.0
2020-01-28,Germany,4,0,3,0,1,2020,1,28,1,0,1,0.0,,,2.0,0.0,6.992586459835282e-07,0.0,3.8832438029900976e-05,0.0,0.0,,,2.9710177221207126e-05,0.0
2020-01-29,Germany,4,0,0,0,1,2020,1,29,2,0,1,0.0,,,1.3333333333333333,0.0,6.992586459835282e-07,0.0,0.0,0.0,0.0,,,1.980678481413808e-05,0.0
2020-01-30,Germany,4,0,0,0,1,2020,1,30,3,0,1,0.0,,,1.0,0.0,6.992586459835282e-07,0.0,0.0,0.0,0.0,,,1.4855088610603563e-05,0.0
2020-01-31,Germany,5,0,1,0,1,2020,1,31,4,0,1,0.0,,,1.0,0.0,9.323448613113711e-07,0.0,1.2944146009966992e-05,0.0,0.0,,,1.4855088610603563e-05,0.0
2020-02-01,Germany,8,0,3,0,1,2020,2,1,5,1,1,0.0,,,1.3333333333333333,0.0,1.6316035072948993e-06,0.0,3.8832438029900976e-05,0.0,0.0,,,1.980678481413808e-05,0.0
2020-02-02,Germany,10,0,2,0,1,2020,2,2,6,1,1,0.0,,,1.4285714285714286,0.0,2.0977759379505848e-06,0.0,2.5888292019933984e-05,0.0,0.0,,,2.122155515800509e-05,0.0
2020-02-03,Germany,12,0,2,0,1,2020,2,3,0,0,1,0.0,11.0,,1.5714285714285714,0.0,2.5639483686062704e-06,0.0,2.5888292019933984e-05,0.0,0.0,0.053237914824949134,,2.3343710673805598e-05,0.0
2020-02-04,Germany,12,0,0,0,1,2020,2,4,1,0,1,0.0,2.0,,1.1428571428571428,0.0,2.5639483686062704e-06,0.0,0.0,0.0,0.0,0.01194134568161089,,1.697724412640407e-05,0.0
2020-02-05,Germany,12,0,0,0,1,2020,2,5,2,0,1,0.0,2.0,,1.1428571428571428,0.0,2.5639483686062704e-06,0.0,0.0,0.0,0.0,0.01194134568161089,,1.697724412640407e-05,0.0
2020-02-06,Germany,12,0,0,0,1,2020,2,6,3,0,1,0.0,2.0,,1.1428571428571428,0.0,2.5639483686062704e-06,0.0,0.0,0.0,0.0,0.01194134568161089,,1.697724412640407e-05,0.0
2020-02-07,Germany,13,0,1,0,1,2020,2,7,4,0,1,0.0,1.6,,1.1428571428571428,0.0,2.797034583934113e-06,0.0,1.2944146009966992e-05,0.0,0.0,0.010105942608573634,,1.697724412640407e-05,0.0
