date_value,country,total_cases,total_deaths,new_cases,new_deaths,id_pandemic,year,month,day,day_of_week,is_weekend,quarter,mortality_rate,cases_growth_rate_7d,deaths_growth_rate_7d,new_cases_ma7,new_deaths_ma7,total_cases_normalized,total_deaths_normalized,new_cases_normalized,new_deaths_normalized,mortality_rate_normalized,cases_growth_rate_7d_normalized,deaths_growth_rate_7d_normalized,new_cases_ma7_normalized,new_deaths_ma7_normalized
2020-03-14,Ghana,3,0,3,0,1,2020,3,14,5,1,1,0.0,,,3.0,0.0,4.6617243065568553e-07,0.0,3.8832438029900976e-05,0.0,0.0,,,4.4565265831810684e-05,0.0
2020-03-15,Ghana,6,0,3,0,1,2020,3,15,6,1,1,0.0,,,3.0,0.0,1.1654310766392138e-06,0.0,3.8832438029900976e-05,0.0,0.0,,,4.4565265831810684e-05,0.0
2020-03-16,Ghana,6,0,0,0,1,2020,3,16,0,0,1,0.0,,,2.0,0.0,1.1654310766392138e-06,0.0,0.0,0.0,0.0,,,2.9710177221207126e-05,0.0
2020-03-17,Ghana,7,0,1,0,1,2020,3,17,1,0,1,0.0,,,1.75,0.0,1.3985172919670564e-06,0.0,1.2944146009966992e-05,0.0,0.0,,,2.5996405068556236e-05,0.0
2020-03-18,Ghana,7,0,0,0,1,2020,3,18,2,0,1,0.0,,,1.4,0.0,1.3985172919670564e-06,0.0,0.0,0.0,0.0,,,2.0797124054844987e-05,0.0
2020-03-19,Ghana,11,0,4,0,1,2020,3,19,3,0,1,0.0,,,1.8333333333333333,0.0,2.3308621532784276e-06,0.0,5.177658403986797e-05,0.0,0.0,,,2.7234329119439862e-05,0.0
2020-03-20,Ghana,16,0,5,0,1,2020,3,20,4,0,1,0.0,,,2.2857142857142856,0.0,3.4962932299176414e-06,0.0,6.472073004983496e-05,0.0,0.0,,,3.395448825280814e-05,0.0
2020-03-21,Ghana,19,1,3,1,1,2020,3,21,5,1,1,0.05263157894736842,5.333333333333333,inf,2.2857142857142856,0.14285714285714285,4.1955518759011695e-06,6.756254602698448e-06,3.8832438029900976e-05,0.0002572678157962439,0.05263157894736842,0.027236371290254684,,3.395448825280814e-05,6.383657835939994e-05
2020-03-22,Ghana,23,1,4,0,1,2020,3,22,6,1,1,0.043478260869565216,2.8333333333333335,inf,2.4285714285714284,0.14285714285714285,5.127896737212541e-06,6.756254602698448e-06,5.177658403986797e-05,0.0,0.043478260869565216,0.01576510208377184,,3.607664376860865e-05,6.383657835939994e-05
2020-03-23,Ghana,27,2,4,1,1,2020,3,23,0,0,1,0.07407407407407407,3.5,inf,3.0,0.2857142857142857,6.060241598523911e-06,1.3512509205396897e-05,5.177658403986797e-05,0.0002572678157962439,0.07407407407407407,0.018824107205500595,,4.4565265831810684e-05,0.00012767315671879988
2020-03-24,Ghana,53,2,26,0,1,2020,3,24,1,0,1,0.03773584905660377,6.571428571428571,inf,6.571428571428571,0.2857142857142857,1.2120483197047823e-05,1.3512509205396897e-05,0.0003365477962591418,0.0,0.03773584905660377,0.03291738080203666,,9.76191537268234e-05,0.00012767315671879988
2020-03-25,Ghana,93,4,40,2,1,2020,3,25,2,0,1,0.043010752688172046,12.285714285714286,inf,12.285714285714286,0.5714285714285714,2.1443931810161533e-05,2.7025018410793794e-05,0.0005177658403986797,0.0005145356315924878,0.043010752688172046,0.059137424702568886,,0.00018250537435884377,0.00025534631343759976
2020-03-26,Ghana,132,4,39,0,1,2020,3,26,3,0,1,0.030303030303030304,11.0,inf,17.285714285714285,0.5714285714285714,3.05342942079474e-05,2.7025018410793794e-05,0.0005048216943887127,0.0,0.030303030303030304,0.053237914824949134,,0.0002567808174118616,0.00025534631343759976
2020-03-27,Ghana,137,4,5,0,1,2020,3,27,4,0,1,0.029197080291970802,7.5625,inf,17.285714285714285,0.5714285714285714,3.169972528458662e-05,2.7025018410793794e-05,6.472073004983496e-05,0.0,0.029197080291970802,0.03746491966603522,,0.0002567808174118616,0.00025534631343759976
2020-03-28,Ghana,141,5,4,1,1,2020,3,28,5,1,1,0.03546099290780142,6.421052631578948,4.0,17.428571428571427,0.5714285714285714,3.263207014589798e-05,3.378127301349224e-05,5.177658403986797e-05,0.0002572678157962439,0.03546099290780142,0.03222737964675951,0.0,0.0002589029729276621,0.00025534631343759976
2020-03-29,Ghana,152,5,11,0,1,2020,3,29,6,1,1,0.03289473684210526,5.608695652173913,4.0,18.428571428571427,0.5714285714285714,3.5196018514504254e-05,3.378127301349224e-05,0.00014238560610963693,0.0,0.03289473684210526,0.028499873405751348,0.0,0.0002737580615382656,0.00025534631343759976
2020-03-30,Ghana,152,5,0,0,1,2020,3,30,0,0,1,0.03289473684210526,4.62962962962963,1.5,17.857142857142858,0.42857142857142855,3.5196018514504254e-05,3.378127301349224e-05,0.0,0.0,0.03289473684210526,0.02400742143954099,0.0,0.0002652694394750636,0.0001915097350781998
2020-03-31,Ghana,161,5,9,0,1,2020,3,31,1,0,1,0.031055900621118012,2.0377358490566038,1.5,15.428571428571429,0.42857142857142855,3.729379445245484e-05,3.378127301349224e-05,0.00011649731408970293,0.0,0.031055900621118012,0.012114496914916291,0.0,0.00022919279570645496,0.0001915097350781998
