date_value,country,total_cases,total_deaths,new_cases,new_deaths,id_pandemic,year,month,day,day_of_week,is_weekend,quarter,mortality_rate,cases_growth_rate_7d,deaths_growth_rate_7d,new_cases_ma7,new_deaths_ma7,total_cases_normalized,total_deaths_normalized,new_cases_normalized,new_deaths_normalized,mortality_rate_normalized,cases_growth_rate_7d_normalized,deaths_growth_rate_7d_normalized,new_cases_ma7_normalized,new_deaths_ma7_normalized
2020-03-14,Guatemala,1,0,1,0,1,2020,3,14,5,1,1,0.0,,,1.0,0.0,0.0,0.0,1.2944146009966992e-05,0.0,0.0,,,1.4855088610603563e-05,0.0
2020-03-15,Guatemala,1,0,0,0,1,2020,3,15,6,1,1,0.0,,,0.5,0.0,0.0,0.0,0.0,0.0,0.0,,,7.4275443053017815e-06,0.0
2020-03-16,Guatemala,2,1,1,1,1,2020,3,16,0,0,1,0.5,,,0.6666666666666666,0.3333333333333333,2.3308621532784276e-07,6.756254602698448e-06,1.2944146009966992e-05,0.0002572678157962439,0.5,,,9.90339240706904e-06,0.0001489520161719332
2020-03-17,Guatemala,6,1,4,0,1,2020,3,17,1,0,1,0.16666666666666666,,,1.5,0.25,1.1654310766392138e-06,6.756254602698448e-06,5.177658403986797e-05,0.0,0.16666666666666666,,,2.2282632915905342e-05,0.0001117140121289499
2020-03-18,Guatemala,6,1,0,0,1,2020,3,18,2,0,1,0.16666666666666666,,,1.2,0.2,1.1654310766392138e-06,6.756254602698448e-06,0.0,0.0,0.16666666666666666,,,1.7826106332724274e-05,8.937120970315993e-05
2020-03-19,Guatemala,9,1,3,0,1,2020,3,19,3,0,1,0.1111111111111111,,,1.5,0.16666666666666666,1.8646897226227421e-06,6.756254602698448e-06,3.8832438029900976e-05,0.0,0.1111111111111111,,,2.2282632915905342e-05,7.44760080859666e-05
2020-03-20,Guatemala,12,1,3,0,1,2020,3,20,4,0,1,0.08333333333333333,,,1.7142857142857142,0.14285714285714285,2.5639483686062704e-06,6.756254602698448e-06,3.8832438029900976e-05,0.0,0.08333333333333333,,,2.5465866189606106e-05,6.383657835939994e-05
2020-03-21,Guatemala,17,1,5,0,1,2020,3,21,5,1,1,0.058823529411764705,16.0,inf,2.2857142857142856,0.14285714285714285,3.7293794452454842e-06,6.756254602698448e-06,6.472073004983496e-05,0.0,0.058823529411764705,0.07618045323791484,,3.395448825280814e-05,6.383657835939994e-05
2020-03-22,Guatemala,19,1,2,0,1,2020,3,22,6,1,1,0.05263157894736842,18.0,inf,2.5714285714285716,0.14285714285714285,4.1955518759011695e-06,6.756254602698448e-06,2.5888292019933984e-05,0.0,0.05263157894736842,0.0853574686031011,,3.819879928440916e-05,6.383657835939994e-05
2020-03-23,Guatemala,20,1,1,0,1,2020,3,23,0,0,1,0.05,9.0,0.0,2.5714285714285716,0.0,4.428638091229012e-06,6.756254602698448e-06,1.2944146009966992e-05,0.0,0.05,0.04406089945976285,0.0,3.819879928440916e-05,0.0
2020-03-24,Guatemala,21,1,1,0,1,2020,3,24,1,0,1,0.047619047619047616,2.5,0.0,2.142857142857143,0.0,4.661724306556855e-06,6.756254602698448e-06,1.2944146009966992e-05,0.0,0.047619047619047616,0.014235599522907458,0.0,3.1832332737007634e-05,0.0
