date_value,country,total_cases,total_deaths,new_cases,new_deaths,id_pandemic,year,month,day,day_of_week,is_weekend,quarter,mortality_rate,cases_growth_rate_7d,deaths_growth_rate_7d,new_cases_ma7,new_deaths_ma7,total_cases_normalized,total_deaths_normalized,new_cases_normalized,new_deaths_normalized,mortality_rate_normalized,cases_growth_rate_7d_normalized,deaths_growth_rate_7d_normalized,new_cases_ma7_normalized,new_deaths_ma7_normalized
2020-03-25,Guinea-Bissau,2,0,2,0,1,2020,3,25,2,0,1,0.0,,,2.0,0.0,2.3308621532784276e-07,0.0,2.5888292019933984e-05,0.0,0.0,,,2.9710177221207126e-05,0.0
2020-03-26,Guinea-Bissau,2,0,0,0,1,2020,3,26,3,0,1,0.0,,,1.0,0.0,2.3308621532784276e-07,0.0,0.0,0.0,0.0,,,1.4855088610603563e-05,0.0
2020-03-27,Guinea-Bissau,2,0,0,0,1,2020,3,27,4,0,1,0.0,,,0.6666666666666666,0.0,2.3308621532784276e-07,0.0,0.0,0.0,0.0,,,9.90339240706904e-06,0.0
2020-03-28,Guinea-Bissau,2,0,0,0,1,2020,3,28,5,1,1,0.0,,,0.5,0.0,2.3308621532784276e-07,0.0,0.0,0.0,0.0,,,7.4275443053017815e-06,0.0
2020-03-29,Guinea-Bissau,2,0,0,0,1,2020,3,29,6,1,1,0.0,,,0.4,0.0,2.3308621532784276e-07,0.0,0.0,0.0,0.0,,,5.942035444241425e-06,0.0
2020-03-30,Guinea-Bissau,8,0,6,0,1,2020,3,30,0,0,1,0.0,,,1.3333333333333333,0.0,1.6316035072948993e-06,0.0,7.766487605980195e-05,0.0,0.0,,,1.980678481413808e-05,0.0
2020-03-31,Guinea-Bissau,8,0,0,0,1,2020,3,31,1,0,1,0.0,,,1.1428571428571428,0.0,1.6316035072948993e-06,0.0,0.0,0.0,0.0,,,1.697724412640407e-05,0.0
2020-04-01,Guinea-Bissau,9,0,1,0,1,2020,4,1,2,0,2,0.0,3.5,,1.0,0.0,1.8646897226227421e-06,0.0,1.2944146009966992e-05,0.0,0.0,0.018824107205500595,,1.4855088610603563e-05,0.0
2020-04-02,Guinea-Bissau,9,0,0,0,1,2020,4,2,3,0,2,0.0,3.5,,1.0,0.0,1.8646897226227421e-06,0.0,0.0,0.0,0.0,0.018824107205500595,,1.4855088610603563e-05,0.0
2020-04-03,Guinea-Bissau,15,0,6,0,1,2020,4,3,4,0,2,0.0,6.5,,1.8571428571428572,0.0,3.2632070145897985e-06,0.0,7.766487605980195e-05,0.0,0.0,0.03258963025328001,,2.7588021705406618e-05,0.0
2020-04-04,Guinea-Bissau,18,0,3,0,1,2020,4,4,5,1,2,0.0,8.0,,2.2857142857142856,0.0,3.962465660573327e-06,0.0,3.8832438029900976e-05,0.0,0.0,0.03947239177716972,,3.395448825280814e-05,0.0
2020-04-05,Guinea-Bissau,18,0,0,0,1,2020,4,5,6,1,2,0.0,8.0,,2.2857142857142856,0.0,3.962465660573327e-06,0.0,0.0,0.0,0.0,0.03947239177716972,,3.395448825280814e-05,0.0
2020-04-06,Guinea-Bissau,18,0,0,0,1,2020,4,6,0,0,2,0.0,1.25,,1.4285714285714286,0.0,3.962465660573327e-06,0.0,0.0,0.0,0.0,0.008499964919666035,,2.122155515800509e-05,0.0
2020-04-07,Guinea-Bissau,33,0,15,0,1,2020,4,7,1,0,2,0.0,3.125,,3.5714285714285716,0.0,7.4587588904909685e-06,0.0,0.0001941621901495049,0.0,0.0,0.01710341682452817,,5.3053887895012723e-05,0.0
2020-04-08,Guinea-Bissau,33,0,0,0,1,2020,4,8,2,0,2,0.0,2.6666666666666665,,3.4285714285714284,0.0,7.4587588904909685e-06,0.0,0.0,0.0,0.0,0.015000350803339647,,5.093173237921221e-05,0.0
2020-04-09,Guinea-Bissau,36,0,3,0,1,2020,4,9,3,0,2,0.0,3.0,,3.857142857142857,0.0,8.158017536474496e-06,0.0,3.8832438029900976e-05,0.0,0.0,0.01652985336420403,,5.729819892661374e-05,0.0
2020-04-10,Guinea-Bissau,36,0,0,0,1,2020,4,10,4,0,2,0.0,1.4,,3.0,0.0,8.158017536474496e-06,0.0,0.0,0.0,0.0,0.009188241072055006,,4.4565265831810684e-05,0.0
2020-04-11,Guinea-Bissau,38,0,2,0,1,2020,4,11,5,1,2,0.0,1.1111111111111112,,2.857142857142857,0.0,8.624189967130182e-06,0.0,2.5888292019933984e-05,0.0,0.0,0.007862672185972544,,4.244311031601018e-05,0.0
2020-04-12,Guinea-Bissau,38,0,0,0,1,2020,4,12,6,1,2,0.0,1.1111111111111112,,2.857142857142857,0.0,8.624189967130182e-06,0.0,0.0,0.0,0.0,0.007862672185972544,,4.244311031601018e-05,0.0
2020-04-13,Guinea-Bissau,38,0,0,0,1,2020,4,13,0,0,2,0.0,1.1111111111111112,,2.857142857142857,0.0,8.624189967130182e-06,0.0,0.0,0.0,0.0,0.007862672185972544,,4.244311031601018e-05,0.0
2020-04-14,Guinea-Bissau,38,0,0,0,1,2020,4,14,1,0,2,0.0,0.1515151515151516,,0.7142857142857143,0.0,8.624189967130182e-06,0.0,0.0,0.0,0.0,0.003459558753181149,,1.0610777579002545e-05,0.0
2020-04-15,Guinea-Bissau,43,0,5,0,1,2020,4,15,2,0,2,0.0,0.303030303030303,,1.4285714285714286,0.0,9.789621043769395e-06,0.0,6.472073004983496e-05,0.0,0.0,0.004154787189937685,,2.122155515800509e-05,0.0
2020-04-16,Guinea-Bissau,43,0,0,0,1,2020,4,16,3,0,2,0.0,0.19444444444444442,,1.0,0.0,9.789621043769395e-06,0.0,0.0,0.0,0.0,0.0036565401435955003,,1.4855088610603563e-05,0.0
2020-04-17,Guinea-Bissau,43,0,0,0,1,2020,4,17,4,0,2,0.0,0.19444444444444442,,1.0,0.0,9.789621043769395e-06,0.0,0.0,0.0,0.0,0.0036565401435955003,,1.4855088610603563e-05,0.0
2020-04-18,Guinea-Bissau,46,0,3,0,1,2020,4,18,5,1,2,0.0,0.21052631578947367,,1.1428571428571428,0.0,1.0488879689752923e-05,0.0,3.8832438029900976e-05,0.0,0.0,0.0037303319338126417,,1.697724412640407e-05,0.0
2020-04-19,Guinea-Bissau,50,0,4,0,1,2020,4,19,6,1,2,0.0,0.3157894736842106,,1.7142857142857142,0.0,1.1421224551064295e-05,0.0,5.177658403986797e-05,0.0,0.0,0.004213332742506656,,2.5465866189606106e-05,0.0
2020-04-20,Guinea-Bissau,50,0,0,0,1,2020,4,20,0,0,2,0.0,0.3157894736842106,,1.7142857142857142,0.0,1.1421224551064295e-05,0.0,0.0,0.0,0.0,0.004213332742506656,,2.5465866189606106e-05,0.0
2020-04-21,Guinea-Bissau,50,0,0,0,1,2020,4,21,1,0,2,0.0,0.3157894736842106,,1.7142857142857142,0.0,1.1421224551064295e-05,0.0,0.0,0.0,0.0,0.004213332742506656,,2.5465866189606106e-05,0.0
2020-04-22,Guinea-Bissau,50,0,0,0,1,2020,4,22,2,0,2,0.0,0.16279069767441867,,1.0,0.0,1.1421224551064295e-05,0.0,0.0,0.0,0.0,0.0035112966833583796,,1.4855088610603563e-05,0.0
2020-04-23,Guinea-Bissau,50,0,0,0,1,2020,4,23,3,0,2,0.0,0.16279069767441867,,1.0,0.0,1.1421224551064295e-05,0.0,0.0,0.0,0.0,0.0035112966833583796,,1.4855088610603563e-05,0.0
2020-04-24,Guinea-Bissau,52,0,2,0,1,2020,4,24,4,0,2,0.0,0.20930232558139528,,1.2857142857142858,0.0,1.1887396981719981e-05,0.0,2.5888292019933984e-05,0.0,0.0,0.003724715645339455,,1.909939964220458e-05,0.0
2020-04-25,Guinea-Bissau,52,0,0,0,1,2020,4,25,5,1,2,0.0,0.13043478260869557,,0.8571428571428571,0.0,1.1887396981719981e-05,0.0,0.0,0.0,0.0,0.003362831318501978,,1.2732933094803053e-05,0.0
