date_value,country,total_cases,total_deaths,new_cases,new_deaths,id_pandemic,year,month,day,day_of_week,is_weekend,quarter,mortality_rate,cases_growth_rate_7d,deaths_growth_rate_7d,new_cases_ma7,new_deaths_ma7,total_cases_normalized,total_deaths_normalized,new_cases_normalized,new_deaths_normalized,mortality_rate_normalized,cases_growth_rate_7d_normalized,deaths_growth_rate_7d_normalized,new_cases_ma7_normalized,new_deaths_ma7_normalized
2020-03-13,Guinea,1,0,1,0,1,2020,3,13,4,0,1,0.0,,,1.0,0.0,0.0,0.0,1.2944146009966992e-05,0.0,0.0,,,1.4855088610603563e-05,0.0
2020-03-14,Guinea,1,0,0,0,1,2020,3,14,5,1,1,0.0,,,0.5,0.0,0.0,0.0,0.0,0.0,0.0,,,7.4275443053017815e-06,0.0
2020-03-15,Guinea,1,0,0,0,1,2020,3,15,6,1,1,0.0,,,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,,,4.95169620353452e-06,0.0
2020-03-16,Guinea,1,0,0,0,1,2020,3,16,0,0,1,0.0,,,0.25,0.0,0.0,0.0,0.0,0.0,0.0,,,3.7137721526508907e-06,0.0
2020-03-17,Guinea,1,0,0,0,1,2020,3,17,1,0,1,0.0,,,0.2,0.0,0.0,0.0,0.0,0.0,0.0,,,2.9710177221207125e-06,0.0
2020-03-18,Guinea,1,0,0,0,1,2020,3,18,2,0,1,0.0,,,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,,,2.47584810176726e-06,0.0
2020-03-19,Guinea,1,0,0,0,1,2020,3,19,3,0,1,0.0,,,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,,,2.1221555158005087e-06,0.0
2020-03-20,Guinea,1,0,0,0,1,2020,3,20,4,0,1,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0027643303164246124,,0.0,0.0
2020-03-21,Guinea,2,0,1,0,1,2020,3,21,5,1,1,0.0,1.0,,0.14285714285714285,0.0,2.3308621532784276e-07,0.0,1.2944146009966992e-05,0.0,0.0,0.0073528379990177506,,2.1221555158005087e-06,0.0
2020-03-22,Guinea,2,0,0,0,1,2020,3,22,6,1,1,0.0,1.0,,0.14285714285714285,0.0,2.3308621532784276e-07,0.0,0.0,0.0,0.0,0.0073528379990177506,,2.1221555158005087e-06,0.0
2020-03-23,Guinea,4,0,2,0,1,2020,3,23,0,0,1,0.0,3.0,,0.42857142857142855,0.0,6.992586459835282e-07,0.0,2.5888292019933984e-05,0.0,0.0,0.01652985336420403,,6.3664665474015265e-06,0.0
2020-03-24,Guinea,4,0,0,0,1,2020,3,24,1,0,1,0.0,3.0,,0.42857142857142855,0.0,6.992586459835282e-07,0.0,0.0,0.0,0.0,0.01652985336420403,,6.3664665474015265e-06,0.0
2020-03-25,Guinea,4,0,0,0,1,2020,3,25,2,0,1,0.0,3.0,,0.42857142857142855,0.0,6.992586459835282e-07,0.0,0.0,0.0,0.0,0.01652985336420403,,6.3664665474015265e-06,0.0
2020-03-26,Guinea,4,0,0,0,1,2020,3,26,3,0,1,0.0,3.0,,0.42857142857142855,0.0,6.992586459835282e-07,0.0,0.0,0.0,0.0,0.01652985336420403,,6.3664665474015265e-06,0.0
2020-03-27,Guinea,8,0,4,0,1,2020,3,27,4,0,1,0.0,7.0,,1.0,0.0,1.6316035072948993e-06,0.0,5.177658403986797e-05,0.0,0.0,0.03488388409457658,,1.4855088610603563e-05,0.0
2020-03-28,Guinea,8,0,0,0,1,2020,3,28,5,1,1,0.0,3.0,,0.8571428571428571,0.0,1.6316035072948993e-06,0.0,0.0,0.0,0.0,0.01652985336420403,,1.2732933094803053e-05,0.0
2020-03-29,Guinea,16,0,8,0,1,2020,3,29,6,1,1,0.0,7.0,,2.0,0.0,3.4962932299176414e-06,0.0,0.00010355316807973594,0.0,0.0,0.03488388409457658,,2.9710177221207126e-05,0.0
2020-03-30,Guinea,22,0,6,0,1,2020,3,30,0,0,1,0.0,4.5,,2.5714285714285716,0.0,4.894810521884698e-06,0.0,7.766487605980195e-05,0.0,0.0,0.023412614888093732,,3.819879928440916e-05,0.0
2020-03-31,Guinea,22,0,0,0,1,2020,3,31,1,0,1,0.0,4.5,,2.5714285714285716,0.0,4.894810521884698e-06,0.0,0.0,0.0,0.0,0.023412614888093732,,3.819879928440916e-05,0.0
2020-04-01,Guinea,30,0,8,0,1,2020,4,1,2,0,2,0.0,6.5,,3.7142857142857144,0.0,6.7595002445074395e-06,0.0,0.00010355316807973594,0.0,0.0,0.03258963025328001,,5.5176043410813235e-05,0.0
2020-04-02,Guinea,52,0,22,0,1,2020,4,2,3,0,2,0.0,12.0,,6.857142857142857,0.0,1.1887396981719981e-05,0.0,0.00028477121221927385,0.0,0.0,0.05782642250754227,,0.00010186346475842442,0.0
2020-04-03,Guinea,73,0,21,0,1,2020,4,3,4,0,2,0.0,8.125,,9.285714285714286,0.0,1.6782207503604678e-05,0.0,0.00027182706620930685,0.0,0.0,0.04004595523749386,,0.0001379401085270331,0.0
2020-04-04,Guinea,111,0,38,0,1,2020,4,4,5,1,2,0.0,12.875,,14.714285714285714,0.0,2.5639483686062702e-05,0.0,0.0004918775483787457,0.0,0.0,0.06184136672981127,,0.0002185820181274524,0.0
2020-04-05,Guinea,121,0,10,0,1,2020,4,5,6,1,2,0.0,6.5625,,15.0,0.0,2.797034583934113e-05,0.0,0.00012944146009966992,0.0,0.0,0.03287641198344208,,0.00022282632915905345,0.0
2020-04-06,Guinea,128,0,7,0,1,2020,4,6,0,0,2,0.0,4.818181818181818,,15.142857142857142,0.0,2.960194934663603e-05,0.0,9.060902206976894e-05,0.0,0.0,0.02487259460528246,,0.00022494848467485392,0.0
2020-04-07,Guinea,144,0,16,0,1,2020,4,7,1,0,2,0.0,5.545454545454546,,17.428571428571427,0.0,3.3331328791881514e-05,0.0,0.00020710633615947187,0.0,0.0,0.028209691101713837,,0.0002589029729276621,0.0
2020-04-08,Guinea,164,0,20,0,1,2020,4,8,2,0,2,0.0,4.466666666666667,,19.142857142857142,0.0,3.7993053098438366e-05,0.0,0.00025888292019933984,0.0,0.0,0.023259664632007297,,0.0002843688391172682,0.0
2020-04-09,Guinea,194,0,30,0,1,2020,4,9,3,0,2,0.0,2.730769230769231,,20.285714285714285,0.0,4.4985639558273654e-05,0.0,0.0003883243802990098,0.0,0.0,0.015294485911198183,,0.00030134608324367223,0.0
