date_value,country,total_cases,total_deaths,new_cases,new_deaths,id_pandemic,year,month,day,day_of_week,is_weekend,quarter,mortality_rate,cases_growth_rate_7d,deaths_growth_rate_7d,new_cases_ma7,new_deaths_ma7,total_cases_normalized,total_deaths_normalized,new_cases_normalized,new_deaths_normalized,mortality_rate_normalized,cases_growth_rate_7d_normalized,deaths_growth_rate_7d_normalized,new_cases_ma7_normalized,new_deaths_ma7_normalized
2020-03-12,Guyana,1,1,1,1,1,2020,3,12,3,0,1,1.0,,,1.0,1.0,0.0,6.756254602698448e-06,1.2944146009966992e-05,0.0002572678157962439,1.0,,,1.4855088610603563e-05,0.0004468560485157996
2020-03-13,Guyana,1,1,0,0,1,2020,3,13,4,0,1,1.0,,,0.5,0.5,0.0,6.756254602698448e-06,0.0,0.0,1.0,,,7.4275443053017815e-06,0.0002234280242578998
2020-03-14,Guyana,1,1,0,0,1,2020,3,14,5,1,1,1.0,,,0.3333333333333333,0.3333333333333333,0.0,6.756254602698448e-06,0.0,0.0,1.0,,,4.95169620353452e-06,0.0001489520161719332
2020-03-15,Guyana,4,1,3,0,1,2020,3,15,6,1,1,0.25,,,1.0,0.25,6.992586459835282e-07,6.756254602698448e-06,3.8832438029900976e-05,0.0,0.25,,,1.4855088610603563e-05,0.0001117140121289499
2020-03-16,Guyana,4,1,0,0,1,2020,3,16,0,0,1,0.25,,,0.8,0.2,6.992586459835282e-07,6.756254602698448e-06,0.0,0.0,0.25,,,1.188407088848285e-05,8.937120970315993e-05
2020-03-17,Guyana,7,1,3,0,1,2020,3,17,1,0,1,0.14285714285714285,,,1.1666666666666667,0.16666666666666666,1.3985172919670564e-06,6.756254602698448e-06,3.8832438029900976e-05,0.0,0.14285714285714285,,,1.7330936712370825e-05,7.44760080859666e-05
2020-03-18,Guyana,7,1,0,0,1,2020,3,18,2,0,1,0.14285714285714285,,,1.0,0.14285714285714285,1.3985172919670564e-06,6.756254602698448e-06,0.0,0.0,0.14285714285714285,,,1.4855088610603563e-05,6.383657835939994e-05
2020-03-19,Guyana,7,1,0,0,1,2020,3,19,3,0,1,0.14285714285714285,6.0,0.0,0.8571428571428571,0.0,1.3985172919670564e-06,6.756254602698448e-06,0.0,0.0,0.14285714285714285,0.03029537641198344,0.0,1.2732933094803053e-05,0.0
2020-03-20,Guyana,7,1,0,0,1,2020,3,20,4,0,1,0.14285714285714285,6.0,0.0,0.8571428571428571,0.0,1.3985172919670564e-06,6.756254602698448e-06,0.0,0.0,0.14285714285714285,0.03029537641198344,0.0,1.2732933094803053e-05,0.0
2020-03-21,Guyana,7,1,0,0,1,2020,3,21,5,1,1,0.14285714285714285,6.0,0.0,0.8571428571428571,0.0,1.3985172919670564e-06,6.756254602698448e-06,0.0,0.0,0.14285714285714285,0.03029537641198344,0.0,1.2732933094803053e-05,0.0
2020-03-22,Guyana,19,1,12,0,1,2020,3,22,6,1,1,0.05263157894736842,3.75,0.0,2.142857142857143,0.0,4.1955518759011695e-06,6.756254602698448e-06,0.0001553297521196039,0.0,0.05263157894736842,0.01997123412614888,0.0,3.1832332737007634e-05,0.0
2020-03-23,Guyana,20,1,1,0,1,2020,3,23,0,0,1,0.05,4.0,0.0,2.2857142857142856,0.0,4.428638091229012e-06,6.756254602698448e-06,1.2944146009966992e-05,0.0,0.05,0.021118361046797166,0.0,3.395448825280814e-05,0.0
2020-03-24,Guyana,5,1,0,0,1,2020,3,24,1,0,1,0.2,-0.2857142857142857,0.0,1.8571428571428572,0.0,9.323448613113711e-07,6.756254602698448e-06,0.0,0.0,0.2,0.0014533281213980015,0.0,2.7588021705406618e-05,0.0
2020-03-25,Guyana,5,1,0,0,1,2020,3,25,2,0,1,0.2,-0.2857142857142857,0.0,1.8571428571428572,0.0,9.323448613113711e-07,6.756254602698448e-06,0.0,0.0,0.2,0.0014533281213980015,0.0,2.7588021705406618e-05,0.0
2020-03-26,Guyana,5,1,0,0,1,2020,3,26,3,0,1,0.2,-0.2857142857142857,0.0,1.8571428571428572,0.0,9.323448613113711e-07,6.756254602698448e-06,0.0,0.0,0.2,0.0014533281213980015,0.0,2.7588021705406618e-05,0.0
2020-03-27,Guyana,5,1,0,0,1,2020,3,27,4,0,1,0.2,-0.2857142857142857,0.0,1.8571428571428572,0.0,9.323448613113711e-07,6.756254602698448e-06,0.0,0.0,0.2,0.0014533281213980015,0.0,2.7588021705406618e-05,0.0
2020-03-28,Guyana,8,1,3,0,1,2020,3,28,5,1,1,0.125,0.1428571428571428,0.0,2.2857142857142856,0.0,1.6316035072948993e-06,6.756254602698448e-06,3.8832438029900976e-05,0.0,0.125,0.0034198314139379177,0.0,3.395448825280814e-05,0.0
2020-03-29,Guyana,8,1,0,0,1,2020,3,29,6,1,1,0.125,-0.5789473684210527,0.0,0.5714285714285714,0.0,1.6316035072948993e-06,6.756254602698448e-06,0.0,0.0,0.125,0.00010782586860753226,0.0,8.488622063202035e-06,0.0
2020-03-30,Guyana,8,1,0,0,1,2020,3,30,0,0,1,0.125,-0.6,0.0,0.42857142857142855,0.0,1.6316035072948993e-06,6.756254602698448e-06,0.0,0.0,0.125,1.122570686872956e-05,0.0,6.3664665474015265e-06,0.0
2020-03-31,Guyana,12,2,4,1,1,2020,3,31,1,0,1,0.16666666666666666,1.4,1.0,1.0,0.14285714285714285,2.5639483686062704e-06,1.3512509205396897e-05,5.177658403986797e-05,0.0002572678157962439,0.16666666666666666,0.009188241072055006,0.0,1.4855088610603563e-05,6.383657835939994e-05
2020-04-01,Guyana,19,2,7,0,1,2020,4,1,2,0,2,0.10526315789473684,2.8,1.0,2.0,0.14285714285714285,4.1955518759011695e-06,1.3512509205396897e-05,9.060902206976894e-05,0.0,0.10526315789473684,0.015612151827685399,0.0,2.9710177221207126e-05,6.383657835939994e-05
2020-04-02,Guyana,19,4,0,2,1,2020,4,2,3,0,2,0.21052631578947367,2.8,3.0,2.0,0.42857142857142855,4.1955518759011695e-06,2.7025018410793794e-05,0.0,0.0005145356315924878,0.21052631578947367,0.015612151827685399,0.0,2.9710177221207126e-05,0.0001915097350781998
2020-04-03,Guyana,23,4,4,0,1,2020,4,3,4,0,2,0.17391304347826086,3.5999999999999996,3.0,2.5714285714285716,0.42857142857142855,5.127896737212541e-06,2.7025018410793794e-05,5.177658403986797e-05,0.0,0.17391304347826086,0.019282957973759906,0.0,3.819879928440916e-05,0.0001915097350781998
2020-04-04,Guyana,23,4,0,0,1,2020,4,4,5,1,2,0.17391304347826086,1.875,3.0,2.142857142857143,0.42857142857142855,5.127896737212541e-06,2.7025018410793794e-05,0.0,0.0,0.17391304347826086,0.011367782221286747,0.0,3.1832332737007634e-05,0.0001915097350781998
2020-04-05,Guyana,24,4,1,0,1,2020,4,5,6,1,2,0.16666666666666666,2.0,3.0,2.2857142857142856,0.42857142857142855,5.360982952540383e-06,2.7025018410793794e-05,1.2944146009966992e-05,0.0,0.16666666666666666,0.01194134568161089,0.0,3.395448825280814e-05,0.0001915097350781998
2020-04-06,Guyana,31,4,7,0,1,2020,4,6,0,0,2,0.12903225806451613,2.875,3.0,3.2857142857142856,0.42857142857142855,6.992586459835283e-06,2.7025018410793794e-05,9.060902206976894e-05,0.0,0.12903225806451613,0.015956289903879886,0.0,4.88095768634117e-05,0.0001915097350781998
