date_value,country,total_cases,total_deaths,new_cases,new_deaths,id_pandemic,year,month,day,day_of_week,is_weekend,quarter,mortality_rate,cases_growth_rate_7d,deaths_growth_rate_7d,new_cases_ma7,new_deaths_ma7,total_cases_normalized,total_deaths_normalized,new_cases_normalized,new_deaths_normalized,mortality_rate_normalized,cases_growth_rate_7d_normalized,deaths_growth_rate_7d_normalized,new_cases_ma7_normalized,new_deaths_ma7_normalized
2020-03-20,Haiti,2,0,2,0,1,2020,3,20,4,0,1,0.0,,,2.0,0.0,2.3308621532784276e-07,0.0,2.5888292019933984e-05,0.0,0.0,,,2.9710177221207126e-05,0.0
2020-03-21,Haiti,2,0,0,0,1,2020,3,21,5,1,1,0.0,,,1.0,0.0,2.3308621532784276e-07,0.0,0.0,0.0,0.0,,,1.4855088610603563e-05,0.0
2020-03-22,Haiti,2,0,0,0,1,2020,3,22,6,1,1,0.0,,,0.6666666666666666,0.0,2.3308621532784276e-07,0.0,0.0,0.0,0.0,,,9.90339240706904e-06,0.0
2020-03-23,Haiti,6,0,4,0,1,2020,3,23,0,0,1,0.0,,,1.5,0.0,1.1654310766392138e-06,0.0,5.177658403986797e-05,0.0,0.0,,,2.2282632915905342e-05,0.0
2020-03-24,Haiti,7,0,1,0,1,2020,3,24,1,0,1,0.0,,,1.4,0.0,1.3985172919670564e-06,0.0,1.2944146009966992e-05,0.0,0.0,,,2.0797124054844987e-05,0.0
2020-03-25,Haiti,8,0,1,0,1,2020,3,25,2,0,1,0.0,,,1.3333333333333333,0.0,1.6316035072948993e-06,0.0,1.2944146009966992e-05,0.0,0.0,,,1.980678481413808e-05,0.0
2020-03-26,Haiti,8,0,0,0,1,2020,3,26,3,0,1,0.0,,,1.1428571428571428,0.0,1.6316035072948993e-06,0.0,0.0,0.0,0.0,,,1.697724412640407e-05,0.0
2020-03-27,Haiti,8,0,0,0,1,2020,3,27,4,0,1,0.0,3.0,,0.8571428571428571,0.0,1.6316035072948993e-06,0.0,0.0,0.0,0.0,0.01652985336420403,,1.2732933094803053e-05,0.0
2020-03-28,Haiti,8,0,0,0,1,2020,3,28,5,1,1,0.0,3.0,,0.8571428571428571,0.0,1.6316035072948993e-06,0.0,0.0,0.0,0.0,0.01652985336420403,,1.2732933094803053e-05,0.0
2020-03-29,Haiti,15,0,7,0,1,2020,3,29,6,1,1,0.0,6.5,,1.8571428571428572,0.0,3.2632070145897985e-06,0.0,9.060902206976894e-05,0.0,0.0,0.03258963025328001,,2.7588021705406618e-05,0.0
