date_value,country,total_cases,total_deaths,new_cases,new_deaths,id_pandemic,year,month,day,day_of_week,is_weekend,quarter,mortality_rate,cases_growth_rate_7d,deaths_growth_rate_7d,new_cases_ma7,new_deaths_ma7,total_cases_normalized,total_deaths_normalized,new_cases_normalized,new_deaths_normalized,mortality_rate_normalized,cases_growth_rate_7d_normalized,deaths_growth_rate_7d_normalized,new_cases_ma7_normalized,new_deaths_ma7_normalized
2020-03-11,Honduras,2,0,2,0,1,2020,3,11,2,0,1,0.0,,,2.0,0.0,2.3308621532784276e-07,0.0,2.5888292019933984e-05,0.0,0.0,,,2.9710177221207126e-05,0.0
2020-03-12,Honduras,2,0,0,0,1,2020,3,12,3,0,1,0.0,,,1.0,0.0,2.3308621532784276e-07,0.0,0.0,0.0,0.0,,,1.4855088610603563e-05,0.0
2020-03-13,Honduras,2,0,0,0,1,2020,3,13,4,0,1,0.0,,,0.6666666666666666,0.0,2.3308621532784276e-07,0.0,0.0,0.0,0.0,,,9.90339240706904e-06,0.0
2020-03-14,Honduras,2,0,0,0,1,2020,3,14,5,1,1,0.0,,,0.5,0.0,2.3308621532784276e-07,0.0,0.0,0.0,0.0,,,7.4275443053017815e-06,0.0
2020-03-15,Honduras,3,0,1,0,1,2020,3,15,6,1,1,0.0,,,0.6,0.0,4.6617243065568553e-07,0.0,1.2944146009966992e-05,0.0,0.0,,,8.913053166362137e-06,0.0
2020-03-16,Honduras,6,0,3,0,1,2020,3,16,0,0,1,0.0,,,1.0,0.0,1.1654310766392138e-06,0.0,3.8832438029900976e-05,0.0,0.0,,,1.4855088610603563e-05,0.0
2020-03-17,Honduras,8,0,2,0,1,2020,3,17,1,0,1,0.0,,,1.1428571428571428,0.0,1.6316035072948993e-06,0.0,2.5888292019933984e-05,0.0,0.0,,,1.697724412640407e-05,0.0
2020-03-18,Honduras,9,0,1,0,1,2020,3,18,2,0,1,0.0,3.5,,1.0,0.0,1.8646897226227421e-06,0.0,1.2944146009966992e-05,0.0,0.0,0.018824107205500595,,1.4855088610603563e-05,0.0
2020-03-19,Honduras,12,0,3,0,1,2020,3,19,3,0,1,0.0,5.0,,1.4285714285714286,0.0,2.5639483686062704e-06,0.0,3.8832438029900976e-05,0.0,0.0,0.025706868729390302,,2.122155515800509e-05,0.0
2020-03-20,Honduras,24,0,12,0,1,2020,3,20,4,0,1,0.0,11.0,,3.142857142857143,0.0,5.360982952540383e-06,0.0,0.0001553297521196039,0.0,0.0,0.053237914824949134,,4.6687421347611195e-05,0.0
2020-03-21,Honduras,24,0,0,0,1,2020,3,21,5,1,1,0.0,11.0,,3.142857142857143,0.0,5.360982952540383e-06,0.0,0.0,0.0,0.0,0.053237914824949134,,4.6687421347611195e-05,0.0
2020-03-22,Honduras,26,0,2,0,1,2020,3,22,6,1,1,0.0,7.666666666666666,,3.2857142857142856,0.0,5.827155383196069e-06,0.0,2.5888292019933984e-05,0.0,0.0,0.037942889216305335,,4.88095768634117e-05,0.0
2020-03-23,Honduras,30,0,4,0,1,2020,3,23,0,0,1,0.0,4.0,,3.4285714285714284,0.0,6.7595002445074395e-06,0.0,5.177658403986797e-05,0.0,0.0,0.021118361046797166,,5.093173237921221e-05,0.0
