date_value,country,total_cases,total_deaths,new_cases,new_deaths,id_pandemic,year,month,day,day_of_week,is_weekend,quarter,mortality_rate,cases_growth_rate_7d,deaths_growth_rate_7d,new_cases_ma7,new_deaths_ma7,total_cases_normalized,total_deaths_normalized,new_cases_normalized,new_deaths_normalized,mortality_rate_normalized,cases_growth_rate_7d_normalized,deaths_growth_rate_7d_normalized,new_cases_ma7_normalized,new_deaths_ma7_normalized
2020-02-28,Iceland,1,0,1,0,1,2020,2,28,4,0,1,0.0,,,1.0,0.0,0.0,0.0,1.2944146009966992e-05,0.0,0.0,,,1.4855088610603563e-05,0.0
2020-02-29,Iceland,1,0,0,0,1,2020,2,29,5,1,1,0.0,,,0.5,0.0,0.0,0.0,0.0,0.0,0.0,,,7.4275443053017815e-06,0.0
2020-03-01,Iceland,3,0,2,0,1,2020,3,1,6,1,1,0.0,,,1.0,0.0,4.6617243065568553e-07,0.0,2.5888292019933984e-05,0.0,0.0,,,1.4855088610603563e-05,0.0
2020-03-02,Iceland,6,0,3,0,1,2020,3,2,0,0,1,0.0,,,1.5,0.0,1.1654310766392138e-06,0.0,3.8832438029900976e-05,0.0,0.0,,,2.2282632915905342e-05,0.0
2020-03-03,Iceland,11,0,5,0,1,2020,3,3,1,0,1,0.0,,,2.2,0.0,2.3308621532784276e-06,0.0,6.472073004983496e-05,0.0,0.0,,,3.268119494332784e-05,0.0
2020-03-04,Iceland,26,0,15,0,1,2020,3,4,2,0,1,0.0,,,4.333333333333333,0.0,5.827155383196069e-06,0.0,0.0001941621901495049,0.0,0.0,,,6.437205064594877e-05,0.0
2020-03-05,Iceland,34,0,8,0,1,2020,3,5,3,0,1,0.0,,,4.857142857142857,0.0,7.691845105818811e-06,0.0,0.00010355316807973594,0.0,0.0,,,7.21532875372173e-05,0.0
2020-03-06,Iceland,43,0,9,0,1,2020,3,6,4,0,1,0.0,42.0,,6.0,0.0,9.789621043769395e-06,0.0,0.00011649731408970293,0.0,0.0,0.19548165298533643,,8.913053166362137e-05,0.0
2020-03-07,Iceland,50,0,7,0,1,2020,3,7,5,1,1,0.0,49.0,,7.0,0.0,1.1421224551064295e-05,0.0,9.060902206976894e-05,0.0,0.0,0.2276012067634884,,0.00010398562027422494,0.0
2020-03-08,Iceland,50,0,0,0,1,2020,3,8,6,1,1,0.0,15.666666666666668,,6.714285714285714,0.0,1.1421224551064295e-05,0.0,0.0,0.0,0.0,0.07465095067705046,,9.974130924262392e-05,0.0
2020-03-09,Iceland,58,0,8,0,1,2020,3,9,0,0,1,0.0,8.666666666666666,,7.428571428571429,0.0,1.3285914273687037e-05,0.0,0.00010355316807973594,0.0,0.0,0.042531396898898476,,0.00011035208682162647,0.0
2020-03-10,Iceland,69,0,11,0,1,2020,3,10,1,0,1,0.0,5.2727272727272725,,8.285714285714286,0.0,1.584986264229331e-05,0.0,0.00014238560610963693,0.0,0.0,0.02695827991555207,,0.00012308501991642953,0.0
2020-03-11,Iceland,85,0,16,0,1,2020,3,11,2,0,1,0.0,2.269230769230769,,8.428571428571429,0.0,1.957924208753879e-05,0.0,0.00020710633615947187,0.0,0.0,0.013176713134616734,,0.00012520717543223003,0.0
2020-03-12,Iceland,103,0,18,0,1,2020,3,12,3,0,1,0.0,2.0294117647058822,,9.857142857142858,0.0,2.3774793963439962e-05,0.0,0.00023299462817940586,0.0,0.0,0.012076301789922451,,0.00014642873059023513,0.0
2020-03-13,Iceland,134,0,31,0,1,2020,3,13,4,0,1,0.0,2.116279069767442,,13.0,0.0,3.1000466638603085e-05,0.0,0.00040126852630897674,0.0,0.0,0.01247489308656358,,0.0001931161519378463,0.0
2020-03-14,Iceland,156,0,22,0,1,2020,3,14,5,1,1,0.0,2.12,,15.142857142857142,0.0,3.612836337581563e-05,0.0,0.00028477121221927385,0.0,0.0,0.012491966603522066,,0.00022494848467485392,0.0
2020-03-15,Iceland,171,5,15,5,1,2020,3,15,6,1,1,0.029239766081871343,2.42,inf,17.285714285714285,0.7142857142857143,3.962465660573327e-05,3.378127301349224e-05,0.0001941621901495049,0.0012863390789812194,0.029239766081871343,0.013868518908300006,,0.0002567808174118616,0.00031918289179699974
2020-03-16,Iceland,180,0,9,0,1,2020,3,16,0,0,1,0.0,2.103448275862069,,17.428571428571427,0.7142857142857143,4.172243254368385e-05,0.0,0.00011649731408970293,0.0,0.0,0.012416018890155006,,0.0002589029729276621,0.00031918289179699974
2020-03-17,Iceland,220,1,40,1,1,2020,3,17,1,0,1,0.004545454545454545,2.1884057971014492,inf,21.571428571428573,0.8571428571428571,5.104588115679756e-05,6.756254602698448e-06,0.0005177658403986797,0.0002572678157962439,0.004545454545454545,0.012805847129055973,,0.0003204454828858769,0.0003830194701563996
2020-03-18,Iceland,250,1,30,0,1,2020,3,18,2,0,1,0.004,1.9411764705882355,inf,23.571428571428573,0.8571428571428571,5.803846761663284e-05,6.756254602698448e-06,0.0003883243802990098,0.0,0.004,0.011671433464987764,,0.000350155660107084,0.0003830194701563996
2020-03-19,Iceland,330,1,80,0,1,2020,3,19,3,0,1,0.0030303030303030303,2.203883495145631,inf,32.42857142857143,0.8571428571428571,7.668536484286027e-05,6.756254602698448e-06,0.0010355316807973594,0.0,0.0030303030303030303,0.012876866665440558,,0.00048172930208671553,0.0003830194701563996
2020-03-20,Iceland,409,0,79,0,1,2020,3,20,4,0,1,0.0,2.0522388059701493,,39.285714285714285,0.8571428571428571,9.509917585375985e-05,0.0,0.0010225875347873925,0.0,0.0,0.01218104384413441,,0.00058359276684514,0.0003830194701563996
2020-03-21,Iceland,473,1,64,1,1,2020,3,21,5,1,1,0.0021141649048625794,2.032051282051282,inf,45.285714285714285,1.0,0.00011001669363474178,6.756254602698448e-06,0.0008284253446378875,0.0002572678157962439,0.0021141649048625794,0.012088413235540156,,0.0006727232985087613,0.0004468560485157996
2020-03-22,Iceland,568,1,95,0,1,2020,3,22,6,1,1,0.0017605633802816902,2.3216374269005846,-0.8,56.714285714285715,0.2857142857142857,0.00013215988409088684,6.756254602698448e-06,0.0012296938709468643,0.0,0.0017605633802816902,0.01341718148595371,0.0,0.000842495739772802,0.00012767315671879988
2020-03-23,Iceland,588,1,20,0,1,2020,3,23,0,0,1,0.0017006802721088435,2.2666666666666666,inf,58.285714285714285,0.2857142857142857,0.0001368216083974437,6.756254602698448e-06,0.00025888292019933984,0.0,0.0017006802721088435,0.013164947730302393,,0.0008658394504466076,0.00012767315671879988
2020-03-24,Iceland,648,2,60,1,1,2020,3,24,1,0,1,0.0030864197530864196,1.9454545454545453,1.0,61.142857142857146,0.2857142857142857,0.00015080678131711427,1.3512509205396897e-05,0.0007766487605980196,0.0002572678157962439,0.0030864197530864196,0.011691063444378536,0.0,0.0009082825607626178,0.00012767315671879988
2020-03-25,Iceland,737,2,89,0,1,2020,3,25,2,0,1,0.0027137042062415195,1.948,1.0,69.57142857142857,0.2857142857142857,0.00017155145448129227,1.3512509205396897e-05,0.0011520289948870623,0.0,0.0027137042062415195,0.011702743282116046,0.0,0.0010334897361948478,0.00012767315671879988
2020-03-26,Iceland,802,2,65,0,1,2020,3,26,3,0,1,0.0024937655860349127,1.4303030303030302,1.0,67.42857142857143,0.2857142857142857,0.00018670205847760204,1.3512509205396897e-05,0.0008413694906478545,0.0,0.0024937655860349127,0.009327286759406313,0.0,0.0010016574034578403,0.00012767315671879988
2020-03-27,Iceland,890,2,88,0,1,2020,3,27,4,0,1,0.0022471910112359553,1.176039119804401,inf,68.71428571428571,0.2857142857142857,0.0002072136454264522,1.3512509205396897e-05,0.0011390848488770954,0.0,0.0022471910112359553,0.008160594852677179,,0.0010207568031000446,0.00012767315671879988
2020-03-28,Iceland,963,2,73,0,1,2020,3,28,5,1,1,0.0020768431983385254,1.035940803382664,1.0,70.0,0.14285714285714285,0.00022422893914538473,1.3512509205396897e-05,0.0009449226587275904,0.0,0.0020768431983385254,0.007517752651457674,0.0,0.0010398562027422494,6.383657835939994e-05
2020-03-29,Iceland,1020,2,57,0,1,2020,3,29,6,1,1,0.00196078431372549,0.795774647887324,1.0,64.57142857142857,0.14285714285714285,0.00023751485341907177,1.3512509205396897e-05,0.0007378163225681186,0.0,0.00196078431372549,0.006415748401868448,0.0,0.0009592142931418299,6.383657835939994e-05
2020-03-30,Iceland,1086,2,66,0,1,2020,3,30,0,0,1,0.001841620626151013,0.846938775510204,1.0,71.14285714285714,0.14285714285714285,0.0002528985436307094,1.3512509205396897e-05,0.0008543136366578215,0.0,0.001841620626151013,0.006650515394539209,0.0,0.0010568334468686533,6.383657835939994e-05
2020-03-31,Iceland,1135,2,49,0,1,2020,3,31,1,0,1,0.001762114537444934,0.7515432098765431,0.0,69.57142857142857,0.0,0.00026431976818177367,1.3512509205396897e-05,0.0006342631544883826,0.0,0.001762114537444934,0.006212792108743838,0.0,0.0010334897361948478,0.0
2020-04-01,Iceland,1220,2,85,0,1,2020,4,1,2,0,2,0.001639344262295082,0.655359565807327,0.0,69.0,0.0,0.0002841320964846403,1.3512509205396897e-05,0.0011002524108471943,0.0,0.001639344262295082,0.005771452718992436,0.0,0.0010250011141316458,0.0
2020-04-02,Iceland,1319,4,99,2,1,2020,4,2,3,0,2,0.003032600454890068,0.644638403990025,1.0,73.85714285714286,0.2857142857142857,0.00030720763180209674,2.7025018410793794e-05,0.0012814704549867321,0.0005145356315924878,0.003032600454890068,0.005722258585627422,0.0,0.0010971544016688632,0.00012767315671879988
2020-04-03,Iceland,1364,4,45,0,1,2020,4,3,4,0,2,0.002932551319648094,0.5325842696629213,1.0,67.71428571428571,0.2857142857142857,0.00031769651149184965,2.7025018410793794e-05,0.0005824865704485147,0.0,0.002932551319648094,0.005208097329401183,0.0,0.0010059017144894412,0.00012767315671879988
2020-04-04,Iceland,1417,4,53,0,1,2020,4,4,5,1,2,0.0028228652081863093,0.4714434060228452,1.0,64.85714285714286,0.2857142857142857,0.00033005008090422535,2.7025018410793794e-05,0.0006860397385282506,0.0,0.0028228652081863093,0.004927552006868314,0.0,0.0009634586041734311,0.00012767315671879988
2020-04-05,Iceland,1486,4,69,0,1,2020,4,5,6,1,2,0.0026917900403768506,0.45686274509803915,1.0,66.57142857142857,0.2857142857142857,0.0003461330297618465,2.7025018410793794e-05,0.0008931460746877225,0.0,0.0026917900403768506,0.0048606485321975555,0.0,0.0009889244703630371,0.00012767315671879988
2020-04-06,Iceland,1562,6,76,2,1,2020,4,6,0,0,2,0.0038412291933418692,0.43830570902394106,2.0,68.0,0.5714285714285714,0.0003638475821267625,4.053752761619069e-05,0.0009837550967574913,0.0005145356315924878,0.0038412291933418692,0.004775499429605399,0.0,0.0010101460255210423,0.00025534631343759976
2020-04-07,Iceland,1586,6,24,0,1,2020,4,7,1,0,2,0.0037831021437578815,0.39735682819383267,2.0,64.42857142857143,0.5714285714285714,0.0003694416512946308,4.053752761619069e-05,0.0003106595042392078,0.0,0.0037831021437578815,0.004587605175322855,0.0,0.0009570921376260295,0.00025534631343759976
2020-04-08,Iceland,1616,6,30,0,1,2020,4,8,2,0,2,0.0037128712871287127,0.3245901639344262,2.0,56.57142857142857,0.5714285714285714,0.00037643423775446605,4.053752761619069e-05,0.0003883243802990098,0.0,0.0037128712871287127,0.004253714777331893,0.0,0.0008403735842570014,0.00025534631343759976
2020-04-09,Iceland,1648,6,32,0,1,2020,4,9,3,0,2,0.0036407766990291263,0.24943138741470805,0.5,47.0,0.2857142857142857,0.00038389299664495704,4.053752761619069e-05,0.00041421267231894375,0.0,0.0036407766990291263,0.003908848153856866,0.0,0.0006981891646983675,0.00012767315671879988
2020-04-10,Iceland,1675,7,27,1,1,2020,4,10,4,0,2,0.00417910447761194,0.22800586510263932,0.75,44.42857142857143,0.42857142857142855,0.00039018632445880877,4.729378221888914e-05,0.0003494919422691088,0.0002572678157962439,0.00417910447761194,0.0038105369801243677,0.0,0.0006599903654139583,0.0001915097350781998
2020-04-11,Iceland,1689,8,14,1,1,2020,4,11,5,1,2,0.004736530491415038,0.19195483415666903,1.0,38.857142857142854,0.5714285714285714,0.0003934495314733986,5.405003682158759e-05,0.0001812180441395379,0.0002572678157962439,0.004736530491415038,0.0036451165476633803,0.0,0.0005772263002977384,0.00025534631343759976
2020-04-12,Iceland,1701,8,12,0,1,2020,4,12,6,1,2,0.004703115814226925,0.14468371467025576,1.0,30.714285714285715,0.5714285714285714,0.0003962465660573327,5.405003682158759e-05,0.0001553297521196039,0.0,0.004703115814226925,0.0034282126527351944,0.0,0.0004562634358971094,0.00025534631343759976
2020-04-13,Iceland,1711,8,10,0,1,2020,4,13,0,0,2,0.004675628287551139,0.09539052496798983,0.33333333333333326,21.285714285714285,0.2857142857142857,0.0003985774282106111,5.405003682158759e-05,0.00012944146009966992,0.0,0.004675628287551139,0.0032020304730868265,0.0,0.0003162011718542758,0.00012767315671879988
2020-04-14,Iceland,1720,8,9,0,1,2020,4,14,1,0,2,0.004651162790697674,0.08448928121059263,0.33333333333333326,19.142857142857142,0.2857142857142857,0.0004006752041485617,5.405003682158759e-05,0.00011649731408970293,0.0,0.004651162790697674,0.0031520100323561887,0.0,0.0002843688391172682,0.00012767315671879988
2020-04-15,Iceland,1727,8,7,0,1,2020,4,15,2,0,2,0.004632310364794441,0.06868811881188108,0.33333333333333326,15.857142857142858,0.2857142857142857,0.0004023068076558566,5.405003682158759e-05,9.060902206976894e-05,0.0,0.004632310364794441,0.0030795062772957993,0.0,0.0002355592622538565,0.00012767315671879988
2020-04-16,Iceland,1739,8,12,0,1,2020,4,16,3,0,2,0.004600345025876941,0.05521844660194164,0.33333333333333326,13.0,0.2857142857142857,0.0004051038422397907,5.405003682158759e-05,0.0001553297521196039,0.0,0.004600345025876941,0.0030177005828784806,0.0,0.0001931161519378463,0.00012767315671879988
2020-04-17,Iceland,1754,9,15,1,1,2020,4,17,4,0,2,0.005131128848346636,0.04716417910447768,0.2857142857142858,11.285714285714286,0.2857142857142857,0.0004086001354697083,6.080629142428603e-05,0.0001941621901495049,0.0002572678157962439,0.005131128848346636,0.0029807435145887073,0.0,0.0001676502857482402,0.00012767315671879988
2020-04-18,Iceland,1760,9,6,0,1,2020,4,18,5,1,2,0.005113636363636364,0.04203670811130844,0.125,10.142857142857142,0.14285714285714285,0.0004099986527616754,6.080629142428603e-05,7.766487605980195e-05,0.0,0.005113636363636364,0.0029572160745442765,0.0,0.00015067304162183612,6.383657835939994e-05
2020-04-19,Iceland,1771,9,11,0,1,2020,4,19,6,1,2,0.005081874647092038,0.04115226337448563,0.125,10.0,0.14285714285714285,0.00041256260113028167,6.080629142428603e-05,0.00014238560610963693,0.0,0.005081874647092038,0.002953157793074536,0.0,0.0001485508861060356,6.383657835939994e-05
2020-04-20,Iceland,1773,10,2,1,1,2020,4,20,0,0,2,0.0056401579244218835,0.036236119228521435,0.25,8.857142857142858,0.2857142857142857,0.0004130287735609374,6.756254602698448e-05,2.5888292019933984e-05,0.0002572678157962439,0.0056401579244218835,0.002930600027892044,0.0,0.00013157364197963155,0.00012767315671879988
2020-04-21,Iceland,1778,10,5,0,1,2020,4,21,1,0,2,0.00562429696287964,0.033720930232558066,0.25,8.285714285714286,0.2857142857142857,0.0004141942046375766,6.756254602698448e-05,6.472073004983496e-05,0.0,0.00562429696287964,0.0029190590638608926,0.0,0.00012308501991642953,0.00012767315671879988
2020-04-22,Iceland,1785,10,7,0,1,2020,4,22,2,0,2,0.0056022408963585435,0.03358425014475963,0.25,8.285714285714286,0.2857142857142857,0.0004158258081448715,6.756254602698448e-05,9.060902206976894e-05,0.0,0.0056022408963585435,0.0029184319062279715,0.0,0.00012308501991642953,0.00012767315671879988
2020-04-23,Iceland,1789,10,4,0,1,2020,4,23,3,0,2,0.005589714924538848,0.02875215641173079,0.25,7.142857142857143,0.2857142857142857,0.00041675815300618285,6.756254602698448e-05,5.177658403986797e-05,0.0,0.005589714924538848,0.002896259807010959,0.0,0.00010610777579002545,0.00012767315671879988
2020-04-24,Iceland,1789,10,0,0,1,2020,4,24,4,0,2,0.005589714924538848,0.019954389965792574,0.11111111111111116,5.0,0.14285714285714285,0.00041675815300618285,6.756254602698448e-05,0.0,0.0,0.005589714924538848,0.002855891188084111,0.0,7.42754430530178e-05,6.383657835939994e-05
2020-04-25,Iceland,1790,10,1,0,1,2020,4,25,5,1,2,0.00558659217877095,0.017045454545454586,0.11111111111111116,4.285714285714286,0.14285714285714285,0.0004169912392215107,6.756254602698448e-05,1.2944146009966992e-05,0.0,0.00558659217877095,0.002842543515559723,0.0,6.366466547401527e-05,6.383657835939994e-05
2020-04-26,Iceland,1792,10,2,0,1,2020,4,26,6,1,2,0.005580357142857143,0.011857707509881354,0.11111111111111116,3.0,0.14285714285714285,0.0004174574116521664,6.756254602698448e-05,2.5888292019933984e-05,0.0,0.005580357142857143,0.0028187394984316456,0.0,4.4565265831810684e-05,6.383657835939994e-05
2020-04-27,Iceland,1792,10,0,0,1,2020,4,27,0,0,2,0.005580357142857143,0.010716300056401673,0.0,2.7142857142857144,0.0,0.0004174574116521664,6.756254602698448e-05,0.0,0.0,0.005580357142857143,0.002813502141562385,0.0,4.0320954800209674e-05,0.0
2020-04-28,Iceland,1795,10,3,0,1,2020,4,28,1,0,2,0.005571030640668524,0.009561304836895435,0.0,2.4285714285714284,0.0,0.0004181566702981499,6.756254602698448e-05,3.8832438029900976e-05,0.0,0.005571030640668524,0.002808202437124322,0.0,3.607664376860865e-05,0.0
2020-04-29,Iceland,1797,10,2,0,1,2020,4,29,2,0,2,0.005564830272676683,0.006722689075630228,0.0,1.7142857142857142,0.0,0.0004186228427288056,6.756254602698448e-05,2.5888292019933984e-05,0.0,0.005564830272676683,0.0027951774268958267,0.0,2.5465866189606106e-05,0.0
2020-04-30,Iceland,1797,10,0,0,1,2020,4,30,3,0,2,0.005564830272676683,0.004471771939630997,0.0,1.1428571428571428,0.0,0.0004186228427288056,6.756254602698448e-05,0.0,0.0,0.005564830272676683,0.0027848490763244136,0.0,1.697724412640407e-05,0.0
2020-05-01,Iceland,1798,10,1,0,1,2020,5,1,4,0,2,0.0055617352614015575,0.005030743432084872,0.0,1.2857142857142858,0.0,0.0004188559289441334,6.756254602698448e-05,1.2944146009966992e-05,0.0,0.0055617352614015575,0.002787413921311889,0.0,1.909939964220458e-05,0.0
2020-05-02,Iceland,1798,10,0,0,1,2020,5,2,5,1,2,0.0055617352614015575,0.004469273743016755,0.0,1.1428571428571428,0.0,0.0004188559289441334,6.756254602698448e-05,0.0,0.0,0.0055617352614015575,0.0027848376133300565,0.0,1.697724412640407e-05,0.0
2020-05-03,Iceland,1799,10,1,0,1,2020,5,3,6,1,2,0.005558643690939411,0.00390625,0.0,1.0,0.0,0.0004190890151594613,6.756254602698448e-05,1.2944146009966992e-05,0.0,0.005558643690939411,0.0027822541745597417,0.0,1.4855088610603563e-05,0.0
2020-05-04,Iceland,1799,10,0,0,1,2020,5,4,0,0,2,0.005558643690939411,0.00390625,0.0,1.0,0.0,0.0004190890151594613,6.756254602698448e-05,0.0,0.0,0.005558643690939411,0.0027822541745597417,0.0,1.4855088610603563e-05,0.0
2020-05-05,Iceland,1799,10,0,0,1,2020,5,5,1,0,2,0.005558643690939411,0.0022284122562674646,0.0,0.5714285714285714,0.0,0.0004190890151594613,6.756254602698448e-05,0.0,0.0,0.005558643690939411,0.0027745554031824806,0.0,8.488622063202035e-06,0.0
2020-05-06,Iceland,1799,10,0,0,1,2020,5,6,2,0,2,0.005558643690939411,0.0011129660545352582,0.0,0.2857142857142857,0.0,0.0004190890151594613,6.756254602698448e-05,0.0,0.0,0.005558643690939411,0.002769437169716313,0.0,4.244311031601017e-06,0.0
2020-05-07,Iceland,1801,10,2,0,1,2020,5,7,3,0,2,0.00555247084952804,0.0022259321090707385,0.0,0.5714285714285714,0.0,0.00041955518759011695,6.756254602698448e-05,2.5888292019933984e-05,0.0,0.00555247084952804,0.002774544023008014,0.0,8.488622063202035e-06,0.0
2020-05-08,Iceland,1801,10,0,0,1,2020,5,8,4,0,2,0.00555247084952804,0.0016685205784203738,0.0,0.42857142857142855,0.0,0.00041955518759011695,6.756254602698448e-05,0.0,0.0,0.00555247084952804,0.002771986335917259,0.0,6.3664665474015265e-06,0.0
2020-05-09,Iceland,1801,10,0,0,1,2020,5,9,5,1,2,0.00555247084952804,0.0016685205784203738,0.0,0.42857142857142855,0.0,0.00041955518759011695,6.756254602698448e-05,0.0,0.0,0.00555247084952804,0.002771986335917259,0.0,6.3664665474015265e-06,0.0
2020-05-10,Iceland,1801,10,0,0,1,2020,5,10,6,1,2,0.00555247084952804,0.0011117287381878782,0.0,0.2857142857142857,0.0,0.00041955518759011695,6.756254602698448e-05,0.0,0.0,0.00555247084952804,0.002769431492280747,0.0,4.244311031601017e-06,0.0
2020-05-11,Iceland,1801,10,0,0,1,2020,5,11,0,0,2,0.00555247084952804,0.0011117287381878782,0.0,0.2857142857142857,0.0,0.00041955518759011695,6.756254602698448e-05,0.0,0.0,0.00555247084952804,0.002769431492280747,0.0,4.244311031601017e-06,0.0
2020-05-12,Iceland,1801,10,0,0,1,2020,5,12,1,0,2,0.00555247084952804,0.0011117287381878782,0.0,0.2857142857142857,0.0,0.00041955518759011695,6.756254602698448e-05,0.0,0.0,0.00555247084952804,0.002769431492280747,0.0,4.244311031601017e-06,0.0
2020-05-13,Iceland,1802,10,1,0,1,2020,5,13,2,0,2,0.005549389567147614,0.0016675931072818173,0.0,0.42857142857142855,0.0,0.0004197882738054448,6.756254602698448e-05,1.2944146009966992e-05,0.0,0.005549389567147614,0.0027719820802088145,0.0,6.3664665474015265e-06,0.0
2020-05-14,Iceland,1802,10,0,0,1,2020,5,14,3,0,2,0.005549389567147614,0.0005552470849528035,0.0,0.14285714285714285,0.0,0.0004197882738054448,6.756254602698448e-05,0.0,0.0,0.005549389567147614,0.002766878071939656,0.0,2.1221555158005087e-06,0.0
2020-05-15,Iceland,1802,10,0,0,1,2020,5,15,4,0,2,0.005549389567147614,0.0005552470849528035,0.0,0.14285714285714285,0.0,0.0004197882738054448,6.756254602698448e-05,0.0,0.0,0.005549389567147614,0.002766878071939656,0.0,2.1221555158005087e-06,0.0
2020-05-16,Iceland,1802,10,0,0,1,2020,5,16,5,1,2,0.005549389567147614,0.0005552470849528035,0.0,0.14285714285714285,0.0,0.0004197882738054448,6.756254602698448e-05,0.0,0.0,0.005549389567147614,0.002766878071939656,0.0,2.1221555158005087e-06,0.0
2020-05-17,Iceland,1802,10,0,0,1,2020,5,17,6,1,2,0.005549389567147614,0.0005552470849528035,0.0,0.14285714285714285,0.0,0.0004197882738054448,6.756254602698448e-05,0.0,0.0,0.005549389567147614,0.002766878071939656,0.0,2.1221555158005087e-06,0.0
