date_value,country,total_cases,total_deaths,new_cases,new_deaths,id_pandemic,year,month,day,day_of_week,is_weekend,quarter,mortality_rate,cases_growth_rate_7d,deaths_growth_rate_7d,new_cases_ma7,new_deaths_ma7,total_cases_normalized,total_deaths_normalized,new_cases_normalized,new_deaths_normalized,mortality_rate_normalized,cases_growth_rate_7d_normalized,deaths_growth_rate_7d_normalized,new_cases_ma7_normalized,new_deaths_ma7_normalized
2020-01-30,India,1,0,1,0,1,2020,1,30,3,0,1,0.0,,,1.0,0.0,0.0,0.0,1.2944146009966992e-05,0.0,0.0,,,1.4855088610603563e-05,0.0
2020-01-31,India,1,0,0,0,1,2020,1,31,4,0,1,0.0,,,0.5,0.0,0.0,0.0,0.0,0.0,0.0,,,7.4275443053017815e-06,0.0
2020-02-01,India,1,0,0,0,1,2020,2,1,5,1,1,0.0,,,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,,,4.95169620353452e-06,0.0
2020-02-02,India,2,0,1,0,1,2020,2,2,6,1,1,0.0,,,0.5,0.0,2.3308621532784276e-07,0.0,1.2944146009966992e-05,0.0,0.0,,,7.4275443053017815e-06,0.0
2020-02-03,India,3,0,1,0,1,2020,2,3,0,0,1,0.0,,,0.6,0.0,4.6617243065568553e-07,0.0,1.2944146009966992e-05,0.0,0.0,,,8.913053166362137e-06,0.0
2020-02-04,India,3,0,0,0,1,2020,2,4,1,0,1,0.0,,,0.5,0.0,4.6617243065568553e-07,0.0,0.0,0.0,0.0,,,7.4275443053017815e-06,0.0
2020-02-05,India,3,0,0,0,1,2020,2,5,2,0,1,0.0,,,0.42857142857142855,0.0,4.6617243065568553e-07,0.0,0.0,0.0,0.0,,,6.3664665474015265e-06,0.0
2020-02-06,India,3,0,0,0,1,2020,2,6,3,0,1,0.0,2.0,,0.2857142857142857,0.0,4.6617243065568553e-07,0.0,0.0,0.0,0.0,0.01194134568161089,,4.244311031601017e-06,0.0
2020-02-07,India,3,0,0,0,1,2020,2,7,4,0,1,0.0,2.0,,0.2857142857142857,0.0,4.6617243065568553e-07,0.0,0.0,0.0,0.0,0.01194134568161089,,4.244311031601017e-06,0.0
2020-02-08,India,3,0,0,0,1,2020,2,8,5,1,1,0.0,2.0,,0.2857142857142857,0.0,4.6617243065568553e-07,0.0,0.0,0.0,0.0,0.01194134568161089,,4.244311031601017e-06,0.0
2020-02-09,India,3,0,0,0,1,2020,2,9,6,1,1,0.0,0.5,,0.14285714285714285,0.0,4.6617243065568553e-07,0.0,0.0,0.0,0.0,0.005058584157721181,,2.1221555158005087e-06,0.0
2020-02-10,India,3,0,0,0,1,2020,2,10,0,0,1,0.0,0.0,,0.0,0.0,4.6617243065568553e-07,0.0,0.0,0.0,0.0,0.0027643303164246124,,0.0,0.0
2020-02-11,India,3,0,0,0,1,2020,2,11,1,0,1,0.0,0.0,,0.0,0.0,4.6617243065568553e-07,0.0,0.0,0.0,0.0,0.0027643303164246124,,0.0,0.0
2020-02-12,India,3,0,0,0,1,2020,2,12,2,0,1,0.0,0.0,,0.0,0.0,4.6617243065568553e-07,0.0,0.0,0.0,0.0,0.0027643303164246124,,0.0,0.0
2020-02-13,India,3,0,0,0,1,2020,2,13,3,0,1,0.0,0.0,,0.0,0.0,4.6617243065568553e-07,0.0,0.0,0.0,0.0,0.0027643303164246124,,0.0,0.0
2020-02-14,India,3,0,0,0,1,2020,2,14,4,0,1,0.0,0.0,,0.0,0.0,4.6617243065568553e-07,0.0,0.0,0.0,0.0,0.0027643303164246124,,0.0,0.0
2020-02-15,India,3,0,0,0,1,2020,2,15,5,1,1,0.0,0.0,,0.0,0.0,4.6617243065568553e-07,0.0,0.0,0.0,0.0,0.0027643303164246124,,0.0,0.0
2020-02-16,India,3,0,0,0,1,2020,2,16,6,1,1,0.0,0.0,,0.0,0.0,4.6617243065568553e-07,0.0,0.0,0.0,0.0,0.0027643303164246124,,0.0,0.0
2020-02-17,India,3,0,0,0,1,2020,2,17,0,0,1,0.0,0.0,,0.0,0.0,4.6617243065568553e-07,0.0,0.0,0.0,0.0,0.0027643303164246124,,0.0,0.0
2020-02-18,India,3,0,0,0,1,2020,2,18,1,0,1,0.0,0.0,,0.0,0.0,4.6617243065568553e-07,0.0,0.0,0.0,0.0,0.0027643303164246124,,0.0,0.0
2020-02-19,India,3,0,0,0,1,2020,2,19,2,0,1,0.0,0.0,,0.0,0.0,4.6617243065568553e-07,0.0,0.0,0.0,0.0,0.0027643303164246124,,0.0,0.0
2020-02-20,India,3,0,0,0,1,2020,2,20,3,0,1,0.0,0.0,,0.0,0.0,4.6617243065568553e-07,0.0,0.0,0.0,0.0,0.0027643303164246124,,0.0,0.0
2020-02-21,India,3,0,0,0,1,2020,2,21,4,0,1,0.0,0.0,,0.0,0.0,4.6617243065568553e-07,0.0,0.0,0.0,0.0,0.0027643303164246124,,0.0,0.0
2020-02-22,India,3,0,0,0,1,2020,2,22,5,1,1,0.0,0.0,,0.0,0.0,4.6617243065568553e-07,0.0,0.0,0.0,0.0,0.0027643303164246124,,0.0,0.0
2020-02-23,India,3,0,0,0,1,2020,2,23,6,1,1,0.0,0.0,,0.0,0.0,4.6617243065568553e-07,0.0,0.0,0.0,0.0,0.0027643303164246124,,0.0,0.0
2020-02-24,India,3,0,0,0,1,2020,2,24,0,0,1,0.0,0.0,,0.0,0.0,4.6617243065568553e-07,0.0,0.0,0.0,0.0,0.0027643303164246124,,0.0,0.0
2020-02-25,India,3,0,0,0,1,2020,2,25,1,0,1,0.0,0.0,,0.0,0.0,4.6617243065568553e-07,0.0,0.0,0.0,0.0,0.0027643303164246124,,0.0,0.0
2020-02-26,India,3,0,0,0,1,2020,2,26,2,0,1,0.0,0.0,,0.0,0.0,4.6617243065568553e-07,0.0,0.0,0.0,0.0,0.0027643303164246124,,0.0,0.0
