date_value,country,total_cases,total_deaths,new_cases,new_deaths,id_pandemic,year,month,day,day_of_week,is_weekend,quarter,mortality_rate,cases_growth_rate_7d,deaths_growth_rate_7d,new_cases_ma7,new_deaths_ma7,total_cases_normalized,total_deaths_normalized,new_cases_normalized,new_deaths_normalized,mortality_rate_normalized,cases_growth_rate_7d_normalized,deaths_growth_rate_7d_normalized,new_cases_ma7_normalized,new_deaths_ma7_normalized
2020-02-29,Ireland,1,0,1,0,1,2020,2,29,5,1,1,0.0,,,1.0,0.0,0.0,0.0,1.2944146009966992e-05,0.0,0.0,,,1.4855088610603563e-05,0.0
2020-03-01,Ireland,1,0,0,0,1,2020,3,1,6,1,1,0.0,,,0.5,0.0,0.0,0.0,0.0,0.0,0.0,,,7.4275443053017815e-06,0.0
2020-03-02,Ireland,1,0,0,0,1,2020,3,2,0,0,1,0.0,,,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,,,4.95169620353452e-06,0.0
2020-03-03,Ireland,2,0,1,0,1,2020,3,3,1,0,1,0.0,,,0.5,0.0,2.3308621532784276e-07,0.0,1.2944146009966992e-05,0.0,0.0,,,7.4275443053017815e-06,0.0
2020-03-04,Ireland,6,0,4,0,1,2020,3,4,2,0,1,0.0,,,1.2,0.0,1.1654310766392138e-06,0.0,5.177658403986797e-05,0.0,0.0,,,1.7826106332724274e-05,0.0
2020-03-05,Ireland,6,0,0,0,1,2020,3,5,3,0,1,0.0,,,1.0,0.0,1.1654310766392138e-06,0.0,0.0,0.0,0.0,,,1.4855088610603563e-05,0.0
2020-03-06,Ireland,18,0,12,0,1,2020,3,6,4,0,1,0.0,,,2.5714285714285716,0.0,3.962465660573327e-06,0.0,0.0001553297521196039,0.0,0.0,,,3.819879928440916e-05,0.0
2020-03-07,Ireland,18,0,0,0,1,2020,3,7,5,1,1,0.0,17.0,,2.4285714285714284,0.0,3.962465660573327e-06,0.0,0.0,0.0,0.0,0.08076896092050798,,3.607664376860865e-05,0.0
2020-03-08,Ireland,19,0,1,0,1,2020,3,8,6,1,1,0.0,18.0,,2.5714285714285716,0.0,4.1955518759011695e-06,0.0,1.2944146009966992e-05,0.0,0.0,0.0853574686031011,,3.819879928440916e-05,0.0
2020-03-09,Ireland,21,0,2,0,1,2020,3,9,0,0,1,0.0,20.0,,2.857142857142857,0.0,4.661724306556855e-06,0.0,2.5888292019933984e-05,0.0,0.0,0.09453448396828738,,4.244311031601018e-05,0.0
2020-03-10,Ireland,34,0,13,0,1,2020,3,10,1,0,1,0.0,16.0,,4.571428571428571,0.0,7.691845105818811e-06,0.0,0.0001682738981295709,0.0,0.0,0.07618045323791484,,6.790897650561628e-05,0.0
2020-03-11,Ireland,43,1,9,1,1,2020,3,11,2,0,1,0.023255813953488372,6.166666666666667,inf,5.285714285714286,0.14285714285714285,9.789621043769395e-06,6.756254602698448e-06,0.00011649731408970293,0.0002572678157962439,0.023255813953488372,0.031060127692415635,,7.851975408461883e-05,6.383657835939994e-05
2020-03-12,Ireland,43,1,0,0,1,2020,3,12,3,0,1,0.023255813953488372,6.166666666666667,inf,5.285714285714286,0.14285714285714285,9.789621043769395e-06,6.756254602698448e-06,0.0,0.0,0.023255813953488372,0.031060127692415635,,7.851975408461883e-05,6.383657835939994e-05
2020-03-13,Ireland,90,1,47,0,1,2020,3,13,4,0,1,0.011111111111111112,4.0,inf,10.285714285714286,0.14285714285714285,2.0744673164178005e-05,6.756254602698448e-06,0.0006083748624684486,0.0,0.011111111111111112,0.021118361046797166,,0.00015279519713763665,6.383657835939994e-05
2020-03-14,Ireland,129,2,39,1,1,2020,3,14,5,1,1,0.015503875968992248,6.166666666666667,inf,15.857142857142858,0.2857142857142857,2.9835035561963874e-05,1.3512509205396897e-05,0.0005048216943887127,0.0002572678157962439,0.015503875968992248,0.031060127692415635,,0.0002355592622538565,0.00012767315671879988
2020-03-15,Ireland,129,2,0,0,1,2020,3,15,6,1,1,0.015503875968992248,5.7894736842105265,inf,15.714285714285714,0.2857142857142857,2.9835035561963874e-05,1.3512509205396897e-05,0.0,0.0,0.015503875968992248,0.029329374794595416,,0.00023343710673805597,0.00012767315671879988
2020-03-16,Ireland,169,2,40,0,1,2020,3,16,0,0,1,0.011834319526627219,7.0476190476190474,inf,21.142857142857142,0.2857142857142857,3.915848417507758e-05,1.3512509205396897e-05,0.0005177658403986797,0.0,0.011834319526627219,0.035102384460414346,,0.0003140790163384753,0.00012767315671879988
2020-03-17,Ireland,223,2,54,0,1,2020,3,17,1,0,1,0.008968609865470852,5.5588235294117645,inf,27.0,0.2857142857142857,5.1745139802781094e-05,1.3512509205396897e-05,0.0006989838845382175,0.0,0.008968609865470852,0.028271034787309995,,0.0004010873924862962,0.00012767315671879988
2020-03-18,Ireland,292,2,69,0,1,2020,3,18,2,0,1,0.00684931506849315,5.790697674418604,1.0,35.57142857142857,0.14285714285714285,6.782808866040224e-05,1.3512509205396897e-05,0.0008931460746877225,0.0,0.00684931506849315,0.029334991083068595,0.0,0.0005284167234343266,6.383657835939994e-05
2020-03-19,Ireland,557,3,265,1,1,2020,3,19,3,0,1,0.005385996409335727,11.953488372093023,2.0,73.42857142857143,0.2857142857142857,0.00012959593572228057,2.0268763808095344e-05,0.003430198692641253,0.0002572678157962439,0.005385996409335727,0.057613003545561196,0.0,0.0010907879351214616,0.00012767315671879988
2020-03-20,Ireland,683,3,126,0,1,2020,3,20,4,0,1,0.004392386530014641,6.588888888888889,2.0,84.71428571428571,0.2857142857142857,0.00015896479885358877,2.0268763808095344e-05,0.001630962397255841,0.0,0.004392386530014641,0.032997497602843845,0.0,0.0012584382208697016,0.00012767315671879988
2020-03-21,Ireland,785,3,102,0,1,2020,3,21,5,1,1,0.003821656050955414,5.0852713178294575,0.5,93.71428571428571,0.14285714285714285,0.00018273959281702872,2.0268763808095344e-05,0.0013203028930166333,0.0,0.003821656050955414,0.02609813682635561,0.0,0.0013921340183651338,6.383657835939994e-05
2020-03-22,Ireland,906,4,121,1,1,2020,3,22,6,1,1,0.004415011037527594,6.023255813953488,1.0,111.0,0.2857142857142857,0.0002109430248716977,2.7025018410793794e-05,0.001566241667206006,0.0002572678157962439,0.004415011037527594,0.03040208589297398,0.0,0.0016489148357769954,0.00012767315671879988
2020-03-23,Ireland,1125,6,219,2,1,2020,3,23,0,0,1,0.005333333333333333,5.65680473372781,2.0,136.57142857142858,0.5714285714285714,0.00026198890602849523,4.053752761619069e-05,0.0028347679761827715,0.0005145356315924878,0.005333333333333333,0.0287206222960639,0.0,0.0020287806731052868,0.00025534631343759976
2020-03-24,Ireland,1329,7,204,1,1,2020,3,24,1,0,1,0.005267118133935289,4.959641255605381,2.5,158.0,0.7142857142857143,0.0003095384939553752,4.729378221888914e-05,0.0026406057860332665,0.0002572678157962439,0.005267118133935289,0.025521682320675785,0.0,0.002347104000475363,0.00031918289179699974
2020-03-25,Ireland,1564,9,235,2,1,2020,3,25,2,0,1,0.005754475703324808,4.3561643835616435,3.5,181.71428571428572,1.0,0.00036431375455741824,6.080629142428603e-05,0.003041874312342243,0.0005145356315924878,0.005754475703324808,0.02275262405703582,0.0,0.0026993818160982474,0.0004468560485157996
2020-03-26,Ireland,1819,19,255,10,1,2020,3,26,3,0,1,0.010445299615173173,2.265709156193896,5.333333333333333,180.28571428571428,2.2857142857142856,0.0004237507394660181,0.0001283688374512705,0.003300757232541583,0.002572678157962439,0.010445299615173173,0.013160554186141921,0.0,0.0026781602609402422,0.001021385253750399
2020-03-27,Ireland,2121,22,302,3,1,2020,3,27,4,0,1,0.010372465818010372,2.105417276720351,6.333333333333333,205.42857142857142,2.7142857142857144,0.0004941427764950266,0.00014863760125936586,0.003909132095010032,0.0007718034473887317,0.010372465818010372,0.012425053665720267,0.0,0.0030516596317211315,0.001212894988828599
2020-03-28,Ireland,2415,36,294,14,1,2020,3,28,5,1,1,0.014906832298136646,2.0764331210191083,11.0,232.85714285714286,4.714285714285714,0.0005626701238014124,0.00024322516569714412,0.003805578926930296,0.0036017494211474143,0.014906832298136646,0.01229205964461164,0.0,0.0034591134907548293,0.002106607085860198
2020-03-29,Ireland,2615,46,200,10,1,2020,3,29,6,1,1,0.017590822179732315,1.8863134657836644,10.5,244.14285714285714,6.0,0.0006092873668669809,0.0003107877117241286,0.0025888292019933985,0.002572678157962439,0.017590822179732315,0.011419694145951845,0.0,0.0036267637765030696,0.0026811362910947978
2020-03-30,Ireland,2910,54,295,8,1,2020,3,30,0,0,1,0.018556701030927835,1.5866666666666664,8.0,255.0,6.857142857142857,0.0006780478003886945,0.0003648377485457162,0.0038185230729402627,0.0020581425263699513,0.018556701030927835,0.010044762506139058,0.0,0.003788047595703908,0.003064155761251197
2020-03-31,Ireland,3235,71,325,17,1,2020,3,31,1,0,1,0.02194744976816074,1.4341610233258089,9.142857142857142,272.2857142857143,9.142857142857142,0.0007538008203702434,0.0004796940767915898,0.004206847453239272,0.004373552868536146,0.02194744976816074,0.009344989190030724,0.0,0.00404482841311577,0.004085541015001596
2020-04-01,Ireland,3447,85,212,14,1,2020,4,1,2,0,2,0.02465912387583406,1.2039641943734014,8.444444444444445,269.0,10.857142857142858,0.0008032150980197461,0.000574281641229368,0.0027441589541130026,0.0036017494211474143,0.02465912387583406,0.008288729271874023,0.0,0.003996018836252359,0.004851579955314396
2020-04-02,Ireland,3849,98,402,13,1,2020,4,2,3,0,2,0.025461158742530528,1.1159978009895548,4.157894736842105,290.0,11.285714285714286,0.0008969157565815389,0.0006621129510644479,0.005203546696006731,0.0033444816053511705,0.025461158742530528,0.007885094800022233,0.0,0.0043079756970750335,0.005043089690392596
2020-04-03,Ireland,4273,120,424,22,1,2020,4,3,4,0,2,0.02808331383103206,1.0146157472890147,4.454545454545454,307.42857142857144,14.0,0.0009957443118805442,0.0008107505523238138,0.005488317908226005,0.005659891947517366,0.02808331383103206,0.0074199024677402345,0.0,0.004566878670002696,0.006255984679221194
2020-04-04,Ireland,4604,137,331,17,1,2020,4,4,5,1,2,0.029756733275412686,0.9064182194616976,2.8055555555555554,312.7142857142857,14.428571428571429,0.0010728958491540601,0.0009256068805696874,0.004284512329299075,0.004373552868536146,0.029756733275412686,0.006923437280067005,0.0,0.004645398424087314,0.006447494414299394
2020-04-05,Ireland,4994,158,390,21,1,2020,4,5,6,1,2,0.031637965558670406,0.9097514340344168,2.4347826086956523,339.85714285714283,16.0,0.001163799473131919,0.0010674882272263548,0.005048216943887127,0.005402624131721122,0.031637965558670406,0.006938731760741659,0.0,0.00504860797208941,0.0071496967762527935
2020-04-06,Ireland,5364,174,370,16,1,2020,4,6,0,0,2,0.03243847874720358,0.8432989690721648,2.2222222222222223,350.57142857142856,17.142857142857142,0.0012500413728032207,0.00117558830086953,0.004789334023687787,0.004116285052739903,0.03243847874720358,0.006633814114735114,0.0,0.005207769635774449,0.007660389403127993
2020-04-07,Ireland,5709,210,345,36,1,2020,4,7,1,0,2,0.03678402522333158,0.7647604327666151,1.9577464788732395,353.42857142857144,19.857142857142858,0.0013304561170913265,0.001418813466566674,0.004465730373438613,0.00926164136866478,0.03678402522333158,0.006273439437517479,0.0,0.005250212746090459,0.008873284391956593
2020-04-08,Ireland,6074,235,365,25,1,2020,4,8,2,0,2,0.03868949621336846,0.7621119814331303,1.7647058823529411,375.2857142857143,21.428571428571427,0.001415532585685989,0.0015877198316341353,0.004724613293637952,0.006431695394906097,0.03868949621336846,0.00626128699822681,0.0,0.0055749025400079364,0.009575486753909991
2020-04-09,Ireland,6574,263,500,28,1,2020,4,9,3,0,2,0.04000608457560085,0.7079760976877112,1.683673469387755,389.2857142857143,23.571428571428573,0.0015320756933499104,0.0017768949605096917,0.006472073004983496,0.0072034988422948285,0.04000608457560085,0.006012884079756985,0.0,0.005782873780556387,0.01053303542930099
2020-04-10,Ireland,8089,287,1515,24,1,2020,4,10,4,0,2,0.0354802818642601,0.8930493798268195,1.3916666666666666,545.1428571428571,23.857142857142858,0.0018852013095715923,0.0019390450709744545,0.019610381205099992,0.0061744275791098535,0.0354802818642601,0.006862094256695012,0.0,0.008098145448294741,0.01066070858601979
2020-04-11,Ireland,8928,320,839,33,1,2020,4,11,5,1,2,0.035842293906810034,0.9391833188531711,1.335766423357664,617.7142857142857,26.142857142857142,0.0020807606442316525,0.0021620014728635033,0.010860138502362306,0.008489837921276049,0.035842293906810034,0.007073780190345709,0.0,0.009176200450321399,0.011682093839770188
