date_value,country,total_cases,total_deaths,new_cases,new_deaths,id_pandemic,year,month,day,day_of_week,is_weekend,quarter,mortality_rate,cases_growth_rate_7d,deaths_growth_rate_7d,new_cases_ma7,new_deaths_ma7,total_cases_normalized,total_deaths_normalized,new_cases_normalized,new_deaths_normalized,mortality_rate_normalized,cases_growth_rate_7d_normalized,deaths_growth_rate_7d_normalized,new_cases_ma7_normalized,new_deaths_ma7_normalized
2020-02-21,Israel,1,0,1,0,1,2020,2,21,4,0,1,0.0,,,1.0,0.0,0.0,0.0,1.2944146009966992e-05,0.0,0.0,,,1.4855088610603563e-05,0.0
2020-02-22,Israel,1,0,0,0,1,2020,2,22,5,1,1,0.0,,,0.5,0.0,0.0,0.0,0.0,0.0,0.0,,,7.4275443053017815e-06,0.0
2020-02-23,Israel,1,0,0,0,1,2020,2,23,6,1,1,0.0,,,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,,,4.95169620353452e-06,0.0
2020-02-24,Israel,1,0,0,0,1,2020,2,24,0,0,1,0.0,,,0.25,0.0,0.0,0.0,0.0,0.0,0.0,,,3.7137721526508907e-06,0.0
2020-02-25,Israel,1,0,0,0,1,2020,2,25,1,0,1,0.0,,,0.2,0.0,0.0,0.0,0.0,0.0,0.0,,,2.9710177221207125e-06,0.0
2020-02-26,Israel,2,0,1,0,1,2020,2,26,2,0,1,0.0,,,0.3333333333333333,0.0,2.3308621532784276e-07,0.0,1.2944146009966992e-05,0.0,0.0,,,4.95169620353452e-06,0.0
2020-02-27,Israel,3,0,1,0,1,2020,2,27,3,0,1,0.0,,,0.42857142857142855,0.0,4.6617243065568553e-07,0.0,1.2944146009966992e-05,0.0,0.0,,,6.3664665474015265e-06,0.0
2020-02-28,Israel,4,0,1,0,1,2020,2,28,4,0,1,0.0,3.0,,0.42857142857142855,0.0,6.992586459835282e-07,0.0,1.2944146009966992e-05,0.0,0.0,0.01652985336420403,,6.3664665474015265e-06,0.0
2020-02-29,Israel,7,0,3,0,1,2020,2,29,5,1,1,0.0,6.0,,0.8571428571428571,0.0,1.3985172919670564e-06,0.0,3.8832438029900976e-05,0.0,0.0,0.03029537641198344,,1.2732933094803053e-05,0.0
2020-03-01,Israel,10,0,3,0,1,2020,3,1,6,1,1,0.0,9.0,,1.2857142857142858,0.0,2.0977759379505848e-06,0.0,3.8832438029900976e-05,0.0,0.0,0.04406089945976285,,1.909939964220458e-05,0.0
2020-03-02,Israel,10,0,0,0,1,2020,3,2,0,0,1,0.0,9.0,,1.2857142857142858,0.0,2.0977759379505848e-06,0.0,0.0,0.0,0.0,0.04406089945976285,,1.909939964220458e-05,0.0
2020-03-03,Israel,12,0,2,0,1,2020,3,3,1,0,1,0.0,11.0,,1.5714285714285714,0.0,2.5639483686062704e-06,0.0,2.5888292019933984e-05,0.0,0.0,0.053237914824949134,,2.3343710673805598e-05,0.0
2020-03-04,Israel,15,0,3,0,1,2020,3,4,2,0,1,0.0,6.5,,1.8571428571428572,0.0,3.2632070145897985e-06,0.0,3.8832438029900976e-05,0.0,0.0,0.03258963025328001,,2.7588021705406618e-05,0.0
2020-03-05,Israel,20,0,5,0,1,2020,3,5,3,0,1,0.0,5.666666666666667,,2.4285714285714284,0.0,4.428638091229012e-06,0.0,6.472073004983496e-05,0.0,0.0,0.028765873851119065,,3.607664376860865e-05,0.0
2020-03-06,Israel,37,0,17,0,1,2020,3,6,4,0,1,0.0,8.25,,4.714285714285714,0.0,8.391103751802339e-06,0.0,0.00022005048216943888,0.0,0.0,0.040619518697818005,,7.00311320214168e-05,0.0
2020-03-07,Israel,43,0,6,0,1,2020,3,7,5,1,1,0.0,5.142857142857143,,5.142857142857143,0.0,9.789621043769395e-06,0.0,7.766487605980195e-05,0.0,0.0,0.026362369826903615,,7.639759856881832e-05,0.0
2020-03-08,Israel,61,0,18,0,1,2020,3,8,6,1,1,0.0,5.1,,7.285714285714286,0.0,1.3985172919670566e-05,0.0,0.00023299462817940586,0.0,0.0,0.026165719497649613,,0.00010822993130582595,0.0
2020-03-09,Israel,61,0,0,0,1,2020,3,9,0,0,1,0.0,5.1,,7.285714285714286,0.0,1.3985172919670566e-05,0.0,0.0,0.0,0.0,0.026165719497649613,,0.00010822993130582595,0.0
2020-03-10,Israel,75,0,14,0,1,2020,3,10,1,0,1,0.0,5.25,,9.0,0.0,1.7248379934260365e-05,0.0,0.0001812180441395379,0.0,0.0,0.026853995650038587,,0.00013369579749543205,0.0
2020-03-11,Israel,79,0,4,0,1,2020,3,11,2,0,1,0.0,4.266666666666667,,9.142857142857142,0.0,1.8180724795571734e-05,0.0,5.177658403986797e-05,0.0,0.0,0.022341963095488672,,0.00013581795301123256,0.0
2020-03-12,Israel,100,0,21,0,1,2020,3,12,3,0,1,0.0,4.0,,11.428571428571429,0.0,2.3075535317456434e-05,0.0,0.00027182706620930685,0.0,0.0,0.021118361046797166,,0.00016977244126404072,0.0
2020-03-13,Israel,126,0,26,0,1,2020,3,13,4,0,1,0.0,2.4054054054054053,,12.714285714285714,0.0,2.9135776915980346e-05,0.0,0.0003365477962591418,0.0,0.0,0.013801551498878377,,0.00018887184090624529,0.0
2020-03-14,Israel,155,0,29,0,1,2020,3,14,5,1,1,0.0,2.604651162790698,,16.0,0.0,3.5895277160487785e-05,0.0,0.0003753802342890428,0.0,0.0,0.01471579218736488,,0.000237681417769657,0.0
2020-03-15,Israel,213,0,58,0,1,2020,3,15,6,1,1,0.0,2.4918032786885247,,21.714285714285715,0.0,4.9414277649502664e-05,0.0,0.0007507604685780856,0.0,0.0,0.014197988804197679,,0.0003225676384016774,0.0
2020-03-16,Israel,218,0,5,0,1,2020,3,16,0,0,1,0.0,2.5737704918032787,,22.428571428571427,0.0,5.057970872614188e-05,0.0,6.472073004983496e-05,0.0,0.0,0.014574095991295477,,0.00033317841598067986,0.0
2020-03-17,Israel,250,0,32,0,1,2020,3,17,1,0,1,0.0,2.3333333333333335,,25.0,0.0,5.803846761663284e-05,0.0,0.00041421267231894375,0.0,0.0,0.01347084824247527,,0.00037137721526508906,0.0
2020-03-18,Israel,304,0,54,0,1,2020,3,18,2,0,1,0.0,2.848101265822785,,32.142857142857146,0.0,7.062512324433635e-05,0.0,0.0006989838845382175,0.0,0.0,0.0158328648554557,,0.00047748499105511457,0.0
2020-03-19,Israel,427,0,123,0,1,2020,3,19,3,0,1,0.0,3.2699999999999996,,46.714285714285715,0.0,9.929472772966101e-05,0.0,0.00159212995922594,0.0,0.0,0.017768750438504174,,0.0006939448536667664,0.0
2020-03-20,Israel,529,0,102,0,1,2020,3,20,4,0,1,0.0,3.1984126984126986,,57.57142857142857,0.0,0.00012306952169310097,0.0,0.0013203028930166333,0.0,0.0,0.01744027155519473,,0.000855228672867605,0.0
