date_value,country,total_cases,total_deaths,new_cases,new_deaths,id_pandemic,year,month,day,day_of_week,is_weekend,quarter,mortality_rate,cases_growth_rate_7d,deaths_growth_rate_7d,new_cases_ma7,new_deaths_ma7,total_cases_normalized,total_deaths_normalized,new_cases_normalized,new_deaths_normalized,mortality_rate_normalized,cases_growth_rate_7d_normalized,deaths_growth_rate_7d_normalized,new_cases_ma7_normalized,new_deaths_ma7_normalized
2020-03-03,Jordan,1,0,1,0,1,2020,3,3,1,0,1,0.0,,,1.0,0.0,0.0,0.0,1.2944146009966992e-05,0.0,0.0,,,1.4855088610603563e-05,0.0
2020-03-04,Jordan,1,0,0,0,1,2020,3,4,2,0,1,0.0,,,0.5,0.0,0.0,0.0,0.0,0.0,0.0,,,7.4275443053017815e-06,0.0
2020-03-05,Jordan,1,0,0,0,1,2020,3,5,3,0,1,0.0,,,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,,,4.95169620353452e-06,0.0
2020-03-06,Jordan,1,0,0,0,1,2020,3,6,4,0,1,0.0,,,0.25,0.0,0.0,0.0,0.0,0.0,0.0,,,3.7137721526508907e-06,0.0
2020-03-07,Jordan,1,0,0,0,1,2020,3,7,5,1,1,0.0,,,0.2,0.0,0.0,0.0,0.0,0.0,0.0,,,2.9710177221207125e-06,0.0
2020-03-08,Jordan,1,0,0,0,1,2020,3,8,6,1,1,0.0,,,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,,,2.47584810176726e-06,0.0
2020-03-09,Jordan,1,0,0,0,1,2020,3,9,0,0,1,0.0,,,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,,,2.1221555158005087e-06,0.0
2020-03-10,Jordan,1,0,0,0,1,2020,3,10,1,0,1,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0027643303164246124,,0.0,0.0
2020-03-11,Jordan,1,0,0,0,1,2020,3,11,2,0,1,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0027643303164246124,,0.0,0.0
2020-03-12,Jordan,1,0,0,0,1,2020,3,12,3,0,1,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0027643303164246124,,0.0,0.0
2020-03-13,Jordan,1,0,0,0,1,2020,3,13,4,0,1,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0027643303164246124,,0.0,0.0
2020-03-14,Jordan,1,0,0,0,1,2020,3,14,5,1,1,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0027643303164246124,,0.0,0.0
2020-03-15,Jordan,8,0,7,0,1,2020,3,15,6,1,1,0.0,7.0,,1.0,0.0,1.6316035072948993e-06,0.0,9.060902206976894e-05,0.0,0.0,0.03488388409457658,,1.4855088610603563e-05,0.0
2020-03-16,Jordan,17,0,9,0,1,2020,3,16,0,0,1,0.0,16.0,,2.2857142857142856,0.0,3.7293794452454842e-06,0.0,0.00011649731408970293,0.0,0.0,0.07618045323791484,,3.395448825280814e-05,0.0
2020-03-17,Jordan,34,0,17,0,1,2020,3,17,1,0,1,0.0,33.0,,4.714285714285714,0.0,7.691845105818811e-06,0.0,0.00022005048216943888,0.0,0.0,0.1541850838419982,,7.00311320214168e-05,0.0
