date_value,country,total_cases,total_deaths,new_cases,new_deaths,id_pandemic,year,month,day,day_of_week,is_weekend,quarter,mortality_rate,cases_growth_rate_7d,deaths_growth_rate_7d,new_cases_ma7,new_deaths_ma7,total_cases_normalized,total_deaths_normalized,new_cases_normalized,new_deaths_normalized,mortality_rate_normalized,cases_growth_rate_7d_normalized,deaths_growth_rate_7d_normalized,new_cases_ma7_normalized,new_deaths_ma7_normalized
2020-03-13,Kazakhstan,4,0,4,0,1,2020,3,13,4,0,1,0.0,,,4.0,0.0,6.992586459835282e-07,0.0,5.177658403986797e-05,0.0,0.0,,,5.942035444241425e-05,0.0
2020-03-14,Kazakhstan,6,0,2,0,1,2020,3,14,5,1,1,0.0,,,3.0,0.0,1.1654310766392138e-06,0.0,2.5888292019933984e-05,0.0,0.0,,,4.4565265831810684e-05,0.0
2020-03-15,Kazakhstan,9,0,3,0,1,2020,3,15,6,1,1,0.0,,,3.0,0.0,1.8646897226227421e-06,0.0,3.8832438029900976e-05,0.0,0.0,,,4.4565265831810684e-05,0.0
2020-03-16,Kazakhstan,10,0,1,0,1,2020,3,16,0,0,1,0.0,,,2.5,0.0,2.0977759379505848e-06,0.0,1.2944146009966992e-05,0.0,0.0,,,3.71377215265089e-05,0.0
2020-03-17,Kazakhstan,33,0,23,0,1,2020,3,17,1,0,1,0.0,,,6.6,0.0,7.4587588904909685e-06,0.0,0.0002977153582292408,0.0,0.0,,,9.804358482998351e-05,0.0
2020-03-18,Kazakhstan,35,0,2,0,1,2020,3,18,2,0,1,0.0,,,5.833333333333333,0.0,7.924931321146654e-06,0.0,2.5888292019933984e-05,0.0,0.0,,,8.665468356185411e-05,0.0
2020-03-19,Kazakhstan,44,0,9,0,1,2020,3,19,3,0,1,0.0,,,6.285714285714286,0.0,1.0022707259097238e-05,0.0,0.00011649731408970293,0.0,0.0,,,9.337484269522239e-05,0.0
2020-03-20,Kazakhstan,49,3,5,3,1,2020,3,20,4,0,1,0.061224489795918366,11.25,inf,6.428571428571429,0.42857142857142855,1.1188138335736451e-05,2.0268763808095344e-05,6.472073004983496e-05,0.0007718034473887317,0.061224489795918366,0.05438504174559742,,9.549699821102291e-05,0.0001915097350781998
2020-03-21,Kazakhstan,53,0,4,0,1,2020,3,21,5,1,1,0.0,7.833333333333334,,6.714285714285714,0.42857142857142855,1.2120483197047823e-05,0.0,5.177658403986797e-05,0.0,0.0,0.03870764049673753,,9.974130924262392e-05,0.0001915097350781998
2020-03-22,Kazakhstan,60,0,7,0,1,2020,3,22,6,1,1,0.0,5.666666666666667,,7.285714285714286,0.42857142857142855,1.3752086704342722e-05,0.0,9.060902206976894e-05,0.0,0.0,0.028765873851119065,,0.00010822993130582595,0.0001915097350781998
2020-03-23,Kazakhstan,62,0,2,0,1,2020,3,23,0,0,1,0.0,5.2,,7.428571428571429,0.42857142857142855,1.4218259134998409e-05,0.0,2.5888292019933984e-05,0.0,0.0,0.026624570265908934,,0.00011035208682162647,0.0001915097350781998
2020-03-24,Kazakhstan,72,0,10,0,1,2020,3,24,1,0,1,0.0,1.1818181818181817,,5.571428571428571,0.42857142857142855,1.6549121288276836e-05,0.0,0.00012944146009966992,0.0,0.0,0.008187112123125593,,8.276406511621984e-05,0.0001915097350781998
2020-03-25,Kazakhstan,81,0,9,0,1,2020,3,25,2,0,1,0.0,1.3142857142857145,,6.571428571428571,0.42857142857142855,1.864689722622742e-05,0.0,0.00011649731408970293,0.0,0.0,0.008794940413547024,,9.76191537268234e-05,0.0001915097350781998
2020-03-26,Kazakhstan,111,1,30,1,1,2020,3,26,3,0,1,0.009009009009009009,1.522727272727273,inf,9.571428571428571,0.5714285714285714,2.5639483686062702e-05,6.756254602698448e-06,0.0003883243802990098,0.0002572678157962439,0.009009009009009009,0.009751376105827802,,0.0001421844195586341,0.00025534631343759976
2020-03-27,Kazakhstan,150,1,39,0,1,2020,3,27,4,0,1,0.006666666666666667,2.061224489795918,-0.6666666666666667,14.428571428571429,0.14285714285714285,3.472984608384857e-05,6.756254602698448e-06,0.0005048216943887127,0.0,0.006666666666666667,0.012222274723402305,0.0,0.0002143377070958514,6.383657835939994e-05
2020-03-28,Kazakhstan,228,1,78,0,1,2020,3,28,5,1,1,0.0043859649122807015,3.30188679245283,inf,25.0,0.14285714285714285,5.291057087942031e-05,6.756254602698448e-06,0.0010096433887774254,0.0,0.0043859649122807015,0.01791506323064724,,0.00037137721526508906,6.383657835939994e-05
2020-03-29,Kazakhstan,284,1,56,0,1,2020,3,29,6,1,1,0.0035211267605633804,3.7333333333333334,inf,32.0,0.14285714285714285,6.59633989377795e-05,6.756254602698448e-06,0.0007248721765581516,0.0,0.0035211267605633804,0.019894758998105666,,0.000475362835539314,6.383657835939994e-05
2020-03-30,Kazakhstan,302,1,18,0,1,2020,3,30,0,0,1,0.0033112582781456954,3.870967741935484,inf,34.285714285714285,0.14285714285714285,7.015895081368067e-05,6.756254602698448e-06,0.00023299462817940586,0.0,0.0033112582781456954,0.02052629553936579,,0.0005093173237921221,6.383657835939994e-05
2020-03-31,Kazakhstan,343,2,41,1,1,2020,3,31,1,0,1,0.0058309037900874635,3.7638888888888893,inf,38.714285714285715,0.2857142857142857,7.971548564212222e-05,1.3512509205396897e-05,0.0005307099864086467,0.0002572678157962439,0.0058309037900874635,0.02003496339951823,,0.000575104144781938,0.00012767315671879988
2020-04-01,Kazakhstan,380,3,37,1,1,2020,4,1,2,0,2,0.007894736842105263,3.6913580246913584,inf,42.714285714285715,0.42857142857142855,8.83396756092524e-05,2.0268763808095344e-05,0.0004789334023687787,0.0002572678157962439,0.007894736842105263,0.019702154971922743,,0.0006345244992243522,0.0001915097350781998
2020-04-02,Kazakhstan,435,3,55,0,1,2020,4,2,3,0,2,0.006896551724137931,2.918918918918919,2.0,46.285714285714285,0.2857142857142857,0.00010115941745228376,2.0268763808095344e-05,0.0007119280305481846,0.0,0.006896551724137931,0.016157812200750528,0.0,0.0006875783871193649,0.00012767315671879988
2020-04-03,Kazakhstan,464,6,29,3,1,2020,4,3,4,0,2,0.01293103448275862,2.0933333333333333,5.0,44.857142857142854,0.7142857142857143,0.00010791891769679119,4.053752761619069e-05,0.0003753802342890428,0.0007718034473887317,0.01293103448275862,0.012369606398652915,0.0,0.0006663568319613597,0.00031918289179699974
2020-04-04,Kazakhstan,531,5,67,0,1,2020,4,4,5,1,2,0.009416195856873822,1.3289473684210527,4.0,43.285714285714285,0.7142857142857143,0.00012353569412375666,3.378127301349224e-05,0.0008672577826677885,0.0,0.009416195856873822,0.008862215526186547,0.0,0.0006430131212875542,0.00031918289179699974
2020-04-05,Kazakhstan,584,6,53,1,1,2020,4,5,6,1,2,0.010273972602739725,1.056338028169014,5.0,42.857142857142854,0.8571428571428571,0.00013588926353613233,4.053752761619069e-05,0.0006860397385282506,0.0002572678157962439,0.010273972602739725,0.00761134547409342,0.0,0.0006366466547401527,0.0003830194701563996
2020-04-06,Kazakhstan,662,6,78,0,1,2020,4,6,0,0,2,0.00906344410876133,1.1920529801324502,5.0,51.42857142857143,0.8571428571428571,0.00015406998833170405,4.053752761619069e-05,0.0010096433887774254,0.0,0.00906344410876133,0.008234074573820405,0.0,0.0007639759856881833,0.0003830194701563996
2020-04-07,Kazakhstan,697,6,35,0,1,2020,4,7,1,0,2,0.00860832137733142,1.0320699708454812,2.0,50.57142857142857,0.7142857142857143,0.00016222800586817855,4.053752761619069e-05,0.0004530451103488447,0.0,0.00860832137733142,0.007499991306622779,0.0,0.0007512430525933801,0.00031918289179699974
2020-04-08,Kazakhstan,727,7,30,1,1,2020,4,8,2,0,2,0.009628610729023384,0.9131578947368422,1.3333333333333335,49.57142857142857,0.7142857142857143,0.00016922059232801385,4.729378221888914e-05,0.0003883243802990098,0.0002572678157962439,0.009628610729023384,0.006954362331845189,0.0,0.0007363879639827765,0.00031918289179699974
2020-04-09,Kazakhstan,781,8,54,1,1,2020,4,9,3,0,2,0.010243277848911651,0.7954022988505747,1.6666666666666665,49.42857142857143,0.8571428571428571,0.00018180724795571735,5.405003682158759e-05,0.0006989838845382175,0.0002572678157962439,0.010243277848911651,0.006414039875452718,0.0,0.0007342658084669761,0.0003830194701563996
2020-04-10,Kazakhstan,812,10,31,2,1,2020,4,10,4,0,2,0.012315270935960592,0.75,0.6666666666666667,49.714285714285715,0.7142857142857143,0.00018903292063088048,6.756254602698448e-05,0.00040126852630897674,0.0005145356315924878,0.012315270935960592,0.006205711078369466,0.0,0.0007385101194985771,0.00031918289179699974
2020-04-11,Kazakhstan,865,10,53,0,1,2020,4,11,5,1,2,0.011560693641618497,0.6290018832391713,1.0,47.714285714285715,0.7142857142857143,0.00020138649004325615,6.756254602698448e-05,0.0006860397385282506,0.0,0.011560693641618497,0.005650510290033102,0.0,0.00070879994227737,0.00031918289179699974
2020-04-12,Kazakhstan,951,10,86,0,1,2020,4,12,6,1,2,0.010515247108307046,0.6284246575342465,0.6666666666666667,52.42857142857143,0.5714285714285714,0.0002214319045614506,6.756254602698448e-05,0.0011131965568571614,0.0,0.010515247108307046,0.005647861685451464,0.0,0.0007788310742987868,0.00025534631343759976
2020-04-13,Kazakhstan,1091,12,140,2,1,2020,4,13,0,0,2,0.010999083409715857,0.648036253776435,1.0,61.285714285714285,0.8571428571428571,0.0002540639747073486,8.107505523238138e-05,0.0018121804413953788,0.0005145356315924878,0.010999083409715857,0.005737849645476661,0.0,0.0009104047162784183,0.0003830194701563996
2020-04-14,Kazakhstan,1232,14,141,2,1,2020,4,14,1,0,2,0.011363636363636364,0.7675753228120517,1.3333333333333335,76.42857142857143,1.1428571428571428,0.00028692913106857445,9.458756443777828e-05,0.001825124587405346,0.0005145356315924878,0.011363636363636364,0.00628635558211662,0.0,0.0011353532009532722,0.0005106926268751995
2020-04-15,Kazakhstan,1295,16,63,2,1,2020,4,15,2,0,2,0.012355212355212355,0.781292984869326,1.2857142857142856,81.14285714285714,1.2857142857142858,0.00030161356263422854,0.00010810007364317517,0.0008154811986279205,0.0005145356315924878,0.012355212355212355,0.006349299179853639,0.0,0.001205384332974689,0.0005745292052345996
2020-04-16,Kazakhstan,1402,17,107,1,1,2020,4,16,3,0,2,0.012125534950071327,0.7951344430217671,1.125,88.71428571428571,1.2857142857142858,0.0003265537876743077,0.00011485632824587362,0.0013850236230664682,0.0002572678157962439,0.012125534950071327,0.006412810816924406,0.0,0.001317858575312116,0.0005745292052345996
2020-04-17,Kazakhstan,1546,17,144,0,1,2020,4,17,4,0,2,0.010996119016817595,0.9039408866995073,0.7,104.85714285714286,1.0,0.00036011820268151706,0.00011485632824587362,0.0018639570254352469,0.0,0.010996119016817595,0.006912070019655356,0.0,0.0015576621485975735,0.0004468560485157996
2020-04-18,Kazakhstan,1615,17,69,0,1,2020,4,18,5,1,2,0.010526315789473684,0.8670520231213872,0.7,107.14285714285714,1.0,0.0003762011515391382,0.00011485632824587362,0.0008931460746877225,0.0,0.010526315789473684,0.006742805185725021,0.0,0.0015916166368503816,0.0004468560485157996
