date_value,country,total_cases,total_deaths,new_cases,new_deaths,id_pandemic,year,month,day,day_of_week,is_weekend,quarter,mortality_rate,cases_growth_rate_7d,deaths_growth_rate_7d,new_cases_ma7,new_deaths_ma7,total_cases_normalized,total_deaths_normalized,new_cases_normalized,new_deaths_normalized,mortality_rate_normalized,cases_growth_rate_7d_normalized,deaths_growth_rate_7d_normalized,new_cases_ma7_normalized,new_deaths_ma7_normalized
2020-03-26,Kosovo,71,1,71,1,1,2020,3,26,3,0,1,0.014084507042253521,,,71.0,1.0,1.631603507294899e-05,6.756254602698448e-06,0.0009190343667076564,0.0002572678157962439,0.014084507042253521,,,0.001054711291352853,0.0004468560485157996
2020-03-27,Kosovo,86,1,15,0,1,2020,3,27,4,0,1,0.011627906976744186,,,43.0,0.5,1.9812328302866635e-05,6.756254602698448e-06,0.0001941621901495049,0.0,0.011627906976744186,,,0.0006387688102559532,0.0002234280242578998
2020-03-28,Kosovo,91,1,5,0,1,2020,3,28,5,1,1,0.01098901098901099,,,30.333333333333332,0.3333333333333333,2.0977759379505847e-05,6.756254602698448e-06,6.472073004983496e-05,0.0,0.01098901098901099,,,0.0004506043545216414,0.0001489520161719332
2020-03-29,Kosovo,94,1,3,0,1,2020,3,29,6,1,1,0.010638297872340425,,,23.5,0.25,2.1677018025489375e-05,6.756254602698448e-06,3.8832438029900976e-05,0.0,0.010638297872340425,,,0.00034909458234918373,0.0001117140121289499
2020-03-30,Kosovo,94,1,0,0,1,2020,3,30,0,0,1,0.010638297872340425,,,18.8,0.2,2.1677018025489375e-05,6.756254602698448e-06,0.0,0.0,0.010638297872340425,,,0.000279275665879347,8.937120970315993e-05
2020-03-31,Kosovo,112,1,18,0,1,2020,3,31,1,0,1,0.008928571428571428,,,18.666666666666668,0.16666666666666666,2.5872569901390547e-05,6.756254602698448e-06,0.00023299462817940586,0.0,0.008928571428571428,,,0.0002772949873979332,7.44760080859666e-05
2020-04-01,Kosovo,125,1,13,0,1,2020,4,1,2,0,2,0.008,,,17.857142857142858,0.14285714285714285,2.89026907006525e-05,6.756254602698448e-06,0.0001682738981295709,0.0,0.008,,,0.0002652694394750636,6.383657835939994e-05
2020-04-02,Kosovo,125,1,0,0,1,2020,4,2,3,0,2,0.008,0.7605633802816902,0.0,7.714285714285714,0.0,2.89026907006525e-05,6.756254602698448e-06,0.0,0.0,0.008,0.006254181229946155,0.0,0.00011459639785322748,0.0
2020-04-03,Kosovo,126,1,1,0,1,2020,4,3,4,0,2,0.007936507936507936,0.4651162790697674,0.0,5.714285714285714,0.0,2.9135776915980346e-05,6.756254602698448e-06,1.2944146009966992e-05,0.0,0.007936507936507936,0.004898519936235374,0.0,8.488622063202036e-05,0.0
2020-04-04,Kosovo,135,1,9,0,1,2020,4,4,5,1,2,0.007407407407407408,0.4835164835164836,0.0,6.285714285714286,0.0,3.123355285393093e-05,6.756254602698448e-06,0.00011649731408970293,0.0,0.007407407407407408,0.004982949415700416,0.0,9.337484269522239e-05,0.0
