date_value,country,total_cases,total_deaths,new_cases,new_deaths,id_pandemic,year,month,day,day_of_week,is_weekend,quarter,mortality_rate,cases_growth_rate_7d,deaths_growth_rate_7d,new_cases_ma7,new_deaths_ma7,total_cases_normalized,total_deaths_normalized,new_cases_normalized,new_deaths_normalized,mortality_rate_normalized,cases_growth_rate_7d_normalized,deaths_growth_rate_7d_normalized,new_cases_ma7_normalized,new_deaths_ma7_normalized
2020-02-24,Kuwait,1,0,1,0,1,2020,2,24,0,0,1,0.0,,,1.0,0.0,0.0,0.0,1.2944146009966992e-05,0.0,0.0,,,1.4855088610603563e-05,0.0
2020-02-25,Kuwait,11,0,10,0,1,2020,2,25,1,0,1,0.0,,,5.5,0.0,2.3308621532784276e-06,0.0,0.00012944146009966992,0.0,0.0,,,8.170298735831959e-05,0.0
2020-02-26,Kuwait,26,0,15,0,1,2020,2,26,2,0,1,0.0,,,8.666666666666666,0.0,5.827155383196069e-06,0.0,0.0001941621901495049,0.0,0.0,,,0.00012874410129189753,0.0
2020-02-27,Kuwait,43,0,17,0,1,2020,2,27,3,0,1,0.0,,,10.75,0.0,9.789621043769395e-06,0.0,0.00022005048216943888,0.0,0.0,,,0.0001596922025639883,0.0
2020-02-28,Kuwait,45,0,2,0,1,2020,2,28,4,0,1,0.0,,,9.0,0.0,1.0255793474425082e-05,0.0,2.5888292019933984e-05,0.0,0.0,,,0.00013369579749543205,0.0
2020-02-29,Kuwait,45,0,0,0,1,2020,2,29,5,1,1,0.0,,,7.5,0.0,1.0255793474425082e-05,0.0,0.0,0.0,0.0,,,0.00011141316457952672,0.0
2020-03-01,Kuwait,45,0,0,0,1,2020,3,1,6,1,1,0.0,,,6.428571428571429,0.0,1.0255793474425082e-05,0.0,0.0,0.0,0.0,,,9.549699821102291e-05,0.0
2020-03-02,Kuwait,56,0,11,0,1,2020,3,2,0,0,1,0.0,55.0,,7.857142857142857,0.0,1.2819741843031351e-05,0.0,0.00014238560610963693,0.0,0.0,0.2551322528590472,,0.00011671855336902798,0.0
2020-03-03,Kuwait,56,0,0,0,1,2020,3,3,1,0,1,0.0,4.090909090909091,,6.428571428571429,0.0,1.2819741843031351e-05,0.0,0.0,0.0,0.0,0.021535498108851088,,9.549699821102291e-05,0.0
2020-03-04,Kuwait,56,0,0,0,1,2020,3,4,2,0,1,0.0,1.1538461538461537,,4.285714285714286,0.0,1.2819741843031351e-05,0.0,0.0,0.0,0.0,0.008058762257878233,,6.366466547401527e-05,0.0
2020-03-05,Kuwait,58,0,2,0,1,2020,3,5,3,0,1,0.0,0.34883720930232553,,2.142857142857143,0.0,1.3285914273687037e-05,0.0,2.5888292019933984e-05,0.0,0.0,0.004364972531282684,,3.1832332737007634e-05,0.0
2020-03-06,Kuwait,58,0,0,0,1,2020,3,6,4,0,1,0.0,0.288888888888889,,1.8571428571428572,0.0,1.3285914273687037e-05,0.0,0.0,0.0,0.0,0.0040898992025070755,,2.7588021705406618e-05,0.0
2020-03-07,Kuwait,61,0,3,0,1,2020,3,7,5,1,1,0.0,0.3555555555555556,,2.2857142857142856,0.0,1.3985172919670566e-05,0.0,3.8832438029900976e-05,0.0,0.0,0.004395799714679951,,3.395448825280814e-05,0.0
2020-03-08,Kuwait,64,0,3,0,1,2020,3,8,6,1,1,0.0,0.4222222222222223,,2.7142857142857144,0.0,1.4684431565654094e-05,0.0,3.8832438029900976e-05,0.0,0.0,0.004701700226852827,,4.0320954800209674e-05,0.0
2020-03-09,Kuwait,64,0,0,0,1,2020,3,9,0,0,1,0.0,0.1428571428571428,,1.1428571428571428,0.0,1.4684431565654094e-05,0.0,0.0,0.0,0.0,0.0034198314139379177,,1.697724412640407e-05,0.0
