date_value,country,total_cases,total_deaths,new_cases,new_deaths,id_pandemic,year,month,day,day_of_week,is_weekend,quarter,mortality_rate,cases_growth_rate_7d,deaths_growth_rate_7d,new_cases_ma7,new_deaths_ma7,total_cases_normalized,total_deaths_normalized,new_cases_normalized,new_deaths_normalized,mortality_rate_normalized,cases_growth_rate_7d_normalized,deaths_growth_rate_7d_normalized,new_cases_ma7_normalized,new_deaths_ma7_normalized
2020-03-18,Kyrgyzstan,3,0,3,0,1,2020,3,18,2,0,1,0.0,,,3.0,0.0,4.6617243065568553e-07,0.0,3.8832438029900976e-05,0.0,0.0,,,4.4565265831810684e-05,0.0
2020-03-19,Kyrgyzstan,3,0,0,0,1,2020,3,19,3,0,1,0.0,,,1.5,0.0,4.6617243065568553e-07,0.0,0.0,0.0,0.0,,,2.2282632915905342e-05,0.0
2020-03-20,Kyrgyzstan,6,0,3,0,1,2020,3,20,4,0,1,0.0,,,2.0,0.0,1.1654310766392138e-06,0.0,3.8832438029900976e-05,0.0,0.0,,,2.9710177221207126e-05,0.0
2020-03-21,Kyrgyzstan,14,0,8,0,1,2020,3,21,5,1,1,0.0,,,3.5,0.0,3.0301207992619557e-06,0.0,0.00010355316807973594,0.0,0.0,,,5.199281013711247e-05,0.0
2020-03-22,Kyrgyzstan,14,0,0,0,1,2020,3,22,6,1,1,0.0,,,2.8,0.0,3.0301207992619557e-06,0.0,0.0,0.0,0.0,,,4.1594248109689974e-05,0.0
2020-03-23,Kyrgyzstan,16,0,2,0,1,2020,3,23,0,0,1,0.0,,,2.6666666666666665,0.0,3.4962932299176414e-06,0.0,2.5888292019933984e-05,0.0,0.0,,,3.961356962827616e-05,0.0
2020-03-24,Kyrgyzstan,42,0,26,0,1,2020,3,24,1,0,1,0.0,,,6.0,0.0,9.556534828441554e-06,0.0,0.0003365477962591418,0.0,0.0,,,8.913053166362137e-05,0.0
2020-03-25,Kyrgyzstan,44,0,2,0,1,2020,3,25,2,0,1,0.0,13.666666666666666,,5.857142857142857,0.0,1.0022707259097238e-05,0.0,2.5888292019933984e-05,0.0,0.0,0.06547393531186417,,8.700837614782086e-05,0.0
2020-03-26,Kyrgyzstan,44,0,0,0,1,2020,3,26,3,0,1,0.0,13.666666666666666,,5.857142857142857,0.0,1.0022707259097238e-05,0.0,0.0,0.0,0.0,0.06547393531186417,,8.700837614782086e-05,0.0
2020-03-27,Kyrgyzstan,58,0,14,0,1,2020,3,27,4,0,1,0.0,8.666666666666666,,7.428571428571429,0.0,1.3285914273687037e-05,0.0,0.0001812180441395379,0.0,0.0,0.042531396898898476,,0.00011035208682162647,0.0
2020-03-28,Kyrgyzstan,58,0,0,0,1,2020,3,28,5,1,1,0.0,3.1428571428571432,,6.285714285714286,0.0,1.3285914273687037e-05,0.0,0.0,0.0,0.0,0.017185354461717334,,9.337484269522239e-05,0.0
2020-03-29,Kyrgyzstan,84,0,26,0,1,2020,3,29,6,1,1,0.0,5.0,,10.0,0.0,1.934615587221095e-05,0.0,0.0003365477962591418,0.0,0.0,0.025706868729390302,,0.0001485508861060356,0.0
2020-03-30,Kyrgyzstan,94,0,10,0,1,2020,3,30,0,0,1,0.0,4.875,,11.142857142857142,0.0,2.1677018025489375e-05,0.0,0.00012944146009966992,0.0,0.0,0.02513330526906616,,0.00016552813023243968,0.0
2020-03-31,Kyrgyzstan,107,0,13,0,1,2020,3,31,1,0,1,0.0,1.5476190476190474,,9.285714285714286,0.0,2.4707138824751332e-05,0.0,0.0001682738981295709,0.0,0.0,0.009865592206152088,,0.0001379401085270331,0.0
2020-04-01,Kyrgyzstan,111,0,4,0,1,2020,4,1,2,0,2,0.0,1.522727272727273,,9.571428571428571,0.0,2.5639483686062702e-05,0.0,5.177658403986797e-05,0.0,0.0,0.009751376105827802,,0.0001421844195586341,0.0
2020-04-02,Kyrgyzstan,116,0,5,0,1,2020,4,2,3,0,2,0.0,1.6363636363636362,,10.285714285714286,0.0,2.6804914762701916e-05,0.0,6.472073004983496e-05,0.0,0.0,0.010272797433395202,,0.00015279519713763665,0.0
