date_value,country,total_cases,total_deaths,new_cases,new_deaths,id_pandemic,year,month,day,day_of_week,is_weekend,quarter,mortality_rate,cases_growth_rate_7d,deaths_growth_rate_7d,new_cases_ma7,new_deaths_ma7,total_cases_normalized,total_deaths_normalized,new_cases_normalized,new_deaths_normalized,mortality_rate_normalized,cases_growth_rate_7d_normalized,deaths_growth_rate_7d_normalized,new_cases_ma7_normalized,new_deaths_ma7_normalized
2020-02-21,Lebanon,1,0,1,0,1,2020,2,21,4,0,1,0.0,,,1.0,0.0,0.0,0.0,1.2944146009966992e-05,0.0,0.0,,,1.4855088610603563e-05,0.0
2020-02-22,Lebanon,1,0,0,0,1,2020,2,22,5,1,1,0.0,,,0.5,0.0,0.0,0.0,0.0,0.0,0.0,,,7.4275443053017815e-06,0.0
2020-02-23,Lebanon,1,0,0,0,1,2020,2,23,6,1,1,0.0,,,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,,,4.95169620353452e-06,0.0
2020-02-24,Lebanon,1,0,0,0,1,2020,2,24,0,0,1,0.0,,,0.25,0.0,0.0,0.0,0.0,0.0,0.0,,,3.7137721526508907e-06,0.0
2020-02-25,Lebanon,1,0,0,0,1,2020,2,25,1,0,1,0.0,,,0.2,0.0,0.0,0.0,0.0,0.0,0.0,,,2.9710177221207125e-06,0.0
2020-02-26,Lebanon,2,0,1,0,1,2020,2,26,2,0,1,0.0,,,0.3333333333333333,0.0,2.3308621532784276e-07,0.0,1.2944146009966992e-05,0.0,0.0,,,4.95169620353452e-06,0.0
2020-02-27,Lebanon,2,0,0,0,1,2020,2,27,3,0,1,0.0,,,0.2857142857142857,0.0,2.3308621532784276e-07,0.0,0.0,0.0,0.0,,,4.244311031601017e-06,0.0
2020-02-28,Lebanon,2,0,0,0,1,2020,2,28,4,0,1,0.0,1.0,,0.14285714285714285,0.0,2.3308621532784276e-07,0.0,0.0,0.0,0.0,0.0073528379990177506,,2.1221555158005087e-06,0.0
2020-02-29,Lebanon,4,0,2,0,1,2020,2,29,5,1,1,0.0,3.0,,0.42857142857142855,0.0,6.992586459835282e-07,0.0,2.5888292019933984e-05,0.0,0.0,0.01652985336420403,,6.3664665474015265e-06,0.0
2020-03-01,Lebanon,10,0,6,0,1,2020,3,1,6,1,1,0.0,9.0,,1.2857142857142858,0.0,2.0977759379505848e-06,0.0,7.766487605980195e-05,0.0,0.0,0.04406089945976285,,1.909939964220458e-05,0.0
2020-03-02,Lebanon,13,0,3,0,1,2020,3,2,0,0,1,0.0,12.0,,1.7142857142857142,0.0,2.797034583934113e-06,0.0,3.8832438029900976e-05,0.0,0.0,0.05782642250754227,,2.5465866189606106e-05,0.0
2020-03-03,Lebanon,13,0,0,0,1,2020,3,3,1,0,1,0.0,12.0,,1.7142857142857142,0.0,2.797034583934113e-06,0.0,0.0,0.0,0.0,0.05782642250754227,,2.5465866189606106e-05,0.0
2020-03-04,Lebanon,13,0,0,0,1,2020,3,4,2,0,1,0.0,5.5,,1.5714285714285714,0.0,2.797034583934113e-06,0.0,0.0,0.0,0.0,0.028001122570686873,,2.3343710673805598e-05,0.0
2020-03-05,Lebanon,16,0,3,0,1,2020,3,5,3,0,1,0.0,7.0,,2.0,0.0,3.4962932299176414e-06,0.0,3.8832438029900976e-05,0.0,0.0,0.03488388409457658,,2.9710177221207126e-05,0.0
2020-03-06,Lebanon,22,0,6,0,1,2020,3,6,4,0,1,0.0,10.0,,2.857142857142857,0.0,4.894810521884698e-06,0.0,7.766487605980195e-05,0.0,0.0,0.048649407142355994,,4.244311031601018e-05,0.0
2020-03-07,Lebanon,22,0,0,0,1,2020,3,7,5,1,1,0.0,4.5,,2.5714285714285716,0.0,4.894810521884698e-06,0.0,0.0,0.0,0.0,0.023412614888093732,,3.819879928440916e-05,0.0
2020-03-08,Lebanon,32,0,10,0,1,2020,3,8,6,1,1,0.0,2.2,,3.142857142857143,0.0,7.225672675163125e-06,0.0,0.00012944146009966992,0.0,0.0,0.012859047218129518,,4.6687421347611195e-05,0.0
2020-03-09,Lebanon,32,0,0,0,1,2020,3,9,0,0,1,0.0,1.4615384615384617,,2.7142857142857144,0.0,7.225672675163125e-06,0.0,0.0,0.0,0.0,0.0094706107755992,,4.0320954800209674e-05,0.0
2020-03-10,Lebanon,41,1,9,1,1,2020,3,10,1,0,1,0.024390243902439025,2.1538461538461537,inf,4.0,0.14285714285714285,9.32344861311371e-06,6.756254602698448e-06,0.00011649731408970293,0.0002572678157962439,0.024390243902439025,0.012647269940471372,,5.942035444241425e-05,6.383657835939994e-05
2020-03-11,Lebanon,61,3,20,2,1,2020,3,11,2,0,1,0.04918032786885246,3.6923076923076925,inf,6.857142857142857,0.42857142857142855,1.3985172919670566e-05,2.0268763808095344e-05,0.00025888292019933984,0.0005145356315924878,0.04918032786885246,0.019706512529076202,,0.00010186346475842442,0.0001915097350781998
2020-03-12,Lebanon,61,3,0,0,1,2020,3,12,3,0,1,0.04918032786885246,2.8125,inf,6.428571428571429,0.42857142857142855,1.3985172919670566e-05,2.0268763808095344e-05,0.0,0.0,0.04918032786885246,0.015669508173717813,,9.549699821102291e-05,0.0001915097350781998
2020-03-13,Lebanon,77,3,16,0,1,2020,3,13,4,0,1,0.03896103896103896,2.5,inf,7.857142857142857,0.42857142857142855,1.7714552364916048e-05,2.0268763808095344e-05,0.00020710633615947187,0.0,0.03896103896103896,0.014235599522907458,,0.00011671855336902798,0.0001915097350781998
2020-03-14,Lebanon,93,3,16,0,1,2020,3,14,5,1,1,0.03225806451612903,3.2272727272727275,inf,10.142857142857142,0.42857142857142855,2.1443931810161533e-05,2.0268763808095344e-05,0.00020710633615947187,0.0,0.03225806451612903,0.01757269601933883,,0.00015067304162183612,0.0001915097350781998
2020-03-15,Lebanon,110,3,17,0,1,2020,3,15,6,1,1,0.02727272727272727,2.4375,inf,11.142857142857142,0.42857142857142855,2.540639747073486e-05,2.0268763808095344e-05,0.00022005048216943888,0.0,0.02727272727272727,0.013948817792745387,,0.00016552813023243968,0.0001915097350781998
2020-03-16,Lebanon,110,3,0,0,1,2020,3,16,0,0,1,0.02727272727272727,2.4375,inf,11.142857142857142,0.42857142857142855,2.540639747073486e-05,2.0268763808095344e-05,0.0,0.0,0.02727272727272727,0.013948817792745387,,0.00016552813023243968,0.0001915097350781998
2020-03-17,Lebanon,120,3,10,0,1,2020,3,17,1,0,1,0.025,1.9268292682926829,2.0,11.285714285714286,0.2857142857142857,2.7737259624013286e-05,2.0268763808095344e-05,0.00012944146009966992,0.0,0.025,0.011605601217030904,0.0,0.0001676502857482402,0.00012767315671879988
2020-03-18,Lebanon,133,3,13,0,1,2020,3,18,2,0,1,0.022556390977443608,1.180327868852459,0.0,10.285714285714286,0.0,3.0767380423275244e-05,2.0268763808095344e-05,0.0001682738981295709,0.0,0.022556390977443608,0.008180273810632906,0.0,0.00015279519713763665,0.0
2020-03-19,Lebanon,157,4,24,1,1,2020,3,19,3,0,1,0.025477707006369428,1.5737704918032787,0.33333333333333326,13.714285714285714,0.14285714285714285,3.636144959114347e-05,2.7025018410793794e-05,0.0003106595042392078,0.0002572678157962439,0.025477707006369428,0.009985588308702338,0.0,0.00020372692951684885,6.383657835939994e-05
2020-03-20,Lebanon,163,4,6,0,1,2020,3,20,4,0,1,0.024539877300613498,1.116883116883117,0.33333333333333326,12.285714285714286,0.14285714285714285,3.7759966883110525e-05,2.7025018410793794e-05,7.766487605980195e-05,0.0,0.024539877300613498,0.007889157078801366,0.0,0.00018250537435884377,6.383657835939994e-05
2020-03-21,Lebanon,187,4,24,0,1,2020,3,21,5,1,1,0.0213903743315508,1.010752688172043,0.33333333333333326,13.428571428571429,0.14285714285714285,4.335403605097875e-05,2.7025018410793794e-05,0.0003106595042392078,0.0,0.0213903743315508,0.007402176791303699,0.0,0.00019948261848524784,6.383657835939994e-05
2020-03-22,Lebanon,248,4,61,0,1,2020,3,22,6,1,1,0.016129032258064516,1.2545454545454544,0.33333333333333326,19.714285714285715,0.14285714285714285,5.757229518597716e-05,2.7025018410793794e-05,0.0007895929066079866,0.0,0.016129032258064516,0.00852082177276873,0.0,0.00029285746118047027,6.383657835939994e-05
2020-03-23,Lebanon,267,4,19,0,1,2020,3,23,0,0,1,0.0149812734082397,1.4272727272727272,0.33333333333333326,22.428571428571427,0.14285714285714285,6.200093327720617e-05,2.7025018410793794e-05,0.00024593877418937284,0.0,0.0149812734082397,0.009313382190671182,0.0,0.00033317841598067986,6.383657835939994e-05
2020-03-24,Lebanon,318,4,51,0,1,2020,3,24,1,0,1,0.012578616352201259,1.65,0.33333333333333326,28.285714285714285,0.14285714285714285,7.388833025892616e-05,2.7025018410793794e-05,0.0006601514465083166,0.0,0.012578616352201259,0.010335367992703291,0.0,0.0004201867921285007,6.383657835939994e-05
2020-03-25,Lebanon,333,6,15,2,1,2020,3,25,2,0,1,0.018018018018018018,1.5037593984962405,1.0,28.571428571428573,0.42857142857142855,7.73846234888438e-05,4.053752761619069e-05,0.0001941621901495049,0.0005145356315924878,0.018018018018018018,0.009664341869196248,0.0,0.0004244311031601018,0.0001915097350781998
2020-03-26,Lebanon,368,6,35,0,1,2020,3,26,3,0,1,0.016304347826086956,1.3439490445859872,0.5,30.142857142857142,0.2857142857142857,8.554264102531829e-05,4.053752761619069e-05,0.0004530451103488447,0.0,0.016304347826086956,0.008931050832521123,0.0,0.0004477748138339074,0.00012767315671879988
2020-03-27,Lebanon,391,8,23,2,1,2020,3,27,4,0,1,0.020460358056265986,1.3987730061349692,1.0,32.57142857142857,0.5714285714285714,9.090362397785867e-05,5.405003682158759e-05,0.0002977153582292408,0.0005145356315924878,0.020460358056265986,0.009182611001278818,0.0,0.000483851457602516,0.00025534631343759976
2020-03-28,Lebanon,412,8,21,0,1,2020,3,28,5,1,1,0.019417475728155338,1.2032085561497325,1.0,32.142857142857146,0.5714285714285714,9.579843449974337e-05,5.405003682158759e-05,0.00027182706620930685,0.0,0.019417475728155338,0.008285262020079457,0.0,0.00047748499105511457,0.00025534631343759976
2020-03-29,Lebanon,438,10,26,2,1,2020,3,29,6,1,1,0.0228310502283105,0.7661290322580645,1.5,27.142857142857142,0.8571428571428571,0.00010185867609826728,6.756254602698448e-05,0.0003365477962591418,0.0005145356315924878,0.0228310502283105,0.006279719266798388,0.0,0.0004032095480020967,0.0003830194701563996
