date_value,country,total_cases,total_deaths,new_cases,new_deaths,id_pandemic,year,month,day,day_of_week,is_weekend,quarter,mortality_rate,cases_growth_rate_7d,deaths_growth_rate_7d,new_cases_ma7,new_deaths_ma7,total_cases_normalized,total_deaths_normalized,new_cases_normalized,new_deaths_normalized,mortality_rate_normalized,cases_growth_rate_7d_normalized,deaths_growth_rate_7d_normalized,new_cases_ma7_normalized,new_deaths_ma7_normalized
2020-03-16,Liberia,1,0,1,0,1,2020,3,16,0,0,1,0.0,,,1.0,0.0,0.0,0.0,1.2944146009966992e-05,0.0,0.0,,,1.4855088610603563e-05,0.0
2020-03-17,Liberia,1,0,0,0,1,2020,3,17,1,0,1,0.0,,,0.5,0.0,0.0,0.0,0.0,0.0,0.0,,,7.4275443053017815e-06,0.0
2020-03-18,Liberia,2,0,1,0,1,2020,3,18,2,0,1,0.0,,,0.6666666666666666,0.0,2.3308621532784276e-07,0.0,1.2944146009966992e-05,0.0,0.0,,,9.90339240706904e-06,0.0
2020-03-19,Liberia,2,0,0,0,1,2020,3,19,3,0,1,0.0,,,0.5,0.0,2.3308621532784276e-07,0.0,0.0,0.0,0.0,,,7.4275443053017815e-06,0.0
2020-03-20,Liberia,2,0,0,0,1,2020,3,20,4,0,1,0.0,,,0.4,0.0,2.3308621532784276e-07,0.0,0.0,0.0,0.0,,,5.942035444241425e-06,0.0
2020-03-21,Liberia,3,0,1,0,1,2020,3,21,5,1,1,0.0,,,0.5,0.0,4.6617243065568553e-07,0.0,1.2944146009966992e-05,0.0,0.0,,,7.4275443053017815e-06,0.0
2020-03-22,Liberia,3,0,0,0,1,2020,3,22,6,1,1,0.0,,,0.42857142857142855,0.0,4.6617243065568553e-07,0.0,0.0,0.0,0.0,,,6.3664665474015265e-06,0.0
2020-03-23,Liberia,3,0,0,0,1,2020,3,23,0,0,1,0.0,2.0,,0.2857142857142857,0.0,4.6617243065568553e-07,0.0,0.0,0.0,0.0,0.01194134568161089,,4.244311031601017e-06,0.0
2020-03-24,Liberia,3,0,0,0,1,2020,3,24,1,0,1,0.0,2.0,,0.2857142857142857,0.0,4.6617243065568553e-07,0.0,0.0,0.0,0.0,0.01194134568161089,,4.244311031601017e-06,0.0
2020-03-25,Liberia,3,0,0,0,1,2020,3,25,2,0,1,0.0,0.5,,0.14285714285714285,0.0,4.6617243065568553e-07,0.0,0.0,0.0,0.0,0.005058584157721181,,2.1221555158005087e-06,0.0
2020-03-26,Liberia,3,0,0,0,1,2020,3,26,3,0,1,0.0,0.5,,0.14285714285714285,0.0,4.6617243065568553e-07,0.0,0.0,0.0,0.0,0.005058584157721181,,2.1221555158005087e-06,0.0
2020-03-27,Liberia,3,0,0,0,1,2020,3,27,4,0,1,0.0,0.5,,0.14285714285714285,0.0,4.6617243065568553e-07,0.0,0.0,0.0,0.0,0.005058584157721181,,2.1221555158005087e-06,0.0
