date_value,country,total_cases,total_deaths,new_cases,new_deaths,id_pandemic,year,month,day,day_of_week,is_weekend,quarter,mortality_rate,cases_growth_rate_7d,deaths_growth_rate_7d,new_cases_ma7,new_deaths_ma7,total_cases_normalized,total_deaths_normalized,new_cases_normalized,new_deaths_normalized,mortality_rate_normalized,cases_growth_rate_7d_normalized,deaths_growth_rate_7d_normalized,new_cases_ma7_normalized,new_deaths_ma7_normalized
2020-03-24,Libya,1,0,1,0,1,2020,3,24,1,0,1,0.0,,,1.0,0.0,0.0,0.0,1.2944146009966992e-05,0.0,0.0,,,1.4855088610603563e-05,0.0
2020-03-25,Libya,1,0,0,0,1,2020,3,25,2,0,1,0.0,,,0.5,0.0,0.0,0.0,0.0,0.0,0.0,,,7.4275443053017815e-06,0.0
2020-03-26,Libya,1,0,0,0,1,2020,3,26,3,0,1,0.0,,,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,,,4.95169620353452e-06,0.0
2020-03-27,Libya,1,0,0,0,1,2020,3,27,4,0,1,0.0,,,0.25,0.0,0.0,0.0,0.0,0.0,0.0,,,3.7137721526508907e-06,0.0
2020-03-28,Libya,3,0,2,0,1,2020,3,28,5,1,1,0.0,,,0.6,0.0,4.6617243065568553e-07,0.0,2.5888292019933984e-05,0.0,0.0,,,8.913053166362137e-06,0.0
2020-03-29,Libya,8,0,5,0,1,2020,3,29,6,1,1,0.0,,,1.3333333333333333,0.0,1.6316035072948993e-06,0.0,6.472073004983496e-05,0.0,0.0,,,1.980678481413808e-05,0.0
2020-03-30,Libya,8,0,0,0,1,2020,3,30,0,0,1,0.0,,,1.1428571428571428,0.0,1.6316035072948993e-06,0.0,0.0,0.0,0.0,,,1.697724412640407e-05,0.0
2020-03-31,Libya,10,0,2,0,1,2020,3,31,1,0,1,0.0,9.0,,1.2857142857142858,0.0,2.0977759379505848e-06,0.0,2.5888292019933984e-05,0.0,0.0,0.04406089945976285,,1.909939964220458e-05,0.0
2020-04-01,Libya,10,0,0,0,1,2020,4,1,2,0,2,0.0,9.0,,1.2857142857142858,0.0,2.0977759379505848e-06,0.0,0.0,0.0,0.0,0.04406089945976285,,1.909939964220458e-05,0.0
2020-04-02,Libya,11,1,1,1,1,2020,4,2,3,0,2,0.09090909090909091,10.0,inf,1.4285714285714286,0.14285714285714285,2.3308621532784276e-06,6.756254602698448e-06,1.2944146009966992e-05,0.0002572678157962439,0.09090909090909091,0.048649407142355994,,2.122155515800509e-05,6.383657835939994e-05
2020-04-03,Libya,11,1,0,0,1,2020,4,3,4,0,2,0.09090909090909091,10.0,inf,1.4285714285714286,0.14285714285714285,2.3308621532784276e-06,6.756254602698448e-06,0.0,0.0,0.09090909090909091,0.048649407142355994,,2.122155515800509e-05,6.383657835939994e-05
