date_value,country,total_cases,total_deaths,new_cases,new_deaths,id_pandemic,year,month,day,day_of_week,is_weekend,quarter,mortality_rate,cases_growth_rate_7d,deaths_growth_rate_7d,new_cases_ma7,new_deaths_ma7,total_cases_normalized,total_deaths_normalized,new_cases_normalized,new_deaths_normalized,mortality_rate_normalized,cases_growth_rate_7d_normalized,deaths_growth_rate_7d_normalized,new_cases_ma7_normalized,new_deaths_ma7_normalized
2020-03-04,Liechtenstein,1,0,1,0,1,2020,3,4,2,0,1,0.0,,,1.0,0.0,0.0,0.0,1.2944146009966992e-05,0.0,0.0,,,1.4855088610603563e-05,0.0
2020-03-05,Liechtenstein,1,0,0,0,1,2020,3,5,3,0,1,0.0,,,0.5,0.0,0.0,0.0,0.0,0.0,0.0,,,7.4275443053017815e-06,0.0
2020-03-06,Liechtenstein,1,0,0,0,1,2020,3,6,4,0,1,0.0,,,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,,,4.95169620353452e-06,0.0
2020-03-07,Liechtenstein,1,0,0,0,1,2020,3,7,5,1,1,0.0,,,0.25,0.0,0.0,0.0,0.0,0.0,0.0,,,3.7137721526508907e-06,0.0
2020-03-08,Liechtenstein,1,0,0,0,1,2020,3,8,6,1,1,0.0,,,0.2,0.0,0.0,0.0,0.0,0.0,0.0,,,2.9710177221207125e-06,0.0
2020-03-09,Liechtenstein,1,0,0,0,1,2020,3,9,0,0,1,0.0,,,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,,,2.47584810176726e-06,0.0
2020-03-10,Liechtenstein,1,0,0,0,1,2020,3,10,1,0,1,0.0,,,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,,,2.1221555158005087e-06,0.0
2020-03-11,Liechtenstein,1,0,0,0,1,2020,3,11,2,0,1,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0027643303164246124,,0.0,0.0
2020-03-12,Liechtenstein,1,0,0,0,1,2020,3,12,3,0,1,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0027643303164246124,,0.0,0.0
2020-03-13,Liechtenstein,1,0,0,0,1,2020,3,13,4,0,1,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0027643303164246124,,0.0,0.0
2020-03-14,Liechtenstein,4,0,3,0,1,2020,3,14,5,1,1,0.0,3.0,,0.42857142857142855,0.0,6.992586459835282e-07,0.0,3.8832438029900976e-05,0.0,0.0,0.01652985336420403,,6.3664665474015265e-06,0.0
2020-03-15,Liechtenstein,4,0,0,0,1,2020,3,15,6,1,1,0.0,3.0,,0.42857142857142855,0.0,6.992586459835282e-07,0.0,0.0,0.0,0.0,0.01652985336420403,,6.3664665474015265e-06,0.0
2020-03-16,Liechtenstein,4,0,0,0,1,2020,3,16,0,0,1,0.0,3.0,,0.42857142857142855,0.0,6.992586459835282e-07,0.0,0.0,0.0,0.0,0.01652985336420403,,6.3664665474015265e-06,0.0
2020-03-17,Liechtenstein,7,0,3,0,1,2020,3,17,1,0,1,0.0,6.0,,0.8571428571428571,0.0,1.3985172919670564e-06,0.0,3.8832438029900976e-05,0.0,0.0,0.03029537641198344,,1.2732933094803053e-05,0.0
2020-03-18,Liechtenstein,28,0,21,0,1,2020,3,18,2,0,1,0.0,27.0,,3.857142857142857,0.0,6.293327813851755e-06,0.0,0.00027182706620930685,0.0,0.0,0.12665403774643935,,5.729819892661374e-05,0.0
2020-03-19,Liechtenstein,28,0,0,0,1,2020,3,19,3,0,1,0.0,27.0,,3.857142857142857,0.0,6.293327813851755e-06,0.0,0.0,0.0,0.0,0.12665403774643935,,5.729819892661374e-05,0.0
2020-03-20,Liechtenstein,28,0,0,0,1,2020,3,20,4,0,1,0.0,27.0,,3.857142857142857,0.0,6.293327813851755e-06,0.0,0.0,0.0,0.0,0.12665403774643935,,5.729819892661374e-05,0.0
2020-03-21,Liechtenstein,37,0,9,0,1,2020,3,21,5,1,1,0.0,8.25,,4.714285714285714,0.0,8.391103751802339e-06,0.0,0.00011649731408970293,0.0,0.0,0.040619518697818005,,7.00311320214168e-05,0.0
2020-03-22,Liechtenstein,37,0,0,0,1,2020,3,22,6,1,1,0.0,8.25,,4.714285714285714,0.0,8.391103751802339e-06,0.0,0.0,0.0,0.0,0.040619518697818005,,7.00311320214168e-05,0.0
2020-03-23,Liechtenstein,51,0,14,0,1,2020,3,23,0,0,1,0.0,11.75,,6.714285714285714,0.0,1.1654310766392138e-05,0.0,0.0001812180441395379,0.0,0.0,0.05667929558689399,,9.974130924262392e-05,0.0
2020-03-24,Liechtenstein,51,0,0,0,1,2020,3,24,1,0,1,0.0,6.285714285714286,,6.285714285714286,0.0,1.1654310766392138e-05,0.0,0.0,0.0,0.0,0.03160637860701006,,9.337484269522239e-05,0.0
2020-03-25,Liechtenstein,51,0,0,0,1,2020,3,25,2,0,1,0.0,0.8214285714285714,,3.2857142857142856,0.0,1.1654310766392138e-05,0.0,0.0,0.0,0.0,0.006533461627126119,,4.88095768634117e-05,0.0
2020-03-26,Liechtenstein,56,0,5,0,1,2020,3,26,3,0,1,0.0,1.0,,4.0,0.0,1.2819741843031351e-05,0.0,6.472073004983496e-05,0.0,0.0,0.0073528379990177506,,5.942035444241425e-05,0.0
2020-03-27,Liechtenstein,56,0,0,0,1,2020,3,27,4,0,1,0.0,1.0,,4.0,0.0,1.2819741843031351e-05,0.0,0.0,0.0,0.0,0.0073528379990177506,,5.942035444241425e-05,0.0
2020-03-28,Liechtenstein,56,0,0,0,1,2020,3,28,5,1,1,0.0,0.5135135135135136,,2.7142857142857144,0.0,1.2819741843031351e-05,0.0,0.0,0.0,0.0,0.005120591018296765,,4.0320954800209674e-05,0.0
2020-03-29,Liechtenstein,56,0,0,0,1,2020,3,29,6,1,1,0.0,0.5135135135135136,,2.7142857142857144,0.0,1.2819741843031351e-05,0.0,0.0,0.0,0.0,0.005120591018296765,,4.0320954800209674e-05,0.0
2020-03-30,Liechtenstein,62,0,6,0,1,2020,3,30,0,0,1,0.0,0.21568627450980382,,1.5714285714285714,0.0,1.4218259134998409e-05,0.0,7.766487605980195e-05,0.0,0.0,0.0037540084440427397,,2.3343710673805598e-05,0.0
2020-03-31,Liechtenstein,68,0,6,0,1,2020,3,31,1,0,1,0.0,0.33333333333333326,,2.4285714285714284,0.0,1.5616776426965463e-05,0.0,7.766487605980195e-05,0.0,0.0,0.0042938328772889915,,3.607664376860865e-05,0.0
2020-04-01,Liechtenstein,68,0,0,0,1,2020,4,1,2,0,2,0.0,0.33333333333333326,,2.4285714285714284,0.0,1.5616776426965463e-05,0.0,0.0,0.0,0.0,0.0042938328772889915,,3.607664376860865e-05,0.0
