date_value,country,total_cases,total_deaths,new_cases,new_deaths,id_pandemic,year,month,day,day_of_week,is_weekend,quarter,mortality_rate,cases_growth_rate_7d,deaths_growth_rate_7d,new_cases_ma7,new_deaths_ma7,total_cases_normalized,total_deaths_normalized,new_cases_normalized,new_deaths_normalized,mortality_rate_normalized,cases_growth_rate_7d_normalized,deaths_growth_rate_7d_normalized,new_cases_ma7_normalized,new_deaths_ma7_normalized
2020-02-29,Luxembourg,1,0,1,0,1,2020,2,29,5,1,1,0.0,,,1.0,0.0,0.0,0.0,1.2944146009966992e-05,0.0,0.0,,,1.4855088610603563e-05,0.0
2020-03-01,Luxembourg,1,0,0,0,1,2020,3,1,6,1,1,0.0,,,0.5,0.0,0.0,0.0,0.0,0.0,0.0,,,7.4275443053017815e-06,0.0
2020-03-02,Luxembourg,1,0,0,0,1,2020,3,2,0,0,1,0.0,,,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,,,4.95169620353452e-06,0.0
2020-03-03,Luxembourg,1,0,0,0,1,2020,3,3,1,0,1,0.0,,,0.25,0.0,0.0,0.0,0.0,0.0,0.0,,,3.7137721526508907e-06,0.0
2020-03-04,Luxembourg,1,0,0,0,1,2020,3,4,2,0,1,0.0,,,0.2,0.0,0.0,0.0,0.0,0.0,0.0,,,2.9710177221207125e-06,0.0
2020-03-05,Luxembourg,1,0,0,0,1,2020,3,5,3,0,1,0.0,,,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,,,2.47584810176726e-06,0.0
2020-03-06,Luxembourg,2,0,1,0,1,2020,3,6,4,0,1,0.0,,,0.2857142857142857,0.0,2.3308621532784276e-07,0.0,1.2944146009966992e-05,0.0,0.0,,,4.244311031601017e-06,0.0
2020-03-07,Luxembourg,2,0,0,0,1,2020,3,7,5,1,1,0.0,1.0,,0.14285714285714285,0.0,2.3308621532784276e-07,0.0,0.0,0.0,0.0,0.0073528379990177506,,2.1221555158005087e-06,0.0
2020-03-08,Luxembourg,3,0,1,0,1,2020,3,8,6,1,1,0.0,2.0,,0.2857142857142857,0.0,4.6617243065568553e-07,0.0,1.2944146009966992e-05,0.0,0.0,0.01194134568161089,,4.244311031601017e-06,0.0
2020-03-09,Luxembourg,3,0,0,0,1,2020,3,9,0,0,1,0.0,2.0,,0.2857142857142857,0.0,4.6617243065568553e-07,0.0,0.0,0.0,0.0,0.01194134568161089,,4.244311031601017e-06,0.0
2020-03-10,Luxembourg,5,0,2,0,1,2020,3,10,1,0,1,0.0,4.0,,0.5714285714285714,0.0,9.323448613113711e-07,0.0,2.5888292019933984e-05,0.0,0.0,0.021118361046797166,,8.488622063202035e-06,0.0
2020-03-11,Luxembourg,7,0,2,0,1,2020,3,11,2,0,1,0.0,6.0,,0.8571428571428571,0.0,1.3985172919670564e-06,0.0,2.5888292019933984e-05,0.0,0.0,0.03029537641198344,,1.2732933094803053e-05,0.0
2020-03-12,Luxembourg,19,0,12,0,1,2020,3,12,3,0,1,0.0,18.0,,2.5714285714285716,0.0,4.1955518759011695e-06,0.0,0.0001553297521196039,0.0,0.0,0.0853574686031011,,3.819879928440916e-05,0.0
2020-03-13,Luxembourg,34,0,15,0,1,2020,3,13,4,0,1,0.0,16.0,,4.571428571428571,0.0,7.691845105818811e-06,0.0,0.0001941621901495049,0.0,0.0,0.07618045323791484,,6.790897650561628e-05,0.0
2020-03-14,Luxembourg,51,1,17,1,1,2020,3,14,5,1,1,0.0196078431372549,24.5,inf,7.0,0.14285714285714285,1.1654310766392138e-05,6.756254602698448e-06,0.00022005048216943888,0.0002572678157962439,0.0196078431372549,0.11518276853995651,,0.00010398562027422494,6.383657835939994e-05
2020-03-15,Luxembourg,59,1,8,0,1,2020,3,15,6,1,1,0.01694915254237288,18.666666666666668,inf,8.0,0.14285714285714285,1.3519000489014879e-05,6.756254602698448e-06,0.00010355316807973594,0.0,0.01694915254237288,0.08841647372482987,,0.0001188407088848285,6.383657835939994e-05
