date_value,country,total_cases,total_deaths,new_cases,new_deaths,id_pandemic,year,month,day,day_of_week,is_weekend,quarter,mortality_rate,cases_growth_rate_7d,deaths_growth_rate_7d,new_cases_ma7,new_deaths_ma7,total_cases_normalized,total_deaths_normalized,new_cases_normalized,new_deaths_normalized,mortality_rate_normalized,cases_growth_rate_7d_normalized,deaths_growth_rate_7d_normalized,new_cases_ma7_normalized,new_deaths_ma7_normalized
2020-04-02,Malawi,3,0,3,0,1,2020,4,2,3,0,2,0.0,,,3.0,0.0,4.6617243065568553e-07,0.0,3.8832438029900976e-05,0.0,0.0,,,4.4565265831810684e-05,0.0
2020-04-03,Malawi,3,0,0,0,1,2020,4,3,4,0,2,0.0,,,1.5,0.0,4.6617243065568553e-07,0.0,0.0,0.0,0.0,,,2.2282632915905342e-05,0.0
2020-04-04,Malawi,4,0,1,0,1,2020,4,4,5,1,2,0.0,,,1.3333333333333333,0.0,6.992586459835282e-07,0.0,1.2944146009966992e-05,0.0,0.0,,,1.980678481413808e-05,0.0
2020-04-05,Malawi,4,0,0,0,1,2020,4,5,6,1,2,0.0,,,1.0,0.0,6.992586459835282e-07,0.0,0.0,0.0,0.0,,,1.4855088610603563e-05,0.0
2020-04-06,Malawi,5,0,1,0,1,2020,4,6,0,0,2,0.0,,,1.0,0.0,9.323448613113711e-07,0.0,1.2944146009966992e-05,0.0,0.0,,,1.4855088610603563e-05,0.0
2020-04-07,Malawi,8,1,3,1,1,2020,4,7,1,0,2,0.125,,,1.3333333333333333,0.16666666666666666,1.6316035072948993e-06,6.756254602698448e-06,3.8832438029900976e-05,0.0002572678157962439,0.125,,,1.980678481413808e-05,7.44760080859666e-05
2020-04-08,Malawi,8,1,0,0,1,2020,4,8,2,0,2,0.125,,,1.1428571428571428,0.14285714285714285,1.6316035072948993e-06,6.756254602698448e-06,0.0,0.0,0.125,,,1.697724412640407e-05,6.383657835939994e-05
2020-04-09,Malawi,8,1,0,0,1,2020,4,9,3,0,2,0.125,1.6666666666666665,inf,0.7142857142857143,0.14285714285714285,1.6316035072948993e-06,6.756254602698448e-06,0.0,0.0,0.125,0.010411843120746509,,1.0610777579002545e-05,6.383657835939994e-05
2020-04-10,Malawi,9,1,1,0,1,2020,4,10,4,0,2,0.1111111111111111,2.0,inf,0.8571428571428571,0.14285714285714285,1.8646897226227421e-06,6.756254602698448e-06,1.2944146009966992e-05,0.0,0.1111111111111111,0.01194134568161089,,1.2732933094803053e-05,6.383657835939994e-05
2020-04-11,Malawi,12,2,3,1,1,2020,4,11,5,1,2,0.16666666666666666,2.0,inf,1.1428571428571428,0.2857142857142857,2.5639483686062704e-06,1.3512509205396897e-05,3.8832438029900976e-05,0.0002572678157962439,0.16666666666666666,0.01194134568161089,,1.697724412640407e-05,0.00012767315671879988
2020-04-12,Malawi,13,2,1,0,1,2020,4,12,6,1,2,0.15384615384615385,2.25,inf,1.2857142857142858,0.2857142857142857,2.797034583934113e-06,1.3512509205396897e-05,1.2944146009966992e-05,0.0,0.15384615384615385,0.013088472602259173,,1.909939964220458e-05,0.00012767315671879988
2020-04-13,Malawi,16,2,3,0,1,2020,4,13,0,0,2,0.125,2.2,inf,1.5714285714285714,0.2857142857142857,3.4962932299176414e-06,1.3512509205396897e-05,3.8832438029900976e-05,0.0,0.125,0.012859047218129518,,2.3343710673805598e-05,0.00012767315671879988
2020-04-14,Malawi,16,2,0,0,1,2020,4,14,1,0,2,0.125,1.0,1.0,1.1428571428571428,0.14285714285714285,3.4962932299176414e-06,1.3512509205396897e-05,0.0,0.0,0.125,0.0073528379990177506,0.0,1.697724412640407e-05,6.383657835939994e-05
2020-04-15,Malawi,16,2,0,0,1,2020,4,15,2,0,2,0.125,1.0,1.0,1.1428571428571428,0.14285714285714285,3.4962932299176414e-06,1.3512509205396897e-05,0.0,0.0,0.125,0.0073528379990177506,0.0,1.697724412640407e-05,6.383657835939994e-05
2020-04-16,Malawi,16,2,0,0,1,2020,4,16,3,0,2,0.125,1.0,1.0,1.1428571428571428,0.14285714285714285,3.4962932299176414e-06,1.3512509205396897e-05,0.0,0.0,0.125,0.0073528379990177506,0.0,1.697724412640407e-05,6.383657835939994e-05
2020-04-17,Malawi,17,2,1,0,1,2020,4,17,4,0,2,0.11764705882352941,0.8888888888888888,1.0,1.1428571428571428,0.14285714285714285,3.7293794452454842e-06,1.3512509205396897e-05,1.2944146009966992e-05,0.0,0.11764705882352941,0.006843003812062957,0.0,1.697724412640407e-05,6.383657835939994e-05
2020-04-18,Malawi,17,2,0,0,1,2020,4,18,5,1,2,0.11764705882352941,0.41666666666666674,0.0,0.7142857142857143,0.0,3.7293794452454842e-06,1.3512509205396897e-05,0.0,0.0,0.11764705882352941,0.004676208517505087,0.0,1.0610777579002545e-05,0.0
2020-04-19,Malawi,17,2,0,0,1,2020,4,19,6,1,2,0.11764705882352941,0.3076923076923077,0.0,0.5714285714285714,0.0,3.7293794452454842e-06,1.3512509205396897e-05,0.0,0.0,0.11764705882352941,0.004176178834145578,0.0,8.488622063202035e-06,0.0
2020-04-20,Malawi,17,2,0,0,1,2020,4,20,0,0,2,0.11764705882352941,0.0625,0.0,0.14285714285714285,0.0,3.7293794452454842e-06,1.3512509205396897e-05,0.0,0.0,0.11764705882352941,0.0030511120465866837,0.0,2.1221555158005087e-06,0.0
2020-04-21,Malawi,18,2,1,0,1,2020,4,21,1,0,2,0.1111111111111111,0.125,0.0,0.2857142857142857,0.0,3.962465660573327e-06,1.3512509205396897e-05,1.2944146009966992e-05,0.0,0.1111111111111111,0.003337893776748755,0.0,4.244311031601017e-06,0.0
2020-04-22,Malawi,23,3,5,1,1,2020,4,22,2,0,2,0.13043478260869565,0.4375,0.5,1.0,0.14285714285714285,5.127896737212541e-06,2.0268763808095344e-05,6.472073004983496e-05,0.0002572678157962439,0.13043478260869565,0.004771802427559111,0.0,1.4855088610603563e-05,6.383657835939994e-05
2020-04-23,Malawi,33,3,10,0,1,2020,4,23,3,0,2,0.09090909090909091,1.0625,0.5,2.4285714285714284,0.14285714285714285,7.4587588904909685e-06,2.0268763808095344e-05,0.00012944146009966992,0.0,0.09090909090909091,0.007639619729179822,0.0,3.607664376860865e-05,6.383657835939994e-05
2020-04-24,Malawi,33,3,0,0,1,2020,4,24,4,0,2,0.09090909090909091,0.9411764705882353,0.5,2.2857142857142856,0.14285714285714285,7.4587588904909685e-06,2.0268763808095344e-05,0.0,0.0,0.09090909090909091,0.007082925782394625,0.0,3.395448825280814e-05,6.383657835939994e-05
2020-04-25,Malawi,33,3,0,0,1,2020,4,25,5,1,2,0.09090909090909091,0.9411764705882353,0.5,2.2857142857142856,0.14285714285714285,7.4587588904909685e-06,2.0268763808095344e-05,0.0,0.0,0.09090909090909091,0.007082925782394625,0.0,3.395448825280814e-05,6.383657835939994e-05
2020-04-26,Malawi,34,3,1,0,1,2020,4,26,6,1,2,0.08823529411764706,1.0,0.5,2.4285714285714284,0.14285714285714285,7.691845105818811e-06,2.0268763808095344e-05,1.2944146009966992e-05,0.0,0.08823529411764706,0.0073528379990177506,0.0,3.607664376860865e-05,6.383657835939994e-05
2020-04-27,Malawi,36,3,2,0,1,2020,4,27,0,0,2,0.08333333333333333,1.1176470588235294,0.5,2.7142857142857144,0.14285714285714285,8.158017536474496e-06,2.0268763808095344e-05,2.5888292019933984e-05,0.0,0.08333333333333333,0.007892662432264002,0.0,4.0320954800209674e-05,6.383657835939994e-05
2020-04-28,Malawi,36,3,0,0,1,2020,4,28,1,0,2,0.08333333333333333,1.0,0.5,2.5714285714285716,0.14285714285714285,8.158017536474496e-06,2.0268763808095344e-05,0.0,0.0,0.08333333333333333,0.0073528379990177506,0.0,3.819879928440916e-05,6.383657835939994e-05
2020-04-29,Malawi,36,3,0,0,1,2020,4,29,2,0,2,0.08333333333333333,0.5652173913043479,0.0,1.8571428571428572,0.0,8.158017536474496e-06,2.0268763808095344e-05,0.0,0.0,0.08333333333333333,0.005357834658759865,0.0,2.7588021705406618e-05,0.0
2020-04-30,Malawi,37,3,1,0,1,2020,4,30,3,0,2,0.08108108108108109,0.1212121212121211,0.0,0.5714285714285714,0.0,8.391103751802339e-06,2.0268763808095344e-05,1.2944146009966992e-05,0.0,0.08108108108108109,0.003320513065829841,0.0,8.488622063202035e-06,0.0
2020-05-01,Malawi,37,3,0,0,1,2020,5,1,4,0,2,0.08108108108108109,0.1212121212121211,0.0,0.5714285714285714,0.0,8.391103751802339e-06,2.0268763808095344e-05,0.0,0.0,0.08108108108108109,0.003320513065829841,0.0,8.488622063202035e-06,0.0
2020-05-02,Malawi,38,3,1,0,1,2020,5,2,5,1,2,0.07894736842105263,0.1515151515151516,0.0,0.7142857142857143,0.0,8.624189967130182e-06,2.0268763808095344e-05,1.2944146009966992e-05,0.0,0.07894736842105263,0.003459558753181149,0.0,1.0610777579002545e-05,0.0
2020-05-03,Malawi,39,3,1,0,1,2020,5,3,6,1,2,0.07692307692307693,0.1470588235294117,0.0,0.7142857142857143,0.0,8.857276182458024e-06,2.0268763808095344e-05,1.2944146009966992e-05,0.0,0.07692307692307693,0.0034391108579824264,0.0,1.0610777579002545e-05,0.0
2020-05-04,Malawi,41,3,2,0,1,2020,5,4,0,0,2,0.07317073170731707,0.13888888888888884,0.0,0.7142857142857143,0.0,9.32344861311371e-06,2.0268763808095344e-05,2.5888292019933984e-05,0.0,0.07317073170731707,0.0034016230501181036,0.0,1.0610777579002545e-05,0.0
2020-05-05,Malawi,41,3,0,0,1,2020,5,5,1,0,2,0.07317073170731707,0.13888888888888884,0.0,0.7142857142857143,0.0,9.32344861311371e-06,2.0268763808095344e-05,0.0,0.0,0.07317073170731707,0.0034016230501181036,0.0,1.0610777579002545e-05,0.0
2020-05-06,Malawi,43,3,2,0,1,2020,5,6,2,0,2,0.06976744186046512,0.19444444444444442,0.0,1.0,0.0,9.789621043769395e-06,2.0268763808095344e-05,2.5888292019933984e-05,0.0,0.06976744186046512,0.0036565401435955003,0.0,1.4855088610603563e-05,0.0
2020-05-07,Malawi,43,3,0,0,1,2020,5,7,3,0,2,0.06976744186046512,0.16216216216216206,0.0,0.8571428571428571,0.0,9.789621043769395e-06,2.0268763808095344e-05,0.0,0.0,0.06976744186046512,0.0035084126433316074,0.0,1.2732933094803053e-05,0.0
2020-05-08,Malawi,43,3,0,0,1,2020,5,8,4,0,2,0.06976744186046512,0.16216216216216206,0.0,0.8571428571428571,0.0,9.789621043769395e-06,2.0268763808095344e-05,0.0,0.0,0.06976744186046512,0.0035084126433316074,0.0,1.2732933094803053e-05,0.0
2020-05-09,Malawi,56,3,13,0,1,2020,5,9,5,1,2,0.05357142857142857,0.4736842105263157,0.0,2.5714285714285716,0.0,1.2819741843031351e-05,2.0268763808095344e-05,0.0001682738981295709,0.0,0.05357142857142857,0.004937833955547677,0.0,3.819879928440916e-05,0.0
2020-05-10,Malawi,56,3,0,0,1,2020,5,10,6,1,2,0.05357142857142857,0.4358974358974359,0.0,2.4285714285714284,0.0,1.2819741843031351e-05,2.0268763808095344e-05,0.0,0.0,0.05357142857142857,0.0047644490498626475,0.0,3.607664376860865e-05,0.0
2020-05-11,Malawi,57,3,1,0,1,2020,5,11,0,0,2,0.05263157894736842,0.3902439024390243,0.0,2.2857142857142856,0.0,1.3052828058359194e-05,2.0268763808095344e-05,1.2944146009966992e-05,0.0,0.05263157894736842,0.004554967460851203,0.0,3.395448825280814e-05,0.0
2020-05-12,Malawi,57,3,0,0,1,2020,5,12,1,0,2,0.05263157894736842,0.3902439024390243,0.0,2.2857142857142856,0.0,1.3052828058359194e-05,2.0268763808095344e-05,0.0,0.0,0.05263157894736842,0.004554967460851203,0.0,3.395448825280814e-05,0.0
2020-05-13,Malawi,63,3,6,0,1,2020,5,13,2,0,2,0.047619047619047616,0.4651162790697674,0.0,2.857142857142857,0.0,1.445134535032625e-05,2.0268763808095344e-05,7.766487605980195e-05,0.0,0.047619047619047616,0.004898519936235374,0.0,4.244311031601018e-05,0.0
2020-05-14,Malawi,63,3,0,0,1,2020,5,14,3,0,2,0.047619047619047616,0.4651162790697674,0.0,2.857142857142857,0.0,1.445134535032625e-05,2.0268763808095344e-05,0.0,0.0,0.047619047619047616,0.004898519936235374,0.0,4.244311031601018e-05,0.0
2020-05-15,Malawi,63,3,0,0,1,2020,5,15,4,0,2,0.047619047619047616,0.4651162790697674,0.0,2.857142857142857,0.0,1.445134535032625e-05,2.0268763808095344e-05,0.0,0.0,0.047619047619047616,0.004898519936235374,0.0,4.244311031601018e-05,0.0
2020-05-16,Malawi,65,3,2,0,1,2020,5,16,5,1,2,0.046153846153846156,0.1607142857142858,0.0,1.2857142857142858,0.0,1.4917517780981937e-05,2.0268763808095344e-05,2.5888292019933984e-05,0.0,0.046153846153846156,0.0035017690511270814,0.0,1.909939964220458e-05,0.0
2020-05-17,Malawi,70,3,5,0,1,2020,5,17,6,1,2,0.04285714285714286,0.25,0.0,2.0,0.0,1.608294885762115e-05,2.0268763808095344e-05,6.472073004983496e-05,0.0,0.04285714285714286,0.003911457237072897,0.0,2.9710177221207126e-05,0.0
2020-05-18,Malawi,70,3,0,0,1,2020,5,18,0,0,2,0.04285714285714286,0.22807017543859653,0.0,1.8571428571428572,0.0,1.608294885762115e-05,2.0268763808095344e-05,0.0,0.0,0.04285714285714286,0.0038108320685949775,0.0,2.7588021705406618e-05,0.0
2020-05-19,Malawi,70,3,0,0,1,2020,5,19,1,0,2,0.04285714285714286,0.22807017543859653,0.0,1.8571428571428572,0.0,1.608294885762115e-05,2.0268763808095344e-05,0.0,0.0,0.04285714285714286,0.0038108320685949775,0.0,2.7588021705406618e-05,0.0
