date_value,country,total_cases,total_deaths,new_cases,new_deaths,id_pandemic,year,month,day,day_of_week,is_weekend,quarter,mortality_rate,cases_growth_rate_7d,deaths_growth_rate_7d,new_cases_ma7,new_deaths_ma7,total_cases_normalized,total_deaths_normalized,new_cases_normalized,new_deaths_normalized,mortality_rate_normalized,cases_growth_rate_7d_normalized,deaths_growth_rate_7d_normalized,new_cases_ma7_normalized,new_deaths_ma7_normalized
2020-03-08,Maldives,4,0,4,0,1,2020,3,8,6,1,1,0.0,,,4.0,0.0,6.992586459835282e-07,0.0,5.177658403986797e-05,0.0,0.0,,,5.942035444241425e-05,0.0
2020-03-09,Maldives,4,0,0,0,1,2020,3,9,0,0,1,0.0,,,2.0,0.0,6.992586459835282e-07,0.0,0.0,0.0,0.0,,,2.9710177221207126e-05,0.0
2020-03-10,Maldives,6,0,2,0,1,2020,3,10,1,0,1,0.0,,,2.0,0.0,1.1654310766392138e-06,0.0,2.5888292019933984e-05,0.0,0.0,,,2.9710177221207126e-05,0.0
2020-03-11,Maldives,8,0,2,0,1,2020,3,11,2,0,1,0.0,,,2.0,0.0,1.6316035072948993e-06,0.0,2.5888292019933984e-05,0.0,0.0,,,2.9710177221207126e-05,0.0
2020-03-12,Maldives,8,0,0,0,1,2020,3,12,3,0,1,0.0,,,1.6,0.0,1.6316035072948993e-06,0.0,0.0,0.0,0.0,,,2.37681417769657e-05,0.0
2020-03-13,Maldives,9,0,1,0,1,2020,3,13,4,0,1,0.0,,,1.5,0.0,1.8646897226227421e-06,0.0,1.2944146009966992e-05,0.0,0.0,,,2.2282632915905342e-05,0.0
2020-03-14,Maldives,10,0,1,0,1,2020,3,14,5,1,1,0.0,,,1.4285714285714286,0.0,2.0977759379505848e-06,0.0,1.2944146009966992e-05,0.0,0.0,,,2.122155515800509e-05,0.0
2020-03-15,Maldives,13,0,3,0,1,2020,3,15,6,1,1,0.0,2.25,,1.2857142857142858,0.0,2.797034583934113e-06,0.0,3.8832438029900976e-05,0.0,0.0,0.013088472602259173,,1.909939964220458e-05,0.0
2020-03-16,Maldives,13,0,0,0,1,2020,3,16,0,0,1,0.0,2.25,,1.2857142857142858,0.0,2.797034583934113e-06,0.0,0.0,0.0,0.0,0.013088472602259173,,1.909939964220458e-05,0.0
2020-03-17,Maldives,13,0,0,0,1,2020,3,17,1,0,1,0.0,1.1666666666666665,,1.0,0.0,2.797034583934113e-06,0.0,0.0,0.0,0.0,0.00811758927944994,,1.4855088610603563e-05,0.0
