date_value,country,total_cases,total_deaths,new_cases,new_deaths,id_pandemic,year,month,day,day_of_week,is_weekend,quarter,mortality_rate,cases_growth_rate_7d,deaths_growth_rate_7d,new_cases_ma7,new_deaths_ma7,total_cases_normalized,total_deaths_normalized,new_cases_normalized,new_deaths_normalized,mortality_rate_normalized,cases_growth_rate_7d_normalized,deaths_growth_rate_7d_normalized,new_cases_ma7_normalized,new_deaths_ma7_normalized
2020-03-07,Malta,3,0,3,0,1,2020,3,7,5,1,1,0.0,,,3.0,0.0,4.6617243065568553e-07,0.0,3.8832438029900976e-05,0.0,0.0,,,4.4565265831810684e-05,0.0
2020-03-08,Malta,3,0,0,0,1,2020,3,8,6,1,1,0.0,,,1.5,0.0,4.6617243065568553e-07,0.0,0.0,0.0,0.0,,,2.2282632915905342e-05,0.0
2020-03-09,Malta,3,0,0,0,1,2020,3,9,0,0,1,0.0,,,1.0,0.0,4.6617243065568553e-07,0.0,0.0,0.0,0.0,,,1.4855088610603563e-05,0.0
2020-03-10,Malta,5,0,2,0,1,2020,3,10,1,0,1,0.0,,,1.25,0.0,9.323448613113711e-07,0.0,2.5888292019933984e-05,0.0,0.0,,,1.856886076325445e-05,0.0
2020-03-11,Malta,6,0,1,0,1,2020,3,11,2,0,1,0.0,,,1.2,0.0,1.1654310766392138e-06,0.0,1.2944146009966992e-05,0.0,0.0,,,1.7826106332724274e-05,0.0
2020-03-12,Malta,6,0,0,0,1,2020,3,12,3,0,1,0.0,,,1.0,0.0,1.1654310766392138e-06,0.0,0.0,0.0,0.0,,,1.4855088610603563e-05,0.0
2020-03-13,Malta,12,0,6,0,1,2020,3,13,4,0,1,0.0,,,1.7142857142857142,0.0,2.5639483686062704e-06,0.0,7.766487605980195e-05,0.0,0.0,,,2.5465866189606106e-05,0.0
2020-03-14,Malta,18,0,6,0,1,2020,3,14,5,1,1,0.0,5.0,,2.142857142857143,0.0,3.962465660573327e-06,0.0,7.766487605980195e-05,0.0,0.0,0.025706868729390302,,3.1832332737007634e-05,0.0
2020-03-15,Malta,21,0,3,0,1,2020,3,15,6,1,1,0.0,6.0,,2.5714285714285716,0.0,4.661724306556855e-06,0.0,3.8832438029900976e-05,0.0,0.0,0.03029537641198344,,3.819879928440916e-05,0.0
2020-03-16,Malta,30,0,9,0,1,2020,3,16,0,0,1,0.0,9.0,,3.857142857142857,0.0,6.7595002445074395e-06,0.0,0.00011649731408970293,0.0,0.0,0.04406089945976285,,5.729819892661374e-05,0.0
2020-03-17,Malta,38,0,8,0,1,2020,3,17,1,0,1,0.0,6.6,,4.714285714285714,0.0,8.624189967130182e-06,0.0,0.00010355316807973594,0.0,0.0,0.033048481021539323,,7.00311320214168e-05,0.0
2020-03-18,Malta,38,0,0,0,1,2020,3,18,2,0,1,0.0,5.333333333333333,,4.571428571428571,0.0,8.624189967130182e-06,0.0,0.0,0.0,0.0,0.027236371290254684,,6.790897650561628e-05,0.0
2020-03-19,Malta,53,0,15,0,1,2020,3,19,3,0,1,0.0,7.833333333333334,,6.714285714285714,0.0,1.2120483197047823e-05,0.0,0.0001941621901495049,0.0,0.0,0.03870764049673753,,9.974130924262392e-05,0.0
2020-03-20,Malta,64,0,11,0,1,2020,3,20,4,0,1,0.0,4.333333333333333,,7.428571428571429,0.0,1.4684431565654094e-05,0.0,0.00014238560610963693,0.0,0.0,0.022647863607661547,,0.00011035208682162647,0.0
2020-03-21,Malta,73,0,9,0,1,2020,3,21,5,1,1,0.0,3.0555555555555554,,7.857142857142857,0.0,1.6782207503604678e-05,0.0,0.00011649731408970293,0.0,0.0,0.016784770457681425,,0.00011671855336902798,0.0
