date_value,country,total_cases,total_deaths,new_cases,new_deaths,id_pandemic,year,month,day,day_of_week,is_weekend,quarter,mortality_rate,cases_growth_rate_7d,deaths_growth_rate_7d,new_cases_ma7,new_deaths_ma7,total_cases_normalized,total_deaths_normalized,new_cases_normalized,new_deaths_normalized,mortality_rate_normalized,cases_growth_rate_7d_normalized,deaths_growth_rate_7d_normalized,new_cases_ma7_normalized,new_deaths_ma7_normalized
2020-03-22,Mozambique,1,0,1,0,1,2020,3,22,6,1,1,0.0,,,1.0,0.0,0.0,0.0,1.2944146009966992e-05,0.0,0.0,,,1.4855088610603563e-05,0.0
2020-03-23,Mozambique,1,0,0,0,1,2020,3,23,0,0,1,0.0,,,0.5,0.0,0.0,0.0,0.0,0.0,0.0,,,7.4275443053017815e-06,0.0
2020-03-24,Mozambique,3,0,2,0,1,2020,3,24,1,0,1,0.0,,,1.0,0.0,4.6617243065568553e-07,0.0,2.5888292019933984e-05,0.0,0.0,,,1.4855088610603563e-05,0.0
2020-03-25,Mozambique,5,0,2,0,1,2020,3,25,2,0,1,0.0,,,1.25,0.0,9.323448613113711e-07,0.0,2.5888292019933984e-05,0.0,0.0,,,1.856886076325445e-05,0.0
2020-03-26,Mozambique,7,0,2,0,1,2020,3,26,3,0,1,0.0,,,1.4,0.0,1.3985172919670564e-06,0.0,2.5888292019933984e-05,0.0,0.0,,,2.0797124054844987e-05,0.0
2020-03-27,Mozambique,7,0,0,0,1,2020,3,27,4,0,1,0.0,,,1.1666666666666667,0.0,1.3985172919670564e-06,0.0,0.0,0.0,0.0,,,1.7330936712370825e-05,0.0
2020-03-28,Mozambique,8,0,1,0,1,2020,3,28,5,1,1,0.0,,,1.1428571428571428,0.0,1.6316035072948993e-06,0.0,1.2944146009966992e-05,0.0,0.0,,,1.697724412640407e-05,0.0
2020-03-29,Mozambique,8,0,0,0,1,2020,3,29,6,1,1,0.0,7.0,,1.0,0.0,1.6316035072948993e-06,0.0,0.0,0.0,0.0,0.03488388409457658,,1.4855088610603563e-05,0.0
2020-03-30,Mozambique,8,0,0,0,1,2020,3,30,0,0,1,0.0,7.0,,1.0,0.0,1.6316035072948993e-06,0.0,0.0,0.0,0.0,0.03488388409457658,,1.4855088610603563e-05,0.0
2020-03-31,Mozambique,8,0,0,0,1,2020,3,31,1,0,1,0.0,1.6666666666666665,,0.7142857142857143,0.0,1.6316035072948993e-06,0.0,0.0,0.0,0.0,0.010411843120746509,,1.0610777579002545e-05,0.0
2020-04-01,Mozambique,10,0,2,0,1,2020,4,1,2,0,2,0.0,1.0,,0.7142857142857143,0.0,2.0977759379505848e-06,0.0,2.5888292019933984e-05,0.0,0.0,0.0073528379990177506,,1.0610777579002545e-05,0.0
2020-04-02,Mozambique,10,0,0,0,1,2020,4,2,3,0,2,0.0,0.4285714285714286,,0.42857142857142855,0.0,2.0977759379505848e-06,0.0,0.0,0.0,0.0,0.004730833608964529,,6.3664665474015265e-06,0.0
2020-04-03,Mozambique,10,0,0,0,1,2020,4,3,4,0,2,0.0,0.4285714285714286,,0.42857142857142855,0.0,2.0977759379505848e-06,0.0,0.0,0.0,0.0,0.004730833608964529,,6.3664665474015265e-06,0.0
2020-04-04,Mozambique,10,0,0,0,1,2020,4,4,5,1,2,0.0,0.25,,0.2857142857142857,0.0,2.0977759379505848e-06,0.0,0.0,0.0,0.0,0.003911457237072897,,4.244311031601017e-06,0.0
2020-04-05,Mozambique,10,0,0,0,1,2020,4,5,6,1,2,0.0,0.25,,0.2857142857142857,0.0,2.0977759379505848e-06,0.0,0.0,0.0,0.0,0.003911457237072897,,4.244311031601017e-06,0.0
2020-04-06,Mozambique,10,0,0,0,1,2020,4,6,0,0,2,0.0,0.25,,0.2857142857142857,0.0,2.0977759379505848e-06,0.0,0.0,0.0,0.0,0.003911457237072897,,4.244311031601017e-06,0.0
2020-04-07,Mozambique,10,0,0,0,1,2020,4,7,1,0,2,0.0,0.25,,0.2857142857142857,0.0,2.0977759379505848e-06,0.0,0.0,0.0,0.0,0.003911457237072897,,4.244311031601017e-06,0.0
2020-04-08,Mozambique,17,0,7,0,1,2020,4,8,2,0,2,0.0,0.7,,1.0,0.0,3.7293794452454842e-06,0.0,9.060902206976894e-05,0.0,0.0,0.005976285694239809,,1.4855088610603563e-05,0.0
2020-04-09,Mozambique,17,0,0,0,1,2020,4,9,3,0,2,0.0,0.7,,1.0,0.0,3.7293794452454842e-06,0.0,0.0,0.0,0.0,0.005976285694239809,,1.4855088610603563e-05,0.0
2020-04-10,Mozambique,20,0,3,0,1,2020,4,10,4,0,2,0.0,1.0,,1.4285714285714286,0.0,4.428638091229012e-06,0.0,3.8832438029900976e-05,0.0,0.0,0.0073528379990177506,,2.122155515800509e-05,0.0
2020-04-11,Mozambique,20,0,0,0,1,2020,4,11,5,1,2,0.0,1.0,,1.4285714285714286,0.0,4.428638091229012e-06,0.0,0.0,0.0,0.0,0.0073528379990177506,,2.122155515800509e-05,0.0
2020-04-12,Mozambique,21,0,1,0,1,2020,4,12,6,1,2,0.0,1.1,,1.5714285714285714,0.0,4.661724306556855e-06,0.0,1.2944146009966992e-05,0.0,0.0,0.0078116887672770655,,2.3343710673805598e-05,0.0
2020-04-13,Mozambique,21,0,0,0,1,2020,4,13,0,0,2,0.0,1.1,,1.5714285714285714,0.0,4.661724306556855e-06,0.0,0.0,0.0,0.0,0.0078116887672770655,,2.3343710673805598e-05,0.0
2020-04-14,Mozambique,28,0,7,0,1,2020,4,14,1,0,2,0.0,1.7999999999999998,,2.5714285714285716,0.0,6.293327813851755e-06,0.0,9.060902206976894e-05,0.0,0.0,0.01102364414509226,,3.819879928440916e-05,0.0
2020-04-15,Mozambique,29,0,1,0,1,2020,4,15,2,0,2,0.0,0.7058823529411764,,1.7142857142857142,0.0,6.526414029179597e-06,0.0,1.2944146009966992e-05,0.0,0.0,0.006003276915902122,,2.5465866189606106e-05,0.0
2020-04-16,Mozambique,31,0,2,0,1,2020,4,16,3,0,2,0.0,0.8235294117647058,,2.0,0.0,6.992586459835283e-06,0.0,2.5888292019933984e-05,0.0,0.0,0.006543101349148373,,2.9710177221207126e-05,0.0
2020-04-17,Mozambique,34,0,3,0,1,2020,4,17,4,0,2,0.0,0.7,,2.0,0.0,7.691845105818811e-06,0.0,3.8832438029900976e-05,0.0,0.0,0.005976285694239809,,2.9710177221207126e-05,0.0
2020-04-18,Mozambique,35,0,1,0,1,2020,4,18,5,1,2,0.0,0.75,,2.142857142857143,0.0,7.924931321146654e-06,0.0,1.2944146009966992e-05,0.0,0.0,0.006205711078369466,,3.1832332737007634e-05,0.0
2020-04-19,Mozambique,39,0,4,0,1,2020,4,19,6,1,2,0.0,0.8571428571428572,,2.5714285714285716,0.0,8.857276182458024e-06,0.0,5.177658403986797e-05,0.0,0.0,0.006697336901504446,,3.819879928440916e-05,0.0
2020-04-20,Mozambique,39,0,0,0,1,2020,4,20,0,0,2,0.0,0.8571428571428572,,2.5714285714285716,0.0,8.857276182458024e-06,0.0,0.0,0.0,0.0,0.006697336901504446,,3.819879928440916e-05,0.0
2020-04-21,Mozambique,39,0,0,0,1,2020,4,21,1,0,2,0.0,0.3928571428571428,,1.5714285714285714,0.0,8.857276182458024e-06,0.0,0.0,0.0,0.0,0.004566958334586202,,2.3343710673805598e-05,0.0
2020-04-22,Mozambique,41,0,2,0,1,2020,4,22,2,0,2,0.0,0.4137931034482758,,1.7142857142857142,0.0,9.32344861311371e-06,0.0,2.5888292019933984e-05,0.0,0.0,0.004663023150601083,,2.5465866189606106e-05,0.0
