date_value,country,total_cases,total_deaths,new_cases,new_deaths,id_pandemic,year,month,day,day_of_week,is_weekend,quarter,mortality_rate,cases_growth_rate_7d,deaths_growth_rate_7d,new_cases_ma7,new_deaths_ma7,total_cases_normalized,total_deaths_normalized,new_cases_normalized,new_deaths_normalized,mortality_rate_normalized,cases_growth_rate_7d_normalized,deaths_growth_rate_7d_normalized,new_cases_ma7_normalized,new_deaths_ma7_normalized
2020-03-14,Namibia,2,0,2,0,1,2020,3,14,5,1,1,0.0,,,2.0,0.0,2.3308621532784276e-07,0.0,2.5888292019933984e-05,0.0,0.0,,,2.9710177221207126e-05,0.0
2020-03-15,Namibia,2,0,0,0,1,2020,3,15,6,1,1,0.0,,,1.0,0.0,2.3308621532784276e-07,0.0,0.0,0.0,0.0,,,1.4855088610603563e-05,0.0
2020-03-16,Namibia,2,0,0,0,1,2020,3,16,0,0,1,0.0,,,0.6666666666666666,0.0,2.3308621532784276e-07,0.0,0.0,0.0,0.0,,,9.90339240706904e-06,0.0
2020-03-17,Namibia,2,0,0,0,1,2020,3,17,1,0,1,0.0,,,0.5,0.0,2.3308621532784276e-07,0.0,0.0,0.0,0.0,,,7.4275443053017815e-06,0.0
2020-03-18,Namibia,2,0,0,0,1,2020,3,18,2,0,1,0.0,,,0.4,0.0,2.3308621532784276e-07,0.0,0.0,0.0,0.0,,,5.942035444241425e-06,0.0
2020-03-19,Namibia,3,0,1,0,1,2020,3,19,3,0,1,0.0,,,0.5,0.0,4.6617243065568553e-07,0.0,1.2944146009966992e-05,0.0,0.0,,,7.4275443053017815e-06,0.0
2020-03-20,Namibia,3,0,0,0,1,2020,3,20,4,0,1,0.0,,,0.42857142857142855,0.0,4.6617243065568553e-07,0.0,0.0,0.0,0.0,,,6.3664665474015265e-06,0.0
2020-03-21,Namibia,3,0,0,0,1,2020,3,21,5,1,1,0.0,0.5,,0.14285714285714285,0.0,4.6617243065568553e-07,0.0,0.0,0.0,0.0,0.005058584157721181,,2.1221555158005087e-06,0.0
2020-03-22,Namibia,3,0,0,0,1,2020,3,22,6,1,1,0.0,0.5,,0.14285714285714285,0.0,4.6617243065568553e-07,0.0,0.0,0.0,0.0,0.005058584157721181,,2.1221555158005087e-06,0.0
2020-03-23,Namibia,4,0,1,0,1,2020,3,23,0,0,1,0.0,1.0,,0.2857142857142857,0.0,6.992586459835282e-07,0.0,1.2944146009966992e-05,0.0,0.0,0.0073528379990177506,,4.244311031601017e-06,0.0
2020-03-24,Namibia,7,0,3,0,1,2020,3,24,1,0,1,0.0,2.5,,0.7142857142857143,0.0,1.3985172919670564e-06,0.0,3.8832438029900976e-05,0.0,0.0,0.014235599522907458,,1.0610777579002545e-05,0.0
2020-03-25,Namibia,7,0,0,0,1,2020,3,25,2,0,1,0.0,2.5,,0.7142857142857143,0.0,1.3985172919670564e-06,0.0,0.0,0.0,0.0,0.014235599522907458,,1.0610777579002545e-05,0.0
2020-03-26,Namibia,8,0,1,0,1,2020,3,26,3,0,1,0.0,1.6666666666666665,,0.7142857142857143,0.0,1.6316035072948993e-06,0.0,1.2944146009966992e-05,0.0,0.0,0.010411843120746509,,1.0610777579002545e-05,0.0
2020-03-27,Namibia,8,0,0,0,1,2020,3,27,4,0,1,0.0,1.6666666666666665,,0.7142857142857143,0.0,1.6316035072948993e-06,0.0,0.0,0.0,0.0,0.010411843120746509,,1.0610777579002545e-05,0.0
2020-03-28,Namibia,8,0,0,0,1,2020,3,28,5,1,1,0.0,1.6666666666666665,,0.7142857142857143,0.0,1.6316035072948993e-06,0.0,0.0,0.0,0.0,0.010411843120746509,,1.0610777579002545e-05,0.0
2020-03-29,Namibia,11,0,3,0,1,2020,3,29,6,1,1,0.0,2.6666666666666665,,1.1428571428571428,0.0,2.3308621532784276e-06,0.0,3.8832438029900976e-05,0.0,0.0,0.015000350803339647,,1.697724412640407e-05,0.0
2020-03-30,Namibia,11,0,0,0,1,2020,3,30,0,0,1,0.0,1.75,,1.0,0.0,2.3308621532784276e-06,0.0,0.0,0.0,0.0,0.010794218760962605,,1.4855088610603563e-05,0.0
2020-03-31,Namibia,11,0,0,0,1,2020,3,31,1,0,1,0.0,0.5714285714285714,,0.5714285714285714,0.0,2.3308621532784276e-06,0.0,0.0,0.0,0.0,0.005386334706477834,,8.488622063202035e-06,0.0
2020-04-01,Namibia,14,0,3,0,1,2020,4,1,2,0,2,0.0,1.0,,1.0,0.0,3.0301207992619557e-06,0.0,3.8832438029900976e-05,0.0,0.0,0.0073528379990177506,,1.4855088610603563e-05,0.0
